"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","rfRules",0.1,0.1,0.994500458295142,0.990853709654883
"wall-robot-navigation","Fold_1","rfRules",0.1,0.2,0.988084326306141,0.980152477336908
"wall-robot-navigation","Fold_1","rfRules",0.1,0.25,0.984417965169569,0.974065580647417
"wall-robot-navigation","Fold_1","rfRules",0.1,0.3,0.983501374885426,0.972544249643486
"wall-robot-navigation","Fold_1","rfRules",0.1,0.4,0.974335472043996,0.957320770427994
"wall-robot-navigation","Fold_1","rfRules",0.1,0.5,0.967002749770852,0.945152145680012
"wall-robot-navigation","Fold_1","rfRules",0.1,0.6,0.960586617781852,0.934542861846971
"wall-robot-navigation","Fold_1","rfRules",0.1,0.7,0.952337305224565,0.920787710729655
"wall-robot-navigation","Fold_1","rfRules",0.1,0.75,0.951420714940422,0.91929549825675
"wall-robot-navigation","Fold_1","rfRules",0.1,0.8,0.94775435380385,0.913151257335504
"wall-robot-navigation","Fold_1","rfRules",0.1,0.9,0.93858845096242,0.898000960030364
"wall-robot-navigation","Fold_1","rfRules",0.1,1,0.925756186984418,0.87684891761499
"wall-robot-navigation","Fold_1","rfRules",0.2,0.1,0.993583868010999,0.990452986238899
"wall-robot-navigation","Fold_1","rfRules",0.2,0.2,0.982584784601283,0.974057976274355
"wall-robot-navigation","Fold_1","rfRules",0.2,0.25,0.979835013748854,0.969949381447042
"wall-robot-navigation","Fold_1","rfRules",0.2,0.3,0.970669110907424,0.956276378574023
"wall-robot-navigation","Fold_1","rfRules",0.2,0.4,0.959670027497709,0.939912078668563
"wall-robot-navigation","Fold_1","rfRules",0.2,0.5,0.956003666361137,0.934443632139245
"wall-robot-navigation","Fold_1","rfRules",0.2,0.6,0.945921173235564,0.919414144120346
"wall-robot-navigation","Fold_1","rfRules",0.2,0.7,0.935838680109991,0.90427029445941
"wall-robot-navigation","Fold_1","rfRules",0.2,0.75,0.931255728689276,0.897500682702449
"wall-robot-navigation","Fold_1","rfRules",0.2,0.8,0.927589367552704,0.892073664742027
"wall-robot-navigation","Fold_1","rfRules",0.2,0.9,0.919340054995417,0.879701584548956
"wall-robot-navigation","Fold_1","rfRules",0.2,1,0.908340971585701,0.863343658757467
"wall-robot-navigation","Fold_1","rfRules",0.3,0.1,0.986251145737855,0.979578721439535
"wall-robot-navigation","Fold_1","rfRules",0.3,0.2,0.971585701191567,0.957748519930191
"wall-robot-navigation","Fold_1","rfRules",0.3,0.25,0.967002749770852,0.950950922199091
"wall-robot-navigation","Fold_1","rfRules",0.3,0.3,0.960586617781852,0.94137479864887
"wall-robot-navigation","Fold_1","rfRules",0.3,0.4,0.949587534372136,0.92498606107126
