dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
wilt,C5.0,0.1,0.1,0.999,0.984,0.016,0.001,0.013
wilt,C5.0,0.1,0.2,0.997,0.971,0.029,0.002,0.019
wilt,C5.0,0.1,0.25,0.997,0.967,0.033,0.002,0.018
wilt,C5.0,0.1,0.3,0.996,0.954,0.046,0.002,0.024
wilt,C5.0,0.1,0.4,0.993,0.927,0.073,0.003,0.035
wilt,C5.0,0.1,0.5,0.991,0.906,0.094,0.004,0.044
wilt,C5.0,0.1,0.6,0.988,0.878,0.122,0.005,0.051
wilt,C5.0,0.1,0.7,0.986,0.862,0.138,0.005,0.049
wilt,C5.0,0.1,0.75,0.985,0.85,0.15,0.005,0.054
wilt,C5.0,0.1,0.8,0.984,0.841,0.159,0.006,0.064
wilt,C5.0,0.1,0.9,0.983,0.827,0.173,0.007,0.07
wilt,C5.0,0.1,1,0.98,0.803,0.197,0.007,0.069
wilt,C5.0,0.2,0.1,0.991,0.911,0.089,0.003,0.028
wilt,C5.0,0.2,0.2,0.982,0.829,0.171,0.002,0.019
wilt,C5.0,0.2,0.25,0.98,0.805,0.195,0.004,0.033
wilt,C5.0,0.2,0.3,0.976,0.776,0.224,0.004,0.03
wilt,C5.0,0.2,0.4,0.97,0.733,0.267,0.005,0.04
wilt,C5.0,0.2,0.5,0.965,0.696,0.304,0.007,0.049
wilt,C5.0,0.2,0.6,0.955,0.626,0.374,0.007,0.04
wilt,C5.0,0.2,0.7,0.945,0.567,0.433,0.008,0.041
wilt,C5.0,0.2,0.75,0.94,0.543,0.457,0.009,0.046
wilt,C5.0,0.2,0.8,0.936,0.52,0.48,0.01,0.052
wilt,C5.0,0.2,0.9,0.928,0.48,0.52,0.01,0.041
wilt,C5.0,0.2,1,0.919,0.439,0.561,0.012,0.043
wilt,C5.0,0.3,0.1,0.983,0.839,0.161,0.004,0.042
wilt,C5.0,0.3,0.2,0.97,0.731,0.269,0.004,0.048
wilt,C5.0,0.3,0.25,0.963,0.684,0.316,0.005,0.051
wilt,C5.0,0.3,0.3,0.956,0.641,0.359,0.004,0.041
wilt,C5.0,0.3,0.4,0.943,0.573,0.427,0.005,0.043
wilt,C5.0,0.3,0.5,0.93,0.511,0.489,0.007,0.051
wilt,C5.0,0.3,0.6,0.915,0.448,0.552,0.009,0.054
wilt,C5.0,0.3,0.7,0.903,0.398,0.602,0.012,0.062
wilt,C5.0,0.3,0.75,0.895,0.369,0.631,0.012,0.054
wilt,C5.0,0.3,0.8,0.891,0.355,0.645,0.012,0.049
wilt,C5.0,0.3,0.9,0.88,0.318,0.682,0.012,0.053
wilt,C5.0,0.3,1,0.867,0.284,0.716,0.013,0.047
wilt,JRip,0.1,0.1,0.997,0.972,0.028,0.002,0.016
wilt,JRip,0.1,0.2,0.995,0.953,0.047,0.003,0.028
wilt,JRip,0.1,0.25,0.993,0.931,0.069,0.002,0.01
wilt,JRip,0.1,0.3,0.99,0.905,0.095,0.004,0.019
wilt,JRip,0.1,0.4,0.986,0.875,0.125,0.005,0.025
wilt,JRip,0.1,0.5,0.982,0.839,0.161,0.005,0.018
wilt,JRip,0.1,0.6,0.979,0.815,0.185,0.006,0.029
wilt,JRip,0.1,0.7,0.977,0.8,0.2,0.005,0.022
