dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
badges2,C5.0,0.1,0.1,0.997,0.991,0.009,0.008,0.02
badges2,C5.0,0.1,0.2,0.99,0.975,0.025,0.015,0.037
badges2,C5.0,0.1,0.25,0.986,0.966,0.034,0.019,0.046
badges2,C5.0,0.1,0.3,0.986,0.966,0.034,0.019,0.046
badges2,C5.0,0.1,0.4,0.98,0.95,0.05,0.019,0.046
badges2,C5.0,0.1,0.5,0.98,0.95,0.05,0.019,0.046
badges2,C5.0,0.1,0.6,0.973,0.933,0.067,0.02,0.048
badges2,C5.0,0.1,0.7,0.966,0.917,0.083,0.021,0.051
badges2,C5.0,0.1,0.75,0.966,0.917,0.083,0.021,0.051
badges2,C5.0,0.1,0.8,0.966,0.917,0.083,0.021,0.051
badges2,C5.0,0.1,0.9,0.966,0.917,0.083,0.021,0.051
badges2,C5.0,0.1,1,0.962,0.908,0.092,0.028,0.07
badges2,C5.0,0.2,0.1,0.997,0.991,0.009,0.008,0.02
badges2,C5.0,0.2,0.2,0.993,0.983,0.017,0.009,0.023
badges2,C5.0,0.2,0.25,0.986,0.966,0.034,0.008,0.019
badges2,C5.0,0.2,0.3,0.976,0.941,0.059,0.015,0.038
badges2,C5.0,0.2,0.4,0.976,0.941,0.059,0.015,0.038
badges2,C5.0,0.2,0.5,0.963,0.907,0.093,0.014,0.033
badges2,C5.0,0.2,0.6,0.952,0.882,0.118,0.008,0.014
badges2,C5.0,0.2,0.7,0.946,0.866,0.134,0.019,0.041
badges2,C5.0,0.2,0.75,0.935,0.84,0.16,0.022,0.05
badges2,C5.0,0.2,0.8,0.932,0.831,0.169,0.024,0.055
badges2,C5.0,0.2,0.9,0.918,0.799,0.201,0.028,0.064
badges2,C5.0,0.2,1,0.912,0.782,0.218,0.033,0.078
badges2,C5.0,0.3,0.1,0.993,0.983,0.017,0.009,0.023
badges2,C5.0,0.3,0.2,0.966,0.917,0.083,0.012,0.03
badges2,C5.0,0.3,0.25,0.963,0.909,0.091,0.014,0.034
badges2,C5.0,0.3,0.3,0.959,0.901,0.099,0.015,0.036
badges2,C5.0,0.3,0.4,0.952,0.884,0.116,0.022,0.054
badges2,C5.0,0.3,0.5,0.929,0.826,0.174,0.037,0.091
badges2,C5.0,0.3,0.6,0.918,0.802,0.198,0.025,0.062
badges2,C5.0,0.3,0.7,0.915,0.795,0.205,0.027,0.063
badges2,C5.0,0.3,0.75,0.905,0.771,0.229,0.035,0.083
badges2,C5.0,0.3,0.8,0.905,0.771,0.229,0.035,0.083
badges2,C5.0,0.3,0.9,0.891,0.738,0.262,0.052,0.124
badges2,C5.0,0.3,1,0.878,0.704,0.296,0.053,0.125
badges2,JRip,0.1,0.1,1,1,0,0,0
badges2,JRip,0.1,0.2,0.997,0.992,0.008,0.008,0.019
badges2,JRip,0.1,0.25,0.993,0.983,0.017,0.015,0.039
badges2,JRip,0.1,0.3,0.993,0.983,0.017,0.015,0.039
badges2,JRip,0.1,0.4,0.99,0.975,0.025,0.023,0.057
badges2,JRip,0.1,0.5,0.983,0.958,0.042,0.021,0.052
badges2,JRip,0.1,0.6,0.979,0.95,0.05,0.019,0.046
badges2,JRip,0.1,0.7,0.973,0.933,0.067,0.026,0.063
badges2,JRip,0.1,0.75,0.973,0.933,0.067,0.026,0.063
badges2,JRip,0.1,0.8,0.973,0.933,0.067,0.026,0.063
badges2,JRip,0.1,0.9,0.962,0.908,0.092,0.028,0.07
badges2,JRip,0.1,1,0.962,0.908,0.092,0.028,0.07
badges2,JRip,0.2,0.1,0.986,0.967,0.033,0.014,0.035
badges2,JRip,0.2,0.2,0.986,0.967,0.033,0.014,0.035
badges2,JRip,0.2,0.25,0.986,0.967,0.033,0.014,0.035
badges2,JRip,0.2,0.3,0.983,0.958,0.042,0.012,0.029
badges2,JRip,0.2,0.4,0.973,0.934,0.066,0.019,0.047
badges2,JRip,0.2,0.5,0.963,0.908,0.092,0.018,0.045
badges2,JRip,0.2,0.6,0.952,0.884,0.116,0.022,0.053
badges2,JRip,0.2,0.7,0.946,0.866,0.134,0.022,0.054
badges2,JRip,0.2,0.75,0.939,0.849,0.151,0.028,0.07
badges2,JRip,0.2,0.8,0.929,0.824,0.176,0.04,0.101
badges2,JRip,0.2,0.9,0.922,0.808,0.192,0.039,0.099
badges2,JRip,0.2,1,0.912,0.784,0.216,0.033,0.082
badges2,JRip,0.3,0.1,0.983,0.958,0.042,0,0.001
badges2,JRip,0.3,0.2,0.966,0.917,0.083,0.012,0.028
badges2,JRip,0.3,0.25,0.956,0.893,0.107,0.009,0.021
badges2,JRip,0.3,0.3,0.952,0.885,0.115,0.014,0.032
badges2,JRip,0.3,0.4,0.939,0.853,0.147,0.019,0.045
badges2,JRip,0.3,0.5,0.929,0.827,0.173,0.014,0.032
badges2,JRip,0.3,0.6,0.918,0.802,0.198,0.022,0.052
badges2,JRip,0.3,0.7,0.901,0.762,0.238,0.039,0.092
badges2,JRip,0.3,0.75,0.898,0.752,0.248,0.043,0.106
badges2,JRip,0.3,0.8,0.891,0.736,0.264,0.052,0.126
badges2,JRip,0.3,0.9,0.881,0.71,0.29,0.048,0.115
badges2,JRip,0.3,1,0.878,0.704,0.296,0.053,0.125
badges2,PART,0.1,0.1,0.997,0.992,0.008,0.008,0.019
badges2,PART,0.1,0.2,0.993,0.983,0.017,0.009,0.023
badges2,PART,0.1,0.25,0.993,0.983,0.017,0.009,0.023
badges2,PART,0.1,0.3,0.986,0.966,0.034,0.008,0.019
badges2,PART,0.1,0.4,0.983,0.958,0.042,0.012,0.031
badges2,PART,0.1,0.5,0.979,0.948,0.052,0.019,0.048
badges2,PART,0.1,0.6,0.976,0.94,0.06,0.016,0.04
badges2,PART,0.1,0.7,0.973,0.932,0.068,0.016,0.04
badges2,PART,0.1,0.75,0.973,0.932,0.068,0.016,0.04
badges2,PART,0.1,0.8,0.969,0.924,0.076,0.014,0.037
badges2,PART,0.1,0.9,0.962,0.908,0.092,0.028,0.07
