dataset,fold,method,noise_levels,instance_level,accuracy,kappa
credit-g,Fold_1,bayesglm,0.1,0.1,1,1
credit-g,Fold_1,bayesglm,0.1,0.2,1,1
credit-g,Fold_1,bayesglm,0.1,0.25,1,1
credit-g,Fold_1,bayesglm,0.1,0.3,1,1
credit-g,Fold_1,bayesglm,0.1,0.4,1,1
credit-g,Fold_1,bayesglm,0.1,0.5,0.995,0.985311398354877
credit-g,Fold_1,bayesglm,0.1,0.6,0.995,0.985311398354877
credit-g,Fold_1,bayesglm,0.1,0.7,0.995,0.985311398354877
credit-g,Fold_1,bayesglm,0.1,0.75,0.995,0.985311398354877
credit-g,Fold_1,bayesglm,0.1,0.8,0.995,0.985311398354877
credit-g,Fold_1,bayesglm,0.1,0.9,0.995,0.985311398354877
credit-g,Fold_1,bayesglm,0.1,1,0.99,0.970862470862471
credit-g,Fold_1,bayesglm,0.2,0.1,0.995,0.986195472114854
credit-g,Fold_1,bayesglm,0.2,0.2,0.995,0.986195472114854
credit-g,Fold_1,bayesglm,0.2,0.25,0.99,0.972187456542901
credit-g,Fold_1,bayesglm,0.2,0.3,0.99,0.972187456542901
credit-g,Fold_1,bayesglm,0.2,0.4,0.99,0.972187456542901
credit-g,Fold_1,bayesglm,0.2,0.5,0.99,0.972187456542901
credit-g,Fold_1,bayesglm,0.2,0.6,0.99,0.972187456542901
credit-g,Fold_1,bayesglm,0.2,0.7,0.98,0.943542695836274
credit-g,Fold_1,bayesglm,0.2,0.75,0.98,0.943542695836274
credit-g,Fold_1,bayesglm,0.2,0.8,0.98,0.943542695836274
credit-g,Fold_1,bayesglm,0.2,0.9,0.98,0.943542695836274
credit-g,Fold_1,bayesglm,0.2,1,0.98,0.943542695836274
credit-g,Fold_1,bayesglm,0.3,0.1,0.995,0.986195472114854
credit-g,Fold_1,bayesglm,0.3,0.2,0.99,0.972191323692992
credit-g,Fold_1,bayesglm,0.3,0.25,0.99,0.972191323692992
credit-g,Fold_1,bayesglm,0.3,0.3,0.985,0.958586416344561
credit-g,Fold_1,bayesglm,0.3,0.4,0.975,0.931954273271638
credit-g,Fold_1,bayesglm,0.3,0.5,0.97,0.917763157894737
credit-g,Fold_1,bayesglm,0.3,0.6,0.97,0.917763157894737
credit-g,Fold_1,bayesglm,0.3,0.7,0.965,0.903368304803976
credit-g,Fold_1,bayesglm,0.3,0.75,0.96,0.890350877192982
credit-g,Fold_1,bayesglm,0.3,0.8,0.96,0.890350877192982
credit-g,Fold_1,bayesglm,0.3,0.9,0.955,0.875759249033683
credit-g,Fold_1,bayesglm,0.3,1,0.94,0.830699774266366
credit-g,Fold_2,bayesglm,0.1,0.1,1,1
credit-g,Fold_2,bayesglm,0.1,0.2,0.995,0.986924686192469
credit-g,Fold_2,bayesglm,0.1,0.25,0.995,0.986924686192469
credit-g,Fold_2,bayesglm,0.1,0.3,0.995,0.986924686192469
credit-g,Fold_2,bayesglm,0.1,0.4,0.995,0.986924686192469
credit-g,Fold_2,bayesglm,0.1,0.5,0.995,0.986924686192469
credit-g,Fold_2,bayesglm,0.1,0.6,0.985,0.960774058577406
credit-g,Fold_2,bayesglm,0.1,0.7,0.985,0.960774058577406
credit-g,Fold_2,bayesglm,0.1,0.75,0.985,0.960774058577406
credit-g,Fold_2,bayesglm,0.1,0.8,0.98,0.947368421052632
credit-g,Fold_2,bayesglm,0.1,0.9,0.98,0.947368421052632
credit-g,Fold_2,bayesglm,0.1,1,0.98,0.947368421052632
credit-g,Fold_2,bayesglm,0.2,0.1,1,1
credit-g,Fold_2,bayesglm,0.2,0.2,1,1
credit-g,Fold_2,bayesglm,0.2,0.25,1,1
credit-g,Fold_2,bayesglm,0.2,0.3,1,1
credit-g,Fold_2,bayesglm,0.2,0.4,0.99,0.971767363071711
credit-g,Fold_2,bayesglm,0.2,0.5,0.985,0.957325746799431
credit-g,Fold_2,bayesglm,0.2,0.6,0.985,0.957325746799431
credit-g,Fold_2,bayesglm,0.2,0.7,0.985,0.957325746799431
credit-g,Fold_2,bayesglm,0.2,0.75,0.985,0.957325746799431
credit-g,Fold_2,bayesglm,0.2,0.8,0.98,0.943534726143422
credit-g,Fold_2,bayesglm,0.2,0.9,0.98,0.943534726143422
credit-g,Fold_2,bayesglm,0.2,1,0.98,0.943534726143422
credit-g,Fold_2,bayesglm,0.3,0.1,1,1
credit-g,Fold_2,bayesglm,0.3,0.2,0.995,0.986390854654328
credit-g,Fold_2,bayesglm,0.3,0.25,0.995,0.986390854654328
credit-g,Fold_2,bayesglm,0.3,0.3,0.99,0.97259147594902
credit-g,Fold_2,bayesglm,0.3,0.4,0.98,0.94518295189804
credit-g,Fold_2,bayesglm,0.3,0.5,0.97,0.916608756080611
credit-g,Fold_2,bayesglm,0.3,0.6,0.965,0.902015677491601
credit-g,Fold_2,bayesglm,0.3,0.7,0.965,0.902015677491601
credit-g,Fold_2,bayesglm,0.3,0.75,0.965,0.902015677491601
credit-g,Fold_2,bayesglm,0.3,0.8,0.96,0.888811674774149
credit-g,Fold_2,bayesglm,0.3,0.9,0.95,0.861014593467686
