dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
credit-g,C5.0,0.1,0.1,0.999,0.997,0.003,0.002,0.007
credit-g,C5.0,0.1,0.2,0.999,0.997,0.003,0.002,0.007
credit-g,C5.0,0.1,0.25,0.999,0.997,0.003,0.002,0.007
credit-g,C5.0,0.1,0.3,0.999,0.997,0.003,0.002,0.007
credit-g,C5.0,0.1,0.4,0.996,0.988,0.012,0.004,0.012
credit-g,C5.0,0.1,0.5,0.994,0.983,0.017,0.007,0.018
credit-g,C5.0,0.1,0.6,0.993,0.981,0.019,0.006,0.015
credit-g,C5.0,0.1,0.7,0.992,0.978,0.022,0.006,0.016
credit-g,C5.0,0.1,0.75,0.992,0.978,0.022,0.006,0.016
credit-g,C5.0,0.1,0.8,0.99,0.972,0.028,0.004,0.01
credit-g,C5.0,0.1,0.9,0.99,0.972,0.028,0.004,0.01
credit-g,C5.0,0.1,1,0.988,0.967,0.033,0.006,0.014
credit-g,C5.0,0.2,0.1,1,1,0,0,0
credit-g,C5.0,0.2,0.2,0.999,0.997,0.003,0.002,0.007
credit-g,C5.0,0.2,0.25,0.997,0.991,0.009,0.003,0.008
credit-g,C5.0,0.2,0.3,0.995,0.985,0.015,0.004,0.011
credit-g,C5.0,0.2,0.4,0.992,0.977,0.023,0.007,0.019
credit-g,C5.0,0.2,0.5,0.987,0.962,0.038,0.003,0.007
credit-g,C5.0,0.2,0.6,0.982,0.946,0.054,0.004,0.018
credit-g,C5.0,0.2,0.7,0.978,0.934,0.066,0.008,0.029
credit-g,C5.0,0.2,0.75,0.975,0.926,0.074,0.006,0.024
credit-g,C5.0,0.2,0.8,0.973,0.919,0.081,0.008,0.03
credit-g,C5.0,0.2,0.9,0.967,0.902,0.098,0.008,0.029
credit-g,C5.0,0.2,1,0.963,0.89,0.11,0.007,0.025
credit-g,C5.0,0.3,0.1,0.994,0.982,0.018,0.007,0.02
credit-g,C5.0,0.3,0.2,0.987,0.962,0.038,0.008,0.025
credit-g,C5.0,0.3,0.25,0.986,0.958,0.042,0.007,0.017
credit-g,C5.0,0.3,0.3,0.985,0.955,0.045,0.006,0.015
credit-g,C5.0,0.3,0.4,0.981,0.941,0.059,0.005,0.016
credit-g,C5.0,0.3,0.5,0.977,0.928,0.072,0.006,0.014
credit-g,C5.0,0.3,0.6,0.974,0.919,0.081,0.007,0.017
credit-g,C5.0,0.3,0.7,0.972,0.911,0.089,0.006,0.017
credit-g,C5.0,0.3,0.75,0.97,0.905,0.095,0.006,0.018
credit-g,C5.0,0.3,0.8,0.969,0.902,0.098,0.007,0.017
credit-g,C5.0,0.3,0.9,0.965,0.889,0.111,0.006,0.015
credit-g,C5.0,0.3,1,0.962,0.878,0.122,0.008,0.02
credit-g,JRip,0.1,0.1,0.998,0.993,0.007,0.003,0.01
credit-g,JRip,0.1,0.2,0.997,0.99,0.01,0.003,0.009
credit-g,JRip,0.1,0.25,0.997,0.99,0.01,0.003,0.009
credit-g,JRip,0.1,0.3,0.995,0.984,0.016,0.004,0.01
credit-g,JRip,0.1,0.4,0.991,0.97,0.03,0.007,0.017
credit-g,JRip,0.1,0.5,0.99,0.964,0.036,0.006,0.019
credit-g,JRip,0.1,0.6,0.989,0.961,0.039,0.007,0.02
credit-g,JRip,0.1,0.7,0.989,0.961,0.039,0.007,0.02
credit-g,JRip,0.1,0.75,0.988,0.958,0.042,0.008,0.023
credit-g,JRip,0.1,0.8,0.986,0.951,0.049,0.008,0.023
credit-g,JRip,0.1,0.9,0.985,0.948,0.052,0.01,0.027
credit-g,JRip,0.1,1,0.983,0.942,0.058,0.013,0.035
credit-g,JRip,0.2,0.1,0.997,0.992,0.008,0.004,0.011
credit-g,JRip,0.2,0.2,0.99,0.971,0.029,0.004,0.009
credit-g,JRip,0.2,0.25,0.988,0.966,0.034,0.008,0.017
credit-g,JRip,0.2,0.3,0.986,0.96,0.04,0.007,0.018
credit-g,JRip,0.2,0.4,0.981,0.945,0.055,0.007,0.02
credit-g,JRip,0.2,0.5,0.977,0.933,0.067,0.006,0.019
credit-g,JRip,0.2,0.6,0.972,0.919,0.081,0.008,0.025
credit-g,JRip,0.2,0.7,0.972,0.919,0.081,0.008,0.025
credit-g,JRip,0.2,0.75,0.972,0.919,0.081,0.008,0.025
credit-g,JRip,0.2,0.8,0.968,0.908,0.092,0.008,0.022
credit-g,JRip,0.2,0.9,0.961,0.888,0.112,0.01,0.02
credit-g,JRip,0.2,1,0.953,0.863,0.137,0.008,0.016
credit-g,JRip,0.3,0.1,0.997,0.991,0.009,0.003,0.008
credit-g,JRip,0.3,0.2,0.993,0.977,0.023,0.006,0.015
credit-g,JRip,0.3,0.25,0.991,0.972,0.028,0.007,0.018
credit-g,JRip,0.3,0.3,0.987,0.961,0.039,0.014,0.031
credit-g,JRip,0.3,0.4,0.984,0.951,0.049,0.014,0.031
credit-g,JRip,0.3,0.5,0.978,0.928,0.072,0.014,0.044
credit-g,JRip,0.3,0.6,0.974,0.915,0.085,0.012,0.044
credit-g,JRip,0.3,0.7,0.969,0.898,0.102,0.011,0.054
credit-g,JRip,0.3,0.75,0.968,0.895,0.105,0.012,0.054
credit-g,JRip,0.3,0.8,0.966,0.888,0.112,0.014,0.062
credit-g,JRip,0.3,0.9,0.963,0.878,0.122,0.015,0.074
credit-g,JRip,0.3,1,0.96,0.87,0.13,0.019,0.082
credit-g,PART,0.1,0.1,0.997,0.992,0.008,0.003,0.007
credit-g,PART,0.1,0.2,0.994,0.985,0.015,0.002,0.006
credit-g,PART,0.1,0.25,0.993,0.982,0.018,0.003,0.008
credit-g,PART,0.1,0.3,0.993,0.982,0.018,0.003,0.008
credit-g,PART,0.1,0.4,0.992,0.98,0.02,0.003,0.007
credit-g,PART,0.1,0.5,0.991,0.977,0.023,0.004,0.01
credit-g,PART,0.1,0.6,0.988,0.97,0.03,0.004,0.011
credit-g,PART,0.1,0.7,0.988,0.97,0.03,0.004,0.011
credit-g,PART,0.1,0.75,0.987,0.968,0.032,0.003,0.006
credit-g,PART,0.1,0.8,0.986,0.965,0.035,0.002,0.005
credit-g,PART,0.1,0.9,0.984,0.96,0.04,0.004,0.01
credit-g,PART,0.1,1,0.982,0.955,0.045,0.006,0.013
credit-g,PART,0.2,0.1,1,1,0,0,0
credit-g,PART,0.2,0.2,0.998,0.995,0.005,0.004,0.011
credit-g,PART,0.2,0.25,0.997,0.992,0.008,0.004,0.011
credit-g,PART,0.2,0.3,0.995,0.987,0.013,0.007,0.018
credit-g,PART,0.2,0.4,0.989,0.973,0.027,0.004,0.011
credit-g,PART,0.2,0.5,0.986,0.966,0.034,0.007,0.016
credit-g,PART,0.2,0.6,0.981,0.953,0.047,0.011,0.027
credit-g,PART,0.2,0.7,0.98,0.951,0.049,0.012,0.029
credit-g,PART,0.2,0.75,0.979,0.948,0.052,0.011,0.026
credit-g,PART,0.2,0.8,0.979,0.948,0.052,0.011,0.026
credit-g,PART,0.2,0.9,0.974,0.936,0.064,0.013,0.032
credit-g,PART,0.2,1,0.97,0.926,0.074,0.01,0.026
credit-g,PART,0.3,0.1,0.993,0.983,0.017,0.006,0.014
credit-g,PART,0.3,0.2,0.991,0.977,0.023,0.004,0.011
credit-g,PART,0.3,0.25,0.989,0.972,0.028,0.005,0.014
credit-g,PART,0.3,0.3,0.989,0.972,0.028,0.005,0.014
credit-g,PART,0.3,0.4,0.986,0.965,0.035,0.007,0.017
credit-g,PART,0.3,0.5,0.98,0.95,0.05,0.009,0.024
credit-g,PART,0.3,0.6,0.974,0.935,0.065,0.01,0.024
credit-g,PART,0.3,0.7,0.969,0.923,0.077,0.01,0.025
credit-g,PART,0.3,0.75,0.966,0.915,0.085,0.01,0.023
credit-g,PART,0.3,0.8,0.964,0.91,0.09,0.01,0.024
credit-g,PART,0.3,0.9,0.96,0.9,0.1,0.009,0.024
credit-g,PART,0.3,1,0.956,0.89,0.11,0.013,0.032
credit-g,bayesglm,0.1,0.1,0.999,0.997,0.003,0.002,0.006
credit-g,bayesglm,0.1,0.2,0.997,0.992,0.008,0.003,0.007
credit-g,bayesglm,0.1,0.25,0.997,0.992,0.008,0.003,0.007
credit-g,bayesglm,0.1,0.3,0.997,0.992,0.008,0.003,0.007
credit-g,bayesglm,0.1,0.4,0.997,0.992,0.008,0.003,0.007
credit-g,bayesglm,0.1,0.5,0.996,0.989,0.011,0.002,0.006
credit-g,bayesglm,0.1,0.6,0.994,0.984,0.016,0.005,0.014
credit-g,bayesglm,0.1,0.7,0.993,0.981,0.019,0.004,0.011
credit-g,bayesglm,0.1,0.75,0.993,0.981,0.019,0.004,0.011
credit-g,bayesglm,0.1,0.8,0.991,0.976,0.024,0.007,0.016
credit-g,bayesglm,0.1,0.9,0.99,0.973,0.027,0.007,0.018
credit-g,bayesglm,0.1,1,0.986,0.962,0.038,0.011,0.027
credit-g,bayesglm,0.2,0.1,0.997,0.991,0.009,0.004,0.013
credit-g,bayesglm,0.2,0.2,0.995,0.986,0.014,0.004,0.011
credit-g,bayesglm,0.2,0.25,0.994,0.983,0.017,0.004,0.012
credit-g,bayesglm,0.2,0.3,0.993,0.98,0.02,0.004,0.013
credit-g,bayesglm,0.2,0.4,0.987,0.963,0.037,0.007,0.02
credit-g,bayesglm,0.2,0.5,0.985,0.957,0.043,0.008,0.024
credit-g,bayesglm,0.2,0.6,0.984,0.954,0.046,0.01,0.03
credit-g,bayesglm,0.2,0.7,0.98,0.943,0.057,0.009,0.03
credit-g,bayesglm,0.2,0.75,0.979,0.94,0.06,0.011,0.037
credit-g,bayesglm,0.2,0.8,0.976,0.931,0.069,0.011,0.037
credit-g,bayesglm,0.2,0.9,0.974,0.925,0.075,0.014,0.044
credit-g,bayesglm,0.2,1,0.973,0.923,0.077,0.013,0.041
credit-g,bayesglm,0.3,0.1,0.996,0.989,0.011,0.004,0.011
credit-g,bayesglm,0.3,0.2,0.992,0.978,0.022,0.006,0.016
credit-g,bayesglm,0.3,0.25,0.991,0.975,0.025,0.004,0.012
credit-g,bayesglm,0.3,0.3,0.989,0.97,0.03,0.004,0.012
credit-g,bayesglm,0.3,0.4,0.984,0.956,0.044,0.007,0.02
credit-g,bayesglm,0.3,0.5,0.977,0.936,0.064,0.01,0.028
credit-g,bayesglm,0.3,0.6,0.975,0.931,0.069,0.009,0.026
credit-g,bayesglm,0.3,0.7,0.974,0.928,0.072,0.01,0.028
credit-g,bayesglm,0.3,0.75,0.971,0.92,0.08,0.01,0.026
credit-g,bayesglm,0.3,0.8,0.967,0.908,0.092,0.008,0.022
credit-g,bayesglm,0.3,0.9,0.964,0.9,0.1,0.012,0.032
credit-g,bayesglm,0.3,1,0.961,0.891,0.109,0.016,0.045
credit-g,ctree,0.1,0.1,0.996,0.99,0.01,0.005,0.014
credit-g,ctree,0.1,0.2,0.993,0.982,0.018,0.01,0.026
credit-g,ctree,0.1,0.25,0.991,0.977,0.023,0.012,0.032
credit-g,ctree,0.1,0.3,0.991,0.977,0.023,0.012,0.032
credit-g,ctree,0.1,0.4,0.99,0.974,0.026,0.014,0.036
credit-g,ctree,0.1,0.5,0.987,0.967,0.033,0.014,0.035
credit-g,ctree,0.1,0.6,0.985,0.962,0.038,0.015,0.037
credit-g,ctree,0.1,0.7,0.981,0.951,0.049,0.016,0.042
credit-g,ctree,0.1,0.75,0.98,0.949,0.051,0.015,0.04
credit-g,ctree,0.1,0.8,0.98,0.949,0.051,0.015,0.04
credit-g,ctree,0.1,0.9,0.977,0.941,0.059,0.016,0.044
credit-g,ctree,0.1,1,0.976,0.938,0.062,0.017,0.046
credit-g,ctree,0.2,0.1,0.999,0.997,0.003,0.002,0.006
credit-g,ctree,0.2,0.2,0.996,0.986,0.014,0.004,0.013
credit-g,ctree,0.2,0.25,0.996,0.986,0.014,0.004,0.013
credit-g,ctree,0.2,0.3,0.994,0.981,0.019,0.008,0.021
credit-g,ctree,0.2,0.4,0.993,0.977,0.023,0.008,0.024
credit-g,ctree,0.2,0.5,0.991,0.972,0.028,0.012,0.033
credit-g,ctree,0.2,0.6,0.991,0.972,0.028,0.012,0.033
credit-g,ctree,0.2,0.7,0.988,0.958,0.042,0.012,0.031
credit-g,ctree,0.2,0.75,0.988,0.958,0.042,0.012,0.031
credit-g,ctree,0.2,0.8,0.988,0.958,0.042,0.012,0.031
credit-g,ctree,0.2,0.9,0.982,0.933,0.067,0.016,0.059
credit-g,ctree,0.2,1,0.981,0.929,0.071,0.016,0.059
credit-g,ctree,0.3,0.1,0.997,0.993,0.007,0.004,0.01
credit-g,ctree,0.3,0.2,0.997,0.993,0.007,0.004,0.01
credit-g,ctree,0.3,0.25,0.994,0.985,0.015,0.008,0.018
credit-g,ctree,0.3,0.3,0.992,0.979,0.021,0.008,0.02
credit-g,ctree,0.3,0.4,0.991,0.977,0.023,0.01,0.023
credit-g,ctree,0.3,0.5,0.989,0.973,0.027,0.012,0.028
credit-g,ctree,0.3,0.6,0.985,0.961,0.039,0.012,0.032
credit-g,ctree,0.3,0.7,0.976,0.939,0.061,0.016,0.039
credit-g,ctree,0.3,0.75,0.975,0.937,0.063,0.018,0.041
credit-g,ctree,0.3,0.8,0.973,0.932,0.068,0.018,0.041
credit-g,ctree,0.3,0.9,0.97,0.925,0.075,0.022,0.047
credit-g,ctree,0.3,1,0.969,0.922,0.078,0.022,0.048
credit-g,fda,0.1,0.1,0.996,0.988,0.012,0.004,0.012
credit-g,fda,0.1,0.2,0.995,0.985,0.015,0.006,0.018
credit-g,fda,0.1,0.25,0.995,0.985,0.015,0.006,0.018
credit-g,fda,0.1,0.3,0.995,0.985,0.015,0.006,0.018
credit-g,fda,0.1,0.4,0.994,0.982,0.018,0.005,0.016
credit-g,fda,0.1,0.5,0.992,0.977,0.023,0.004,0.013
credit-g,fda,0.1,0.6,0.99,0.971,0.029,0.005,0.014
credit-g,fda,0.1,0.7,0.989,0.968,0.032,0.007,0.019
credit-g,fda,0.1,0.75,0.988,0.965,0.035,0.006,0.016
credit-g,fda,0.1,0.8,0.987,0.962,0.038,0.007,0.019
credit-g,fda,0.1,0.9,0.984,0.954,0.046,0.008,0.023
credit-g,fda,0.1,1,0.984,0.954,0.046,0.008,0.023
credit-g,fda,0.2,0.1,0.997,0.992,0.008,0.004,0.012
credit-g,fda,0.2,0.2,0.991,0.974,0.026,0.007,0.02
credit-g,fda,0.2,0.25,0.987,0.963,0.037,0.008,0.025
credit-g,fda,0.2,0.3,0.984,0.954,0.046,0.01,0.029
credit-g,fda,0.2,0.4,0.979,0.94,0.06,0.009,0.031
credit-g,fda,0.2,0.5,0.975,0.929,0.071,0.01,0.034
credit-g,fda,0.2,0.6,0.972,0.92,0.08,0.008,0.027
credit-g,fda,0.2,0.7,0.969,0.912,0.088,0.005,0.022
credit-g,fda,0.2,0.75,0.968,0.909,0.091,0.007,0.025
credit-g,fda,0.2,0.8,0.966,0.904,0.096,0.007,0.022
credit-g,fda,0.2,0.9,0.962,0.893,0.107,0.008,0.027
credit-g,fda,0.2,1,0.959,0.884,0.116,0.01,0.033
credit-g,fda,0.3,0.1,0.996,0.989,0.011,0.004,0.012
credit-g,fda,0.3,0.2,0.992,0.977,0.023,0.003,0.006
