"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"mfeat-pixel","Fold_1","multinom",0.1,0.1,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.2,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.25,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.3,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.4,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.5,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.6,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.7,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.75,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.8,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.9,1,1
"mfeat-pixel","Fold_1","multinom",0.1,1,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.1,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.2,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.25,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.3,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.4,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.5,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.6,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.7,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.75,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.8,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.9,0.995,0.994440429198866
"mfeat-pixel","Fold_1","multinom",0.2,1,0.995,0.994440429198866
"mfeat-pixel","Fold_1","multinom",0.3,0.1,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.2,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.25,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.3,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.4,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.5,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.6,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.7,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.75,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.8,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.9,1,1
"mfeat-pixel","Fold_1","multinom",0.3,1,1,1
"mfeat-pixel","Fold_2","multinom",0.1,0.1,1,1
"mfeat-pixel","Fold_2","multinom",0.1,0.2,1,1
"mfeat-pixel","Fold_2","multinom",0.1,0.25,1,1
"mfeat-pixel","Fold_2","multinom",0.1,0.3,1,1
"mfeat-pixel","Fold_2","multinom",0.1,0.4,1,1
"mfeat-pixel","Fold_2","multinom",0.1,0.5,1,1
"mfeat-pixel","Fold_2","multinom",0.1,0.6,1,1
"mfeat-pixel","Fold_2","multinom",0.1,0.7,1,1
"mfeat-pixel","Fold_2","multinom",0.1,0.75,1,1
"mfeat-pixel","Fold_2","multinom",0.1,0.8,1,1
"mfeat-pixel","Fold_2","multinom",0.1,0.9,1,1
"mfeat-pixel","Fold_2","multinom",0.1,1,1,1
"mfeat-pixel","Fold_2","multinom",0.2,0.1,1,1
"mfeat-pixel","Fold_2","multinom",0.2,0.2,1,1
"mfeat-pixel","Fold_2","multinom",0.2,0.25,1,1
"mfeat-pixel","Fold_2","multinom",0.2,0.3,1,1
"mfeat-pixel","Fold_2","multinom",0.2,0.4,1,1
"mfeat-pixel","Fold_2","multinom",0.2,0.5,1,1
"mfeat-pixel","Fold_2","multinom",0.2,0.6,1,1
"mfeat-pixel","Fold_2","multinom",0.2,0.7,0.9975,0.997219035700629
"mfeat-pixel","Fold_2","multinom",0.2,0.75,0.9975,0.997219035700629
"mfeat-pixel","Fold_2","multinom",0.2,0.8,0.9975,0.997219035700629
"mfeat-pixel","Fold_2","multinom",0.2,0.9,0.9975,0.997219035700629
"mfeat-pixel","Fold_2","multinom",0.2,1,0.995,0.994438110069802
"mfeat-pixel","Fold_2","multinom",0.3,0.1,1,1
"mfeat-pixel","Fold_2","multinom",0.3,0.2,1,1
"mfeat-pixel","Fold_2","multinom",0.3,0.25,1,1
"mfeat-pixel","Fold_2","multinom",0.3,0.3,1,1
"mfeat-pixel","Fold_2","multinom",0.3,0.4,1,1
"mfeat-pixel","Fold_2","multinom",0.3,0.5,1,1
"mfeat-pixel","Fold_2","multinom",0.3,0.6,1,1
"mfeat-pixel","Fold_2","multinom",0.3,0.7,1,1
"mfeat-pixel","Fold_2","multinom",0.3,0.75,1,1
"mfeat-pixel","Fold_2","multinom",0.3,0.8,1,1
"mfeat-pixel","Fold_2","multinom",0.3,0.9,1,1
"mfeat-pixel","Fold_2","multinom",0.3,1,0.9975,0.997219113036103
"mfeat-pixel","Fold_3","multinom",0.1,0.1,1,1
"mfeat-pixel","Fold_3","multinom",0.1,0.2,1,1
"mfeat-pixel","Fold_3","multinom",0.1,0.25,1,1
"mfeat-pixel","Fold_3","multinom",0.1,0.3,1,1
"mfeat-pixel","Fold_3","multinom",0.1,0.4,1,1
"mfeat-pixel","Fold_3","multinom",0.1,0.5,1,1
"mfeat-pixel","Fold_3","multinom",0.1,0.6,1,1
"mfeat-pixel","Fold_3","multinom",0.1,0.7,1,1
"mfeat-pixel","Fold_3","multinom",0.1,0.75,1,1
"mfeat-pixel","Fold_3","multinom",0.1,0.8,1,1
"mfeat-pixel","Fold_3","multinom",0.1,0.9,1,1
"mfeat-pixel","Fold_3","multinom",0.1,1,1,1
"mfeat-pixel","Fold_3","multinom",0.2,0.1,1,1
"mfeat-pixel","Fold_3","multinom",0.2,0.2,0.9975,0.997217062191703
"mfeat-pixel","Fold_3","multinom",0.2,0.25,0.995,0.994434550311665
"mfeat-pixel","Fold_3","multinom",0.2,0.3,0.995,0.994434550311665
"mfeat-pixel","Fold_3","multinom",0.2,0.4,0.995,0.994434550311665
"mfeat-pixel","Fold_3","multinom",0.2,0.5,0.9925,0.991651476992862
"mfeat-pixel","Fold_3","multinom",0.2,0.6,0.9925,0.991651476992862
"mfeat-pixel","Fold_3","multinom",0.2,0.7,0.9925,0.991651476992862
"mfeat-pixel","Fold_3","multinom",0.2,0.75,0.9925,0.991651476992862
"mfeat-pixel","Fold_3","multinom",0.2,0.8,0.9925,0.991651476992862
"mfeat-pixel","Fold_3","multinom",0.2,0.9,0.9925,0.991651476992862
"mfeat-pixel","Fold_3","multinom",0.2,1,0.9925,0.991651476992862
"mfeat-pixel","Fold_3","multinom",0.3,0.1,0.9975,0.9972167523675
"mfeat-pixel","Fold_3","multinom",0.3,0.2,0.995,0.994433930758099
"mfeat-pixel","Fold_3","multinom",0.3,0.25,0.9925,0.991651418910928
"mfeat-pixel","Fold_3","multinom",0.3,0.3,0.9925,0.991651418910928
