"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","JRip",0.1,0.1,0.994152046783626,0.992175703500343
"vehicle","Fold_1","JRip",0.1,0.2,0.994152046783626,0.992175703500343
"vehicle","Fold_1","JRip",0.1,0.25,0.994152046783626,0.992175703500343
"vehicle","Fold_1","JRip",0.1,0.3,0.988304093567251,0.984344960175776
"vehicle","Fold_1","JRip",0.1,0.4,0.988304093567251,0.984344960175776
"vehicle","Fold_1","JRip",0.1,0.5,0.988304093567251,0.984344960175776
"vehicle","Fold_1","JRip",0.1,0.6,0.988304093567251,0.984344960175776
"vehicle","Fold_1","JRip",0.1,0.7,0.988304093567251,0.984344960175776
"vehicle","Fold_1","JRip",0.1,0.75,0.988304093567251,0.984344960175776
"vehicle","Fold_1","JRip",0.1,0.8,0.988304093567251,0.984344960175776
"vehicle","Fold_1","JRip",0.1,0.9,0.982456140350877,0.976520664561307
"vehicle","Fold_1","JRip",0.1,1,0.982456140350877,0.976520664561307
"vehicle","Fold_1","JRip",0.2,0.1,1,1
"vehicle","Fold_1","JRip",0.2,0.2,1,1
"vehicle","Fold_1","JRip",0.2,0.25,1,1
"vehicle","Fold_1","JRip",0.2,0.3,1,1
"vehicle","Fold_1","JRip",0.2,0.4,1,1
"vehicle","Fold_1","JRip",0.2,0.5,0.994152046783626,0.992171046607453
"vehicle","Fold_1","JRip",0.2,0.6,0.994152046783626,0.992171046607453
"vehicle","Fold_1","JRip",0.2,0.7,0.994152046783626,0.992171046607453
"vehicle","Fold_1","JRip",0.2,0.75,0.988304093567251,0.984345676751957
"vehicle","Fold_1","JRip",0.2,0.8,0.982456140350877,0.976514215080346
"vehicle","Fold_1","JRip",0.2,0.9,0.982456140350877,0.976514215080346
"vehicle","Fold_1","JRip",0.2,1,0.982456140350877,0.976514215080346
"vehicle","Fold_1","JRip",0.3,0.1,1,1
"vehicle","Fold_1","JRip",0.3,0.2,1,1
"vehicle","Fold_1","JRip",0.3,0.25,0.994152046783626,0.992034656232532
"vehicle","Fold_1","JRip",0.3,0.3,0.994152046783626,0.992034656232532
"vehicle","Fold_1","JRip",0.3,0.4,0.988304093567251,0.984061888340013
"vehicle","Fold_1","JRip",0.3,0.5,0.988304093567251,0.984061888340013
"vehicle","Fold_1","JRip",0.3,0.6,0.988304093567251,0.984061888340013
"vehicle","Fold_1","JRip",0.3,0.7,0.988304093567251,0.984061888340013
"vehicle","Fold_1","JRip",0.3,0.75,0.988304093567251,0.984061888340013
"vehicle","Fold_1","JRip",0.3,0.8,0.988304093567251,0.984061888340013
"vehicle","Fold_1","JRip",0.3,0.9,0.988304093567251,0.984061888340013
"vehicle","Fold_1","JRip",0.3,1,0.988304093567251,0.984061888340013
"vehicle","Fold_2","JRip",0.1,0.1,1,1
"vehicle","Fold_2","JRip",0.1,0.2,1,1
"vehicle","Fold_2","JRip",0.1,0.25,1,1
"vehicle","Fold_2","JRip",0.1,0.3,1,1
"vehicle","Fold_2","JRip",0.1,0.4,0.994047619047619,0.992033383915023
"vehicle","Fold_2","JRip",0.1,0.5,0.994047619047619,0.992033383915023
"vehicle","Fold_2","JRip",0.1,0.6,0.994047619047619,0.992033383915023
"vehicle","Fold_2","JRip",0.1,0.7,0.994047619047619,0.992033383915023
"vehicle","Fold_2","JRip",0.1,0.75,0.994047619047619,0.992033383915023
"vehicle","Fold_2","JRip",0.1,0.8,0.994047619047619,0.992033383915023
"vehicle","Fold_2","JRip",0.1,0.9,0.994047619047619,0.992033383915023
"vehicle","Fold_2","JRip",0.1,1,0.994047619047619,0.992033383915023
"vehicle","Fold_2","JRip",0.2,0.1,1,1
"vehicle","Fold_2","JRip",0.2,0.2,1,1
"vehicle","Fold_2","JRip",0.2,0.25,1,1
"vehicle","Fold_2","JRip",0.2,0.3,0.994047619047619,0.992036405005688
"vehicle","Fold_2","JRip",0.2,0.4,0.988095238095238,0.984069789493647
"vehicle","Fold_2","JRip",0.2,0.5,0.988095238095238,0.984069789493647
"vehicle","Fold_2","JRip",0.2,0.6,0.988095238095238,0.984069789493647
"vehicle","Fold_2","JRip",0.2,0.7,0.988095238095238,0.984069789493647
"vehicle","Fold_2","JRip",0.2,0.75,0.988095238095238,0.984069789493647
"vehicle","Fold_2","JRip",0.2,0.8,0.988095238095238,0.984069789493647
"vehicle","Fold_2","JRip",0.2,0.9,0.982142857142857,0.976113744075829
"vehicle","Fold_2","JRip",0.2,1,0.976190476190476,0.9681637293917
"vehicle","Fold_2","JRip",0.3,0.1,1,1
"vehicle","Fold_2","JRip",0.3,0.2,1,1
