"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","PART",0.1,0.1,1,1
"vehicle","Fold_1","PART",0.1,0.2,1,1
"vehicle","Fold_1","PART",0.1,0.25,1,1
"vehicle","Fold_1","PART",0.1,0.3,0.988304093567251,0.983940646130729
"vehicle","Fold_1","PART",0.1,0.4,0.988304093567251,0.983940646130729
"vehicle","Fold_1","PART",0.1,0.5,0.988304093567251,0.983940646130729
"vehicle","Fold_1","PART",0.1,0.6,0.988304093567251,0.983940646130729
"vehicle","Fold_1","PART",0.1,0.7,0.988304093567251,0.983940646130729
"vehicle","Fold_1","PART",0.1,0.75,0.982456140350877,0.975924535385771
"vehicle","Fold_1","PART",0.1,0.8,0.976608187134503,0.967917448405253
"vehicle","Fold_1","PART",0.1,0.9,0.976608187134503,0.967917448405253
"vehicle","Fold_1","PART",0.1,1,0.976608187134503,0.967917448405253
"vehicle","Fold_1","PART",0.2,0.1,0.994152046783626,0.991938525363002
"vehicle","Fold_1","PART",0.2,0.2,0.988304093567251,0.983893755298107
"vehicle","Fold_1","PART",0.2,0.25,0.988304093567251,0.983893755298107
"vehicle","Fold_1","PART",0.2,0.3,0.988304093567251,0.983893755298107
"vehicle","Fold_1","PART",0.2,0.4,0.976608187134503,0.96784354285177
"vehicle","Fold_1","PART",0.2,0.5,0.964912280701754,0.951715374841169
"vehicle","Fold_1","PART",0.2,0.6,0.95906432748538,0.943683839096683
"vehicle","Fold_1","PART",0.2,0.7,0.947368421052632,0.927562835357243
"vehicle","Fold_1","PART",0.2,0.75,0.947368421052632,0.927562835357243
"vehicle","Fold_1","PART",0.2,0.8,0.941520467836257,0.919434628975265
"vehicle","Fold_1","PART",0.2,0.9,0.941520467836257,0.919434628975265
"vehicle","Fold_1","PART",0.2,1,0.941520467836257,0.919434628975265
"vehicle","Fold_1","PART",0.3,0.1,0.988304093567251,0.983905882352941
"vehicle","Fold_1","PART",0.3,0.2,0.982456140350877,0.975883790898834
"vehicle","Fold_1","PART",0.3,0.25,0.982456140350877,0.975883790898834
"vehicle","Fold_1","PART",0.3,0.3,0.976608187134503,0.96782236439761
"vehicle","Fold_1","PART",0.3,0.4,0.947368421052632,0.927515071590053
"vehicle","Fold_1","PART",0.3,0.5,0.935672514619883,0.911315417256011
"vehicle","Fold_1","PART",0.3,0.6,0.912280701754386,0.878889465980452
"vehicle","Fold_1","PART",0.3,0.7,0.900584795321637,0.862786745964316
"vehicle","Fold_1","PART",0.3,0.75,0.888888888888889,0.846644010195412
"vehicle","Fold_1","PART",0.3,0.8,0.883040935672515,0.838732493987834
"vehicle","Fold_1","PART",0.3,0.9,0.883040935672515,0.838732493987834
"vehicle","Fold_1","PART",0.3,1,0.883040935672515,0.838732493987834
"vehicle","Fold_2","PART",0.1,0.1,0.982142857142857,0.976136363636364
"vehicle","Fold_2","PART",0.1,0.2,0.982142857142857,0.976136363636364
"vehicle","Fold_2","PART",0.1,0.25,0.976190476190476,0.968180311567783
"vehicle","Fold_2","PART",0.1,0.3,0.976190476190476,0.968180311567783
"vehicle","Fold_2","PART",0.1,0.4,0.970238095238095,0.960210316896405
"vehicle","Fold_2","PART",0.1,0.5,0.964285714285714,0.952256903329702
"vehicle","Fold_2","PART",0.1,0.6,0.958333333333333,0.944281247038757
"vehicle","Fold_2","PART",0.1,0.7,0.952380952380952,0.9363274587834
"vehicle","Fold_2","PART",0.1,0.75,0.946428571428571,0.928392138290315
"vehicle","Fold_2","PART",0.1,0.8,0.946428571428571,0.928392138290315
"vehicle","Fold_2","PART",0.1,0.9,0.928571428571429,0.904563529634539
"vehicle","Fold_2","PART",0.1,1,0.910714285714286,0.880710059171598
"vehicle","Fold_2","PART",0.2,0.1,0.982142857142857,0.976146528467982
"vehicle","Fold_2","PART",0.2,0.2,0.976190476190476,0.968184830981915
"vehicle","Fold_2","PART",0.2,0.25,0.964285714285714,0.952306600425834
"vehicle","Fold_2","PART",0.2,0.3,0.964285714285714,0.952306600425834
"vehicle","Fold_2","PART",0.2,0.4,0.964285714285714,0.952306600425834
"vehicle","Fold_2","PART",0.2,0.5,0.946428571428571,0.928514018249728
"vehicle","Fold_2","PART",0.2,0.6,0.94047619047619,0.920597409963135
"vehicle","Fold_2","PART",0.2,0.7,0.93452380952381,0.912677786703208
"vehicle","Fold_2","PART",0.2,0.75,0.93452380952381,0.912677786703208
"vehicle","Fold_2","PART",0.2,0.8,0.93452380952381,0.912677786703208
"vehicle","Fold_2","PART",0.2,0.9,0.928571428571429,0.904761904761905
"vehicle","Fold_2","PART",0.2,1,0.928571428571429,0.904761904761905
"vehicle","Fold_2","PART",0.3,0.1,0.982142857142857,0.976164577914401
"vehicle","Fold_2","PART",0.3,0.2,0.976190476190476,0.968217934165721
"vehicle","Fold_2","PART",0.3,0.25,0.958333333333333,0.944399791972011
"vehicle","Fold_2","PART",0.3,0.3,0.958333333333333,0.944399791972011
"vehicle","Fold_2","PART",0.3,0.4,0.958333333333333,0.944399791972011
"vehicle","Fold_2","PART",0.3,0.5,0.946428571428571,0.928551176637369
"vehicle","Fold_2","PART",0.3,0.6,0.928571428571429,0.904811369753057
"vehicle","Fold_2","PART",0.3,0.7,0.916666666666667,0.889025195810135
"vehicle","Fold_2","PART",0.3,0.75,0.910714285714286,0.881070366699703
"vehicle","Fold_2","PART",0.3,0.8,0.904761904761905,0.873189602302213
"vehicle","Fold_2","PART",0.3,0.9,0.898809523809524,0.865295726818225
"vehicle","Fold_2","PART",0.3,1,0.880952380952381,0.841509433962264
"vehicle","Fold_3","PART",0.1,0.1,1,1
"vehicle","Fold_3","PART",0.1,0.2,0.982248520710059,0.973871366728509
"vehicle","Fold_3","PART",0.1,0.25,0.982248520710059,0.973871366728509
"vehicle","Fold_3","PART",0.1,0.3,0.970414201183432,0.956515026759983
"vehicle","Fold_3","PART",0.1,0.4,0.964497041420118,0.947750811562838
"vehicle","Fold_3","PART",0.1,0.5,0.964497041420118,0.947750811562838
"vehicle","Fold_3","PART",0.1,0.6,0.964497041420118,0.947750811562838
"vehicle","Fold_3","PART",0.1,0.7,0.964497041420118,0.947750811562838
"vehicle","Fold_3","PART",0.1,0.75,0.964497041420118,0.947750811562838
"vehicle","Fold_3","PART",0.1,0.8,0.964497041420118,0.947750811562838
"vehicle","Fold_3","PART",0.1,0.9,0.946745562130177,0.921739130434783
"vehicle","Fold_3","PART",0.1,1,0.940828402366864,0.912931478619268
