"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","bayesglm",0.1,0.1,1,1
"vehicle","Fold_1","bayesglm",0.1,0.2,0.994152046783626,0.984812150279776
"vehicle","Fold_1","bayesglm",0.1,0.25,0.994152046783626,0.984812150279776
"vehicle","Fold_1","bayesglm",0.1,0.3,0.994152046783626,0.984812150279776
"vehicle","Fold_1","bayesglm",0.1,0.4,0.994152046783626,0.984812150279776
"vehicle","Fold_1","bayesglm",0.1,0.5,0.994152046783626,0.984812150279776
"vehicle","Fold_1","bayesglm",0.1,0.6,0.994152046783626,0.984812150279776
"vehicle","Fold_1","bayesglm",0.1,0.7,0.982456140350877,0.953771289537713
"vehicle","Fold_1","bayesglm",0.1,0.75,0.982456140350877,0.953771289537713
"vehicle","Fold_1","bayesglm",0.1,0.8,0.976608187134503,0.937908496732026
"vehicle","Fold_1","bayesglm",0.1,0.9,0.964912280701754,0.906862745098039
"vehicle","Fold_1","bayesglm",0.1,1,0.95906432748538,0.89213300892133
"vehicle","Fold_1","bayesglm",0.2,0.1,1,1
"vehicle","Fold_1","bayesglm",0.2,0.2,0.988304093567251,0.96984126984127
"vehicle","Fold_1","bayesglm",0.2,0.25,0.982456140350877,0.955082742316785
"vehicle","Fold_1","bayesglm",0.2,0.3,0.982456140350877,0.955082742316785
"vehicle","Fold_1","bayesglm",0.2,0.4,0.982456140350877,0.955082742316785
"vehicle","Fold_1","bayesglm",0.2,0.5,0.976608187134503,0.940532081377152
"vehicle","Fold_1","bayesglm",0.2,0.6,0.976608187134503,0.940532081377152
"vehicle","Fold_1","bayesglm",0.2,0.7,0.976608187134503,0.940532081377152
"vehicle","Fold_1","bayesglm",0.2,0.75,0.976608187134503,0.940532081377152
"vehicle","Fold_1","bayesglm",0.2,0.8,0.964912280701754,0.910798122065728
"vehicle","Fold_1","bayesglm",0.2,0.9,0.953216374269006,0.882716049382716
"vehicle","Fold_1","bayesglm",0.2,1,0.947368421052632,0.868965517241379
"vehicle","Fold_1","bayesglm",0.3,0.1,1,1
"vehicle","Fold_1","bayesglm",0.3,0.2,0.982456140350877,0.954436450839328
"vehicle","Fold_1","bayesglm",0.3,0.25,0.976608187134503,0.93968253968254
"vehicle","Fold_1","bayesglm",0.3,0.3,0.970760233918129,0.925137903861308
"vehicle","Fold_1","bayesglm",0.3,0.4,0.964912280701754,0.910798122065728
"vehicle","Fold_1","bayesglm",0.3,0.5,0.964912280701754,0.910798122065728
"vehicle","Fold_1","bayesglm",0.3,0.6,0.964912280701754,0.910798122065728
"vehicle","Fold_1","bayesglm",0.3,0.7,0.941520467836257,0.849206349206349
"vehicle","Fold_1","bayesglm",0.3,0.75,0.941520467836257,0.849206349206349
"vehicle","Fold_1","bayesglm",0.3,0.8,0.935672514619883,0.835303388494878
"vehicle","Fold_1","bayesglm",0.3,0.9,0.929824561403509,0.821596244131455
"vehicle","Fold_1","bayesglm",0.3,1,0.923976608187134,0.805358550039401
"vehicle","Fold_2","bayesglm",0.1,0.1,0.994047619047619,0.984
"vehicle","Fold_2","bayesglm",0.1,0.2,0.976190476190476,0.935471480699059
"vehicle","Fold_2","bayesglm",0.1,0.25,0.976190476190476,0.935471480699059
"vehicle","Fold_2","bayesglm",0.1,0.3,0.970238095238095,0.92
"vehicle","Fold_2","bayesglm",0.1,0.4,0.970238095238095,0.92
"vehicle","Fold_2","bayesglm",0.1,0.5,0.970238095238095,0.92
"vehicle","Fold_2","bayesglm",0.1,0.6,0.964285714285714,0.904779897978462
"vehicle","Fold_2","bayesglm",0.1,0.7,0.952380952380952,0.873039863971283
"vehicle","Fold_2","bayesglm",0.1,0.75,0.952380952380952,0.873039863971283
"vehicle","Fold_2","bayesglm",0.1,0.8,0.952380952380952,0.873039863971283
"vehicle","Fold_2","bayesglm",0.1,0.9,0.946428571428571,0.85832083958021
"vehicle","Fold_2","bayesglm",0.1,1,0.94047619047619,0.841299829964103
"vehicle","Fold_2","bayesglm",0.2,0.1,0.988095238095238,0.967193907439953
"vehicle","Fold_2","bayesglm",0.2,0.2,0.988095238095238,0.967193907439953
"vehicle","Fold_2","bayesglm",0.2,0.25,0.988095238095238,0.967193907439953
"vehicle","Fold_2","bayesglm",0.2,0.3,0.982142857142857,0.951200619674671
