"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","rf",0.1,0.1,1,1
"vehicle","Fold_1","rf",0.1,0.2,1,1
"vehicle","Fold_1","rf",0.1,0.25,1,1
"vehicle","Fold_1","rf",0.1,0.3,1,1
"vehicle","Fold_1","rf",0.1,0.4,0.982456140350877,0.97643437916303
"vehicle","Fold_1","rf",0.1,0.5,0.970760233918129,0.960751009915534
"vehicle","Fold_1","rf",0.1,0.6,0.964912280701754,0.952877416984338
"vehicle","Fold_1","rf",0.1,0.7,0.964912280701754,0.952877416984338
"vehicle","Fold_1","rf",0.1,0.75,0.964912280701754,0.952877416984338
"vehicle","Fold_1","rf",0.1,0.8,0.964912280701754,0.952877416984338
"vehicle","Fold_1","rf",0.1,0.9,0.964912280701754,0.952877416984338
"vehicle","Fold_1","rf",0.1,1,0.964912280701754,0.952877416984338
"vehicle","Fold_1","rf",0.2,0.1,1,1
"vehicle","Fold_1","rf",0.2,0.2,0.994152046783626,0.992121630960608
"vehicle","Fold_1","rf",0.2,0.25,0.994152046783626,0.992121630960608
"vehicle","Fold_1","rf",0.2,0.3,1,1
"vehicle","Fold_1","rf",0.2,0.4,0.988304093567251,0.984246165184946
"vehicle","Fold_1","rf",0.2,0.5,0.988304093567251,0.984241809888034
"vehicle","Fold_1","rf",0.2,0.6,0.976608187134503,0.968469091411976
"vehicle","Fold_1","rf",0.2,0.7,0.982456140350877,0.976347457236387
"vehicle","Fold_1","rf",0.2,0.75,0.982456140350877,0.976347457236387
"vehicle","Fold_1","rf",0.2,0.8,0.970760233918129,0.960591814159292
"vehicle","Fold_1","rf",0.2,0.9,0.976608187134503,0.968469091411976
"vehicle","Fold_1","rf",0.2,1,0.976608187134503,0.968469091411976
"vehicle","Fold_1","rf",0.3,0.1,0.994152046783626,0.992128159094048
"vehicle","Fold_1","rf",0.3,0.2,0.994152046783626,0.992128159094048
"vehicle","Fold_1","rf",0.3,0.25,0.994152046783626,0.992128159094048
"vehicle","Fold_1","rf",0.3,0.3,0.994152046783626,0.992128159094048
"vehicle","Fold_1","rf",0.3,0.4,0.988304093567251,0.984269352835656
"vehicle","Fold_1","rf",0.3,0.5,0.976608187134503,0.968571953684984
"vehicle","Fold_1","rf",0.3,0.6,0.970760233918129,0.960727573377429
"vehicle","Fold_1","rf",0.3,0.7,0.964912280701754,0.952853598014888
"vehicle","Fold_1","rf",0.3,0.75,0.964912280701754,0.952853598014888
"vehicle","Fold_1","rf",0.3,0.8,0.964912280701754,0.952853598014888
"vehicle","Fold_1","rf",0.3,0.9,0.95906432748538,0.944955394095466
"vehicle","Fold_1","rf",0.3,1,0.95906432748538,0.944955394095466
"vehicle","Fold_2","rf",0.1,0.1,1,1
"vehicle","Fold_2","rf",0.1,0.2,0.994047619047619,0.992029604326786
"vehicle","Fold_2","rf",0.1,0.25,0.994047619047619,0.992029604326786
"vehicle","Fold_2","rf",0.1,0.3,0.988095238095238,0.984062233184707
"vehicle","Fold_2","rf",0.1,0.4,0.988095238095238,0.984062233184707
"vehicle","Fold_2","rf",0.1,0.5,0.988095238095238,0.984062233184707
"vehicle","Fold_2","rf",0.1,0.6,0.988095238095238,0.984062233184707
"vehicle","Fold_2","rf",0.1,0.7,0.976190476190476,0.968136557610242
"vehicle","Fold_2","rf",0.1,0.75,0.976190476190476,0.968136557610242
"vehicle","Fold_2","rf",0.1,0.8,0.976190476190476,0.968136557610242
"vehicle","Fold_2","rf",0.1,0.9,0.976190476190476,0.968136557610242
"vehicle","Fold_2","rf",0.1,1,0.976190476190476,0.968136557610242
"vehicle","Fold_2","rf",0.2,0.1,1,1
"vehicle","Fold_2","rf",0.2,0.2,0.988095238095238,0.984054669703872
"vehicle","Fold_2","rf",0.2,0.25,0.988095238095238,0.984053156146179
"vehicle","Fold_2","rf",0.2,0.3,0.982142857142857,0.976087678512122
"vehicle","Fold_2","rf",0.2,0.4,0.988095238095238,0.984054669703872
"vehicle","Fold_2","rf",0.2,0.5,0.982142857142857,0.976087678512122
"vehicle","Fold_2","rf",0.2,0.6,0.982142857142857,0.976083139562473
"vehicle","Fold_2","rf",0.2,0.7,0.970238095238095,0.960170697012802
"vehicle","Fold_2","rf",0.2,0.75,0.964285714285714,0.952216164968002
"vehicle","Fold_2","rf",0.2,0.8,0.964285714285714,0.952225223944263
"vehicle","Fold_2","rf",0.2,0.9,0.964285714285714,0.952193502489922
"vehicle","Fold_2","rf",0.2,1,0.964285714285714,0.952193502489922
"vehicle","Fold_2","rf",0.3,0.1,0.994047619047619,0.992022034381233
"vehicle","Fold_2","rf",0.3,0.2,0.982142857142857,0.976066103143698
"vehicle","Fold_2","rf",0.3,0.25,0.982142857142857,0.976066103143698
"vehicle","Fold_2","rf",0.3,0.3,0.988095238095238,0.984048613748576
"vehicle","Fold_2","rf",0.3,0.4,0.982142857142857,0.976066103143698
"vehicle","Fold_2","rf",0.3,0.5,0.976190476190476,0.968079042371271
"vehicle","Fold_2","rf",0.3,0.6,0.970238095238095,0.960117747602317
"vehicle","Fold_2","rf",0.3,0.7,0.964285714285714,0.95210718867297
"vehicle","Fold_2","rf",0.3,0.75,0.964285714285714,0.952145841245727
"vehicle","Fold_2","rf",0.3,0.8,0.964285714285714,0.952145841245727
"vehicle","Fold_2","rf",0.3,0.9,0.964285714285714,0.952145841245727
"vehicle","Fold_2","rf",0.3,1,0.964285714285714,0.952145841245727
"vehicle","Fold_3","rf",0.1,0.1,1,1
"vehicle","Fold_3","rf",0.1,0.2,1,1
"vehicle","Fold_3","rf",0.1,0.25,1,1
"vehicle","Fold_3","rf",0.1,0.3,1,1
"vehicle","Fold_3","rf",0.1,0.4,1,1
"vehicle","Fold_3","rf",0.1,0.5,1,1
"vehicle","Fold_3","rf",0.1,0.6,1,1
"vehicle","Fold_3","rf",0.1,0.7,1,1
"vehicle","Fold_3","rf",0.1,0.75,0.994082840236686,0.991921219943592
"vehicle","Fold_3","rf",0.1,0.8,0.994082840236686,0.991921219943592
"vehicle","Fold_3","rf",0.1,0.9,1,1
"vehicle","Fold_3","rf",0.1,1,0.988165680473373,0.983850160064982
"vehicle","Fold_3","rf",0.2,0.1,1,1
"vehicle","Fold_3","rf",0.2,0.2,1,1
"vehicle","Fold_3","rf",0.2,0.25,1,1
"vehicle","Fold_3","rf",0.2,0.3,1,1
"vehicle","Fold_3","rf",0.2,0.4,1,1
"vehicle","Fold_3","rf",0.2,0.5,1,1
"vehicle","Fold_3","rf",0.2,0.6,0.982248520710059,0.975932782682996
"vehicle","Fold_3","rf",0.2,0.7,0.976331360946746,0.967928645981592
"vehicle","Fold_3","rf",0.2,0.75,0.970414201183432,0.95986510876793
"vehicle","Fold_3","rf",0.2,0.8,0.970414201183432,0.95986510876793
"vehicle","Fold_3","rf",0.2,0.9,0.964497041420118,0.951844992164126
"vehicle","Fold_3","rf",0.2,1,0.964497041420118,0.951844992164126
"vehicle","Fold_3","rf",0.3,0.1,1,1
"vehicle","Fold_3","rf",0.3,0.2,0.988165680473373,0.983891721870086
"vehicle","Fold_3","rf",0.3,0.25,0.988165680473373,0.983891721870086
"vehicle","Fold_3","rf",0.3,0.3,0.988165680473373,0.983891721870086
"vehicle","Fold_3","rf",0.3,0.4,0.982248520710059,0.975806451612903
"vehicle","Fold_3","rf",0.3,0.5,0.982248520710059,0.975806451612903
"vehicle","Fold_3","rf",0.3,0.6,0.976331360946746,0.967738856542903
"vehicle","Fold_3","rf",0.3,0.7,0.958579881656805,0.943795134929685
"vehicle","Fold_3","rf",0.3,0.75,0.940828402366864,0.919585078035782
"vehicle","Fold_3","rf",0.3,0.8,0.946745562130177,0.927698816371155
"vehicle","Fold_3","rf",0.3,0.9,0.93491124260355,0.911627685871839
"vehicle","Fold_3","rf",0.3,1,0.93491124260355,0.911627685871839
"vehicle","Fold_4","rf",0.1,0.1,1,1
"vehicle","Fold_4","rf",0.1,0.2,1,1
"vehicle","Fold_4","rf",0.1,0.25,1,1
"vehicle","Fold_4","rf",0.1,0.3,1,1
"vehicle","Fold_4","rf",0.1,0.4,1,1
"vehicle","Fold_4","rf",0.1,0.5,1,1
"vehicle","Fold_4","rf",0.1,0.6,1,1
"vehicle","Fold_4","rf",0.1,0.7,1,1
"vehicle","Fold_4","rf",0.1,0.75,1,1
"vehicle","Fold_4","rf",0.1,0.8,1,1
"vehicle","Fold_4","rf",0.1,0.9,1,1
"vehicle","Fold_4","rf",0.1,1,1,1
"vehicle","Fold_4","rf",0.2,0.1,0.994117647058824,0.992075700368247
"vehicle","Fold_4","rf",0.2,0.2,0.988235294117647,0.984146227734776
"vehicle","Fold_4","rf",0.2,0.25,0.988235294117647,0.984141051355007
"vehicle","Fold_4","rf",0.2,0.3,0.976470588235294,0.968282102710014
"vehicle","Fold_4","rf",0.2,0.4,0.982352941176471,0.976225992914413
"vehicle","Fold_4","rf",0.2,0.5,0.970588235294118,0.960352628387518
"vehicle","Fold_4","rf",0.2,0.6,0.958823529411765,0.944460001866891
"vehicle","Fold_4","rf",0.2,0.7,0.958823529411765,0.944460001866891
"vehicle","Fold_4","rf",0.2,0.75,0.958823529411765,0.944460001866891
"vehicle","Fold_4","rf",0.2,0.8,0.952941176470588,0.936487180684631
"vehicle","Fold_4","rf",0.2,0.9,0.952941176470588,0.936487180684631
"vehicle","Fold_4","rf",0.2,1,0.947058823529412,0.928477935676889
"vehicle","Fold_4","rf",0.3,0.1,0.988235294117647,0.984230055658627
"vehicle","Fold_4","rf",0.3,0.2,0.982352941176471,0.976347277618032
"vehicle","Fold_4","rf",0.3,0.25,0.970588235294118,0.960571481584562
"vehicle","Fold_4","rf",0.3,0.3,0.976470588235294,0.968470348217184
"vehicle","Fold_4","rf",0.3,0.4,0.970588235294118,0.960549521953031
"vehicle","Fold_4","rf",0.3,0.5,0.964705882352941,0.952641842325193
