"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","simpls",0.1,0.1,1,1
"vehicle","Fold_1","simpls",0.1,0.2,1,1
"vehicle","Fold_1","simpls",0.1,0.25,1,1
"vehicle","Fold_1","simpls",0.1,0.3,1,1
"vehicle","Fold_1","simpls",0.1,0.4,1,1
"vehicle","Fold_1","simpls",0.1,0.5,1,1
"vehicle","Fold_1","simpls",0.1,0.6,1,1
"vehicle","Fold_1","simpls",0.1,0.7,0.994152046783626,0.991454272863568
"vehicle","Fold_1","simpls",0.1,0.75,0.994152046783626,0.991454272863568
"vehicle","Fold_1","simpls",0.1,0.8,0.994152046783626,0.991454272863568
"vehicle","Fold_1","simpls",0.1,0.9,0.994152046783626,0.991454272863568
"vehicle","Fold_1","simpls",0.1,1,0.994152046783626,0.991454272863568
"vehicle","Fold_1","simpls",0.2,0.1,1,1
"vehicle","Fold_1","simpls",0.2,0.2,1,1
"vehicle","Fold_1","simpls",0.2,0.25,1,1
"vehicle","Fold_1","simpls",0.2,0.3,1,1
"vehicle","Fold_1","simpls",0.2,0.4,1,1
"vehicle","Fold_1","simpls",0.2,0.5,1,1
"vehicle","Fold_1","simpls",0.2,0.6,1,1
"vehicle","Fold_1","simpls",0.2,0.7,1,1
"vehicle","Fold_1","simpls",0.2,0.75,1,1
"vehicle","Fold_1","simpls",0.2,0.8,1,1
"vehicle","Fold_1","simpls",0.2,0.9,1,1
"vehicle","Fold_1","simpls",0.2,1,1,1
"vehicle","Fold_1","simpls",0.3,0.1,1,1
"vehicle","Fold_1","simpls",0.3,0.2,1,1
"vehicle","Fold_1","simpls",0.3,0.25,1,1
"vehicle","Fold_1","simpls",0.3,0.3,1,1
"vehicle","Fold_1","simpls",0.3,0.4,1,1
"vehicle","Fold_1","simpls",0.3,0.5,1,1
"vehicle","Fold_1","simpls",0.3,0.6,0.994152046783626,0.991454272863568
"vehicle","Fold_1","simpls",0.3,0.7,0.988304093567251,0.982949446604846
"vehicle","Fold_1","simpls",0.3,0.75,0.988304093567251,0.982949446604846
"vehicle","Fold_1","simpls",0.3,0.8,0.988304093567251,0.982949446604846
"vehicle","Fold_1","simpls",0.3,0.9,0.988304093567251,0.982949446604846
"vehicle","Fold_1","simpls",0.3,1,0.988304093567251,0.982949446604846
"vehicle","Fold_2","simpls",0.1,0.1,1,1
"vehicle","Fold_2","simpls",0.1,0.2,1,1
"vehicle","Fold_2","simpls",0.1,0.25,1,1
"vehicle","Fold_2","simpls",0.1,0.3,1,1
"vehicle","Fold_2","simpls",0.1,0.4,1,1
"vehicle","Fold_2","simpls",0.1,0.5,1,1
"vehicle","Fold_2","simpls",0.1,0.6,1,1
"vehicle","Fold_2","simpls",0.1,0.7,1,1
"vehicle","Fold_2","simpls",0.1,0.75,1,1
"vehicle","Fold_2","simpls",0.1,0.8,1,1
"vehicle","Fold_2","simpls",0.1,0.9,1,1
"vehicle","Fold_2","simpls",0.1,1,1,1
"vehicle","Fold_2","simpls",0.2,0.1,0.994047619047619,0.991637630662021
"vehicle","Fold_2","simpls",0.2,0.2,0.994047619047619,0.991637630662021
"vehicle","Fold_2","simpls",0.2,0.25,0.994047619047619,0.991637630662021
"vehicle","Fold_2","simpls",0.2,0.3,0.994047619047619,0.991637630662021
"vehicle","Fold_2","simpls",0.2,0.4,0.994047619047619,0.991637630662021
"vehicle","Fold_2","simpls",0.2,0.5,0.994047619047619,0.991637630662021
"vehicle","Fold_2","simpls",0.2,0.6,0.994047619047619,0.991637630662021
"vehicle","Fold_2","simpls",0.2,0.7,0.994047619047619,0.991637630662021
"vehicle","Fold_2","simpls",0.2,0.75,0.994047619047619,0.991637630662021
"vehicle","Fold_2","simpls",0.2,0.8,0.994047619047619,0.991637630662021
"vehicle","Fold_2","simpls",0.2,0.9,0.994047619047619,0.991637630662021
"vehicle","Fold_2","simpls",0.2,1,0.988095238095238,0.98328025477707
"vehicle","Fold_2","simpls",0.3,0.1,0.994047619047619,0.991637630662021
"vehicle","Fold_2","simpls",0.3,0.2,0.994047619047619,0.991637630662021
"vehicle","Fold_2","simpls",0.3,0.25,0.988095238095238,0.983270264887473
"vehicle","Fold_2","simpls",0.3,0.3,0.988095238095238,0.983270264887473
"vehicle","Fold_2","simpls",0.3,0.4,0.988095238095238,0.983270264887473
"vehicle","Fold_2","simpls",0.3,0.5,0.988095238095238,0.983270264887473
"vehicle","Fold_2","simpls",0.3,0.6,0.988095238095238,0.983270264887473
"vehicle","Fold_2","simpls",0.3,0.7,0.988095238095238,0.983270264887473
"vehicle","Fold_2","simpls",0.3,0.75,0.988095238095238,0.983270264887473
"vehicle","Fold_2","simpls",0.3,0.8,0.988095238095238,0.983270264887473
"vehicle","Fold_2","simpls",0.3,0.9,0.988095238095238,0.983270264887473
"vehicle","Fold_2","simpls",0.3,1,0.988095238095238,0.983270264887473
"vehicle","Fold_3","simpls",0.1,0.1,1,1
"vehicle","Fold_3","simpls",0.1,0.2,1,1
"vehicle","Fold_3","simpls",0.1,0.25,1,1
"vehicle","Fold_3","simpls",0.1,0.3,1,1
"vehicle","Fold_3","simpls",0.1,0.4,1,1
"vehicle","Fold_3","simpls",0.1,0.5,1,1
"vehicle","Fold_3","simpls",0.1,0.6,1,1
"vehicle","Fold_3","simpls",0.1,0.7,1,1
"vehicle","Fold_3","simpls",0.1,0.75,1,1
"vehicle","Fold_3","simpls",0.1,0.8,1,1
"vehicle","Fold_3","simpls",0.1,0.9,1,1
"vehicle","Fold_3","simpls",0.1,1,1,1
"vehicle","Fold_3","simpls",0.2,0.1,0.994082840236686,0.991721367688841
"vehicle","Fold_3","simpls",0.2,0.2,0.994082840236686,0.991721367688841
"vehicle","Fold_3","simpls",0.2,0.25,0.994082840236686,0.991721367688841
"vehicle","Fold_3","simpls",0.2,0.3,0.994082840236686,0.991721367688841
"vehicle","Fold_3","simpls",0.2,0.4,0.994082840236686,0.991721367688841
"vehicle","Fold_3","simpls",0.2,0.5,0.994082840236686,0.991721367688841
"vehicle","Fold_3","simpls",0.2,0.6,0.994082840236686,0.991721367688841
"vehicle","Fold_3","simpls",0.2,0.7,0.994082840236686,0.991721367688841
"vehicle","Fold_3","simpls",0.2,0.75,0.994082840236686,0.991721367688841
"vehicle","Fold_3","simpls",0.2,0.8,0.994082840236686,0.991721367688841
"vehicle","Fold_3","simpls",0.2,0.9,0.994082840236686,0.991721367688841
"vehicle","Fold_3","simpls",0.2,1,0.994082840236686,0.991721367688841
"vehicle","Fold_3","simpls",0.3,0.1,1,1
"vehicle","Fold_3","simpls",0.3,0.2,0.994082840236686,0.991690431704199
"vehicle","Fold_3","simpls",0.3,0.25,0.994082840236686,0.991690431704199
"vehicle","Fold_3","simpls",0.3,0.3,0.994082840236686,0.991690431704199
"vehicle","Fold_3","simpls",0.3,0.4,0.988165680473373,0.983378411605606
"vehicle","Fold_3","simpls",0.3,0.5,0.988165680473373,0.983378411605606
"vehicle","Fold_3","simpls",0.3,0.6,0.988165680473373,0.983378411605606
"vehicle","Fold_3","simpls",0.3,0.7,0.988165680473373,0.983378411605606
"vehicle","Fold_3","simpls",0.3,0.75,0.988165680473373,0.983378411605606
"vehicle","Fold_3","simpls",0.3,0.8,0.988165680473373,0.983378411605606
"vehicle","Fold_3","simpls",0.3,0.9,0.988165680473373,0.983378411605606
"vehicle","Fold_3","simpls",0.3,1,0.988165680473373,0.983378411605606
"vehicle","Fold_4","simpls",0.1,0.1,1,1
"vehicle","Fold_4","simpls",0.1,0.2,1,1
"vehicle","Fold_4","simpls",0.1,0.25,1,1
"vehicle","Fold_4","simpls",0.1,0.3,1,1
"vehicle","Fold_4","simpls",0.1,0.4,1,1
"vehicle","Fold_4","simpls",0.1,0.5,1,1
"vehicle","Fold_4","simpls",0.1,0.6,1,1
"vehicle","Fold_4","simpls",0.1,0.7,1,1
"vehicle","Fold_4","simpls",0.1,0.75,1,1
"vehicle","Fold_4","simpls",0.1,0.8,1,1
"vehicle","Fold_4","simpls",0.1,0.9,1,1
"vehicle","Fold_4","simpls",0.1,1,1,1
"vehicle","Fold_4","simpls",0.2,0.1,1,1
"vehicle","Fold_4","simpls",0.2,0.2,1,1
"vehicle","Fold_4","simpls",0.2,0.25,1,1
"vehicle","Fold_4","simpls",0.2,0.3,1,1
"vehicle","Fold_4","simpls",0.2,0.4,1,1
"vehicle","Fold_4","simpls",0.2,0.5,1,1
"vehicle","Fold_4","simpls",0.2,0.6,1,1
"vehicle","Fold_4","simpls",0.2,0.7,1,1
"vehicle","Fold_4","simpls",0.2,0.75,1,1
"vehicle","Fold_4","simpls",0.2,0.8,1,1
"vehicle","Fold_4","simpls",0.2,0.9,0.994117647058824,0.991835950631513
"vehicle","Fold_4","simpls",0.2,1,0.994117647058824,0.991835950631513
"vehicle","Fold_4","simpls",0.3,0.1,1,1
"vehicle","Fold_4","simpls",0.3,0.2,1,1
"vehicle","Fold_4","simpls",0.3,0.25,1,1
"vehicle","Fold_4","simpls",0.3,0.3,1,1
"vehicle","Fold_4","simpls",0.3,0.4,1,1
"vehicle","Fold_4","simpls",0.3,0.5,1,1
"vehicle","Fold_4","simpls",0.3,0.6,1,1
"vehicle","Fold_4","simpls",0.3,0.7,1,1
"vehicle","Fold_4","simpls",0.3,0.75,1,1
"vehicle","Fold_4","simpls",0.3,0.8,1,1
"vehicle","Fold_4","simpls",0.3,0.9,1,1
