"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","C5.0",0.1,0.1,0.995417048579285,0.993082607989936
"wall-robot-navigation","Fold_1","C5.0",0.1,0.2,0.992667277726856,0.988935736506238
"wall-robot-navigation","Fold_1","C5.0",0.1,0.25,0.988084326306141,0.982031641945341
"wall-robot-navigation","Fold_1","C5.0",0.1,0.3,0.986251145737855,0.979274526093961
"wall-robot-navigation","Fold_1","C5.0",0.1,0.4,0.978001833180568,0.966886923091515
"wall-robot-navigation","Fold_1","C5.0",0.1,0.5,0.967919340054995,0.951751221540044
"wall-robot-navigation","Fold_1","C5.0",0.1,0.6,0.960586617781852,0.940757662432455
"wall-robot-navigation","Fold_1","C5.0",0.1,0.7,0.955087076076994,0.932561803734274
"wall-robot-navigation","Fold_1","C5.0",0.1,0.75,0.951420714940422,0.927103359853962
"wall-robot-navigation","Fold_1","C5.0",0.1,0.8,0.945004582951421,0.917501918779845
"wall-robot-navigation","Fold_1","C5.0",0.1,0.9,0.936755270394134,0.905218228861735
"wall-robot-navigation","Fold_1","C5.0",0.1,1,0.926672777268561,0.890123447464959
"wall-robot-navigation","Fold_1","C5.0",0.2,0.1,0.992667277726856,0.988934333739886
"wall-robot-navigation","Fold_1","C5.0",0.2,0.2,0.989000916590284,0.983407306767112
"wall-robot-navigation","Fold_1","C5.0",0.2,0.25,0.986251145737855,0.97925855513308
"wall-robot-navigation","Fold_1","C5.0",0.2,0.3,0.980751604032997,0.970992418602531
"wall-robot-navigation","Fold_1","C5.0",0.2,0.4,0.973418881759853,0.959944142848462
"wall-robot-navigation","Fold_1","C5.0",0.2,0.5,0.963336388634281,0.944800718450777
"wall-robot-navigation","Fold_1","C5.0",0.2,0.6,0.953253895508708,0.9296179782103
"wall-robot-navigation","Fold_1","C5.0",0.2,0.7,0.940421631530706,0.910112886502546
"wall-robot-navigation","Fold_1","C5.0",0.2,0.75,0.935838680109991,0.903263480032022
"wall-robot-navigation","Fold_1","C5.0",0.2,0.8,0.933088909257562,0.899102164711665
"wall-robot-navigation","Fold_1","C5.0",0.2,0.9,0.917506874427131,0.875636761565566
"wall-robot-navigation","Fold_1","C5.0",0.2,1,0.908340971585701,0.861851518873539
"wall-robot-navigation","Fold_1","C5.0",0.3,0.1,0.988084326306141,0.982006224174307
"wall-robot-navigation","Fold_1","C5.0",0.3,0.2,0.974335472043996,0.961299999746628
"wall-robot-navigation","Fold_1","C5.0",0.3,0.25,0.97250229147571,0.958533402592138
"wall-robot-navigation","Fold_1","C5.0",0.3,0.3,0.966086159486709,0.948895027624309
"wall-robot-navigation","Fold_1","C5.0",0.3,0.4,0.953253895508708,0.929565858030411
"wall-robot-navigation","Fold_1","C5.0",0.3,0.5,0.934922089825848,0.901869223996504
"wall-robot-navigation","Fold_1","C5.0",0.3,0.6,0.922089825847846,0.882470210409184
"wall-robot-navigation","Fold_1","C5.0",0.3,0.7,0.910174152153987,0.864489398619266
"wall-robot-navigation","Fold_1","C5.0",0.3,0.75,0.903758020164986,0.854803997120289
"wall-robot-navigation","Fold_1","C5.0",0.3,0.8,0.895508707607699,0.842391586716054
"wall-robot-navigation","Fold_1","C5.0",0.3,0.9,0.881759853345555,0.821511368363382
"wall-robot-navigation","Fold_1","C5.0",0.3,1,0.869844179651696,0.803562756527219
"wall-robot-navigation","Fold_2","C5.0",0.1,0.1,0.99083409715857,0.986163092872154
"wall-robot-navigation","Fold_2","C5.0",0.1,0.2,0.982584784601283,0.973742977839423
"wall-robot-navigation","Fold_2","C5.0",0.1,0.25,0.978918423464711,0.96823562324282
"wall-robot-navigation","Fold_2","C5.0",0.1,0.3,0.97250229147571,0.958593677850464
"wall-robot-navigation","Fold_2","C5.0",0.1,0.4,0.967919340054995,0.951724992382954
"wall-robot-navigation","Fold_2","C5.0",0.1,0.5,0.957836846929423,0.936566159602101
"wall-robot-navigation","Fold_2","C5.0",0.1,0.6,0.951420714940422,0.926888787456173
"wall-robot-navigation","Fold_2","C5.0",0.1,0.7,0.945004582951421,0.917268364691564
"wall-robot-navigation","Fold_2","C5.0",0.1,0.75,0.943171402383135,0.914515397262906
"wall-robot-navigation","Fold_2","C5.0",0.1,0.8,0.939505041246563,0.909058645970813
"wall-robot-navigation","Fold_2","C5.0",0.1,0.9,0.935838680109991,0.903501345699448
"wall-robot-navigation","Fold_2","C5.0",0.1,1,0.928505957836847,0.892478905912409
"wall-robot-navigation","Fold_2","C5.0",0.2,0.1,0.989000916590284,0.983386398216309
"wall-robot-navigation","Fold_2","C5.0",0.2,0.2,0.978001833180568,0.966791928297757
"wall-robot-navigation","Fold_2","C5.0",0.2,0.25,0.971585701191567,0.957120053959685
"wall-robot-navigation","Fold_2","C5.0",0.2,0.3,0.965169569202566,0.947469786701334
"wall-robot-navigation","Fold_2","C5.0",0.2,0.4,0.951420714940422,0.926774907207017
"wall-robot-navigation","Fold_2","C5.0",0.2,0.5,0.940421631530706,0.910088725812137
"wall-robot-navigation","Fold_2","C5.0",0.2,0.6,0.932172318973419,0.897599484534775
"wall-robot-navigation","Fold_2","C5.0",0.2,0.7,0.923006416131989,0.883727509981819
"wall-robot-navigation","Fold_2","C5.0",0.2,0.75,0.917506874427131,0.875546283245962
"wall-robot-navigation","Fold_2","C5.0",0.2,0.8,0.915673693858845,0.872735963767813
"wall-robot-navigation","Fold_2","C5.0",0.2,0.9,0.908340971585701,0.861620925046993
"wall-robot-navigation","Fold_2","C5.0",0.2,1,0.893675527039413,0.83941285372226
"wall-robot-navigation","Fold_2","C5.0",0.3,0.1,0.985334555453712,0.977897138631638
"wall-robot-navigation","Fold_2","C5.0",0.3,0.2,0.973418881759853,0.959964873253944
"wall-robot-navigation","Fold_2","C5.0",0.3,0.25,0.966086159486709,0.94892070035848
"wall-robot-navigation","Fold_2","C5.0",0.3,0.3,0.954170485792851,0.931003778033272
"wall-robot-navigation","Fold_2","C5.0",0.3,0.4,0.943171402383135,0.914484164108684
"wall-robot-navigation","Fold_2","C5.0",0.3,0.5,0.928505957836847,0.892325445449093
"wall-robot-navigation","Fold_2","C5.0",0.3,0.6,0.914757103574702,0.871502224518717
"wall-robot-navigation","Fold_2","C5.0",0.3,0.7,0.901008249312557,0.850824763281734
