"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","JRip",0.1,0.1,0.995417048579285,0.99308245009346
"wall-robot-navigation","Fold_1","JRip",0.1,0.2,0.989000916590284,0.983418234875409
"wall-robot-navigation","Fold_1","JRip",0.1,0.25,0.983501374885426,0.975132549160638
"wall-robot-navigation","Fold_1","JRip",0.1,0.3,0.979835013748854,0.969627755893306
"wall-robot-navigation","Fold_1","JRip",0.1,0.4,0.97250229147571,0.958613783013822
"wall-robot-navigation","Fold_1","JRip",0.1,0.5,0.964252978918423,0.946248078213095
"wall-robot-navigation","Fold_1","JRip",0.1,0.6,0.954170485792851,0.931118432101462
"wall-robot-navigation","Fold_1","JRip",0.1,0.7,0.945004582951421,0.917402819609827
"wall-robot-navigation","Fold_1","JRip",0.1,0.75,0.941338221814849,0.911920902386905
"wall-robot-navigation","Fold_1","JRip",0.1,0.8,0.939505041246563,0.909162013710347
"wall-robot-navigation","Fold_1","JRip",0.1,0.9,0.931255728689276,0.896861280470512
"wall-robot-navigation","Fold_1","JRip",0.1,1,0.926672777268561,0.889973716223456
"wall-robot-navigation","Fold_1","JRip",0.2,0.1,0.99083409715857,0.986134552035463
"wall-robot-navigation","Fold_1","JRip",0.2,0.2,0.984417965169569,0.976441792288425
"wall-robot-navigation","Fold_1","JRip",0.2,0.25,0.980751604032997,0.970898684591583
"wall-robot-navigation","Fold_1","JRip",0.2,0.3,0.977085242896425,0.965341225325875
"wall-robot-navigation","Fold_1","JRip",0.2,0.4,0.971585701191567,0.95704091534948
"wall-robot-navigation","Fold_1","JRip",0.2,0.5,0.963336388634281,0.944602979557433
"wall-robot-navigation","Fold_1","JRip",0.2,0.6,0.953253895508708,0.929416465812508
"wall-robot-navigation","Fold_1","JRip",0.2,0.7,0.942254812098992,0.912752350874342
"wall-robot-navigation","Fold_1","JRip",0.2,0.75,0.93858845096242,0.907278257825224
"wall-robot-navigation","Fold_1","JRip",0.2,0.8,0.934005499541705,0.90036175815478
"wall-robot-navigation","Fold_1","JRip",0.2,0.9,0.916590284142988,0.87403541893459
"wall-robot-navigation","Fold_1","JRip",0.2,1,0.909257561869844,0.863041543139587
"wall-robot-navigation","Fold_1","JRip",0.3,0.1,0.99083409715857,0.986157229009677
"wall-robot-navigation","Fold_1","JRip",0.3,0.2,0.983501374885426,0.975091766508459
"wall-robot-navigation","Fold_1","JRip",0.3,0.25,0.977085242896425,0.965426499463176
"wall-robot-navigation","Fold_1","JRip",0.3,0.3,0.969752520623281,0.954361648725529
"wall-robot-navigation","Fold_1","JRip",0.3,0.4,0.959670027497709,0.939134591367215
"wall-robot-navigation","Fold_1","JRip",0.3,0.5,0.945004582951421,0.917074579672251
"wall-robot-navigation","Fold_1","JRip",0.3,0.6,0.925756186984418,0.888145478847622
"wall-robot-navigation","Fold_1","JRip",0.3,0.7,0.915673693858845,0.873092538060733
"wall-robot-navigation","Fold_1","JRip",0.3,0.75,0.91109074243813,0.866238350980395
"wall-robot-navigation","Fold_1","JRip",0.3,0.8,0.906507791017415,0.859347509555299
"wall-robot-navigation","Fold_1","JRip",0.3,0.9,0.890925756186984,0.835843183071095
"wall-robot-navigation","Fold_1","JRip",0.3,1,0.875343721356554,0.812410472829887
"wall-robot-navigation","Fold_2","JRip",0.1,0.1,0.99083409715857,0.986223703815946
"wall-robot-navigation","Fold_2","JRip",0.1,0.2,0.987167736021998,0.980712308562654
"wall-robot-navigation","Fold_2","JRip",0.1,0.25,0.980751604032997,0.971058595259931
"wall-robot-navigation","Fold_2","JRip",0.1,0.3,0.977085242896425,0.965569432978108
"wall-robot-navigation","Fold_2","JRip",0.1,0.4,0.969752520623281,0.954549586056975
