"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","PART",0.1,0.1,0.996333638863428,0.994468485323234
"wall-robot-navigation","Fold_1","PART",0.1,0.2,0.987167736021998,0.980658918753276
"wall-robot-navigation","Fold_1","PART",0.1,0.25,0.984417965169569,0.976513747062161
"wall-robot-navigation","Fold_1","PART",0.1,0.3,0.979835013748854,0.969615798468258
"wall-robot-navigation","Fold_1","PART",0.1,0.4,0.971585701191567,0.957227157296209
"wall-robot-navigation","Fold_1","PART",0.1,0.5,0.959670027497709,0.939405261709589
"wall-robot-navigation","Fold_1","PART",0.1,0.6,0.953253895508708,0.929828787336115
"wall-robot-navigation","Fold_1","PART",0.1,0.7,0.948670944087993,0.92297393045263
"wall-robot-navigation","Fold_1","PART",0.1,0.75,0.945921173235564,0.918811401644482
"wall-robot-navigation","Fold_1","PART",0.1,0.8,0.943171402383135,0.914721137286841
"wall-robot-navigation","Fold_1","PART",0.1,0.9,0.939505041246563,0.909272349272349
"wall-robot-navigation","Fold_1","PART",0.1,1,0.926672777268561,0.890123447464959
"wall-robot-navigation","Fold_1","PART",0.2,0.1,0.989917506874427,0.984794078293835
"wall-robot-navigation","Fold_1","PART",0.2,0.2,0.985334555453712,0.977884145151768
"wall-robot-navigation","Fold_1","PART",0.2,0.25,0.980751604032997,0.970974154062111
"wall-robot-navigation","Fold_1","PART",0.2,0.3,0.978001833180568,0.966824830696914
"wall-robot-navigation","Fold_1","PART",0.2,0.4,0.968835930339138,0.953018272641953
"wall-robot-navigation","Fold_1","PART",0.2,0.5,0.95692025664528,0.935109079565631
"wall-robot-navigation","Fold_1","PART",0.2,0.6,0.950504124656279,0.92546739435711
"wall-robot-navigation","Fold_1","PART",0.2,0.7,0.941338221814849,0.911616979909268
"wall-robot-navigation","Fold_1","PART",0.2,0.75,0.939505041246563,0.908811725834905
"wall-robot-navigation","Fold_1","PART",0.2,0.8,0.936755270394134,0.904730748154513
"wall-robot-navigation","Fold_1","PART",0.2,0.9,0.92025664527956,0.879820865134794
"wall-robot-navigation","Fold_1","PART",0.2,1,0.908340971585701,0.861851518873539
"wall-robot-navigation","Fold_1","PART",0.3,0.1,0.99083409715857,0.986173526675842
