"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","fda",0.1,0.1,0.994500458295142,0.99179139664132
"wall-robot-navigation","Fold_1","fda",0.1,0.2,0.99083409715857,0.986314652604167
"wall-robot-navigation","Fold_1","fda",0.1,0.25,0.989917506874427,0.984946136747934
"wall-robot-navigation","Fold_1","fda",0.1,0.3,0.985334555453712,0.978103471633359
"wall-robot-navigation","Fold_1","fda",0.1,0.4,0.977085242896425,0.965797829118305
"wall-robot-navigation","Fold_1","fda",0.1,0.5,0.970669110907424,0.95624920110179
"wall-robot-navigation","Fold_1","fda",0.1,0.6,0.961503208065995,0.942595564441872
"wall-robot-navigation","Fold_1","fda",0.1,0.7,0.955087076076994,0.93311329288693
"wall-robot-navigation","Fold_1","fda",0.1,0.75,0.954170485792851,0.931769941501011
"wall-robot-navigation","Fold_1","fda",0.1,0.8,0.94775435380385,0.922168766379891
"wall-robot-navigation","Fold_1","fda",0.1,0.9,0.943171402383135,0.91534157114089
"wall-robot-navigation","Fold_1","fda",0.1,1,0.937671860678277,0.907148819960976
"wall-robot-navigation","Fold_1","fda",0.2,0.1,0.992667277726856,0.989041233489026
"wall-robot-navigation","Fold_1","fda",0.2,0.2,0.978001833180568,0.967113542679297
"wall-robot-navigation","Fold_1","fda",0.2,0.25,0.975252062328139,0.963002781981801
"wall-robot-navigation","Fold_1","fda",0.2,0.3,0.965169569202566,0.947913224723943
"wall-robot-navigation","Fold_1","fda",0.2,0.4,0.952337305224565,0.928669768892164
"wall-robot-navigation","Fold_1","fda",0.2,0.5,0.944087992667278,0.916298052433986
"wall-robot-navigation","Fold_1","fda",0.2,0.6,0.927589367552704,0.891586845365752
"wall-robot-navigation","Fold_1","fda",0.2,0.7,0.916590284142988,0.875144623526098
"wall-robot-navigation","Fold_1","fda",0.2,0.75,0.913840513290559,0.871028674407579
"wall-robot-navigation","Fold_1","fda",0.2,0.8,0.908340971585701,0.862796807227628
"wall-robot-navigation","Fold_1","fda",0.2,0.9,0.896425297891842,0.844892120364208
"wall-robot-navigation","Fold_1","fda",0.2,1,0.882676443629698,0.82435959193992
"wall-robot-navigation","Fold_1","fda",0.3,0.1,0.987167736021998,0.98082213452631
"wall-robot-navigation","Fold_1","fda",0.3,0.2,0.964252978918423,0.946491293155377
"wall-robot-navigation","Fold_1","fda",0.3,0.25,0.95692025664528,0.93547408808403
"wall-robot-navigation","Fold_1","fda",0.3,0.3,0.946837763519707,0.920422948795177
"wall-robot-navigation","Fold_1","fda",0.3,0.4,0.930339138405133,0.895581520110217
"wall-robot-navigation","Fold_1","fda",0.3,0.5,0.914757103574702,0.872225237602903
"wall-robot-navigation","Fold_1","fda",0.3,0.6,0.898258478460128,0.847379703810687
"wall-robot-navigation","Fold_1","fda",0.3,0.7,0.880843263061412,0.821156562090185
"wall-robot-navigation","Fold_1","fda",0.3,0.75,0.874427131072411,0.811527243793842
"wall-robot-navigation","Fold_1","fda",0.3,0.8,0.865261228230981,0.797641248747694
"wall-robot-navigation","Fold_1","fda",0.3,0.9,0.848762603116407,0.772937975608002
"wall-robot-navigation","Fold_1","fda",0.3,1,0.836846929422548,0.755129163761265
"wall-robot-navigation","Fold_2","fda",0.1,0.1,0.988084326306141,0.982267415328565
"wall-robot-navigation","Fold_2","fda",0.1,0.2,0.978001833180568,0.967245516023227
"wall-robot-navigation","Fold_2","fda",0.1,0.25,0.973418881759853,0.960427061041061
"wall-robot-navigation","Fold_2","fda",0.1,0.3,0.965169569202566,0.948118225072145
"wall-robot-navigation","Fold_2","fda",0.1,0.4,0.958753437213566,0.938565438225699
"wall-robot-navigation","Fold_2","fda",0.1,0.5,0.952337305224565,0.929033371777969
"wall-robot-navigation","Fold_2","fda",0.1,0.6,0.940421631530706,0.911253748079031
"wall-robot-navigation","Fold_2","fda",0.1,0.7,0.928505957836847,0.893373061467928
"wall-robot-navigation","Fold_2","fda",0.1,0.75,0.925756186984418,0.889225249889064
"wall-robot-navigation","Fold_2","fda",0.1,0.8,0.917506874427131,0.87689055559108
"wall-robot-navigation","Fold_2","fda",0.1,0.9,0.907424381301558,0.861726130123578
"wall-robot-navigation","Fold_2","fda",0.1,1,0.897341888175985,0.846626760236326
"wall-robot-navigation","Fold_2","fda",0.2,0.1,0.98166819431714,0.972701933133498
"wall-robot-navigation","Fold_2","fda",0.2,0.2,0.965169569202566,0.948111471847926
"wall-robot-navigation","Fold_2","fda",0.2,0.25,0.961503208065995,0.942641337492552
"wall-robot-navigation","Fold_2","fda",0.2,0.3,0.953253895508708,0.930296360417964
"wall-robot-navigation","Fold_2","fda",0.2,0.4,0.936755270394134,0.90562827979932
"wall-robot-navigation","Fold_2","fda",0.2,0.5,0.923923006416132,0.88637926361647
"wall-robot-navigation","Fold_2","fda",0.2,0.6,0.902841429880843,0.854849742636492
"wall-robot-navigation","Fold_2","fda",0.2,0.7,0.888175985334555,0.832884895708433
"wall-robot-navigation","Fold_2","fda",0.2,0.75,0.878093492208983,0.817776873587988
"wall-robot-navigation","Fold_2","fda",0.2,0.8,0.867094408799267,0.801221858244842
"wall-robot-navigation","Fold_2","fda",0.2,0.9,0.850595783684693,0.776543143170563
"wall-robot-navigation","Fold_2","fda",0.2,1,0.829514207149404,0.744889646537028
"wall-robot-navigation","Fold_2","fda",0.3,0.1,0.97250229147571,0.959029526780394
"wall-robot-navigation","Fold_2","fda",0.3,0.2,0.945004582951421,0.917983491452542
"wall-robot-navigation","Fold_2","fda",0.3,0.25,0.93858845096242,0.908427404756208
"wall-robot-navigation","Fold_2","fda",0.3,0.3,0.925756186984418,0.889152440324624
"wall-robot-navigation","Fold_2","fda",0.3,0.4,0.901008249312557,0.852129246979598
"wall-robot-navigation","Fold_2","fda",0.3,0.5,0.874427131072411,0.812374470264516
"wall-robot-navigation","Fold_2","fda",0.3,0.6,0.84967919340055,0.774963840571508
"wall-robot-navigation","Fold_2","fda",0.3,0.7,0.823098075160403,0.734922149597655
"wall-robot-navigation","Fold_2","fda",0.3,0.75,0.810265811182401,0.715630697786866
"wall-robot-navigation","Fold_2","fda",0.3,0.8,0.793767186067828,0.690834416467672
"wall-robot-navigation","Fold_2","fda",0.3,0.9,0.76993583868011,0.654784266167116
"wall-robot-navigation","Fold_2","fda",0.3,1,0.747021081576535,0.619935956742402
"wall-robot-navigation","Fold_3","fda",0.1,0.1,0.994500458295142,0.991671522612592
"wall-robot-navigation","Fold_3","fda",0.1,0.2,0.99083409715857,0.986118709841593
"wall-robot-navigation","Fold_3","fda",0.1,0.25,0.987167736021998,0.980572472284547
"wall-robot-navigation","Fold_3","fda",0.1,0.3,0.984417965169569,0.976416629791823
"wall-robot-navigation","Fold_3","fda",0.1,0.4,0.976168652612282,0.96392938980318
"wall-robot-navigation","Fold_3","fda",0.1,0.5,0.970669110907424,0.955603822099917
"wall-robot-navigation","Fold_3","fda",0.1,0.6,0.966086159486709,0.9486291607491
"wall-robot-navigation","Fold_3","fda",0.1,0.7,0.961503208065995,0.941656342590411
"wall-robot-navigation","Fold_3","fda",0.1,0.75,0.960586617781852,0.940266143089791
"wall-robot-navigation","Fold_3","fda",0.1,0.8,0.955087076076994,0.931928759427457
"wall-robot-navigation","Fold_3","fda",0.1,0.9,0.948670944087993,0.922258741374418
"wall-robot-navigation","Fold_3","fda",0.1,1,0.941338221814849,0.911092209490509
"wall-robot-navigation","Fold_3","fda",0.2,0.1,0.99083409715857,0.986105238490654
"wall-robot-navigation","Fold_3","fda",0.2,0.2,0.976168652612282,0.963842490618372
"wall-robot-navigation","Fold_3","fda",0.2,0.25,0.965169569202566,0.947152523187216
"wall-robot-navigation","Fold_3","fda",0.2,0.3,0.957836846929423,0.936026738595051
"wall-robot-navigation","Fold_3","fda",0.2,0.4,0.945004582951421,0.916546190268567
"wall-robot-navigation","Fold_3","fda",0.2,0.5,0.92942254812099,0.892848077612344
"wall-robot-navigation","Fold_3","fda",0.2,0.6,0.917506874427131,0.874705713465403
"wall-robot-navigation","Fold_3","fda",0.2,0.7,0.902841429880843,0.852356944698008
"wall-robot-navigation","Fold_3","fda",0.2,0.75,0.899175068744271,0.84678003148408
"wall-robot-navigation","Fold_3","fda",0.2,0.8,0.893675527039413,0.838521537309262
"wall-robot-navigation","Fold_3","fda",0.2,0.9,0.879010082493126,0.816043502086583
"wall-robot-navigation","Fold_3","fda",0.2,1,0.866177818515124,0.796448721143463
"wall-robot-navigation","Fold_3","fda",0.3,0.1,0.986251145737855,0.979169848785703
"wall-robot-navigation","Fold_3","fda",0.3,0.2,0.969752520623281,0.954216441540539
"wall-robot-navigation","Fold_3","fda",0.3,0.25,0.958753437213566,0.937567874828008
"wall-robot-navigation","Fold_3","fda",0.3,0.3,0.949587534372136,0.923740617700361
"wall-robot-navigation","Fold_3","fda",0.3,0.4,0.933088909257562,0.898624145739485
"wall-robot-navigation","Fold_3","fda",0.3,0.5,0.92025664527956,0.879169281650641
"wall-robot-navigation","Fold_3","fda",0.3,0.6,0.903758020164986,0.85394968846935
"wall-robot-navigation","Fold_3","fda",0.3,0.7,0.890009165902841,0.832918991490252
"wall-robot-navigation","Fold_3","fda",0.3,0.75,0.881759853345555,0.820299163033
"wall-robot-navigation","Fold_3","fda",0.3,0.8,0.875343721356554,0.810602608337131
"wall-robot-navigation","Fold_3","fda",0.3,0.9,0.857011915673694,0.782572147629572
"wall-robot-navigation","Fold_3","fda",0.3,1,0.84051329055912,0.757492993083784
"wall-robot-navigation","Fold_4","fda",0.1,0.1,0.994500458295142,0.991761498788012
"wall-robot-navigation","Fold_4","fda",0.1,0.2,0.986251145737855,0.979397809231141
"wall-robot-navigation","Fold_4","fda",0.1,0.25,0.984417965169569,0.9766514971266
"wall-robot-navigation","Fold_4","fda",0.1,0.3,0.982584784601283,0.973905337138412
"wall-robot-navigation","Fold_4","fda",0.1,0.4,0.978918423464711,0.968410849053635
"wall-robot-navigation","Fold_4","fda",0.1,0.5,0.970669110907424,0.956068625156349
"wall-robot-navigation","Fold_4","fda",0.1,0.6,0.967002749770852,0.950578571464523
"wall-robot-navigation","Fold_4","fda",0.1,0.7,0.958753437213566,0.938242719509112
"wall-robot-navigation","Fold_4","fda",0.1,0.75,0.95692025664528,0.935520094562648
"wall-robot-navigation","Fold_4","fda",0.1,0.8,0.954170485792851,0.931407202306629
"wall-robot-navigation","Fold_4","fda",0.1,0.9,0.949587534372136,0.924548966155487
"wall-robot-navigation","Fold_4","fda",0.1,1,0.943171402383135,0.914920432076715
"wall-robot-navigation","Fold_4","fda",0.2,0.1,0.985334555453712,0.978023721187293
"wall-robot-navigation","Fold_4","fda",0.2,0.2,0.973418881759853,0.960157611597473
"wall-robot-navigation","Fold_4","fda",0.2,0.25,0.967002749770852,0.950543908713494
"wall-robot-navigation","Fold_4","fda",0.2,0.3,0.961503208065995,0.942304423428267
"wall-robot-navigation","Fold_4","fda",0.2,0.4,0.945921173235564,0.919004890987723
"wall-robot-navigation","Fold_4","fda",0.2,0.5,0.934005499541705,0.901216931150394
"wall-robot-navigation","Fold_4","fda",0.2,0.6,0.92025664527956,0.880669989037183
"wall-robot-navigation","Fold_4","fda",0.2,0.7,0.906507791017415,0.860145783586779
"wall-robot-navigation","Fold_4","fda",0.2,0.75,0.899175068744271,0.849185165078216
"wall-robot-navigation","Fold_4","fda",0.2,0.8,0.893675527039413,0.840967694913721
"wall-robot-navigation","Fold_4","fda",0.2,0.9,0.880843263061412,0.821898800143154
"wall-robot-navigation","Fold_4","fda",0.2,1,0.864344637946838,0.797110991601369
