"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","svmRadial",0.1,0.1,1,1
"wall-robot-navigation","Fold_1","svmRadial",0.1,0.2,0.999083409715857,0.998586701521984
"wall-robot-navigation","Fold_1","svmRadial",0.1,0.25,0.999083409715857,0.998586701521984
"wall-robot-navigation","Fold_1","svmRadial",0.1,0.3,0.998166819431714,0.997173432336607
"wall-robot-navigation","Fold_1","svmRadial",0.1,0.4,0.996333638863428,0.994346864673215
"wall-robot-navigation","Fold_1","svmRadial",0.1,0.5,0.994500458295142,0.991520121252162
"wall-robot-navigation","Fold_1","svmRadial",0.1,0.6,0.992667277726856,0.988688996653871
"wall-robot-navigation","Fold_1","svmRadial",0.1,0.7,0.99083409715857,0.985867015219838
"wall-robot-navigation","Fold_1","svmRadial",0.1,0.75,0.989000916590284,0.983040418263806
"wall-robot-navigation","Fold_1","svmRadial",0.1,0.8,0.987167736021998,0.98020371740852
"wall-robot-navigation","Fold_1","svmRadial",0.1,0.9,0.987167736021998,0.98020371740852
"wall-robot-navigation","Fold_1","svmRadial",0.1,1,0.986251145737855,0.978789477299621
"wall-robot-navigation","Fold_1","svmRadial",0.2,0.1,0.996333638863428,0.994346864673215
"wall-robot-navigation","Fold_1","svmRadial",0.2,0.2,0.995417048579285,0.992930842778315
"wall-robot-navigation","Fold_1","svmRadial",0.2,0.25,0.992667277726856,0.988680341561096
"wall-robot-navigation","Fold_1","svmRadial",0.2,0.3,0.988084326306141,0.981598228198578
"wall-robot-navigation","Fold_1","svmRadial",0.2,0.4,0.985334555453712,0.977340081807289
"wall-robot-navigation","Fold_1","svmRadial",0.2,0.5,0.982584784601283,0.97310150810108
"wall-robot-navigation","Fold_1","svmRadial",0.2,0.6,0.977085242896425,0.964606880085125
"wall-robot-navigation","Fold_1","svmRadial",0.2,0.7,0.974335472043996,0.960376313471768
"wall-robot-navigation","Fold_1","svmRadial",0.2,0.75,0.974335472043996,0.960376313471768
"wall-robot-navigation","Fold_1","svmRadial",0.2,0.8,0.970669110907424,0.954693572981215
"wall-robot-navigation","Fold_1","svmRadial",0.2,0.9,0.970669110907424,0.954693572981215
"wall-robot-navigation","Fold_1","svmRadial",0.2,1,0.969752520623281,0.953277262068062
"wall-robot-navigation","Fold_1","svmRadial",0.3,0.1,0.993583868010999,0.990093050346814
"wall-robot-navigation","Fold_1","svmRadial",0.3,0.2,0.991750687442713,0.987257385499452
"wall-robot-navigation","Fold_1","svmRadial",0.3,0.25,0.988084326306141,0.981579227634146
"wall-robot-navigation","Fold_1","svmRadial",0.3,0.3,0.985334555453712,0.977327956256048
"wall-robot-navigation","Fold_1","svmRadial",0.3,0.4,0.978918423464711,0.967405084666504
"wall-robot-navigation","Fold_1","svmRadial",0.3,0.5,0.973418881759853,0.95890265049912
"wall-robot-navigation","Fold_1","svmRadial",0.3,0.6,0.967919340054995,0.950376287701871
"wall-robot-navigation","Fold_1","svmRadial",0.3,0.7,0.964252978918423,0.944706587153174
"wall-robot-navigation","Fold_1","svmRadial",0.3,0.75,0.963336388634281,0.94328799665238
"wall-robot-navigation","Fold_1","svmRadial",0.3,0.8,0.959670027497709,0.937616796317619
"wall-robot-navigation","Fold_1","svmRadial",0.3,0.9,0.957836846929423,0.934781196150237
"wall-robot-navigation","Fold_1","svmRadial",0.3,1,0.95692025664528,0.933364348620491
"wall-robot-navigation","Fold_2","svmRadial",0.1,0.1,1,1
"wall-robot-navigation","Fold_2","svmRadial",0.1,0.2,0.998166819431714,0.99719187884154
"wall-robot-navigation","Fold_2","svmRadial",0.1,0.25,0.996333638863428,0.994385549608893
"wall-robot-navigation","Fold_2","svmRadial",0.1,0.3,0.996333638863428,0.994385549608893
"wall-robot-navigation","Fold_2","svmRadial",0.1,0.4,0.994500458295142,0.9915810105874
"wall-robot-navigation","Fold_2","svmRadial",0.1,0.5,0.992667277726856,0.988770174571805
"wall-robot-navigation","Fold_2","svmRadial",0.1,0.6,0.99083409715857,0.985957659318142
"wall-robot-navigation","Fold_2","svmRadial",0.1,0.7,0.987167736021998,0.98035649981995
"wall-robot-navigation","Fold_2","svmRadial",0.1,0.75,0.987167736021998,0.98035649981995
"wall-robot-navigation","Fold_2","svmRadial",0.1,0.8,0.987167736021998,0.98035649981995
"wall-robot-navigation","Fold_2","svmRadial",0.1,0.9,0.984417965169569,0.9761461966643
"wall-robot-navigation","Fold_2","svmRadial",0.1,1,0.983501374885426,0.974744071197078
"wall-robot-navigation","Fold_2","svmRadial",0.2,0.1,0.999083409715857,0.998597008322788
"wall-robot-navigation","Fold_2","svmRadial",0.2,0.2,0.995417048579285,0.99298561891144
"wall-robot-navigation","Fold_2","svmRadial",0.2,0.25,0.993583868010999,0.990179866476016
"wall-robot-navigation","Fold_2","svmRadial",0.2,0.3,0.993583868010999,0.990179866476016
"wall-robot-navigation","Fold_2","svmRadial",0.2,0.4,0.993583868010999,0.990179866476016
"wall-robot-navigation","Fold_2","svmRadial",0.2,0.5,0.989000916590284,0.983164792658965
"wall-robot-navigation","Fold_2","svmRadial",0.2,0.6,0.988084326306141,0.981762609169744
"wall-robot-navigation","Fold_2","svmRadial",0.2,0.7,0.986251145737855,0.97895685673432
"wall-robot-navigation","Fold_2","svmRadial",0.2,0.75,0.984417965169569,0.976151104298896
"wall-robot-navigation","Fold_2","svmRadial",0.2,0.8,0.982584784601283,0.973347545232928
"wall-robot-navigation","Fold_2","svmRadial",0.2,0.9,0.980751604032997,0.970544447530007
"wall-robot-navigation","Fold_2","svmRadial",0.2,1,0.978001833180568,0.966340665782248
"wall-robot-navigation","Fold_2","svmRadial",0.3,0.1,0.995417048579285,0.992993430136599
"wall-robot-navigation","Fold_2","svmRadial",0.3,0.2,0.991750687442713,0.987390182604128
"wall-robot-navigation","Fold_2","svmRadial",0.3,0.25,0.989917506874427,0.984588000960601
"wall-robot-navigation","Fold_2","svmRadial",0.3,0.3,0.989917506874427,0.984588000960601
"wall-robot-navigation","Fold_2","svmRadial",0.3,0.4,0.988084326306141,0.981785819317074
"wall-robot-navigation","Fold_2","svmRadial",0.3,0.5,0.98166819431714,0.971981529895785
"wall-robot-navigation","Fold_2","svmRadial",0.3,0.6,0.975252062328139,0.962161509480496
"wall-robot-navigation","Fold_2","svmRadial",0.3,0.7,0.971585701191567,0.956555807181311
"wall-robot-navigation","Fold_2","svmRadial",0.3,0.75,0.969752520623281,0.953738218684347
"wall-robot-navigation","Fold_2","svmRadial",0.3,0.8,0.968835930339138,0.952334447851105
"wall-robot-navigation","Fold_2","svmRadial",0.3,0.9,0.965169569202566,0.946722491235645
"wall-robot-navigation","Fold_2","svmRadial",0.3,1,0.960586617781852,0.939738700283753
"wall-robot-navigation","Fold_3","svmRadial",0.1,0.1,0.999083409715857,0.998591643839507
"wall-robot-navigation","Fold_3","svmRadial",0.1,0.2,0.997250229147571,0.995775084227239
"wall-robot-navigation","Fold_3","svmRadial",0.1,0.25,0.995417048579285,0.992958473712065
"wall-robot-navigation","Fold_3","svmRadial",0.1,0.3,0.995417048579285,0.992958473712065
"wall-robot-navigation","Fold_3","svmRadial",0.1,0.4,0.992667277726856,0.988733761539891
"wall-robot-navigation","Fold_3","svmRadial",0.1,0.5,0.992667277726856,0.988733761539891
"wall-robot-navigation","Fold_3","svmRadial",0.1,0.6,0.991750687442713,0.987325252681718
"wall-robot-navigation","Fold_3","svmRadial",0.1,0.7,0.991750687442713,0.987325252681718
"wall-robot-navigation","Fold_3","svmRadial",0.1,0.75,0.99083409715857,0.985916692914199
"wall-robot-navigation","Fold_3","svmRadial",0.1,0.8,0.99083409715857,0.985916692914199
"wall-robot-navigation","Fold_3","svmRadial",0.1,0.9,0.989000916590284,0.983105854237021
"wall-robot-navigation","Fold_3","svmRadial",0.1,1,0.989000916590284,0.983105854237021
"wall-robot-navigation","Fold_3","svmRadial",0.2,0.1,0.997250229147571,0.995776539859631
"wall-robot-navigation","Fold_3","svmRadial",0.2,0.2,0.995417048579285,0.992960899766052
"wall-robot-navigation","Fold_3","svmRadial",0.2,0.25,0.994500458295142,0.991552916218246
"wall-robot-navigation","Fold_3","svmRadial",0.2,0.3,0.993583868010999,0.990141519602717
"wall-robot-navigation","Fold_3","svmRadial",0.2,0.4,0.99083409715857,0.985911928245099
"wall-robot-navigation","Fold_3","svmRadial",0.2,0.5,0.985334555453712,0.977434258663171
"wall-robot-navigation","Fold_3","svmRadial",0.2,0.6,0.98166819431714,0.971791729366077
"wall-robot-navigation","Fold_3","svmRadial",0.2,0.7,0.980751604032997,0.970380741470452
"wall-robot-navigation","Fold_3","svmRadial",0.2,0.75,0.980751604032997,0.970380741470452
"wall-robot-navigation","Fold_3","svmRadial",0.2,0.8,0.978918423464711,0.967572184939216
"wall-robot-navigation","Fold_3","svmRadial",0.2,0.9,0.973418881759853,0.959082455854472
"wall-robot-navigation","Fold_3","svmRadial",0.2,1,0.973418881759853,0.959082455854472
"wall-robot-navigation","Fold_3","svmRadial",0.3,0.1,0.994500458295142,0.99156209516812
"wall-robot-navigation","Fold_3","svmRadial",0.3,0.2,0.988084326306141,0.981716953745169
"wall-robot-navigation","Fold_3","svmRadial",0.3,0.25,0.985334555453712,0.977505821348079
"wall-robot-navigation","Fold_3","svmRadial",0.3,0.3,0.983501374885426,0.974684588640679
"wall-robot-navigation","Fold_3","svmRadial",0.3,0.4,0.978918423464711,0.967629954901495
"wall-robot-navigation","Fold_3","svmRadial",0.3,0.5,0.977085242896425,0.964803181714946
"wall-robot-navigation","Fold_3","svmRadial",0.3,0.6,0.977085242896425,0.964803181714946
"wall-robot-navigation","Fold_3","svmRadial",0.3,0.7,0.974335472043996,0.96056480575443
"wall-robot-navigation","Fold_3","svmRadial",0.3,0.75,0.97250229147571,0.957746587969203
"wall-robot-navigation","Fold_3","svmRadial",0.3,0.8,0.970669110907424,0.954929693833816
"wall-robot-navigation","Fold_3","svmRadial",0.3,0.9,0.967919340054995,0.950704352630736
"wall-robot-navigation","Fold_3","svmRadial",0.3,1,0.965169569202566,0.946478113191471
"wall-robot-navigation","Fold_4","svmRadial",0.1,0.1,0.999083409715857,0.998593546557347
"wall-robot-navigation","Fold_4","svmRadial",0.1,0.2,0.997250229147571,0.995783803001963
"wall-robot-navigation","Fold_4","svmRadial",0.1,0.25,0.996333638863428,0.994375650847003
"wall-robot-navigation","Fold_4","svmRadial",0.1,0.3,0.994500458295142,0.991560245740477
"wall-robot-navigation","Fold_4","svmRadial",0.1,0.4,0.99083409715857,0.985928427156717
"wall-robot-navigation","Fold_4","svmRadial",0.1,0.5,0.989000916590284,0.98312057853147
"wall-robot-navigation","Fold_4","svmRadial",0.1,0.6,0.988084326306141,0.981714054379512
"wall-robot-navigation","Fold_4","svmRadial",0.1,0.7,0.988084326306141,0.981714054379512
"wall-robot-navigation","Fold_4","svmRadial",0.1,0.75,0.988084326306141,0.981714054379512
"wall-robot-navigation","Fold_4","svmRadial",0.1,0.8,0.987167736021998,0.980300102923385
"wall-robot-navigation","Fold_4","svmRadial",0.1,0.9,0.986251145737855,0.978893076309945
"wall-robot-navigation","Fold_4","svmRadial",0.1,1,0.985334555453712,0.97748583191244
"wall-robot-navigation","Fold_4","svmRadial",0.2,0.1,0.995417048579285,0.992977428644624
"wall-robot-navigation","Fold_4","svmRadial",0.2,0.2,0.991750687442713,0.987364154039185
"wall-robot-navigation","Fold_4","svmRadial",0.2,0.25,0.989000916590284,0.983137775144576
"wall-robot-navigation","Fold_4","svmRadial",0.2,0.3,0.987167736021998,0.980327404335338
"wall-robot-navigation","Fold_4","svmRadial",0.2,0.4,0.983501374885426,0.974697472581842
"wall-robot-navigation","Fold_4","svmRadial",0.2,0.5,0.98166819431714,0.971885863304996
"wall-robot-navigation","Fold_4","svmRadial",0.2,0.6,0.980751604032997,0.970480270574972
"wall-robot-navigation","Fold_4","svmRadial",0.2,0.7,0.978001833180568,0.966275550289151
"wall-robot-navigation","Fold_4","svmRadial",0.2,0.75,0.975252062328139,0.962074062248133
"wall-robot-navigation","Fold_4","svmRadial",0.2,0.8,0.974335472043996,0.960654808670677
"wall-robot-navigation","Fold_4","svmRadial",0.2,0.9,0.969752520623281,0.953612391674634
"wall-robot-navigation","Fold_4","svmRadial",0.2,1,0.967919340054995,0.95080064113136
"wall-robot-navigation","Fold_4","svmRadial",0.3,0.1,0.996333638863428,0.994378461934819
"wall-robot-navigation","Fold_4","svmRadial",0.3,0.2,0.991750687442713,0.987342049559247
"wall-robot-navigation","Fold_4","svmRadial",0.3,0.25,0.989000916590284,0.983114461047956
"wall-robot-navigation","Fold_4","svmRadial",0.3,0.3,0.986251145737855,0.978908989680677
"wall-robot-navigation","Fold_4","svmRadial",0.3,0.4,0.982584784601283,0.973274593910233
"wall-robot-navigation","Fold_4","svmRadial",0.3,0.5,0.974335472043996,0.960615191025606
"wall-robot-navigation","Fold_4","svmRadial",0.3,0.6,0.969752520623281,0.953564767881879
"wall-robot-navigation","Fold_4","svmRadial",0.3,0.7,0.967002749770852,0.949343579147756
"wall-robot-navigation","Fold_4","svmRadial",0.3,0.75,0.964252978918423,0.945122423079304
"wall-robot-navigation","Fold_4","svmRadial",0.3,0.8,0.962419798350137,0.942308188365422
"wall-robot-navigation","Fold_4","svmRadial",0.3,0.9,0.956003666361137,0.932458628201308
"wall-robot-navigation","Fold_4","svmRadial",0.3,1,0.954170485792851,0.929670800038162
"wall-robot-navigation","Fold_5","svmRadial",0.1,0.1,0.999084249084249,0.998563904286588
"wall-robot-navigation","Fold_5","svmRadial",0.1,0.2,0.997252747252747,0.995691712859764
"wall-robot-navigation","Fold_5","svmRadial",0.1,0.25,0.996336996336996,0.994255277174985
"wall-robot-navigation","Fold_5","svmRadial",0.1,0.3,0.995421245421245,0.99281952143294
"wall-robot-navigation","Fold_5","svmRadial",0.1,0.4,0.994505494505495,0.991382915762478
"wall-robot-navigation","Fold_5","svmRadial",0.1,0.5,0.993589743589744,0.989946140035907
"wall-robot-navigation","Fold_5","svmRadial",0.1,0.6,0.992673992673993,0.988504627887331
"wall-robot-navigation","Fold_5","svmRadial",0.1,0.7,0.992673992673993,0.988504627887331
"wall-robot-navigation","Fold_5","svmRadial",0.1,0.75,0.991758241758242,0.987068472098137
"wall-robot-navigation","Fold_5","svmRadial",0.1,0.8,0.991758241758242,0.987068472098137
"wall-robot-navigation","Fold_5","svmRadial",0.1,0.9,0.988095238095238,0.981323338065211
"wall-robot-navigation","Fold_5","svmRadial",0.1,1,0.986263736263736,0.978452556818556
"wall-robot-navigation","Fold_5","svmRadial",0.2,0.1,0.998168498168498,0.997126327132919
"wall-robot-navigation","Fold_5","svmRadial",0.2,0.2,0.996336996336996,0.994252654265838
"wall-robot-navigation","Fold_5","svmRadial",0.2,0.25,0.994505494505495,0.991377937679544
"wall-robot-navigation","Fold_5","svmRadial",0.2,0.3,0.993589743589744,0.989941536165862
"wall-robot-navigation","Fold_5","svmRadial",0.2,0.4,0.992673992673993,0.988509889439252
"wall-robot-navigation","Fold_5","svmRadial",0.2,0.5,0.991758241758242,0.987072843500908
"wall-robot-navigation","Fold_5","svmRadial",0.2,0.6,0.989010989010989,0.982756919141478
"wall-robot-navigation","Fold_5","svmRadial",0.2,0.7,0.987179487179487,0.979873829659509
"wall-robot-navigation","Fold_5","svmRadial",0.2,0.75,0.986263736263736,0.978437551832808
"wall-robot-navigation","Fold_5","svmRadial",0.2,0.8,0.984432234432234,0.975562558743849
"wall-robot-navigation","Fold_5","svmRadial",0.2,0.9,0.980769230769231,0.969802356343256
"wall-robot-navigation","Fold_5","svmRadial",0.2,1,0.977106227106227,0.96405477893689
"wall-robot-navigation","Fold_5","svmRadial",0.3,0.1,0.995421245421245,0.992816252636343
"wall-robot-navigation","Fold_5","svmRadial",0.3,0.2,0.991758241758242,0.987070819755808
"wall-robot-navigation","Fold_5","svmRadial",0.3,0.25,0.989010989010989,0.982765876857035
"wall-robot-navigation","Fold_5","svmRadial",0.3,0.3,0.989010989010989,0.982765876857035
"wall-robot-navigation","Fold_5","svmRadial",0.3,0.4,0.983516483516483,0.974135378712216
"wall-robot-navigation","Fold_5","svmRadial",0.3,0.5,0.981684981684982,0.971261531902463
"wall-robot-navigation","Fold_5","svmRadial",0.3,0.6,0.978021978021978,0.965497993702015
"wall-robot-navigation","Fold_5","svmRadial",0.3,0.7,0.973443223443223,0.958293439395236
"wall-robot-navigation","Fold_5","svmRadial",0.3,0.75,0.972527472527473,0.956857895755718
"wall-robot-navigation","Fold_5","svmRadial",0.3,0.8,0.972527472527473,0.956857895755718
"wall-robot-navigation","Fold_5","svmRadial",0.3,0.9,0.963369963369963,0.942431251606271
"wall-robot-navigation","Fold_5","svmRadial",0.3,1,0.956959706959707,0.932391917169429
