dataset,fold,method,noise_levels,instance_level,accuracy,kappa
waveform-5000,Fold_1,bayesglm,0.1,0.1,0.998,0.995659722222222
waveform-5000,Fold_1,bayesglm,0.1,0.2,0.998,0.995659722222222
waveform-5000,Fold_1,bayesglm,0.1,0.25,0.998,0.995659722222222
waveform-5000,Fold_1,bayesglm,0.1,0.3,0.998,0.995659722222222
waveform-5000,Fold_1,bayesglm,0.1,0.4,0.996,0.991319444444444
waveform-5000,Fold_1,bayesglm,0.1,0.5,0.996,0.991319444444444
waveform-5000,Fold_1,bayesglm,0.1,0.6,0.995,0.989142708242856
waveform-5000,Fold_1,bayesglm,0.1,0.7,0.992,0.982638888888889
waveform-5000,Fold_1,bayesglm,0.1,0.75,0.992,0.982638888888889
waveform-5000,Fold_1,bayesglm,0.1,0.8,0.991,0.980456874837141
waveform-5000,Fold_1,bayesglm,0.1,0.9,0.988,0.973958333333333
waveform-5000,Fold_1,bayesglm,0.1,1,0.987,0.971805326624447
waveform-5000,Fold_1,bayesglm,0.2,0.1,1,1
waveform-5000,Fold_1,bayesglm,0.2,0.2,0.997,0.993493536913334
waveform-5000,Fold_1,bayesglm,0.2,0.25,0.996,0.991319444444444
waveform-5000,Fold_1,bayesglm,0.2,0.3,0.995,0.989155894855557
waveform-5000,Fold_1,bayesglm,0.2,0.4,0.995,0.989155894855557
waveform-5000,Fold_1,bayesglm,0.2,0.5,0.995,0.989155894855557
waveform-5000,Fold_1,bayesglm,0.2,0.6,0.994,0.986979166666667
waveform-5000,Fold_1,bayesglm,0.2,0.7,0.991,0.980456874837141
waveform-5000,Fold_1,bayesglm,0.2,0.75,0.991,0.980456874837141
waveform-5000,Fold_1,bayesglm,0.2,0.8,0.988,0.9739266469668
waveform-5000,Fold_1,bayesglm,0.2,0.9,0.983,0.962995211144972
waveform-5000,Fold_1,bayesglm,0.2,1,0.983,0.962995211144972
waveform-5000,Fold_1,bayesglm,0.3,0.1,0.995,0.989142708242856
waveform-5000,Fold_1,bayesglm,0.3,0.2,0.995,0.989142708242856
waveform-5000,Fold_1,bayesglm,0.3,0.25,0.995,0.989142708242856
waveform-5000,Fold_1,bayesglm,0.3,0.3,0.994,0.9869633234834
waveform-5000,Fold_1,bayesglm,0.3,0.4,0.992,0.982596588931431
waveform-5000,Fold_1,bayesglm,0.3,0.5,0.989,0.976026501612763
waveform-5000,Fold_1,bayesglm,0.3,0.6,0.987,0.971633062756393
waveform-5000,Fold_1,bayesglm,0.3,0.7,0.981,0.958692060179146
waveform-5000,Fold_1,bayesglm,0.3,0.75,0.98,0.956491472328576
waveform-5000,Fold_1,bayesglm,0.3,0.8,0.978,0.952140619561434
waveform-5000,Fold_1,bayesglm,0.3,0.9,0.975,0.945581192860252
waveform-5000,Fold_1,bayesglm,0.3,1,0.97,0.934895833333333
waveform-5000,Fold_2,bayesglm,0.1,0.1,1,1
waveform-5000,Fold_2,bayesglm,0.1,0.2,1,1
waveform-5000,Fold_2,bayesglm,0.1,0.25,1,1
waveform-5000,Fold_2,bayesglm,0.1,0.3,1,1
waveform-5000,Fold_2,bayesglm,0.1,0.4,0.998998998998999,0.997781621880892
waveform-5000,Fold_2,bayesglm,0.1,0.5,0.996996996996997,0.993344865642674
waveform-5000,Fold_2,bayesglm,0.1,0.6,0.996996996996997,0.993344865642674
waveform-5000,Fold_2,bayesglm,0.1,0.7,0.996996996996997,0.993344865642674
waveform-5000,Fold_2,bayesglm,0.1,0.75,0.996996996996997,0.993344865642674
waveform-5000,Fold_2,bayesglm,0.1,0.8,0.996996996996997,0.993344865642674
waveform-5000,Fold_2,bayesglm,0.1,0.9,0.995995995995996,0.991120315722108
waveform-5000,Fold_2,bayesglm,0.1,1,0.994994994994995,0.988908109404458
waveform-5000,Fold_2,bayesglm,0.2,0.1,0.998998998998999,0.997778533832329
waveform-5000,Fold_2,bayesglm,0.2,0.2,0.996996996996997,0.993344865642674
waveform-5000,Fold_2,bayesglm,0.2,0.25,0.995995995995996,0.991120315722108
waveform-5000,Fold_2,bayesglm,0.2,0.3,0.992992992992993,0.984428060221298
waveform-5000,Fold_2,bayesglm,0.2,0.4,0.992992992992993,0.984428060221298
waveform-5000,Fold_2,bayesglm,0.2,0.5,0.988988988988989,0.975495650583899
waveform-5000,Fold_2,bayesglm,0.2,0.6,0.984984984984985,0.96667800748494
waveform-5000,Fold_2,bayesglm,0.2,0.7,0.983983983983984,0.964481262888431
waveform-5000,Fold_2,bayesglm,0.2,0.75,0.981981981981982,0.960041420749484
waveform-5000,Fold_2,bayesglm,0.2,0.8,0.97997997997998,0.955539731636218
waveform-5000,Fold_2,bayesglm,0.2,0.9,0.976976976976977,0.948906278143575
waveform-5000,Fold_2,bayesglm,0.2,1,0.975975975975976,0.946647677963461
waveform-5000,Fold_2,bayesglm,0.3,0.1,0.996996996996997,0.993344865642674
waveform-5000,Fold_2,bayesglm,0.3,0.2,0.995995995995996,0.991132650751594
waveform-5000,Fold_2,bayesglm,0.3,0.25,0.994994994994995,0.988908109404458
waveform-5000,Fold_2,bayesglm,0.3,0.3,0.991991991991992,0.982215892654487
waveform-5000,Fold_2,bayesglm,0.3,0.4,0.991991991991992,0.982215892654487
waveform-5000,Fold_2,bayesglm,0.3,0.5,0.988988988988989,0.975597840689807
waveform-5000,Fold_2,bayesglm,0.3,0.6,0.981981981981982,0.960207482285669
waveform-5000,Fold_2,bayesglm,0.3,0.7,0.980980980980981,0.957967673573512
waveform-5000,Fold_2,bayesglm,0.3,0.75,0.977977977977978,0.951297233572955
waveform-5000,Fold_2,bayesglm,0.3,0.8,0.974974974974975,0.944617533900278
waveform-5000,Fold_2,bayesglm,0.3,0.9,0.96996996996997,0.933402367915807
waveform-5000,Fold_2,bayesglm,0.3,1,0.968968968968969,0.931134548802209
waveform-5000,Fold_3,bayesglm,0.1,0.1,1,1
waveform-5000,Fold_3,bayesglm,0.1,0.2,0.998,0.995615881032548
waveform-5000,Fold_3,bayesglm,0.1,0.25,0.996,0.991220368744513
waveform-5000,Fold_3,bayesglm,0.1,0.3,0.996,0.991220368744513
waveform-5000,Fold_3,bayesglm,0.1,0.4,0.995,0.98903258637935
waveform-5000,Fold_3,bayesglm,0.1,0.5,0.993,0.98464562093109
waveform-5000,Fold_3,bayesglm,0.1,0.6,0.991,0.980284257198437
waveform-5000,Fold_3,bayesglm,0.1,0.7,0.989,0.975934190951256
waveform-5000,Fold_3,bayesglm,0.1,0.75,0.988,0.973729377561386
waveform-5000,Fold_3,bayesglm,0.1,0.8,0.988,0.973729377561386
waveform-5000,Fold_3,bayesglm,0.1,0.9,0.986,0.969350940488283
waveform-5000,Fold_3,bayesglm,0.1,1,0.985,0.967140428664061
waveform-5000,Fold_3,bayesglm,0.2,0.1,1,1
