dataset,fold,method,noise_levels,instance_level,accuracy,kappa
banknote,Fold_1,bayesglm,0.1,0.1,1,1
banknote,Fold_1,bayesglm,0.1,0.2,1,1
banknote,Fold_1,bayesglm,0.1,0.25,0.996363636363636,0.992639777319808
banknote,Fold_1,bayesglm,0.1,0.3,0.996363636363636,0.992639777319808
banknote,Fold_1,bayesglm,0.1,0.4,0.996363636363636,0.992639777319808
banknote,Fold_1,bayesglm,0.1,0.5,0.996363636363636,0.992639777319808
banknote,Fold_1,bayesglm,0.1,0.6,0.996363636363636,0.992639777319808
banknote,Fold_1,bayesglm,0.1,0.7,0.992727272727273,0.985267330976106
banknote,Fold_1,bayesglm,0.1,0.75,0.992727272727273,0.985267330976106
banknote,Fold_1,bayesglm,0.1,0.8,0.992727272727273,0.985267330976106
banknote,Fold_1,bayesglm,0.1,0.9,0.989090909090909,0.97788263049248
banknote,Fold_1,bayesglm,0.1,1,0.989090909090909,0.97788263049248
banknote,Fold_1,bayesglm,0.2,0.1,1,1
banknote,Fold_1,bayesglm,0.2,0.2,0.996363636363636,0.992661774516344
banknote,Fold_1,bayesglm,0.2,0.25,0.992727272727273,0.985313751668892
banknote,Fold_1,bayesglm,0.2,0.3,0.992727272727273,0.985313751668892
banknote,Fold_1,bayesglm,0.2,0.4,0.985454545454545,0.970627503337784
banknote,Fold_1,bayesglm,0.2,0.5,0.985454545454545,0.970627503337784
banknote,Fold_1,bayesglm,0.2,0.6,0.981818181818182,0.963308872581721
banknote,Fold_1,bayesglm,0.2,0.7,0.978181818181818,0.955941255006675
banknote,Fold_1,bayesglm,0.2,0.75,0.978181818181818,0.955941255006675
banknote,Fold_1,bayesglm,0.2,0.8,0.978181818181818,0.955941255006675
banknote,Fold_1,bayesglm,0.2,0.9,0.974545454545454,0.94863242161441
banknote,Fold_1,bayesglm,0.2,1,0.974545454545454,0.94863242161441
banknote,Fold_1,bayesglm,0.3,0.1,0.996363636363636,0.992696077129425
banknote,Fold_1,bayesglm,0.3,0.2,0.992727272727273,0.985384778911565
banknote,Fold_1,bayesglm,0.3,0.25,0.989090909090909,0.978066094169569
banknote,Fold_1,bayesglm,0.3,0.3,0.989090909090909,0.978066094169569
banknote,Fold_1,bayesglm,0.3,0.4,0.989090909090909,0.978066094169569
banknote,Fold_1,bayesglm,0.3,0.5,0.989090909090909,0.978066094169569
banknote,Fold_1,bayesglm,0.3,0.6,0.985454545454545,0.970740011703995
banknote,Fold_1,bayesglm,0.3,0.7,0.981818181818182,0.963443490282615
banknote,Fold_1,bayesglm,0.3,0.75,0.981818181818182,0.963443490282615
banknote,Fold_1,bayesglm,0.3,0.8,0.981818181818182,0.963443490282615
banknote,Fold_1,bayesglm,0.3,0.9,0.978181818181818,0.956110017555993
banknote,Fold_1,bayesglm,0.3,1,0.978181818181818,0.956110017555993
banknote,Fold_2,bayesglm,0.1,0.1,1,1
banknote,Fold_2,bayesglm,0.1,0.2,1,1
banknote,Fold_2,bayesglm,0.1,0.25,1,1
banknote,Fold_2,bayesglm,0.1,0.3,1,1
banknote,Fold_2,bayesglm,0.1,0.4,1,1
banknote,Fold_2,bayesglm,0.1,0.5,1,1
banknote,Fold_2,bayesglm,0.1,0.6,1,1
banknote,Fold_2,bayesglm,0.1,0.7,1,1
banknote,Fold_2,bayesglm,0.1,0.75,1,1
banknote,Fold_2,bayesglm,0.1,0.8,1,1
banknote,Fold_2,bayesglm,0.1,0.9,1,1
banknote,Fold_2,bayesglm,0.1,1,1,1
banknote,Fold_2,bayesglm,0.2,0.1,1,1
banknote,Fold_2,bayesglm,0.2,0.2,0.996350364963504,0.992618136753058
banknote,Fold_2,bayesglm,0.2,0.25,0.996350364963504,0.992618136753058
banknote,Fold_2,bayesglm,0.2,0.3,0.996350364963504,0.992618136753058
banknote,Fold_2,bayesglm,0.2,0.4,0.989051094890511,0.977854410259173
banknote,Fold_2,bayesglm,0.2,0.5,0.989051094890511,0.977854410259173
banknote,Fold_2,bayesglm,0.2,0.6,0.989051094890511,0.977854410259173
banknote,Fold_2,bayesglm,0.2,0.7,0.989051094890511,0.977854410259173
banknote,Fold_2,bayesglm,0.2,0.75,0.989051094890511,0.977854410259173
banknote,Fold_2,bayesglm,0.2,0.8,0.989051094890511,0.977854410259173
banknote,Fold_2,bayesglm,0.2,0.9,0.985401459854015,0.970450256133729
banknote,Fold_2,bayesglm,0.2,1,0.985401459854015,0.970450256133729
banknote,Fold_2,bayesglm,0.3,0.1,0.996350364963504,0.992629257007586
banknote,Fold_2,bayesglm,0.3,0.2,0.989051094890511,0.977856796508809
banknote,Fold_2,bayesglm,0.3,0.25,0.985401459854015,0.970455035583351
banknote,Fold_2,bayesglm,0.3,0.3,0.981751824817518,0.963042891826275
banknote,Fold_2,bayesglm,0.3,0.4,0.974452554744526,0.94818736830731
banknote,Fold_2,bayesglm,0.3,0.5,0.974452554744526,0.94818736830731
banknote,Fold_2,bayesglm,0.3,0.6,0.974452554744526,0.94818736830731
banknote,Fold_2,bayesglm,0.3,0.7,0.974452554744526,0.94818736830731
banknote,Fold_2,bayesglm,0.3,0.75,0.974452554744526,0.94818736830731
banknote,Fold_2,bayesglm,0.3,0.8,0.974452554744526,0.94818736830731
banknote,Fold_2,bayesglm,0.3,0.9,0.974452554744526,0.94818736830731
banknote,Fold_2,bayesglm,0.3,1,0.974452554744526,0.94818736830731
banknote,Fold_3,bayesglm,0.1,0.1,1,1
banknote,Fold_3,bayesglm,0.1,0.2,0.996350364963504,0.992629257007586
banknote,Fold_3,bayesglm,0.1,0.25,0.996350364963504,0.992629257007586
banknote,Fold_3,bayesglm,0.1,0.3,0.996350364963504,0.992629257007586
banknote,Fold_3,bayesglm,0.1,0.4,0.996350364963504,0.992629257007586
banknote,Fold_3,bayesglm,0.1,0.5,0.996350364963504,0.992629257007586
banknote,Fold_3,bayesglm,0.1,0.6,0.996350364963504,0.992629257007586
banknote,Fold_3,bayesglm,0.1,0.7,0.996350364963504,0.992629257007586
banknote,Fold_3,bayesglm,0.1,0.75,0.996350364963504,0.992629257007586
banknote,Fold_3,bayesglm,0.1,0.8,0.996350364963504,0.992629257007586
banknote,Fold_3,bayesglm,0.1,0.9,0.992700729927007,0.985248196403575
banknote,Fold_3,bayesglm,0.1,1,0.992700729927007,0.985248196403575
banknote,Fold_3,bayesglm,0.2,0.1,1,1
banknote,Fold_3,bayesglm,0.2,0.2,1,1
banknote,Fold_3,bayesglm,0.2,0.25,1,1
banknote,Fold_3,bayesglm,0.2,0.3,1,1
banknote,Fold_3,bayesglm,0.2,0.4,1,1
banknote,Fold_3,bayesglm,0.2,0.5,1,1
banknote,Fold_3,bayesglm,0.2,0.6,1,1
banknote,Fold_3,bayesglm,0.2,0.7,1,1
banknote,Fold_3,bayesglm,0.2,0.75,1,1
banknote,Fold_3,bayesglm,0.2,0.8,1,1
banknote,Fold_3,bayesglm,0.2,0.9,1,1
banknote,Fold_3,bayesglm,0.2,1,1,1
banknote,Fold_3,bayesglm,0.3,0.1,0.996350364963504,0.99267262127614
banknote,Fold_3,bayesglm,0.3,0.2,0.992700729927007,0.985338969447269
banknote,Fold_3,bayesglm,0.3,0.25,0.992700729927007,0.985338969447269
banknote,Fold_3,bayesglm,0.3,0.3,0.992700729927007,0.985338969447269
banknote,Fold_3,bayesglm,0.3,0.4,0.989051094890511,0.977999036454151
banknote,Fold_3,bayesglm,0.3,0.5,0.981751824817518,0.963300294669167
banknote,Fold_3,bayesglm,0.3,0.6,0.978102189781022,0.955979221335618
banknote,Fold_3,bayesglm,0.3,0.7,0.974452554744526,0.948620412536834
banknote,Fold_3,bayesglm,0.3,0.75,0.970802919708029,0.941305628447491
banknote,Fold_3,bayesglm,0.3,0.8,0.970802919708029,0.941305628447491
banknote,Fold_3,bayesglm,0.3,0.9,0.963503649635037,0.926632035559364
banknote,Fold_3,bayesglm,0.3,1,0.95985401459854,0.919329800331888
banknote,Fold_4,bayesglm,0.1,0.1,1,1
banknote,Fold_4,bayesglm,0.1,0.2,1,1
banknote,Fold_4,bayesglm,0.1,0.25,1,1
