dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
blood-transfusion-service-center,C5.0,0.1,0.1,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.1,0.2,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.1,0.25,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.1,0.3,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.1,0.4,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.1,0.5,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.1,0.6,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.1,0.7,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.1,0.75,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.1,0.8,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.1,0.9,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.1,1,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.2,0.1,0.999,0.993,0.007,0.003,0.015
blood-transfusion-service-center,C5.0,0.2,0.2,0.997,0.99,0.01,0.004,0.015
blood-transfusion-service-center,C5.0,0.2,0.25,0.996,0.986,0.014,0.006,0.019
blood-transfusion-service-center,C5.0,0.2,0.3,0.996,0.986,0.014,0.006,0.019
blood-transfusion-service-center,C5.0,0.2,0.4,0.991,0.969,0.031,0.015,0.043
blood-transfusion-service-center,C5.0,0.2,0.5,0.985,0.948,0.052,0.02,0.073
blood-transfusion-service-center,C5.0,0.2,0.6,0.985,0.948,0.052,0.02,0.073
blood-transfusion-service-center,C5.0,0.2,0.7,0.984,0.944,0.056,0.022,0.077
blood-transfusion-service-center,C5.0,0.2,0.75,0.984,0.944,0.056,0.022,0.077
blood-transfusion-service-center,C5.0,0.2,0.8,0.984,0.944,0.056,0.022,0.077
blood-transfusion-service-center,C5.0,0.2,0.9,0.984,0.944,0.056,0.022,0.077
blood-transfusion-service-center,C5.0,0.2,1,0.983,0.941,0.059,0.025,0.081
blood-transfusion-service-center,C5.0,0.3,0.1,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.3,0.2,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.3,0.25,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.3,0.3,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.3,0.4,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.3,0.5,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.3,0.6,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.3,0.7,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.3,0.75,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.3,0.8,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.3,0.9,1,1,0,0,0
blood-transfusion-service-center,C5.0,0.3,1,1,1,0,0,0
blood-transfusion-service-center,JRip,0.1,0.1,1,1,0,0,0
blood-transfusion-service-center,JRip,0.1,0.2,0.997,0.988,0.012,0.004,0.017
blood-transfusion-service-center,JRip,0.1,0.25,0.997,0.988,0.012,0.004,0.017
blood-transfusion-service-center,JRip,0.1,0.3,0.997,0.988,0.012,0.004,0.017
blood-transfusion-service-center,JRip,0.1,0.4,0.995,0.975,0.025,0.006,0.03
blood-transfusion-service-center,JRip,0.1,0.5,0.993,0.965,0.035,0.005,0.028
blood-transfusion-service-center,JRip,0.1,0.6,0.993,0.965,0.035,0.005,0.028
blood-transfusion-service-center,JRip,0.1,0.7,0.992,0.96,0.04,0.006,0.028
blood-transfusion-service-center,JRip,0.1,0.75,0.992,0.96,0.04,0.006,0.028
blood-transfusion-service-center,JRip,0.1,0.8,0.992,0.96,0.04,0.006,0.028
blood-transfusion-service-center,JRip,0.1,0.9,0.989,0.95,0.05,0.004,0.019
blood-transfusion-service-center,JRip,0.1,1,0.988,0.942,0.058,0.003,0.026
blood-transfusion-service-center,JRip,0.2,0.1,0.995,0.983,0.017,0.006,0.018
blood-transfusion-service-center,JRip,0.2,0.2,0.992,0.975,0.025,0.011,0.033
blood-transfusion-service-center,JRip,0.2,0.25,0.989,0.967,0.033,0.017,0.051
blood-transfusion-service-center,JRip,0.2,0.3,0.988,0.963,0.037,0.017,0.05
blood-transfusion-service-center,JRip,0.2,0.4,0.988,0.963,0.037,0.017,0.05
blood-transfusion-service-center,JRip,0.2,0.5,0.98,0.937,0.063,0.025,0.078
blood-transfusion-service-center,JRip,0.2,0.6,0.976,0.925,0.075,0.031,0.096
blood-transfusion-service-center,JRip,0.2,0.7,0.975,0.921,0.079,0.033,0.103
blood-transfusion-service-center,JRip,0.2,0.75,0.972,0.913,0.087,0.039,0.119
blood-transfusion-service-center,JRip,0.2,0.8,0.971,0.908,0.092,0.042,0.129
blood-transfusion-service-center,JRip,0.2,0.9,0.963,0.881,0.119,0.045,0.137
blood-transfusion-service-center,JRip,0.2,1,0.957,0.865,0.135,0.053,0.161
blood-transfusion-service-center,JRip,0.3,0.1,0.997,0.99,0.01,0.004,0.014
blood-transfusion-service-center,JRip,0.3,0.2,0.995,0.979,0.021,0.006,0.021
blood-transfusion-service-center,JRip,0.3,0.25,0.992,0.966,0.034,0.009,0.041
blood-transfusion-service-center,JRip,0.3,0.3,0.989,0.951,0.049,0.014,0.071
blood-transfusion-service-center,JRip,0.3,0.4,0.984,0.928,0.072,0.019,0.097
blood-transfusion-service-center,JRip,0.3,0.5,0.983,0.923,0.077,0.018,0.094
blood-transfusion-service-center,JRip,0.3,0.6,0.981,0.918,0.082,0.019,0.095
blood-transfusion-service-center,JRip,0.3,0.7,0.979,0.906,0.094,0.022,0.113
blood-transfusion-service-center,JRip,0.3,0.75,0.977,0.901,0.099,0.023,0.114
blood-transfusion-service-center,JRip,0.3,0.8,0.977,0.901,0.099,0.023,0.114
blood-transfusion-service-center,JRip,0.3,0.9,0.975,0.887,0.113,0.027,0.134
blood-transfusion-service-center,JRip,0.3,1,0.975,0.887,0.113,0.027,0.134
blood-transfusion-service-center,PART,0.1,0.1,1,1,0,0,0
blood-transfusion-service-center,PART,0.1,0.2,1,1,0,0,0
blood-transfusion-service-center,PART,0.1,0.25,1,1,0,0,0
blood-transfusion-service-center,PART,0.1,0.3,1,1,0,0,0
blood-transfusion-service-center,PART,0.1,0.4,1,1,0,0,0
blood-transfusion-service-center,PART,0.1,0.5,0.999,0.996,0.004,0.003,0.009
blood-transfusion-service-center,PART,0.1,0.6,0.999,0.996,0.004,0.003,0.009
blood-transfusion-service-center,PART,0.1,0.7,0.999,0.996,0.004,0.003,0.009
blood-transfusion-service-center,PART,0.1,0.75,0.999,0.996,0.004,0.003,0.009
blood-transfusion-service-center,PART,0.1,0.8,0.999,0.996,0.004,0.003,0.009
blood-transfusion-service-center,PART,0.1,0.9,0.999,0.996,0.004,0.003,0.009
blood-transfusion-service-center,PART,0.1,1,0.999,0.996,0.004,0.003,0.009
blood-transfusion-service-center,PART,0.2,0.1,1,1,0,0,0
blood-transfusion-service-center,PART,0.2,0.2,1,1,0,0,0
blood-transfusion-service-center,PART,0.2,0.25,1,1,0,0,0
blood-transfusion-service-center,PART,0.2,0.3,1,1,0,0,0
blood-transfusion-service-center,PART,0.2,0.4,1,1,0,0,0
blood-transfusion-service-center,PART,0.2,0.5,1,1,0,0,0
blood-transfusion-service-center,PART,0.2,0.6,1,1,0,0,0
blood-transfusion-service-center,PART,0.2,0.7,1,1,0,0,0
blood-transfusion-service-center,PART,0.2,0.75,1,1,0,0,0
blood-transfusion-service-center,PART,0.2,0.8,1,1,0,0,0
blood-transfusion-service-center,PART,0.2,0.9,1,1,0,0,0
blood-transfusion-service-center,PART,0.2,1,1,1,0,0,0
blood-transfusion-service-center,PART,0.3,0.1,1,1,0,0,0
blood-transfusion-service-center,PART,0.3,0.2,0.999,0.996,0.004,0.003,0.008
blood-transfusion-service-center,PART,0.3,0.25,0.999,0.996,0.004,0.003,0.008
blood-transfusion-service-center,PART,0.3,0.3,0.999,0.996,0.004,0.003,0.008
blood-transfusion-service-center,PART,0.3,0.4,0.999,0.996,0.004,0.003,0.008
blood-transfusion-service-center,PART,0.3,0.5,0.997,0.99,0.01,0.004,0.014
blood-transfusion-service-center,PART,0.3,0.6,0.997,0.99,0.01,0.004,0.014
blood-transfusion-service-center,PART,0.3,0.7,0.997,0.99,0.01,0.004,0.014
blood-transfusion-service-center,PART,0.3,0.75,0.997,0.99,0.01,0.004,0.014
blood-transfusion-service-center,PART,0.3,0.8,0.997,0.99,0.01,0.004,0.014
blood-transfusion-service-center,PART,0.3,0.9,0.997,0.99,0.01,0.004,0.014
blood-transfusion-service-center,PART,0.3,1,0.997,0.99,0.01,0.004,0.014
blood-transfusion-service-center,bayesglm,0.1,0.1,1,1,0,0,0
blood-transfusion-service-center,bayesglm,0.1,0.2,1,1,0,0,0
blood-transfusion-service-center,bayesglm,0.1,0.25,1,1,0,0,0
blood-transfusion-service-center,bayesglm,0.1,0.3,1,1,0,0,0
blood-transfusion-service-center,bayesglm,0.1,0.4,1,1,0,0,0
blood-transfusion-service-center,bayesglm,0.1,0.5,1,1,0,0,0
blood-transfusion-service-center,bayesglm,0.1,0.6,1,1,0,0,0
blood-transfusion-service-center,bayesglm,0.1,0.7,0.999,0.988,0.012,0.003,0.028
blood-transfusion-service-center,bayesglm,0.1,0.75,0.999,0.988,0.012,0.003,0.028
blood-transfusion-service-center,bayesglm,0.1,0.8,0.999,0.988,0.012,0.003,0.028
blood-transfusion-service-center,bayesglm,0.1,0.9,0.999,0.988,0.012,0.003,0.028
blood-transfusion-service-center,bayesglm,0.1,1,0.999,0.988,0.012,0.003,0.028
blood-transfusion-service-center,bayesglm,0.2,0.1,0.997,0.975,0.025,0.004,0.035
blood-transfusion-service-center,bayesglm,0.2,0.2,0.996,0.965,0.035,0.006,0.05
blood-transfusion-service-center,bayesglm,0.2,0.25,0.995,0.952,0.048,0.006,0.047
blood-transfusion-service-center,bayesglm,0.2,0.3,0.995,0.952,0.048,0.006,0.047
blood-transfusion-service-center,bayesglm,0.2,0.4,0.995,0.952,0.048,0.006,0.047
blood-transfusion-service-center,bayesglm,0.2,0.5,0.993,0.923,0.077,0.005,0.055
blood-transfusion-service-center,bayesglm,0.2,0.6,0.992,0.914,0.086,0.007,0.064
blood-transfusion-service-center,bayesglm,0.2,0.7,0.992,0.914,0.086,0.007,0.064
