dataset,fold,method,noise_levels,instance_level,accuracy,kappa
cmc,Fold_1,bayesglm,0.1,0.1,0.996610169491525,0.99241742706593
cmc,Fold_1,bayesglm,0.1,0.2,0.993220338983051,0.984872570637403
cmc,Fold_1,bayesglm,0.1,0.25,0.993220338983051,0.984872570637403
cmc,Fold_1,bayesglm,0.1,0.3,0.993220338983051,0.984872570637403
cmc,Fold_1,bayesglm,0.1,0.4,0.993220338983051,0.984872570637403
cmc,Fold_1,bayesglm,0.1,0.5,0.993220338983051,0.984872570637403
cmc,Fold_1,bayesglm,0.1,0.6,0.989830508474576,0.977365150003837
cmc,Fold_1,bayesglm,0.1,0.7,0.989830508474576,0.977365150003837
cmc,Fold_1,bayesglm,0.1,0.75,0.989830508474576,0.977365150003837
cmc,Fold_1,bayesglm,0.1,0.8,0.989830508474576,0.977365150003837
cmc,Fold_1,bayesglm,0.1,0.9,0.986440677966102,0.969894887233391
cmc,Fold_1,bayesglm,0.1,1,0.986440677966102,0.969894887233391
cmc,Fold_1,bayesglm,0.2,0.1,0.996610169491525,0.992340248747176
cmc,Fold_1,bayesglm,0.2,0.2,0.993220338983051,0.984719776235367
cmc,Fold_1,bayesglm,0.2,0.25,0.989830508474576,0.977020746241529
cmc,Fold_1,bayesglm,0.2,0.3,0.989830508474576,0.977020746241529
cmc,Fold_1,bayesglm,0.2,0.4,0.986440677966102,0.969282032592284
cmc,Fold_1,bayesglm,0.2,0.5,0.976271186440678,0.946381741230234
cmc,Fold_1,bayesglm,0.2,0.6,0.976271186440678,0.946381741230234
cmc,Fold_1,bayesglm,0.2,0.7,0.972881355932203,0.938879104941469
cmc,Fold_1,bayesglm,0.2,0.75,0.969491525423729,0.931414843326186
cmc,Fold_1,bayesglm,0.2,0.8,0.966101694915254,0.923598881176836
cmc,Fold_1,bayesglm,0.2,0.9,0.96271186440678,0.916173697398672
cmc,Fold_1,bayesglm,0.2,1,0.959322033898305,0.908786395258954
cmc,Fold_1,bayesglm,0.3,0.1,0.996610169491525,0.992340248747176
cmc,Fold_1,bayesglm,0.3,0.2,0.989830508474576,0.976901996607073
cmc,Fold_1,bayesglm,0.3,0.25,0.986440677966102,0.969282032592284
cmc,Fold_1,bayesglm,0.3,0.3,0.986440677966102,0.969282032592284
cmc,Fold_1,bayesglm,0.3,0.4,0.986440677966102,0.969282032592284
cmc,Fold_1,bayesglm,0.3,0.5,0.969491525423729,0.931414843326186
cmc,Fold_1,bayesglm,0.3,0.6,0.969491525423729,0.931414843326186
cmc,Fold_1,bayesglm,0.3,0.7,0.966101694915254,0.923988662715795
cmc,Fold_1,bayesglm,0.3,0.75,0.966101694915254,0.923988662715795
cmc,Fold_1,bayesglm,0.3,0.8,0.966101694915254,0.923988662715795
cmc,Fold_1,bayesglm,0.3,0.9,0.966101694915254,0.923988662715795
cmc,Fold_1,bayesglm,0.3,1,0.96271186440678,0.916173697398672
cmc,Fold_2,bayesglm,0.1,0.1,0.993197278911565,0.984085742124066
cmc,Fold_2,bayesglm,0.1,0.2,0.993197278911565,0.984085742124066
cmc,Fold_2,bayesglm,0.1,0.25,0.989795918367347,0.976054732041049
cmc,Fold_2,bayesglm,0.1,0.3,0.989795918367347,0.976054732041049
