"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"mfeat-pixel","Fold_1","C5.0",0.1,0.1,0.9975,0.99722145040289
"mfeat-pixel","Fold_1","C5.0",0.1,0.2,0.9975,0.99722145040289
"mfeat-pixel","Fold_1","C5.0",0.1,0.25,0.9975,0.99722145040289
"mfeat-pixel","Fold_1","C5.0",0.1,0.3,0.995,0.994442900805779
"mfeat-pixel","Fold_1","C5.0",0.1,0.4,0.995,0.994442900805779
"mfeat-pixel","Fold_1","C5.0",0.1,0.5,0.995,0.994442900805779
"mfeat-pixel","Fold_1","C5.0",0.1,0.6,0.9925,0.991664698609394
"mfeat-pixel","Fold_1","C5.0",0.1,0.7,0.99,0.988886264812525
"mfeat-pixel","Fold_1","C5.0",0.1,0.75,0.9875,0.986107831015657
"mfeat-pixel","Fold_1","C5.0",0.1,0.8,0.9875,0.986107831015657
"mfeat-pixel","Fold_1","C5.0",0.1,0.9,0.9825,0.980550963421919
"mfeat-pixel","Fold_1","C5.0",0.1,1,0.9825,0.980550963421919
"mfeat-pixel","Fold_1","C5.0",0.2,0.1,0.995,0.994443363987442
"mfeat-pixel","Fold_1","C5.0",0.2,0.2,0.995,0.994443363987442
"mfeat-pixel","Fold_1","C5.0",0.2,0.25,0.99,0.98888719109864
"mfeat-pixel","Fold_1","C5.0",0.2,0.3,0.9875,0.986109278307555
"mfeat-pixel","Fold_1","C5.0",0.2,0.4,0.9875,0.986109278307555
"mfeat-pixel","Fold_1","C5.0",0.2,0.5,0.985,0.983331481275697
"mfeat-pixel","Fold_1","C5.0",0.2,0.6,0.9825,0.980553799995833
"mfeat-pixel","Fold_1","C5.0",0.2,0.7,0.9775,0.974999305536265
"mfeat-pixel","Fold_1","C5.0",0.2,0.75,0.9725,0.969444868821266
"mfeat-pixel","Fold_1","C5.0",0.2,0.8,0.9725,0.969444868821266
"mfeat-pixel","Fold_1","C5.0",0.2,0.9,0.9675,0.963890894950281
"mfeat-pixel","Fold_1","C5.0",0.2,1,0.965,0.961114081563214
"mfeat-pixel","Fold_1","C5.0",0.3,0.1,0.995,0.994443363987442
"mfeat-pixel","Fold_1","C5.0",0.3,0.2,0.9925,0.99166521965619
"mfeat-pixel","Fold_1","C5.0",0.3,0.25,0.9875,0.986109278307555
"mfeat-pixel","Fold_1","C5.0",0.3,0.3,0.985,0.983331481275697
"mfeat-pixel","Fold_1","C5.0",0.3,0.4,0.98,0.977776234460726
"mfeat-pixel","Fold_1","C5.0",0.3,0.5,0.975,0.97222145059585
"mfeat-pixel","Fold_1","C5.0",0.3,0.6,0.9725,0.969444232251613
"mfeat-pixel","Fold_1","C5.0",0.3,0.7,0.9675,0.963890894950281
"mfeat-pixel","Fold_1","C5.0",0.3,0.75,0.9625,0.958337383865458
"mfeat-pixel","Fold_1","C5.0",0.3,0.8,0.9625,0.958337383865458
"mfeat-pixel","Fold_1","C5.0",0.3,0.9,0.95,0.944455630463309
"mfeat-pixel","Fold_1","C5.0",0.3,1,0.945,0.938903738674628
"mfeat-pixel","Fold_2","C5.0",0.1,0.1,0.9925,0.991665103873643
"mfeat-pixel","Fold_2","C5.0",0.1,0.2,0.9825,0.980550287925202
"mfeat-pixel","Fold_2","C5.0",0.1,0.25,0.98,0.977771294405313
"mfeat-pixel","Fold_2","C5.0",0.1,0.3,0.9775,0.974992185057831
"mfeat-pixel","Fold_2","C5.0",0.1,0.4,0.97,0.966654161977408
"mfeat-pixel","Fold_2","C5.0",0.1,0.5,0.97,0.966654161977408
"mfeat-pixel","Fold_2","C5.0",0.1,0.6,0.965,0.96109490065305
"mfeat-pixel","Fold_2","C5.0",0.1,0.7,0.96,0.955535175844484
"mfeat-pixel","Fold_2","C5.0",0.1,0.75,0.9575,0.95275513961551
"mfeat-pixel","Fold_2","C5.0",0.1,0.8,0.9575,0.95275513961551
"mfeat-pixel","Fold_2","C5.0",0.1,0.9,0.9525,0.947194719471947
"mfeat-pixel","Fold_2","C5.0",0.1,1,0.945,0.93885321993385
"mfeat-pixel","Fold_2","C5.0",0.2,0.1,0.9975,0.997221817070545
"mfeat-pixel","Fold_2","C5.0",0.2,0.2,0.9925,0.991665103873643
"mfeat-pixel","Fold_2","C5.0",0.2,0.25,0.9925,0.991665103873643
"mfeat-pixel","Fold_2","C5.0",0.2,0.3,0.985,0.983329165624739
"mfeat-pixel","Fold_2","C5.0",0.2,0.4,0.9825,0.980550287925202
"mfeat-pixel","Fold_2","C5.0",0.2,0.5,0.98,0.977771294405313
"mfeat-pixel","Fold_2","C5.0",0.2,0.6,0.9775,0.974992185057831
"mfeat-pixel","Fold_2","C5.0",0.2,0.7,0.97,0.966654161977408
"mfeat-pixel","Fold_2","C5.0",0.2,0.75,0.9675,0.963874589247133
"mfeat-pixel","Fold_2","C5.0",0.2,0.8,0.9675,0.963874589247133
"mfeat-pixel","Fold_2","C5.0",0.2,0.9,0.96,0.955535175844484
"mfeat-pixel","Fold_2","C5.0",0.2,1,0.955,0.949974987493747
"mfeat-pixel","Fold_2","C5.0",0.3,0.1,0.995,0.994443518364172
"mfeat-pixel","Fold_2","C5.0",0.3,0.2,0.99,0.98888657359172
"mfeat-pixel","Fold_2","C5.0",0.3,0.25,0.99,0.98888657359172
"mfeat-pixel","Fold_2","C5.0",0.3,0.3,0.9825,0.980550287925202
"mfeat-pixel","Fold_2","C5.0",0.3,0.4,0.98,0.977771294405313
"mfeat-pixel","Fold_2","C5.0",0.3,0.5,0.9725,0.969433618851121
"mfeat-pixel","Fold_2","C5.0",0.3,0.6,0.9675,0.963874589247133
"mfeat-pixel","Fold_2","C5.0",0.3,0.7,0.9675,0.963874589247133
"mfeat-pixel","Fold_2","C5.0",0.3,0.75,0.9625,0.958315096187916
"mfeat-pixel","Fold_2","C5.0",0.3,0.8,0.9625,0.958315096187916
"mfeat-pixel","Fold_2","C5.0",0.3,0.9,0.9575,0.95275513961551
"mfeat-pixel","Fold_2","C5.0",0.3,1,0.9525,0.947194719471947
"mfeat-pixel","Fold_3","C5.0",0.1,0.1,0.9975,0.99722179777466
"mfeat-pixel","Fold_3","C5.0",0.1,0.2,0.9975,0.99722179777466
"mfeat-pixel","Fold_3","C5.0",0.1,0.25,0.9975,0.99722179777466
"mfeat-pixel","Fold_3","C5.0",0.1,0.3,0.9975,0.99722179777466
"mfeat-pixel","Fold_3","C5.0",0.1,0.4,0.9975,0.99722179777466
"mfeat-pixel","Fold_3","C5.0",0.1,0.5,0.9975,0.99722179777466
"mfeat-pixel","Fold_3","C5.0",0.1,0.6,0.995,0.994443672732324
"mfeat-pixel","Fold_3","C5.0",0.1,0.7,0.9925,0.991665624869775
"mfeat-pixel","Fold_3","C5.0",0.1,0.75,0.9925,0.991665624869775
"mfeat-pixel","Fold_3","C5.0",0.1,0.8,0.9925,0.991665624869775
"mfeat-pixel","Fold_3","C5.0",0.1,0.9,0.99,0.988887577005619
"mfeat-pixel","Fold_3","C5.0",0.1,1,0.9875,0.986109664201132
"mfeat-pixel","Fold_3","C5.0",0.2,0.1,1,1
"mfeat-pixel","Fold_3","C5.0",0.2,0.2,1,1
"mfeat-pixel","Fold_3","C5.0",0.2,0.25,1,1
"mfeat-pixel","Fold_3","C5.0",0.2,0.3,1,1
"mfeat-pixel","Fold_3","C5.0",0.2,0.4,1,1
"mfeat-pixel","Fold_3","C5.0",0.2,0.5,0.9975,0.997221874956592
"mfeat-pixel","Fold_3","C5.0",0.2,0.6,0.9975,0.997221874956592
"mfeat-pixel","Fold_3","C5.0",0.2,0.7,0.9975,0.997221874956592
"mfeat-pixel","Fold_3","C5.0",0.2,0.75,0.9975,0.997221874956592
"mfeat-pixel","Fold_3","C5.0",0.2,0.8,0.995,0.994443827091899
"mfeat-pixel","Fold_3","C5.0",0.2,0.9,0.9925,0.991665856402706
"mfeat-pixel","Fold_3","C5.0",0.2,1,0.9925,0.991665856402706
"mfeat-pixel","Fold_3","C5.0",0.3,0.1,0.9975,0.99722179777466
"mfeat-pixel","Fold_3","C5.0",0.3,0.2,0.995,0.99444359554932
"mfeat-pixel","Fold_3","C5.0",0.3,0.25,0.995,0.99444359554932
"mfeat-pixel","Fold_3","C5.0",0.3,0.3,0.995,0.99444359554932
