"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"steel-plates-fault","Fold_1","knn",0.1,0.1,1,1
"steel-plates-fault","Fold_1","knn",0.1,0.2,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.1,0.25,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.1,0.3,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.1,0.4,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.1,0.5,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.1,0.6,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.1,0.7,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.1,0.75,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.1,0.8,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.1,0.9,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.1,1,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.2,0.1,1,1
"steel-plates-fault","Fold_1","knn",0.2,0.2,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.2,0.25,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.2,0.3,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.2,0.4,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.2,0.5,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.2,0.6,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.2,0.7,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.2,0.75,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.2,0.8,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.2,0.9,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.2,1,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.3,0.1,1,1
"steel-plates-fault","Fold_1","knn",0.3,0.2,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.3,0.25,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.3,0.3,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.3,0.4,0.997429305912596,0.994337617723693
"steel-plates-fault","Fold_1","knn",0.3,0.5,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.3,0.6,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.3,0.7,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.3,0.75,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.3,0.8,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.3,0.9,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_1","knn",0.3,1,0.994858611825193,0.988694818216164
"steel-plates-fault","Fold_2","knn",0.1,0.1,1,1
"steel-plates-fault","Fold_2","knn",0.1,0.2,1,1
"steel-plates-fault","Fold_2","knn",0.1,0.25,1,1
"steel-plates-fault","Fold_2","knn",0.1,0.3,1,1
"steel-plates-fault","Fold_2","knn",0.1,0.4,1,1
"steel-plates-fault","Fold_2","knn",0.1,0.5,1,1
"steel-plates-fault","Fold_2","knn",0.1,0.6,1,1
"steel-plates-fault","Fold_2","knn",0.1,0.7,1,1
"steel-plates-fault","Fold_2","knn",0.1,0.75,1,1
