"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","C5.0",0.1,0.1,1,1
"vehicle","Fold_1","C5.0",0.1,0.2,1,1
"vehicle","Fold_1","C5.0",0.1,0.25,1,1
"vehicle","Fold_1","C5.0",0.1,0.3,1,1
"vehicle","Fold_1","C5.0",0.1,0.4,1,1
"vehicle","Fold_1","C5.0",0.1,0.5,1,1
"vehicle","Fold_1","C5.0",0.1,0.6,1,1
"vehicle","Fold_1","C5.0",0.1,0.7,1,1
"vehicle","Fold_1","C5.0",0.1,0.75,0.994152046783626,0.992187856914432
"vehicle","Fold_1","C5.0",0.1,0.8,0.994152046783626,0.992187856914432
"vehicle","Fold_1","C5.0",0.1,0.9,0.994152046783626,0.992187856914432
"vehicle","Fold_1","C5.0",0.1,1,0.988304093567251,0.98436928702011
"vehicle","Fold_1","C5.0",0.2,0.1,0.994152046783626,0.992182857142857
"vehicle","Fold_1","C5.0",0.2,0.2,0.988304093567251,0.984368572603867
"vehicle","Fold_1","C5.0",0.2,0.25,0.988304093567251,0.984368572603867
"vehicle","Fold_1","C5.0",0.2,0.3,0.988304093567251,0.984368572603867
"vehicle","Fold_1","C5.0",0.2,0.4,0.988304093567251,0.984368572603867
"vehicle","Fold_1","C5.0",0.2,0.5,0.982456140350877,0.9765625
"vehicle","Fold_1","C5.0",0.2,0.6,0.982456140350877,0.9765625
"vehicle","Fold_1","C5.0",0.2,0.7,0.976608187134503,0.968748572211815
"vehicle","Fold_1","C5.0",0.2,0.75,0.976608187134503,0.968748572211815
"vehicle","Fold_1","C5.0",0.2,0.8,0.976608187134503,0.968748572211815
"vehicle","Fold_1","C5.0",0.2,0.9,0.970760233918129,0.960919645305787
"vehicle","Fold_1","C5.0",0.2,1,0.964912280701754,0.953084274543875
"vehicle","Fold_1","C5.0",0.3,0.1,0.982456140350877,0.976524962247746
"vehicle","Fold_1","C5.0",0.3,0.2,0.976608187134503,0.968712835056262
"vehicle","Fold_1","C5.0",0.3,0.25,0.976608187134503,0.968712835056262
"vehicle","Fold_1","C5.0",0.3,0.3,0.970760233918129,0.960876727372563
"vehicle","Fold_1","C5.0",0.3,0.4,0.953216374269006,0.93744283885129
"vehicle","Fold_1","C5.0",0.3,0.5,0.941520467836257,0.921864290610007
"vehicle","Fold_1","C5.0",0.3,0.6,0.935672514619883,0.914086050972869
"vehicle","Fold_1","C5.0",0.3,0.7,0.929824561403509,0.906271410953273
"vehicle","Fold_1","C5.0",0.3,0.75,0.929824561403509,0.906271410953273
"vehicle","Fold_1","C5.0",0.3,0.8,0.923976608187134,0.898418936209103
"vehicle","Fold_1","C5.0",0.3,0.9,0.91812865497076,0.89056
"vehicle","Fold_1","C5.0",0.3,1,0.912280701754386,0.882694594347389
"vehicle","Fold_2","C5.0",0.1,0.1,1,1
"vehicle","Fold_2","C5.0",0.1,0.2,1,1
"vehicle","Fold_2","C5.0",0.1,0.25,1,1
"vehicle","Fold_2","C5.0",0.1,0.3,0.994047619047619,0.992045454545455
"vehicle","Fold_2","C5.0",0.1,0.4,0.994047619047619,0.992045454545455
"vehicle","Fold_2","C5.0",0.1,0.5,0.994047619047619,0.992045454545455
"vehicle","Fold_2","C5.0",0.1,0.6,0.994047619047619,0.992045454545455
"vehicle","Fold_2","C5.0",0.1,0.7,0.988095238095238,0.984097685645322
"vehicle","Fold_2","C5.0",0.1,0.75,0.988095238095238,0.984097685645322
"vehicle","Fold_2","C5.0",0.1,0.8,0.988095238095238,0.984097685645322
"vehicle","Fold_2","C5.0",0.1,0.9,0.988095238095238,0.984097685645322
"vehicle","Fold_2","C5.0",0.1,1,0.988095238095238,0.984097685645322
"vehicle","Fold_2","C5.0",0.2,0.1,1,1
"vehicle","Fold_2","C5.0",0.2,0.2,0.994047619047619,0.992042063379281
"vehicle","Fold_2","C5.0",0.2,0.25,0.994047619047619,0.992042063379281
"vehicle","Fold_2","C5.0",0.2,0.3,0.988095238095238,0.984088648955818
"vehicle","Fold_2","C5.0",0.2,0.4,0.988095238095238,0.984088648955818
"vehicle","Fold_2","C5.0",0.2,0.5,0.988095238095238,0.984088648955818
"vehicle","Fold_2","C5.0",0.2,0.6,0.982142857142857,0.976136363636364
"vehicle","Fold_2","C5.0",0.2,0.7,0.982142857142857,0.976136363636364
"vehicle","Fold_2","C5.0",0.2,0.75,0.976190476190476,0.968181818181818
"vehicle","Fold_2","C5.0",0.2,0.8,0.976190476190476,0.968181818181818
"vehicle","Fold_2","C5.0",0.2,0.9,0.970238095238095,0.96023292146002
"vehicle","Fold_2","C5.0",0.2,1,0.970238095238095,0.96023292146002
"vehicle","Fold_2","C5.0",0.3,0.1,0.994047619047619,0.99205523503263
"vehicle","Fold_2","C5.0",0.3,0.2,0.994047619047619,0.99205523503263
"vehicle","Fold_2","C5.0",0.3,0.25,0.988095238095238,0.984113475177305
"vehicle","Fold_2","C5.0",0.3,0.3,0.970238095238095,0.960281810014658
"vehicle","Fold_2","C5.0",0.3,0.4,0.958333333333333,0.944399791972011
"vehicle","Fold_2","C5.0",0.3,0.5,0.958333333333333,0.944399791972011
"vehicle","Fold_2","C5.0",0.3,0.6,0.958333333333333,0.944399791972011
"vehicle","Fold_2","C5.0",0.3,0.7,0.958333333333333,0.944399791972011
"vehicle","Fold_2","C5.0",0.3,0.75,0.958333333333333,0.944399791972011
"vehicle","Fold_2","C5.0",0.3,0.8,0.952380952380952,0.936468919877098
"vehicle","Fold_2","C5.0",0.3,0.9,0.946428571428571,0.928544423440454
"vehicle","Fold_2","C5.0",0.3,1,0.94047619047619,0.920586149846372
"vehicle","Fold_3","C5.0",0.1,0.1,0.988165680473373,0.984027219885639
"vehicle","Fold_3","C5.0",0.1,0.2,0.982248520710059,0.976062322946176
"vehicle","Fold_3","C5.0",0.1,0.25,0.982248520710059,0.976062322946176
"vehicle","Fold_3","C5.0",0.1,0.3,0.982248520710059,0.976062322946176
"vehicle","Fold_3","C5.0",0.1,0.4,0.982248520710059,0.976062322946176
"vehicle","Fold_3","C5.0",0.1,0.5,0.982248520710059,0.976062322946176
"vehicle","Fold_3","C5.0",0.1,0.6,0.982248520710059,0.976062322946176
"vehicle","Fold_3","C5.0",0.1,0.7,0.976331360946746,0.968111703382235
"vehicle","Fold_3","C5.0",0.1,0.75,0.976331360946746,0.968111703382235
"vehicle","Fold_3","C5.0",0.1,0.8,0.976331360946746,0.968111703382235
"vehicle","Fold_3","C5.0",0.1,0.9,0.976331360946746,0.968111703382235
"vehicle","Fold_3","C5.0",0.1,1,0.976331360946746,0.968111703382235
"vehicle","Fold_3","C5.0",0.2,0.1,0.994082840236686,0.991956594164961
"vehicle","Fold_3","C5.0",0.2,0.2,0.976331360946746,0.967804924513026
"vehicle","Fold_3","C5.0",0.2,0.25,0.976331360946746,0.967804924513026
"vehicle","Fold_3","C5.0",0.2,0.3,0.976331360946746,0.967804924513026
"vehicle","Fold_3","C5.0",0.2,0.4,0.976331360946746,0.967804924513026
"vehicle","Fold_3","C5.0",0.2,0.5,0.976331360946746,0.967804924513026
"vehicle","Fold_3","C5.0",0.2,0.6,0.976331360946746,0.967804924513026
"vehicle","Fold_3","C5.0",0.2,0.7,0.970414201183432,0.95980592684203
"vehicle","Fold_3","C5.0",0.2,0.75,0.964497041420118,0.95181295442665
"vehicle","Fold_3","C5.0",0.2,0.8,0.964497041420118,0.95181295442665
"vehicle","Fold_3","C5.0",0.2,0.9,0.958579881656805,0.943712232954275
"vehicle","Fold_3","C5.0",0.2,1,0.958579881656805,0.943712232954275
"vehicle","Fold_3","C5.0",0.3,0.1,0.994082840236686,0.992018890200708
"vehicle","Fold_3","C5.0",0.3,0.2,0.970414201183432,0.960169691256186
"vehicle","Fold_3","C5.0",0.3,0.25,0.970414201183432,0.960169691256186
"vehicle","Fold_3","C5.0",0.3,0.3,0.970414201183432,0.960169691256186
"vehicle","Fold_3","C5.0",0.3,0.4,0.970414201183432,0.960169691256186
"vehicle","Fold_3","C5.0",0.3,0.5,0.964497041420118,0.952246397287369
"vehicle","Fold_3","C5.0",0.3,0.6,0.964497041420118,0.952246397287369
"vehicle","Fold_3","C5.0",0.3,0.7,0.952662721893491,0.936442271530651
"vehicle","Fold_3","C5.0",0.3,0.75,0.940828402366864,0.920410662145616
"vehicle","Fold_3","C5.0",0.3,0.8,0.940828402366864,0.920410662145616
"vehicle","Fold_3","C5.0",0.3,0.9,0.940828402366864,0.920410662145616
"vehicle","Fold_3","C5.0",0.3,1,0.940828402366864,0.920410662145616
"vehicle","Fold_4","C5.0",0.1,0.1,1,1
"vehicle","Fold_4","C5.0",0.1,0.2,1,1
"vehicle","Fold_4","C5.0",0.1,0.25,1,1
"vehicle","Fold_4","C5.0",0.1,0.3,0.994117647058824,0.992105507569425
