"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","gbm",0.1,0.1,1,1
"vehicle","Fold_1","gbm",0.1,0.2,0.994152046783626,0.992193919474117
"vehicle","Fold_1","gbm",0.1,0.25,0.988304093567251,0.98438855160451
"vehicle","Fold_1","gbm",0.1,0.3,0.982456140350877,0.976583896293591
"vehicle","Fold_1","gbm",0.1,0.4,0.976608187134503,0.96877995344379
"vehicle","Fold_1","gbm",0.1,0.5,0.976608187134503,0.96877995344379
"vehicle","Fold_1","gbm",0.1,0.6,0.970760233918129,0.960983845943233
"vehicle","Fold_1","gbm",0.1,0.7,0.970760233918129,0.960983845943233
"vehicle","Fold_1","gbm",0.1,0.75,0.970760233918129,0.960983845943233
"vehicle","Fold_1","gbm",0.1,0.8,0.970760233918129,0.960983845943233
"vehicle","Fold_1","gbm",0.1,0.9,0.970760233918129,0.960983845943233
"vehicle","Fold_1","gbm",0.1,1,0.970760233918129,0.960983845943233
"vehicle","Fold_1","gbm",0.2,0.1,0.994152046783626,0.992178924259056
"vehicle","Fold_1","gbm",0.2,0.2,0.994152046783626,0.992178924259056
"vehicle","Fold_1","gbm",0.2,0.25,0.994152046783626,0.992178924259056
"vehicle","Fold_1","gbm",0.2,0.3,0.988304093567251,0.984353554762558
"vehicle","Fold_1","gbm",0.2,0.4,0.976608187134503,0.968732857926495
"vehicle","Fold_1","gbm",0.2,0.5,0.976608187134503,0.968732857926495
"vehicle","Fold_1","gbm",0.2,0.6,0.976608187134503,0.968732857926495
"vehicle","Fold_1","gbm",0.2,0.7,0.95906432748538,0.945285002514056
"vehicle","Fold_1","gbm",0.2,0.75,0.95906432748538,0.945285002514056
"vehicle","Fold_1","gbm",0.2,0.8,0.95906432748538,0.945285002514056
"vehicle","Fold_1","gbm",0.2,0.9,0.95906432748538,0.945285002514056
"vehicle","Fold_1","gbm",0.2,1,0.947368421052632,0.929648930334613
"vehicle","Fold_1","gbm",0.3,0.1,0.994152046783626,0.992146236164056
"vehicle","Fold_1","gbm",0.3,0.2,0.994152046783626,0.992146236164056
"vehicle","Fold_1","gbm",0.3,0.25,0.994152046783626,0.992146236164056
"vehicle","Fold_1","gbm",0.3,0.3,0.982456140350877,0.976418129999081
"vehicle","Fold_1","gbm",0.3,0.4,0.982456140350877,0.976418129999081
"vehicle","Fold_1","gbm",0.3,0.5,0.976608187134503,0.968570509580481
"vehicle","Fold_1","gbm",0.3,0.6,0.95906432748538,0.9450337512054
"vehicle","Fold_1","gbm",0.3,0.7,0.953216374269006,0.937221788811895
"vehicle","Fold_1","gbm",0.3,0.75,0.947368421052632,0.929345331007254
"vehicle","Fold_1","gbm",0.3,0.8,0.947368421052632,0.929345331007254
"vehicle","Fold_1","gbm",0.3,0.9,0.941520467836257,0.921444321940463
"vehicle","Fold_1","gbm",0.3,1,0.923976608187134,0.897943255899366
"vehicle","Fold_2","gbm",0.1,0.1,1,1
"vehicle","Fold_2","gbm",0.1,0.2,1,1
"vehicle","Fold_2","gbm",0.1,0.25,1,1
"vehicle","Fold_2","gbm",0.1,0.3,1,1
"vehicle","Fold_2","gbm",0.1,0.4,1,1
"vehicle","Fold_2","gbm",0.1,0.5,0.994047619047619,0.992049219119735
"vehicle","Fold_2","gbm",0.1,0.6,0.994047619047619,0.992049219119735
"vehicle","Fold_2","gbm",0.1,0.7,0.994047619047619,0.992049219119735
"vehicle","Fold_2","gbm",0.1,0.75,0.994047619047619,0.992049219119735
"vehicle","Fold_2","gbm",0.1,0.8,0.994047619047619,0.992049219119735
"vehicle","Fold_2","gbm",0.1,0.9,0.994047619047619,0.992049219119735
"vehicle","Fold_2","gbm",0.1,1,0.994047619047619,0.992049219119735
"vehicle","Fold_2","gbm",0.2,0.1,1,1
"vehicle","Fold_2","gbm",0.2,0.2,1,1
"vehicle","Fold_2","gbm",0.2,0.25,1,1
"vehicle","Fold_2","gbm",0.2,0.3,0.994047619047619,0.992040932347925
"vehicle","Fold_2","gbm",0.2,0.4,0.982142857142857,0.976111479761115
"vehicle","Fold_2","gbm",0.2,0.5,0.982142857142857,0.976111479761115
"vehicle","Fold_2","gbm",0.2,0.6,0.982142857142857,0.976111479761115
"vehicle","Fold_2","gbm",0.2,0.7,0.964285714285714,0.952204836415363
