"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","rfRules",0.1,0.1,1,1
"vehicle","Fold_1","rfRules",0.1,0.2,1,1
"vehicle","Fold_1","rfRules",0.1,0.25,1,1
"vehicle","Fold_1","rfRules",0.1,0.3,0.994152046783626,0.991966173361522
"vehicle","Fold_1","rfRules",0.1,0.4,0.994152046783626,0.991966173361522
"vehicle","Fold_1","rfRules",0.1,0.5,0.994152046783626,0.991966173361522
"vehicle","Fold_1","rfRules",0.1,0.6,0.994152046783626,0.991966173361522
"vehicle","Fold_1","rfRules",0.1,0.7,0.994152046783626,0.991966173361522
"vehicle","Fold_1","rfRules",0.1,0.75,0.994152046783626,0.991966173361522
"vehicle","Fold_1","rfRules",0.1,0.8,0.994152046783626,0.991966173361522
"vehicle","Fold_1","rfRules",0.1,0.9,0.994152046783626,0.991966173361522
"vehicle","Fold_1","rfRules",0.1,1,0.994152046783626,0.991966173361522
"vehicle","Fold_1","rfRules",0.2,0.1,0.982456140350877,0.976437626309021
"vehicle","Fold_1","rfRules",0.2,0.2,0.982456140350877,0.976437626309021
"vehicle","Fold_1","rfRules",0.2,0.25,0.976608187134503,0.968580615525953
"vehicle","Fold_1","rfRules",0.2,0.3,0.964912280701754,0.952844930600239
"vehicle","Fold_1","rfRules",0.2,0.4,0.947368421052632,0.929264144872914
"vehicle","Fold_1","rfRules",0.2,0.5,0.941520467836257,0.921444321940463
"vehicle","Fold_1","rfRules",0.2,0.6,0.941520467836257,0.921444321940463
"vehicle","Fold_1","rfRules",0.2,0.7,0.935672514619883,0.913640328726872
"vehicle","Fold_1","rfRules",0.2,0.75,0.935672514619883,0.913640328726872
"vehicle","Fold_1","rfRules",0.2,0.8,0.929824561403509,0.905793774676338
"vehicle","Fold_1","rfRules",0.2,0.9,0.929824561403509,0.905793774676338
"vehicle","Fold_1","rfRules",0.2,1,0.929824561403509,0.905793774676338
"vehicle","Fold_1","rfRules",0.3,0.1,0.994152046783626,0.991789504009219
"vehicle","Fold_1","rfRules",0.3,0.2,0.994152046783626,0.991789504009219
"vehicle","Fold_1","rfRules",0.3,0.25,0.988304093567251,0.98354899225552
"vehicle","Fold_1","rfRules",0.3,0.3,0.988304093567251,0.98354899225552
"vehicle","Fold_1","rfRules",0.3,0.4,0.988304093567251,0.98354899225552
"vehicle","Fold_1","rfRules",0.3,0.5,0.982456140350877,0.975322301327689
"vehicle","Fold_1","rfRules",0.3,0.6,0.970760233918129,0.958943577430972
"vehicle","Fold_1","rfRules",0.3,0.7,0.964912280701754,0.950732292917167
"vehicle","Fold_1","rfRules",0.3,0.75,0.964912280701754,0.950732292917167
"vehicle","Fold_1","rfRules",0.3,0.8,0.95906432748538,0.942518248175182
"vehicle","Fold_1","rfRules",0.3,0.9,0.953216374269006,0.934303414493589
"vehicle","Fold_1","rfRules",0.3,1,0.941520467836257,0.917879268116986
"vehicle","Fold_2","rfRules",0.1,0.1,0.988095238095238,0.983923444976077
"vehicle","Fold_2","rfRules",0.1,0.2,0.988095238095238,0.983923444976077
"vehicle","Fold_2","rfRules",0.1,0.25,0.988095238095238,0.983923444976077
"vehicle","Fold_2","rfRules",0.1,0.3,0.982142857142857,0.975880551301684
"vehicle","Fold_2","rfRules",0.1,0.4,0.982142857142857,0.975880551301684
"vehicle","Fold_2","rfRules",0.1,0.5,0.982142857142857,0.975880551301684
"vehicle","Fold_2","rfRules",0.1,0.6,0.976190476190476,0.967849966510382
"vehicle","Fold_2","rfRules",0.1,0.7,0.976190476190476,0.967849966510382
"vehicle","Fold_2","rfRules",0.1,0.75,0.976190476190476,0.967849966510382
"vehicle","Fold_2","rfRules",0.1,0.8,0.976190476190476,0.967849966510382
"vehicle","Fold_2","rfRules",0.1,0.9,0.970238095238095,0.959820147326126
"vehicle","Fold_2","rfRules",0.1,1,0.964285714285714,0.951816443594646
"vehicle","Fold_2","rfRules",0.2,0.1,0.988095238095238,0.984087141842292
"vehicle","Fold_2","rfRules",0.2,0.2,0.976190476190476,0.968177297911635
"vehicle","Fold_2","rfRules",0.2,0.25,0.976190476190476,0.968177297911635
"vehicle","Fold_2","rfRules",0.2,0.3,0.970238095238095,0.960225389459728
"vehicle","Fold_2","rfRules",0.2,0.4,0.970238095238095,0.960225389459728
"vehicle","Fold_2","rfRules",0.2,0.5,0.958333333333333,0.944331360946746
"vehicle","Fold_2","rfRules",0.2,0.6,0.946428571428571,0.928405701027511
"vehicle","Fold_2","rfRules",0.2,0.7,0.94047619047619,0.920439477173707
"vehicle","Fold_2","rfRules",0.2,0.75,0.94047619047619,0.920439477173707
"vehicle","Fold_2","rfRules",0.2,0.8,0.94047619047619,0.920439477173707
"vehicle","Fold_2","rfRules",0.2,0.9,0.928571428571429,0.904568047337278
"vehicle","Fold_2","rfRules",0.2,1,0.916666666666667,0.88868906767629
"vehicle","Fold_2","rfRules",0.3,0.1,1,1
"vehicle","Fold_2","rfRules",0.3,0.2,0.994047619047619,0.991490223888157
"vehicle","Fold_2","rfRules",0.3,0.25,0.976190476190476,0.965978128797084
"vehicle","Fold_2","rfRules",0.3,0.3,0.964285714285714,0.948967193195626
"vehicle","Fold_2","rfRules",0.3,0.4,0.964285714285714,0.948967193195626
"vehicle","Fold_2","rfRules",0.3,0.5,0.952380952380952,0.931976920740966
"vehicle","Fold_2","rfRules",0.3,0.6,0.946428571428571,0.923435284585781
"vehicle","Fold_2","rfRules",0.3,0.7,0.93452380952381,0.906373492755092
"vehicle","Fold_2","rfRules",0.3,0.75,0.93452380952381,0.906373492755092
"vehicle","Fold_2","rfRules",0.3,0.8,0.928571428571429,0.897882686657887
"vehicle","Fold_2","rfRules",0.3,0.9,0.928571428571429,0.897882686657887
"vehicle","Fold_2","rfRules",0.3,1,0.904761904761905,0.863746958637469
"vehicle","Fold_3","rfRules",0.1,0.1,0.988165680473373,0.983974207007728
"vehicle","Fold_3","rfRules",0.1,0.2,0.982248520710059,0.975982946470867
"vehicle","Fold_3","rfRules",0.1,0.25,0.976331360946746,0.968006058024516
"vehicle","Fold_3","rfRules",0.1,0.3,0.976331360946746,0.968006058024516
"vehicle","Fold_3","rfRules",0.1,0.4,0.964497041420118,0.951954513148543
"vehicle","Fold_3","rfRules",0.1,0.5,0.964497041420118,0.951954513148543
"vehicle","Fold_3","rfRules",0.1,0.6,0.964497041420118,0.951954513148543
"vehicle","Fold_3","rfRules",0.1,0.7,0.958579881656805,0.943896424167694
"vehicle","Fold_3","rfRules",0.1,0.75,0.958579881656805,0.943896424167694
"vehicle","Fold_3","rfRules",0.1,0.8,0.958579881656805,0.943896424167694
"vehicle","Fold_3","rfRules",0.1,0.9,0.958579881656805,0.943896424167694
"vehicle","Fold_3","rfRules",0.1,1,0.952662721893491,0.935939350864724
"vehicle","Fold_3","rfRules",0.2,0.1,1,1
"vehicle","Fold_3","rfRules",0.2,0.2,0.994082840236686,0.991555488932194
"vehicle","Fold_3","rfRules",0.2,0.25,0.994082840236686,0.991555488932194
"vehicle","Fold_3","rfRules",0.2,0.3,0.994082840236686,0.991555488932194
"vehicle","Fold_3","rfRules",0.2,0.4,0.994082840236686,0.991555488932194
"vehicle","Fold_3","rfRules",0.2,0.5,0.988165680473373,0.983123626922309
"vehicle","Fold_3","rfRules",0.2,0.6,0.982248520710059,0.974704385571022
"vehicle","Fold_3","rfRules",0.2,0.7,0.976331360946746,0.966247253844618
"vehicle","Fold_3","rfRules",0.2,0.75,0.964497041420118,0.949294929492949
"vehicle","Fold_3","rfRules",0.2,0.8,0.958579881656805,0.940888422525359
"vehicle","Fold_3","rfRules",0.2,0.9,0.958579881656805,0.940888422525359
"vehicle","Fold_3","rfRules",0.2,1,0.952662721893491,0.932393239323932
"vehicle","Fold_3","rfRules",0.3,0.1,0.988165680473373,0.984094117647059
"vehicle","Fold_3","rfRules",0.3,0.2,0.976331360946746,0.96822711035909
"vehicle","Fold_3","rfRules",0.3,0.25,0.970414201183432,0.96028015417881
"vehicle","Fold_3","rfRules",0.3,0.3,0.964497041420118,0.952320496543941
"vehicle","Fold_3","rfRules",0.3,0.4,0.964497041420118,0.952320496543941
"vehicle","Fold_3","rfRules",0.3,0.5,0.946745562130177,0.92853786882165
"vehicle","Fold_3","rfRules",0.3,0.6,0.940828402366864,0.920623737729557
"vehicle","Fold_3","rfRules",0.3,0.7,0.940828402366864,0.920623737729557
"vehicle","Fold_3","rfRules",0.3,0.75,0.93491124260355,0.912763960581886
"vehicle","Fold_3","rfRules",0.3,0.8,0.917159763313609,0.888815789473684
"vehicle","Fold_3","rfRules",0.3,0.9,0.905325443786982,0.872962179938924
"vehicle","Fold_3","rfRules",0.3,1,0.887573964497041,0.84908586736852
"vehicle","Fold_4","rfRules",0.1,0.1,1,1
"vehicle","Fold_4","rfRules",0.1,0.2,1,1
"vehicle","Fold_4","rfRules",0.1,0.25,1,1
"vehicle","Fold_4","rfRules",0.1,0.3,1,1
"vehicle","Fold_4","rfRules",0.1,0.4,1,1
"vehicle","Fold_4","rfRules",0.1,0.5,0.994117647058824,0.992097801329429
"vehicle","Fold_4","rfRules",0.1,0.6,0.988235294117647,0.984196337268755
"vehicle","Fold_4","rfRules",0.1,0.7,0.988235294117647,0.984196337268755
"vehicle","Fold_4","rfRules",0.1,0.75,0.988235294117647,0.984196337268755
"vehicle","Fold_4","rfRules",0.1,0.8,0.988235294117647,0.984196337268755
"vehicle","Fold_4","rfRules",0.1,0.9,0.988235294117647,0.984196337268755
"vehicle","Fold_4","rfRules",0.1,1,0.988235294117647,0.984196337268755
"vehicle","Fold_4","rfRules",0.2,0.1,1,1
"vehicle","Fold_4","rfRules",0.2,0.2,0.994117647058824,0.992061268329131
"vehicle","Fold_4","rfRules",0.2,0.25,0.994117647058824,0.992061268329131
"vehicle","Fold_4","rfRules",0.2,0.3,0.994117647058824,0.992061268329131
"vehicle","Fold_4","rfRules",0.2,0.4,0.994117647058824,0.992061268329131
"vehicle","Fold_4","rfRules",0.2,0.5,0.988235294117647,0.984111407075097
"vehicle","Fold_4","rfRules",0.2,0.6,0.988235294117647,0.984111407075097
"vehicle","Fold_4","rfRules",0.2,0.7,0.988235294117647,0.984111407075097
"vehicle","Fold_4","rfRules",0.2,0.75,0.982352941176471,0.976163768928772
