dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
vowel,C5.0,0.1,0.1,1,1,0,0,0
vowel,C5.0,0.1,0.2,0.999,0.993,0.007,0.002,0.015
vowel,C5.0,0.1,0.25,0.999,0.993,0.007,0.002,0.015
vowel,C5.0,0.1,0.3,0.999,0.993,0.007,0.002,0.015
vowel,C5.0,0.1,0.4,0.999,0.993,0.007,0.002,0.015
vowel,C5.0,0.1,0.5,0.999,0.993,0.007,0.002,0.015
vowel,C5.0,0.1,0.6,0.998,0.987,0.013,0.003,0.017
vowel,C5.0,0.1,0.7,0.998,0.987,0.013,0.003,0.017
vowel,C5.0,0.1,0.75,0.998,0.987,0.013,0.003,0.017
vowel,C5.0,0.1,0.8,0.998,0.987,0.013,0.003,0.017
vowel,C5.0,0.1,0.9,0.998,0.987,0.013,0.003,0.017
vowel,C5.0,0.1,1,0.998,0.987,0.013,0.003,0.017
vowel,C5.0,0.2,0.1,0.999,0.994,0.006,0.002,0.013
vowel,C5.0,0.2,0.2,0.998,0.988,0.012,0.003,0.017
vowel,C5.0,0.2,0.25,0.998,0.988,0.012,0.003,0.017
vowel,C5.0,0.2,0.3,0.998,0.988,0.012,0.003,0.017
vowel,C5.0,0.2,0.4,0.997,0.982,0.018,0.005,0.027
vowel,C5.0,0.2,0.5,0.995,0.969,0.031,0.005,0.03
vowel,C5.0,0.2,0.6,0.993,0.958,0.042,0.006,0.032
vowel,C5.0,0.2,0.7,0.989,0.933,0.067,0.008,0.046
vowel,C5.0,0.2,0.75,0.989,0.933,0.067,0.008,0.046
vowel,C5.0,0.2,0.8,0.988,0.926,0.074,0.008,0.047
vowel,C5.0,0.2,0.9,0.987,0.92,0.08,0.008,0.041
vowel,C5.0,0.2,1,0.987,0.92,0.08,0.008,0.041
vowel,C5.0,0.3,0.1,0.997,0.983,0.017,0.005,0.025
vowel,C5.0,0.3,0.2,0.996,0.976,0.024,0.006,0.032
vowel,C5.0,0.3,0.25,0.996,0.976,0.024,0.006,0.032
vowel,C5.0,0.3,0.3,0.994,0.964,0.036,0.007,0.04
vowel,C5.0,0.3,0.4,0.994,0.964,0.036,0.007,0.04
vowel,C5.0,0.3,0.5,0.991,0.947,0.053,0.008,0.048
vowel,C5.0,0.3,0.6,0.986,0.917,0.083,0.004,0.025
vowel,C5.0,0.3,0.7,0.985,0.911,0.089,0.005,0.026
vowel,C5.0,0.3,0.75,0.985,0.911,0.089,0.005,0.026
vowel,C5.0,0.3,0.8,0.983,0.898,0.102,0.008,0.043
vowel,C5.0,0.3,0.9,0.981,0.886,0.114,0.007,0.036
vowel,C5.0,0.3,1,0.98,0.879,0.121,0.008,0.042
vowel,JRip,0.1,0.1,0.999,0.994,0.006,0.002,0.014
vowel,JRip,0.1,0.2,0.999,0.994,0.006,0.002,0.014
vowel,JRip,0.1,0.25,0.998,0.987,0.013,0.003,0.018
vowel,JRip,0.1,0.3,0.998,0.987,0.013,0.003,0.018
vowel,JRip,0.1,0.4,0.998,0.987,0.013,0.003,0.018
vowel,JRip,0.1,0.5,0.998,0.987,0.013,0.003,0.018
vowel,JRip,0.1,0.6,0.996,0.973,0.027,0.004,0.028
vowel,JRip,0.1,0.7,0.996,0.973,0.027,0.004,0.028
vowel,JRip,0.1,0.75,0.996,0.973,0.027,0.004,0.028
vowel,JRip,0.1,0.8,0.996,0.973,0.027,0.004,0.028
vowel,JRip,0.1,0.9,0.996,0.973,0.027,0.004,0.028
vowel,JRip,0.1,1,0.996,0.973,0.027,0.004,0.028
vowel,JRip,0.2,0.1,0.998,0.988,0.012,0.003,0.016
vowel,JRip,0.2,0.2,0.997,0.982,0.018,0.005,0.027
vowel,JRip,0.2,0.25,0.996,0.976,0.024,0.006,0.033
vowel,JRip,0.2,0.3,0.994,0.964,0.036,0.007,0.04
vowel,JRip,0.2,0.4,0.994,0.964,0.036,0.007,0.04
vowel,JRip,0.2,0.5,0.99,0.94,0.06,0.008,0.047
vowel,JRip,0.2,0.6,0.99,0.94,0.06,0.008,0.047
vowel,JRip,0.2,0.7,0.986,0.918,0.082,0.012,0.064
vowel,JRip,0.2,0.75,0.986,0.918,0.082,0.012,0.064
vowel,JRip,0.2,0.8,0.986,0.918,0.082,0.012,0.064
vowel,JRip,0.2,0.9,0.984,0.907,0.093,0.012,0.068
vowel,JRip,0.2,1,0.978,0.873,0.127,0.012,0.066
vowel,JRip,0.3,0.1,0.998,0.989,0.011,0.003,0.015
vowel,JRip,0.3,0.2,0.994,0.968,0.032,0.007,0.035
vowel,JRip,0.3,0.25,0.994,0.968,0.032,0.007,0.035
vowel,JRip,0.3,0.3,0.992,0.956,0.044,0.008,0.039
vowel,JRip,0.3,0.4,0.99,0.944,0.056,0.009,0.049
vowel,JRip,0.3,0.5,0.986,0.918,0.082,0.013,0.076
vowel,JRip,0.3,0.6,0.984,0.904,0.096,0.014,0.086
vowel,JRip,0.3,0.7,0.981,0.887,0.113,0.014,0.086
vowel,JRip,0.3,0.75,0.979,0.873,0.127,0.013,0.079
vowel,JRip,0.3,0.8,0.977,0.859,0.141,0.015,0.099
vowel,JRip,0.3,0.9,0.974,0.843,0.157,0.018,0.108
vowel,JRip,0.3,1,0.969,0.814,0.186,0.016,0.093
vowel,PART,0.1,0.1,1,1,0,0,0
vowel,PART,0.1,0.2,1,1,0,0,0
vowel,PART,0.1,0.25,1,1,0,0,0
vowel,PART,0.1,0.3,1,1,0,0,0
vowel,PART,0.1,0.4,0.998,0.988,0.012,0.003,0.017
vowel,PART,0.1,0.5,0.998,0.988,0.012,0.003,0.017
vowel,PART,0.1,0.6,0.998,0.988,0.012,0.003,0.017
vowel,PART,0.1,0.7,0.998,0.988,0.012,0.003,0.017
vowel,PART,0.1,0.75,0.998,0.988,0.012,0.003,0.017
vowel,PART,0.1,0.8,0.998,0.988,0.012,0.003,0.017
vowel,PART,0.1,0.9,0.997,0.981,0.019,0.003,0.017
vowel,PART,0.1,1,0.996,0.974,0.026,0.002,0.015
vowel,PART,0.2,0.1,0.999,0.993,0.007,0.002,0.015
vowel,PART,0.2,0.2,0.997,0.98,0.02,0.003,0.018
vowel,PART,0.2,0.25,0.995,0.966,0.034,0.005,0.035
vowel,PART,0.2,0.3,0.995,0.966,0.034,0.005,0.035
vowel,PART,0.2,0.4,0.994,0.961,0.039,0.006,0.036
vowel,PART,0.2,0.5,0.993,0.955,0.045,0.007,0.044
vowel,PART,0.2,0.6,0.992,0.947,0.053,0.008,0.053
vowel,PART,0.2,0.7,0.99,0.936,0.064,0.005,0.04
