"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","ctree",0.1,0.1,0.988084326306141,0.982018520302857
"wall-robot-navigation","Fold_1","ctree",0.1,0.2,0.971585701191567,0.957137552451718
"wall-robot-navigation","Fold_1","ctree",0.1,0.25,0.968835930339138,0.952965491881748
"wall-robot-navigation","Fold_1","ctree",0.1,0.3,0.966086159486709,0.948828170556708
"wall-robot-navigation","Fold_1","ctree",0.1,0.4,0.95692025664528,0.935048912499636
"wall-robot-navigation","Fold_1","ctree",0.1,0.5,0.945921173235564,0.918502303038897
"wall-robot-navigation","Fold_1","ctree",0.1,0.6,0.93858845096242,0.90750446679388
"wall-robot-navigation","Fold_1","ctree",0.1,0.7,0.927589367552704,0.891062165687533
"wall-robot-navigation","Fold_1","ctree",0.1,0.75,0.923006416131989,0.884146865629377
"wall-robot-navigation","Fold_1","ctree",0.1,0.8,0.916590284142988,0.874479108719619
"wall-robot-navigation","Fold_1","ctree",0.1,0.9,0.908340971585701,0.862011046705024
"wall-robot-navigation","Fold_1","ctree",0.1,1,0.900091659028414,0.849672277246497
"wall-robot-navigation","Fold_1","ctree",0.2,0.1,0.991750687442713,0.987552167056282
"wall-robot-navigation","Fold_1","ctree",0.2,0.2,0.978918423464711,0.96820475262479
"wall-robot-navigation","Fold_1","ctree",0.2,0.25,0.975252062328139,0.962688429321825
"wall-robot-navigation","Fold_1","ctree",0.2,0.3,0.966086159486709,0.948887521398689
"wall-robot-navigation","Fold_1","ctree",0.2,0.4,0.955087076076994,0.932249336231315
"wall-robot-navigation","Fold_1","ctree",0.2,0.5,0.944087992667278,0.91569152810768
"wall-robot-navigation","Fold_1","ctree",0.2,0.6,0.931255728689276,0.896346638628849
"wall-robot-navigation","Fold_1","ctree",0.2,0.7,0.923006416131989,0.883840547563217
"wall-robot-navigation","Fold_1","ctree",0.2,0.75,0.916590284142988,0.874102347876259
"wall-robot-navigation","Fold_1","ctree",0.2,0.8,0.909257561869844,0.862969085610542
"wall-robot-navigation","Fold_1","ctree",0.2,0.9,0.896425297891842,0.843602088130261
"wall-robot-navigation","Fold_1","ctree",0.2,1,0.881759853345555,0.82130445878635
"wall-robot-navigation","Fold_1","ctree",0.3,0.1,0.98166819431714,0.97231347440519
"wall-robot-navigation","Fold_1","ctree",0.3,0.2,0.95692025664528,0.934883289754566
"wall-robot-navigation","Fold_1","ctree",0.3,0.25,0.950504124656279,0.925103831763939
"wall-robot-navigation","Fold_1","ctree",0.3,0.3,0.945004582951421,0.916782035293265
"wall-robot-navigation","Fold_1","ctree",0.3,0.4,0.934005499541705,0.900062085882078
"wall-robot-navigation","Fold_1","ctree",0.3,0.5,0.919340054995417,0.877929449100822
"wall-robot-navigation","Fold_1","ctree",0.3,0.6,0.902841429880843,0.853016351146105
"wall-robot-navigation","Fold_1","ctree",0.3,0.7,0.888175985334555,0.830664634503184
"wall-robot-navigation","Fold_1","ctree",0.3,0.75,0.879010082493126,0.816552701036391
"wall-robot-navigation","Fold_1","ctree",0.3,0.8,0.868927589367553,0.801177289201768
"wall-robot-navigation","Fold_1","ctree",0.3,0.9,0.851512373968836,0.77469280985762
"wall-robot-navigation","Fold_1","ctree",0.3,1,0.838680109990834,0.755186864829786
"wall-robot-navigation","Fold_2","ctree",0.1,0.1,0.991750687442713,0.987575085382535
"wall-robot-navigation","Fold_2","ctree",0.1,0.2,0.983501374885426,0.975149384618889
"wall-robot-navigation","Fold_2","ctree",0.1,0.25,0.980751604032997,0.971016894477511
