"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","lvq",0.1,0.1,1,1
"wall-robot-navigation","Fold_1","lvq",0.1,0.2,1,1
"wall-robot-navigation","Fold_1","lvq",0.1,0.25,0.999083409715857,0.998650372168225
"wall-robot-navigation","Fold_1","lvq",0.1,0.3,0.997250229147571,0.995948796150057
"wall-robot-navigation","Fold_1","lvq",0.1,0.4,0.996333638863428,0.994596890116543
"wall-robot-navigation","Fold_1","lvq",0.1,0.5,0.995417048579285,0.993246003937252
"wall-robot-navigation","Fold_1","lvq",0.1,0.6,0.994500458295142,0.991895335174815
"wall-robot-navigation","Fold_1","lvq",0.1,0.7,0.994500458295142,0.991895335174815
"wall-robot-navigation","Fold_1","lvq",0.1,0.75,0.994500458295142,0.991895335174815
"wall-robot-navigation","Fold_1","lvq",0.1,0.8,0.994500458295142,0.991895335174815
"wall-robot-navigation","Fold_1","lvq",0.1,0.9,0.993583868010999,0.990544405512152
"wall-robot-navigation","Fold_1","lvq",0.1,1,0.993583868010999,0.990544405512152
"wall-robot-navigation","Fold_1","lvq",0.2,0.1,0.995417048579285,0.993137726027328
"wall-robot-navigation","Fold_1","lvq",0.2,0.2,0.991750687442713,0.987652830644218
"wall-robot-navigation","Fold_1","lvq",0.2,0.25,0.99083409715857,0.986280388122916
"wall-robot-navigation","Fold_1","lvq",0.2,0.3,0.989917506874427,0.984907838592723
"wall-robot-navigation","Fold_1","lvq",0.2,0.4,0.989000916590284,0.983529568651329
"wall-robot-navigation","Fold_1","lvq",0.2,0.5,0.988084326306141,0.982157728547886
"wall-robot-navigation","Fold_1","lvq",0.2,0.6,0.987167736021998,0.980784496759884
"wall-robot-navigation","Fold_1","lvq",0.2,0.7,0.987167736021998,0.980784496759884
"wall-robot-navigation","Fold_1","lvq",0.2,0.75,0.985334555453712,0.978049035055399
"wall-robot-navigation","Fold_1","lvq",0.2,0.8,0.985334555453712,0.978049035055399
"wall-robot-navigation","Fold_1","lvq",0.2,0.9,0.982584784601283,0.973944631241555
"wall-robot-navigation","Fold_1","lvq",0.2,1,0.980751604032997,0.97119160456136
"wall-robot-navigation","Fold_1","lvq",0.3,0.1,0.996333638863428,0.994628975960852
"wall-robot-navigation","Fold_1","lvq",0.3,0.2,0.991750687442713,0.987909064938135
"wall-robot-navigation","Fold_1","lvq",0.3,0.25,0.987167736021998,0.981187176142669
"wall-robot-navigation","Fold_1","lvq",0.3,0.3,0.985334555453712,0.978505321952253
"wall-robot-navigation","Fold_1","lvq",0.3,0.4,0.98166819431714,0.973138565363029
"wall-robot-navigation","Fold_1","lvq",0.3,0.5,0.979835013748854,0.970444380959887
"wall-robot-navigation","Fold_1","lvq",0.3,0.6,0.978001833180568,0.967765802254079
"wall-robot-navigation","Fold_1","lvq",0.3,0.7,0.975252062328139,0.963736259677779
"wall-robot-navigation","Fold_1","lvq",0.3,0.75,0.975252062328139,0.963736259677779
"wall-robot-navigation","Fold_1","lvq",0.3,0.8,0.97250229147571,0.959717617173366
"wall-robot-navigation","Fold_1","lvq",0.3,0.9,0.969752520623281,0.955718753881973
"wall-robot-navigation","Fold_1","lvq",0.3,1,0.968835930339138,0.954358373025004
"wall-robot-navigation","Fold_2","lvq",0.1,0.1,0.998166819431714,0.997285813086809
"wall-robot-navigation","Fold_2","lvq",0.1,0.2,0.998166819431714,0.997285813086809
"wall-robot-navigation","Fold_2","lvq",0.1,0.25,0.998166819431714,0.997285813086809
"wall-robot-navigation","Fold_2","lvq",0.1,0.3,0.998166819431714,0.997285813086809
"wall-robot-navigation","Fold_2","lvq",0.1,0.4,0.998166819431714,0.997285813086809
"wall-robot-navigation","Fold_2","lvq",0.1,0.5,0.997250229147571,0.995927356888217
"wall-robot-navigation","Fold_2","lvq",0.1,0.6,0.995417048579285,0.993209591467612
"wall-robot-navigation","Fold_2","lvq",0.1,0.7,0.995417048579285,0.993209591467612
"wall-robot-navigation","Fold_2","lvq",0.1,0.75,0.995417048579285,0.993209591467612
"wall-robot-navigation","Fold_2","lvq",0.1,0.8,0.995417048579285,0.993209591467612
"wall-robot-navigation","Fold_2","lvq",0.1,0.9,0.992667277726856,0.989128701821515
"wall-robot-navigation","Fold_2","lvq",0.1,1,0.991750687442713,0.987769073531299
"wall-robot-navigation","Fold_2","lvq",0.2,0.1,0.998166819431714,0.997114336800009
"wall-robot-navigation","Fold_2","lvq",0.2,0.2,0.996333638863428,0.994229711432682
"wall-robot-navigation","Fold_2","lvq",0.2,0.25,0.994500458295142,0.991340697136054
"wall-robot-navigation","Fold_2","lvq",0.2,0.3,0.993583868010999,0.989901848132364
"wall-robot-navigation","Fold_2","lvq",0.2,0.4,0.989917506874427,0.984127236054624
"wall-robot-navigation","Fold_2","lvq",0.2,0.5,0.985334555453712,0.976914419626975
"wall-robot-navigation","Fold_2","lvq",0.2,0.6,0.98166819431714,0.971122821969948
"wall-robot-navigation","Fold_2","lvq",0.2,0.7,0.977085242896425,0.963869003778024
"wall-robot-navigation","Fold_2","lvq",0.2,0.75,0.976168652612282,0.962404091732638
"wall-robot-navigation","Fold_2","lvq",0.2,0.8,0.974335472043996,0.959555036555108
"wall-robot-navigation","Fold_2","lvq",0.2,0.9,0.97250229147571,0.956688761176827
"wall-robot-navigation","Fold_2","lvq",0.2,1,0.971585701191567,0.955241025641026
"wall-robot-navigation","Fold_2","lvq",0.3,0.1,0.997250229147571,0.995642953845662
"wall-robot-navigation","Fold_2","lvq",0.3,0.2,0.994500458295142,0.991295015977755
"wall-robot-navigation","Fold_2","lvq",0.3,0.25,0.994500458295142,0.991295015977755
"wall-robot-navigation","Fold_2","lvq",0.3,0.3,0.993583868010999,0.989844171801985
"wall-robot-navigation","Fold_2","lvq",0.3,0.4,0.992667277726856,0.988393354637007
"wall-robot-navigation","Fold_2","lvq",0.3,0.5,0.987167736021998,0.979688370614761
"wall-robot-navigation","Fold_2","lvq",0.3,0.6,0.984417965169569,0.97533591140237
"wall-robot-navigation","Fold_2","lvq",0.3,0.7,0.983501374885426,0.973885047933264
"wall-robot-navigation","Fold_2","lvq",0.3,0.75,0.979835013748854,0.96809691350066
"wall-robot-navigation","Fold_2","lvq",0.3,0.8,0.978918423464711,0.966646728872584
"wall-robot-navigation","Fold_2","lvq",0.3,0.9,0.977085242896425,0.963729136773403
"wall-robot-navigation","Fold_2","lvq",0.3,1,0.97250229147571,0.956475022008505
"wall-robot-navigation","Fold_3","lvq",0.1,0.1,0.998166819431714,0.997277037136871
"wall-robot-navigation","Fold_3","lvq",0.1,0.2,0.998166819431714,0.997277037136871
"wall-robot-navigation","Fold_3","lvq",0.1,0.25,0.997250229147571,0.995915555705306
"wall-robot-navigation","Fold_3","lvq",0.1,0.3,0.996333638863428,0.994555521454789
"wall-robot-navigation","Fold_3","lvq",0.1,0.4,0.995417048579285,0.993194401818486
"wall-robot-navigation","Fold_3","lvq",0.1,0.5,0.993583868010999,0.990477223643718
