"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","rf",0.1,0.1,0.995417048579285,0.993090222316239
"wall-robot-navigation","Fold_1","rf",0.1,0.2,0.986251145737855,0.979313064814007
"wall-robot-navigation","Fold_1","rf",0.1,0.25,0.984417965169569,0.976556051476323
"wall-robot-navigation","Fold_1","rf",0.1,0.3,0.983501374885426,0.975184931524159
"wall-robot-navigation","Fold_1","rf",0.1,0.4,0.975252062328139,0.962789293442493
"wall-robot-navigation","Fold_1","rf",0.1,0.5,0.965169569202566,0.947676766656907
"wall-robot-navigation","Fold_1","rf",0.1,0.6,0.960586617781852,0.940807893458498
"wall-robot-navigation","Fold_1","rf",0.1,0.7,0.952337305224565,0.928483546627134
"wall-robot-navigation","Fold_1","rf",0.1,0.75,0.950504124656279,0.925780255940578
"wall-robot-navigation","Fold_1","rf",0.1,0.8,0.948670944087993,0.92303137653097
"wall-robot-navigation","Fold_1","rf",0.1,0.9,0.940421631530706,0.910742043688129
"wall-robot-navigation","Fold_1","rf",0.1,1,0.927589367552704,0.891535273782542
"wall-robot-navigation","Fold_1","rf",0.2,0.1,0.993583868010999,0.990323467586721
"wall-robot-navigation","Fold_1","rf",0.2,0.2,0.983501374885426,0.97508803799588
"wall-robot-navigation","Fold_1","rf",0.2,0.25,0.978001833180568,0.96680712536319
"wall-robot-navigation","Fold_1","rf",0.2,0.3,0.977085242896425,0.965412996090496
"wall-robot-navigation","Fold_1","rf",0.2,0.4,0.97250229147571,0.958508906703987
"wall-robot-navigation","Fold_1","rf",0.2,0.5,0.963336388634281,0.944675596664309
"wall-robot-navigation","Fold_1","rf",0.2,0.6,0.955087076076994,0.932272854538475
"wall-robot-navigation","Fold_1","rf",0.2,0.7,0.946837763519707,0.919863124727719
"wall-robot-navigation","Fold_1","rf",0.2,0.75,0.943171402383135,0.914395853054778
"wall-robot-navigation","Fold_1","rf",0.2,0.8,0.937671860678277,0.906111580769756
"wall-robot-navigation","Fold_1","rf",0.2,0.9,0.925756186984418,0.888065287965476
"wall-robot-navigation","Fold_1","rf",0.2,1,0.908340971585701,0.86194451966563
"wall-robot-navigation","Fold_1","rf",0.3,0.1,0.989000916590284,0.983441179000197
"wall-robot-navigation","Fold_1","rf",0.3,0.2,0.976168652612282,0.964107482690205
"wall-robot-navigation","Fold_1","rf",0.3,0.25,0.97250229147571,0.958602109736662
"wall-robot-navigation","Fold_1","rf",0.3,0.3,0.967919340054995,0.95168700110202
"wall-robot-navigation","Fold_1","rf",0.3,0.4,0.950504124656279,0.925438529880781
