"dataset_name","technique","most_important_attribute"
"cardiotocography","C5.0","V27"
"cardiotocography","ctree","V27"
"cardiotocography","fda","V27"
"cardiotocography","gbm","V26"
"cardiotocography","gcvEarth","V27"
"cardiotocography","JRip","V31"
"cardiotocography","lvq","V35"
"cardiotocography","mlpML","V31"
"cardiotocography","multinom","V27"
"cardiotocography","naive_bayes","V6"
"cardiotocography","PART","V27"
"cardiotocography","rbfDDA","V26"
"cardiotocography","rda","V35"
"cardiotocography","rf","V27"
"cardiotocography","rpart","V27"
"cardiotocography","simpls","V27"
"cardiotocography","svmLinear","V31"
"cardiotocography","svmRadial","V26"
"cardiotocography","rfRules","V27"
"cardiotocography","knn","V35"
"cardiotocography","bayesglm","V26"
