"dataset_name","technique","most_important_attribute"
"credit-g","C5.0","checking_status"
"credit-g","ctree","checking_status"
"credit-g","fda","checking_status"
"credit-g","gbm","checking_status"
"credit-g","gcvEarth","checking_status"
"credit-g","JRip","duration"
"credit-g","lvq","duration"
"credit-g","mlpML","checking_status"
"credit-g","multinom","checking_status"
"credit-g","naive_bayes","checking_status"
"credit-g","PART","checking_status"
"credit-g","rbfDDA","credit_amount"
"credit-g","rda","checking_status"
"credit-g","rf","checking_status"
"credit-g","rpart","checking_status"
"credit-g","simpls","checking_status"
"credit-g","svmLinear","checking_status"
"credit-g","svmRadial","duration"
"credit-g","rfRules","checking_status"
"credit-g","knn","duration"
"credit-g","bayesglm","checking_status"
