"dataset_name","technique","most_important_attribute"
"diabetes","C5.0","plas"
"diabetes","ctree","plas"
"diabetes","fda","plas"
"diabetes","gbm","plas"
"diabetes","gcvEarth","plas"
"diabetes","JRip","plas"
"diabetes","lvq","plas"
"diabetes","mlpML","plas"
"diabetes","multinom","plas"
"diabetes","naive_bayes","plas"
"diabetes","PART","plas"
"diabetes","rbfDDA","plas"
"diabetes","rda","plas"
"diabetes","rf","plas"
"diabetes","rpart","plas"
"diabetes","simpls","plas"
"diabetes","svmLinear","plas"
"diabetes","svmRadial","plas"
"diabetes","rfRules","plas"
"diabetes","knn","plas"
"diabetes","bayesglm","plas"
