"dataset_name","technique","most_important_attribute"
"eucalyptus","C5.0","Vig"
"eucalyptus","ctree","Vig"
"eucalyptus","fda","Vig"
"eucalyptus","gbm","Vig"
"eucalyptus","gcvEarth","Vig"
"eucalyptus","JRip","Vig"
"eucalyptus","lvq","Vig"
"eucalyptus","mlpML","Vig"
"eucalyptus","multinom","Sp"
"eucalyptus","naive_bayes","Abbrev"
"eucalyptus","PART","Sp"
"eucalyptus","rbfDDA","Abbrev"
"eucalyptus","rda","Vig"
"eucalyptus","rf","Vig"
"eucalyptus","rpart","Vig"
"eucalyptus","simpls","Locality"
"eucalyptus","svmLinear","Sp"
"eucalyptus","svmRadial","Vig"
"eucalyptus","rfRules","Vig"
"eucalyptus","knn","Vig"
"eucalyptus","bayesglm","Sp"
