"dataset_name","technique","most_important_attribute"
"iris","C5.0","petallength"
"iris","ctree","petallength"
"iris","fda","petallength"
"iris","gbm","petallength"
"iris","gcvEarth","petallength"
"iris","JRip","petallength"
"iris","lvq","petalwidth"
"iris","mlpML","petallength"
"iris","multinom","petallength"
"iris","naive_bayes","petalwidth"
"iris","PART","petalwidth"
"iris","rbfDDA","petalwidth"
"iris","rda","petallength"
"iris","rf","petallength"
"iris","rpart","petallength"
"iris","simpls","petalwidth"
"iris","svmLinear","petallength"
"iris","svmRadial","petalwidth"
"iris","rfRules","petalwidth"
"iris","knn","petalwidth"
"iris","bayesglm","petallength"
