"dataset_name","technique","most_important_attribute"
"liver-disorders","C5.0","gammagt"
"liver-disorders","ctree","sgpt"
"liver-disorders","fda","gammagt"
"liver-disorders","gbm","sgpt"
"liver-disorders","gcvEarth","sgpt"
"liver-disorders","JRip","gammagt"
"liver-disorders","lvq","alkphos"
"liver-disorders","mlpML","sgpt"
"liver-disorders","multinom","sgot"
"liver-disorders","naive_bayes","gammagt"
"liver-disorders","PART","gammagt"
"liver-disorders","rbfDDA","alkphos"
"liver-disorders","rda","sgpt"
"liver-disorders","rf","gammagt"
"liver-disorders","rpart","gammagt"
"liver-disorders","simpls","sgpt"
"liver-disorders","svmLinear","sgpt"
"liver-disorders","svmRadial","sgpt"
"liver-disorders","rfRules","sgpt"
"liver-disorders","knn","sgpt"
"liver-disorders","bayesglm","sgot"
