"dataset_name","technique","most_important_attribute"
"monks-problems-2","C5.0","attr6"
"monks-problems-2","ctree","attr3"
"monks-problems-2","fda","attr1"
"monks-problems-2","gbm","attr3"
"monks-problems-2","gcvEarth","attr1"
"monks-problems-2","JRip","attr6"
"monks-problems-2","lvq","attr6"
"monks-problems-2","mlpML","attr3"
"monks-problems-2","multinom","attr5"
"monks-problems-2","naive_bayes","attr1"
"monks-problems-2","PART","attr3"
"monks-problems-2","rbfDDA","attr3"
"monks-problems-2","rda","attr3"
"monks-problems-2","rf","attr6"
"monks-problems-2","rpart","attr6"
"monks-problems-2","simpls","attr1"
"monks-problems-2","svmLinear","attr1"
"monks-problems-2","svmRadial","attr3"
"monks-problems-2","rfRules","attr3"
"monks-problems-2","knn","attr3"
"monks-problems-2","bayesglm","attr2"
