"dataset_name","technique","most_important_attribute"
"tic-tac-toe","C5.0","middle_middle_square"
"tic-tac-toe","ctree","middle_middle_square"
"tic-tac-toe","fda","middle_middle_square"
"tic-tac-toe","gbm","middle_middle_square"
"tic-tac-toe","gcvEarth","middle_middle_square"
"tic-tac-toe","JRip","middle_middle_square"
"tic-tac-toe","lvq","middle_middle_square"
"tic-tac-toe","mlpML","middle_middle_square"
"tic-tac-toe","multinom","middle_middle_square"
"tic-tac-toe","naive_bayes","middle_middle_square"
"tic-tac-toe","PART","middle_middle_square"
"tic-tac-toe","rbfDDA","middle_middle_square"
"tic-tac-toe","rda","middle_middle_square"
"tic-tac-toe","rf","middle_middle_square"
"tic-tac-toe","rpart","middle_middle_square"
"tic-tac-toe","simpls","middle_middle_square"
"tic-tac-toe","svmLinear","middle_middle_square"
"tic-tac-toe","svmRadial","middle_middle_square"
"tic-tac-toe","rfRules","middle_middle_square"
"tic-tac-toe","knn","middle_middle_square"
"tic-tac-toe","bayesglm","middle_middle_square"
