"dataset_name","technique","most_important_attribute"
"vowel","C5.0","Feature_1"
"vowel","ctree","Feature_1"
"vowel","fda","Feature_1"
"vowel","gbm","Feature_1"
"vowel","gcvEarth","Feature_1"
"vowel","JRip","Feature_1"
"vowel","lvq","Feature_5"
"vowel","mlpML","Feature_1"
"vowel","multinom","Feature_1"
"vowel","naive_bayes","Feature_1"
"vowel","PART","Feature_1"
"vowel","rbfDDA","Feature_0"
"vowel","rda","Feature_1"
"vowel","rf","Feature_1"
"vowel","rpart","Feature_1"
"vowel","simpls","Feature_1"
"vowel","svmLinear","Feature_1"
"vowel","svmRadial","Feature_1"
"vowel","rfRules","Feature_1"
"vowel","knn","Feature_5"
"vowel","bayesglm","Feature_1"
