"variance","skewness","curtosis","entropy","class","dataset_name","altered_attribute","noise_level"
3.6216,9.87,-2.8073,-0.44699,"0","banknote","skewness",0.4
4.5459,8.03,-2.4586,-1.4621,"0","banknote","skewness",0.4
3.866,-0.67,1.9242,0.10645,"0","banknote","skewness",0.4
3.4566,14.35,-4.0112,-3.5944,"0","banknote","skewness",0.4
0.32924,-3.55,4.5718,-0.9888,"0","banknote","skewness",0.4
4.3684,9.43,-3.9606,-3.1625,"0","banknote","skewness",0.4
3.5912,1.62,0.72888,0.56421,"0","banknote","skewness",0.4
2.0922,-6.22,8.4636,-0.60216,"0","banknote","skewness",0.4
3.2032,2.23,-0.75345,-0.61251,"0","banknote","skewness",0.4
1.5356,13.53,-2.2718,-0.73535,"0","banknote","skewness",0.4
1.2247,3.62,-2.2135,-0.80647,"0","banknote","skewness",0.4
3.9899,-5,2.3946,0.86291,"0","banknote","skewness",0.4
1.8993,11.88,0.15394,-3.1108,"0","banknote","skewness",0.4
-1.5768,9.9,2.5462,-2.9362,"0","banknote","skewness",0.4
3.404,6.79,-2.9915,-0.57242,"0","banknote","skewness",0.4
4.6765,-6,3.4896,1.4771,"0","banknote","skewness",0.4
2.6719,5.76,0.37158,0.58619,"0","banknote","skewness",0.4
0.80355,5.93,4.3439,0.6017,"0","banknote","skewness",0.4
1.4479,-5.99,8.3428,-2.1086,"0","banknote","skewness",0.4
5.2423,13.26,-4.353,-4.1013,"0","banknote","skewness",0.4
5.7867,11.64,-2.6196,-0.48708,"0","banknote","skewness",0.4
0.3292,-6.07,4.5718,-0.9888,"0","banknote","skewness",0.4
3.9362,9.95,-3.8235,-4.0172,"0","banknote","skewness",0.4
0.93584,10.14,-1.6831,-1.6599,"0","banknote","skewness",0.4
4.4338,11.44,-4.6795,-3.7483,"0","banknote","skewness",0.4
0.7057,-4.89,8.3368,-2.8715,"0","banknote","skewness",0.4
1.1432,-1.33,5.5777,-0.63578,"0","banknote","skewness",0.4
-0.38214,11.7,2.1624,-3.7405,"0","banknote","skewness",0.4
6.5633,13.3,-4.4113,-3.2258,"0","banknote","skewness",0.4
4.8906,-2.56,3.4202,1.0905,"0","banknote","skewness",0.4
-0.24811,-3.55,4.9068,0.15429,"0","banknote","skewness",0.4
1.4884,4.25,3.308,0.48921,"0","banknote","skewness",0.4
4.2969,4.92,-2.3874,-0.96164,"0","banknote","skewness",0.4
-0.96511,9.37,1.7305,-4.8629,"0","banknote","skewness",0.4
-1.6162,2.26,8.1628,0.60817,"0","banknote","skewness",0.4
2.4391,9.06,-0.80743,-0.69139,"0","banknote","skewness",0.4
