"variance","skewness","curtosis","entropy","class","dataset_name","altered_attribute","noise_level"
0.94,8.6661,-2.8073,-0.44699,"0","banknote","variance",0.4
3.1,8.1674,-2.4586,-1.4621,"0","banknote","variance",0.4
3.38,-2.6383,1.9242,0.10645,"0","banknote","variance",0.4
2.96,9.5228,-4.0112,-3.5944,"0","banknote","variance",0.4
-0.2,-4.4552,4.5718,-0.9888,"0","banknote","variance",0.4
3.08,9.6718,-3.9606,-3.1625,"0","banknote","variance",0.4
2.09,3.0129,0.72888,0.56421,"0","banknote","variance",0.4
2.26,-6.81,8.4636,-0.60216,"0","banknote","variance",0.4
1.38,5.7588,-0.75345,-0.61251,"0","banknote","variance",0.4
2.03,9.1772,-2.2718,-0.73535,"0","banknote","variance",0.4
0.96,8.7779,-2.2135,-0.80647,"0","banknote","variance",0.4
4.61,-2.7066,2.3946,0.86291,"0","banknote","variance",0.4
1.91,7.6625,0.15394,-3.1108,"0","banknote","variance",0.4
-3.57,10.843,2.5462,-2.9362,"0","banknote","variance",0.4
2.9,8.7261,-2.9915,-0.57242,"0","banknote","variance",0.4
5.27,-3.3895,3.4896,1.4771,"0","banknote","variance",0.4
3.14,3.0646,0.37158,0.58619,"0","banknote","variance",0.4
1.95,2.8473,4.3439,0.6017,"0","banknote","variance",0.4
2.23,-4.8794,8.3428,-2.1086,"0","banknote","variance",0.4
4.16,11.0272,-4.353,-4.1013,"0","banknote","variance",0.4
5.26,7.8902,-2.6196,-0.48708,"0","banknote","variance",0.4
1.76,-4.4552,4.5718,-0.9888,"0","banknote","variance",0.4
4.32,10.1622,-3.8235,-4.0172,"0","banknote","variance",0.4
1.17,8.8855,-1.6831,-1.6599,"0","banknote","variance",0.4
6.05,9.887,-4.6795,-3.7483,"0","banknote","variance",0.4
1.26,-5.4981,8.3368,-2.8715,"0","banknote","variance",0.4
0.42,-3.7413,5.5777,-0.63578,"0","banknote","variance",0.4
1.32,8.3909,2.1624,-3.7405,"0","banknote","variance",0.4
9.27,9.8187,-4.4113,-3.2258,"0","banknote","variance",0.4
4.91,-3.3584,3.4202,1.0905,"0","banknote","variance",0.4
1.06,-0.17797,4.9068,0.15429,"0","banknote","variance",0.4
0.49,3.6274,3.308,0.48921,"0","banknote","variance",0.4
2.62,7.617,-2.3874,-0.96164,"0","banknote","variance",0.4
-1.19,9.4111,1.7305,-4.8629,"0","banknote","variance",0.4
-3.32,0.80908,8.1628,0.60817,"0","banknote","variance",0.4
4.68,6.4417,-0.80743,-0.69139,"0","banknote","variance",0.4
3.36,6.0195,-0.46641,-0.69268,"0","banknote","variance",0.4
2.61,0.81322,1.6277,0.77627,"0","banknote","variance",0.4
6.92,3.1929,-2.1055,0.29653,"0","banknote","variance",0.4
3.01,9.7008,-3.7541,-3.4379,"0","banknote","variance",0.4
4.23,8.722,-3.0224,-0.59699,"0","banknote","variance",0.4
-0.38,9.2207,-3.7044,-6.8103,"0","banknote","variance",0.4
0.03,9.2931,-0.41243,-1.9638,"0","banknote","variance",0.4
1.51,5.8395,2.3235,0.066365,"0","banknote","variance",0.4
1.61,6.9176,-0.79372,0.48403,"0","banknote","variance",0.4
-0.41,9.5663,-3.7867,-7.5034,"0","banknote","variance",0.4
0.64,6.6258,0.48382,-2.2134,"0","banknote","variance",0.4
-1.36,9.5663,-3.7867,-7.5034,"0","banknote","variance",0.4
3.84,6.065,-2.4534,-0.68234,"0","banknote","variance",0.4
-0.25,3.286,2.8753,0.087054,"0","banknote","variance",0.4
4.31,-4.8835,3.4356,-0.5776,"0","banknote","variance",0.4
6.31,3.9834,-1.5572,1.0103,"0","banknote","variance",0.4
3.58,5.825,-0.51439,-1.4944,"0","banknote","variance",0.4
1.72,6.1499,-1.1605,-1.2371,"0","banknote","variance",0.4
5.73,5.496,-2.4774,-0.50648,"0","banknote","variance",0.4
4.35,0.80287,1.6371,1.1875,"0","banknote","variance",0.4
4.23,6.7769,-0.61979,0.38576,"0","banknote","variance",0.4
5.9,5.0097,-2.2384,0.43878,"0","banknote","variance",0.4
2.97,-4.1096,4.5701,0.98963,"0","banknote","variance",0.4
0.37,11.3603,-0.37644,-7.0495,"0","banknote","variance",0.4
3.26,0.44696,4.5907,-0.24398,"0","banknote","variance",0.4
-0.16,5.527,1.7785,-0.47156,"0","banknote","variance",0.4
5.75,11.2962,-4.0943,-4.3457,"0","banknote","variance",0.4
0.5,-1.1174,1.5454,-0.26079,"0","banknote","variance",0.4
4.4,3.1039,-1.1536,1.5651,"0","banknote","variance",0.4
1.98,2.599,2.0938,0.20085,"0","banknote","variance",0.4
4.86,-4.0765,2.7587,0.31981,"0","banknote","variance",0.4
2.35,9.5332,-3.0789,-2.7746,"0","banknote","variance",0.4
1.4,7.7846,-0.28219,-2.6608,"0","banknote","variance",0.4
0.9,8.9848,-0.9351,-2.4332,"0","banknote","variance",0.4
3.61,-2.3548,2.3792,0.48274,"0","banknote","variance",0.4
6.51,0.49248,1.093,1.8276,"0","banknote","variance",0.4
2.2,10.0153,-3.9486,-3.8582,"0","banknote","variance",0.4
2.75,-3.4495,3.643,1.0879,"0","banknote","variance",0.4
5.28,10.9072,-4.5775,-4.4271,"0","banknote","variance",0.4
2.48,3.5364,0.57551,0.41938,"0","banknote","variance",0.4
4.07,7.9853,-2.5477,-1.872,"0","banknote","variance",0.4
0.59,6.1437,1.7828,-0.72113,"0","banknote","variance",0.4
-0.32,7.6439,0.9885,-0.87371,"0","banknote","variance",0.4
