"V1","V2","V3","V4","class","dataset_name","altered_attribute","noise_level"
3.42,50,12500,98,"2","blood-transfusion-service-center","V1",0.2
-0.06,13,3250,28,"2","blood-transfusion-service-center","V1",0.2
-0.56,16,4000,35,"2","blood-transfusion-service-center","V1",0.2
3.47,20,5000,45,"2","blood-transfusion-service-center","V1",0.2
1.92,24,6000,77,"1","blood-transfusion-service-center","V1",0.2
3.43,4,1000,4,"1","blood-transfusion-service-center","V1",0.2
2.93,7,1750,14,"2","blood-transfusion-service-center","V1",0.2
1.87,12,3000,35,"1","blood-transfusion-service-center","V1",0.2
2.97,9,2250,22,"2","blood-transfusion-service-center","V1",0.2
2.4,46,11500,98,"2","blood-transfusion-service-center","V1",0.2
4.88,23,5750,58,"1","blood-transfusion-service-center","V1",0.2
2.02,3,750,4,"1","blood-transfusion-service-center","V1",0.2
1.67,10,2500,28,"2","blood-transfusion-service-center","V1",0.2
-0.29,13,3250,47,"1","blood-transfusion-service-center","V1",0.2
1.61,6,1500,15,"2","blood-transfusion-service-center","V1",0.2
1.01,5,1250,11,"2","blood-transfusion-service-center","V1",0.2
0.23,14,3500,48,"2","blood-transfusion-service-center","V1",0.2
3.62,15,3750,49,"2","blood-transfusion-service-center","V1",0.2
-0.41,6,1500,15,"2","blood-transfusion-service-center","V1",0.2
4.23,3,750,4,"2","blood-transfusion-service-center","V1",0.2
1.72,3,750,4,"2","blood-transfusion-service-center","V1",0.2
3.71,11,2750,28,"1","blood-transfusion-service-center","V1",0.2
2.14,6,1500,16,"2","blood-transfusion-service-center","V1",0.2
2.27,6,1500,16,"2","blood-transfusion-service-center","V1",0.2
9.76,9,2250,16,"1","blood-transfusion-service-center","V1",0.2
3.22,14,3500,40,"1","blood-transfusion-service-center","V1",0.2
0.95,6,1500,14,"1","blood-transfusion-service-center","V1",0.2
6.03,12,3000,34,"2","blood-transfusion-service-center","V1",0.2
3.18,5,1250,11,"2","blood-transfusion-service-center","V1",0.2
5.42,8,2000,21,"1","blood-transfusion-service-center","V1",0.2
4.07,14,3500,58,"1","blood-transfusion-service-center","V1",0.2
6.83,10,2500,28,"2","blood-transfusion-service-center","V1",0.2
4.04,10,2500,28,"2","blood-transfusion-service-center","V1",0.2
4.98,9,2250,26,"2","blood-transfusion-service-center","V1",0.2
2.13,16,4000,64,"1","blood-transfusion-service-center","V1",0.2
3.96,8,2000,28,"2","blood-transfusion-service-center","V1",0.2
0.88,12,3000,47,"2","blood-transfusion-service-center","V1",0.2
5.03,6,1500,16,"2","blood-transfusion-service-center","V1",0.2
1.04,14,3500,57,"2","blood-transfusion-service-center","V1",0.2
3.4,7,1750,22,"2","blood-transfusion-service-center","V1",0.2
1.93,13,3250,53,"2","blood-transfusion-service-center","V1",0.2
0.6,5,1250,16,"1","blood-transfusion-service-center","V1",0.2
2.44,5,1250,16,"2","blood-transfusion-service-center","V1",0.2
2.93,5,1250,16,"1","blood-transfusion-service-center","V1",0.2
5.34,20,5000,69,"2","blood-transfusion-service-center","V1",0.2
1.53,9,2250,28,"2","blood-transfusion-service-center","V1",0.2
3.93,9,2250,36,"1","blood-transfusion-service-center","V1",0.2
1.2,2,500,2,"1","blood-transfusion-service-center","V1",0.2
2.03,2,500,2,"1","blood-transfusion-service-center","V1",0.2
1.91,2,500,2,"1","blood-transfusion-service-center","V1",0.2
-1.03,11,2750,46,"1","blood-transfusion-service-center","V1",0.2
2.51,11,2750,46,"2","blood-transfusion-service-center","V1",0.2
2.63,6,1500,22,"1","blood-transfusion-service-center","V1",0.2
2.16,12,3000,52,"1","blood-transfusion-service-center","V1",0.2
3.5,5,1250,14,"2","blood-transfusion-service-center","V1",0.2
3.32,19,4750,69,"2","blood-transfusion-service-center","V1",0.2
4.76,8,2000,26,"2","blood-transfusion-service-center","V1",0.2
0.93,7,1750,28,"2","blood-transfusion-service-center","V1",0.2
1.54,16,4000,81,"1","blood-transfusion-service-center","V1",0.2
3.63,6,1500,21,"1","blood-transfusion-service-center","V1",0.2
2.72,7,1750,29,"1","blood-transfusion-service-center","V1",0.2
0.17,8,2000,35,"2","blood-transfusion-service-center","V1",0.2
3.48,10,2500,49,"1","blood-transfusion-service-center","V1",0.2
3.11,5,1250,16,"2","blood-transfusion-service-center","V1",0.2
3.64,3,750,9,"2","blood-transfusion-service-center","V1",0.2
0.65,16,4000,74,"1","blood-transfusion-service-center","V1",0.2
0.31,4,1000,14,"2","blood-transfusion-service-center","V1",0.2
-0.19,2,500,4,"1","blood-transfusion-service-center","V1",0.2
1.95,7,1750,25,"1","blood-transfusion-service-center","V1",0.2
-0.51,9,2250,51,"1","blood-transfusion-service-center","V1",0.2
3.81,4,1000,16,"1","blood-transfusion-service-center","V1",0.2
2.61,4,1000,16,"1","blood-transfusion-service-center","V1",0.2
3.07,17,4250,71,"2","blood-transfusion-service-center","V1",0.2
5.13,2,500,4,"1","blood-transfusion-service-center","V1",0.2
0.51,2,500,4,"2","blood-transfusion-service-center","V1",0.2
2.07,2,500,4,"2","blood-transfusion-service-center","V1",0.2
2.58,4,1000,16,"2","blood-transfusion-service-center","V1",0.2
-2.05,2,500,4,"1","blood-transfusion-service-center","V1",0.2
-1.02,2,500,4,"1","blood-transfusion-service-center","V1",0.2
1.69,2,500,4,"1","blood-transfusion-service-center","V1",0.2
3.73,6,1500,23,"2","blood-transfusion-service-center","V1",0.2
1.22,4,1000,16,"1","blood-transfusion-service-center","V1",0.2
-0.39,4,1000,16,"1","blood-transfusion-service-center","V1",0.2
0.47,4,1000,16,"1","blood-transfusion-service-center","V1",0.2
-0.16,6,1500,28,"2","blood-transfusion-service-center","V1",0.2
3.09,6,1500,28,"1","blood-transfusion-service-center","V1",0.2
4.04,2,500,4,"1","blood-transfusion-service-center","V1",0.2
3.88,2,500,4,"1","blood-transfusion-service-center","V1",0.2
6.02,2,500,4,"1","blood-transfusion-service-center","V1",0.2
0.5,7,1750,35,"2","blood-transfusion-service-center","V1",0.2
2.78,2,500,4,"2","blood-transfusion-service-center","V1",0.2
-0.71,2,500,4,"1","blood-transfusion-service-center","V1",0.2
4.63,2,500,4,"1","blood-transfusion-service-center","V1",0.2
3.27,2,500,4,"1","blood-transfusion-service-center","V1",0.2
