"V1","V2","V3","V4","class","dataset_name","altered_attribute","noise_level"
2,50,8665.93,98,"2","blood-transfusion-service-center","V3",1
0,13,2421.74,28,"2","blood-transfusion-service-center","V3",1
1,16,3463.21,35,"2","blood-transfusion-service-center","V3",1
2,20,6302.03,45,"2","blood-transfusion-service-center","V3",1
1,24,4770.43,77,"1","blood-transfusion-service-center","V3",1
4,4,2155.93,4,"1","blood-transfusion-service-center","V3",1
2,7,681.13,14,"2","blood-transfusion-service-center","V3",1
1,12,2517.34,35,"1","blood-transfusion-service-center","V3",1
2,9,4914.35,22,"2","blood-transfusion-service-center","V3",1
5,46,10855.43,98,"2","blood-transfusion-service-center","V3",1
4,23,2835.64,58,"1","blood-transfusion-service-center","V3",1
0,3,-2457.85,4,"1","blood-transfusion-service-center","V3",1
2,10,-373.92,28,"2","blood-transfusion-service-center","V3",1
1,13,3617.32,47,"1","blood-transfusion-service-center","V3",1
2,6,2412.86,15,"2","blood-transfusion-service-center","V3",1
2,5,712.51,11,"2","blood-transfusion-service-center","V3",1
2,14,5761.01,48,"2","blood-transfusion-service-center","V3",1
2,15,4933.61,49,"2","blood-transfusion-service-center","V3",1
2,6,6508.43,15,"2","blood-transfusion-service-center","V3",1
2,3,1506.14,4,"2","blood-transfusion-service-center","V3",1
2,3,494.85,4,"2","blood-transfusion-service-center","V3",1
4,11,3575.98,28,"1","blood-transfusion-service-center","V3",1
2,6,3203.75,16,"2","blood-transfusion-service-center","V3",1
2,6,2300.3,16,"2","blood-transfusion-service-center","V3",1
9,9,2847.25,16,"1","blood-transfusion-service-center","V3",1
4,14,2900.78,40,"1","blood-transfusion-service-center","V3",1
4,6,2684.91,14,"1","blood-transfusion-service-center","V3",1
4,12,3664.28,34,"2","blood-transfusion-service-center","V3",1
4,5,-374.89,11,"2","blood-transfusion-service-center","V3",1
4,8,1486.48,21,"1","blood-transfusion-service-center","V3",1
1,14,-318.96,58,"1","blood-transfusion-service-center","V3",1
4,10,2949.83,28,"2","blood-transfusion-service-center","V3",1
4,10,845.65,28,"2","blood-transfusion-service-center","V3",1
4,9,1986.11,26,"2","blood-transfusion-service-center","V3",1
2,16,1458.53,64,"1","blood-transfusion-service-center","V3",1
2,8,1822.88,28,"2","blood-transfusion-service-center","V3",1
2,12,201.31,47,"2","blood-transfusion-service-center","V3",1
4,6,2555.65,16,"2","blood-transfusion-service-center","V3",1
2,14,2844.67,57,"2","blood-transfusion-service-center","V3",1
4,7,2950.56,22,"2","blood-transfusion-service-center","V3",1
2,13,6802.44,53,"2","blood-transfusion-service-center","V3",1
2,5,3006.93,16,"1","blood-transfusion-service-center","V3",1
2,5,629.76,16,"2","blood-transfusion-service-center","V3",1
2,5,1986.64,16,"1","blood-transfusion-service-center","V3",1
4,20,4939.01,69,"2","blood-transfusion-service-center","V3",1
4,9,730.19,28,"2","blood-transfusion-service-center","V3",1
2,9,1326.16,36,"1","blood-transfusion-service-center","V3",1
2,2,-1730.19,2,"1","blood-transfusion-service-center","V3",1
2,2,1126.32,2,"1","blood-transfusion-service-center","V3",1
2,2,2092.64,2,"1","blood-transfusion-service-center","V3",1
2,11,3823.68,46,"1","blood-transfusion-service-center","V3",1
2,11,2593.27,46,"2","blood-transfusion-service-center","V3",1
2,6,-1404.86,22,"1","blood-transfusion-service-center","V3",1
2,12,3725.38,52,"1","blood-transfusion-service-center","V3",1
4,5,4391.89,14,"2","blood-transfusion-service-center","V3",1
4,19,4736.92,69,"2","blood-transfusion-service-center","V3",1
4,8,2544.08,26,"2","blood-transfusion-service-center","V3",1
2,7,617.65,28,"2","blood-transfusion-service-center","V3",1
2,16,4684.06,81,"1","blood-transfusion-service-center","V3",1
3,6,1066,21,"1","blood-transfusion-service-center","V3",1
2,7,1076.84,29,"1","blood-transfusion-service-center","V3",1
2,8,116.84,35,"2","blood-transfusion-service-center","V3",1
2,10,2562.38,49,"1","blood-transfusion-service-center","V3",1
4,5,2011.2,16,"2","blood-transfusion-service-center","V3",1
2,3,2826.89,9,"2","blood-transfusion-service-center","V3",1
3,16,4479.6,74,"1","blood-transfusion-service-center","V3",1
2,4,-738.63,14,"2","blood-transfusion-service-center","V3",1
0,2,201.02,4,"1","blood-transfusion-service-center","V3",1
4,7,3634.4,25,"1","blood-transfusion-service-center","V3",1
1,9,2292.2,51,"1","blood-transfusion-service-center","V3",1
2,4,369.39,16,"1","blood-transfusion-service-center","V3",1
2,4,-215,16,"1","blood-transfusion-service-center","V3",1
4,17,5547.31,71,"2","blood-transfusion-service-center","V3",1
2,2,2292.58,4,"1","blood-transfusion-service-center","V3",1
2,2,-793.89,4,"2","blood-transfusion-service-center","V3",1
2,2,-339.42,4,"2","blood-transfusion-service-center","V3",1
2,4,2577.49,16,"2","blood-transfusion-service-center","V3",1
2,2,628.39,4,"1","blood-transfusion-service-center","V3",1
2,2,1602.47,4,"1","blood-transfusion-service-center","V3",1
2,2,101.46,4,"1","blood-transfusion-service-center","V3",1
4,6,2546.32,23,"2","blood-transfusion-service-center","V3",1
2,4,1661.85,16,"1","blood-transfusion-service-center","V3",1
2,4,3522.69,16,"1","blood-transfusion-service-center","V3",1
2,4,669.62,16,"1","blood-transfusion-service-center","V3",1
2,6,985.99,28,"2","blood-transfusion-service-center","V3",1
2,6,2671.89,28,"1","blood-transfusion-service-center","V3",1
4,2,-1813.86,4,"1","blood-transfusion-service-center","V3",1
4,2,3006.99,4,"1","blood-transfusion-service-center","V3",1
4,2,265.51,4,"1","blood-transfusion-service-center","V3",1
2,7,392.69,35,"2","blood-transfusion-service-center","V3",1
4,2,929.03,4,"2","blood-transfusion-service-center","V3",1
4,2,-247.33,4,"1","blood-transfusion-service-center","V3",1
4,2,-2078.09,4,"1","blood-transfusion-service-center","V3",1
4,2,1484.29,4,"1","blood-transfusion-service-center","V3",1
12,11,3249.66,23,"1","blood-transfusion-service-center","V3",1
4,7,3078.05,28,"1","blood-transfusion-service-center","V3",1
3,17,3405.77,86,"1","blood-transfusion-service-center","V3",1
4,9,2129.55,38,"2","blood-transfusion-service-center","V3",1
4,4,-891.19,14,"2","blood-transfusion-service-center","V3",1
5,7,2474.79,26,"2","blood-transfusion-service-center","V3",1
4,8,2838.75,34,"2","blood-transfusion-service-center","V3",1
2,13,802.46,76,"2","blood-transfusion-service-center","V3",1
4,9,2901.26,40,"1","blood-transfusion-service-center","V3",1
2,5,2464.73,26,"1","blood-transfusion-service-center","V3",1
2,5,-405.64,26,"1","blood-transfusion-service-center","V3",1
6,17,4146.68,70,"1","blood-transfusion-service-center","V3",1
0,8,2208.23,59,"1","blood-transfusion-service-center","V3",1
3,5,1445.97,26,"1","blood-transfusion-service-center","V3",1
2,3,934.63,14,"1","blood-transfusion-service-center","V3",1
2,10,2607.55,64,"1","blood-transfusion-service-center","V3",1
4,5,3214.91,23,"2","blood-transfusion-service-center","V3",1
4,9,2002.46,46,"1","blood-transfusion-service-center","V3",1
4,5,2478.48,23,"1","blood-transfusion-service-center","V3",1
4,8,2587.6,40,"2","blood-transfusion-service-center","V3",1
2,12,1490.67,82,"1","blood-transfusion-service-center","V3",1
11,24,8083.99,64,"1","blood-transfusion-service-center","V3",1
2,7,2822.55,46,"2","blood-transfusion-service-center","V3",1
4,11,2908.65,61,"1","blood-transfusion-service-center","V3",1
1,7,896.91,57,"1","blood-transfusion-service-center","V3",1
2,11,3179.57,79,"2","blood-transfusion-service-center","V3",1
2,3,1931.94,16,"2","blood-transfusion-service-center","V3",1
4,5,-1533.46,26,"2","blood-transfusion-service-center","V3",1
2,6,245.25,41,"2","blood-transfusion-service-center","V3",1
2,5,1445.04,33,"2","blood-transfusion-service-center","V3",1
2,4,1069.52,26,"1","blood-transfusion-service-center","V3",1
2,5,1396.63,34,"1","blood-transfusion-service-center","V3",1
4,8,-328.46,46,"2","blood-transfusion-service-center","V3",1
2,4,2137.3,26,"1","blood-transfusion-service-center","V3",1
4,8,1798.54,48,"2","blood-transfusion-service-center","V3",1
2,2,1319.88,10,"2","blood-transfusion-service-center","V3",1
4,5,1035.21,28,"1","blood-transfusion-service-center","V3",1
2,12,2105.43,95,"1","blood-transfusion-service-center","V3",1
2,2,-447.97,10,"1","blood-transfusion-service-center","V3",1
4,6,429.38,35,"1","blood-transfusion-service-center","V3",1
2,11,3295.22,88,"1","blood-transfusion-service-center","V3",1
2,3,311.14,19,"1","blood-transfusion-service-center","V3",1
2,5,4215.59,37,"1","blood-transfusion-service-center","V3",1
2,12,2671.17,98,"1","blood-transfusion-service-center","V3",1
9,5,1196.65,19,"1","blood-transfusion-service-center","V3",1
2,2,3596.17,11,"1","blood-transfusion-service-center","V3",1
2,9,3088.64,74,"1","blood-transfusion-service-center","V3",1
5,14,4671.61,86,"1","blood-transfusion-service-center","V3",1
4,3,1010.49,16,"1","blood-transfusion-service-center","V3",1
4,3,922.77,16,"1","blood-transfusion-service-center","V3",1
4,2,-790.56,9,"2","blood-transfusion-service-center","V3",1
4,3,2510.6,16,"2","blood-transfusion-service-center","V3",1
6,3,773.04,14,"1","blood-transfusion-service-center","V3",1
2,2,170.87,11,"1","blood-transfusion-service-center","V3",1
2,2,-1392.82,11,"2","blood-transfusion-service-center","V3",1
2,2,443.82,11,"1","blood-transfusion-service-center","V3",1
2,7,294.77,58,"2","blood-transfusion-service-center","V3",1
4,6,996.63,39,"1","blood-transfusion-service-center","V3",1
4,11,3250.71,78,"1","blood-transfusion-service-center","V3",1
2,1,-752.08,2,"2","blood-transfusion-service-center","V3",1
2,1,-666.83,2,"1","blood-transfusion-service-center","V3",1
2,1,1795.8,2,"1","blood-transfusion-service-center","V3",1
2,1,1232.04,2,"1","blood-transfusion-service-center","V3",1
2,1,-1078.48,2,"1","blood-transfusion-service-center","V3",1
2,1,-2118.45,2,"1","blood-transfusion-service-center","V3",1
2,1,-1445.24,2,"1","blood-transfusion-service-center","V3",1
2,1,-439.05,2,"1","blood-transfusion-service-center","V3",1
2,1,548.63,2,"1","blood-transfusion-service-center","V3",1
2,1,1780.58,2,"1","blood-transfusion-service-center","V3",1
2,1,2650.66,2,"2","blood-transfusion-service-center","V3",1
2,1,399.35,2,"2","blood-transfusion-service-center","V3",1
2,1,-1109.12,2,"2","blood-transfusion-service-center","V3",1
2,1,622.82,2,"1","blood-transfusion-service-center","V3",1
2,1,-350.89,2,"1","blood-transfusion-service-center","V3",1
2,1,-2244.49,2,"1","blood-transfusion-service-center","V3",1
2,1,-1856.75,2,"1","blood-transfusion-service-center","V3",1
2,1,-1025.39,2,"1","blood-transfusion-service-center","V3",1
2,1,-664.8,2,"1","blood-transfusion-service-center","V3",1
2,1,-2834.86,2,"1","blood-transfusion-service-center","V3",1
2,1,2420.99,2,"1","blood-transfusion-service-center","V3",1
2,1,-2626.08,2,"1","blood-transfusion-service-center","V3",1
11,10,2445.47,35,"1","blood-transfusion-service-center","V3",1
11,4,978.1,16,"2","blood-transfusion-service-center","V3",1
4,5,2356.6,33,"2","blood-transfusion-service-center","V3",1
4,6,48.38,41,"2","blood-transfusion-service-center","V3",1
2,3,1469.4,22,"1","blood-transfusion-service-center","V3",1
4,4,2397.7,26,"2","blood-transfusion-service-center","V3",1
10,4,858.14,16,"1","blood-transfusion-service-center","V3",1
2,4,2458.27,35,"1","blood-transfusion-service-center","V3",1
4,12,2534.29,88,"1","blood-transfusion-service-center","V3",1
13,8,499.86,26,"1","blood-transfusion-service-center","V3",1
11,9,1486.96,33,"1","blood-transfusion-service-center","V3",1
4,5,2007.41,34,"1","blood-transfusion-service-center","V3",1
4,4,1355.32,26,"1","blood-transfusion-service-center","V3",1
8,15,2058.79,77,"1","blood-transfusion-service-center","V3",1
4,5,948.19,35,"2","blood-transfusion-service-center","V3",1
4,7,1558.58,52,"1","blood-transfusion-service-center","V3",1
4,7,4497.3,52,"1","blood-transfusion-service-center","V3",1
2,4,-1171.92,35,"1","blood-transfusion-service-center","V3",1
11,11,1857.87,42,"1","blood-transfusion-service-center","V3",1
2,2,-378.32,14,"1","blood-transfusion-service-center","V3",1
2,5,1180.59,47,"2","blood-transfusion-service-center","V3",1
9,8,1446.89,38,"2","blood-transfusion-service-center","V3",1
4,6,1477.69,47,"1","blood-transfusion-service-center","V3",1
11,7,3280.34,29,"1","blood-transfusion-service-center","V3",1
9,9,875.28,45,"1","blood-transfusion-service-center","V3",1
4,6,1398.45,52,"1","blood-transfusion-service-center","V3",1
4,7,-910.47,58,"1","blood-transfusion-service-center","V3",1
6,2,-111.39,11,"2","blood-transfusion-service-center","V3",1
4,7,2024.42,58,"1","blood-transfusion-service-center","V3",1
11,9,3544.79,38,"1","blood-transfusion-service-center","V3",1
11,6,1052.98,26,"1","blood-transfusion-service-center","V3",1
2,2,-1383,16,"1","blood-transfusion-service-center","V3",1
2,7,1434.43,76,"1","blood-transfusion-service-center","V3",1
11,6,1429.53,27,"1","blood-transfusion-service-center","V3",1
11,3,3563.26,14,"1","blood-transfusion-service-center","V3",1
4,1,-1052.64,4,"1","blood-transfusion-service-center","V3",1
4,1,-1978.33,4,"1","blood-transfusion-service-center","V3",1
4,1,2008.59,4,"1","blood-transfusion-service-center","V3",1
4,1,-687.49,4,"1","blood-transfusion-service-center","V3",1
4,1,-421.62,4,"1","blood-transfusion-service-center","V3",1
4,1,-299.35,4,"2","blood-transfusion-service-center","V3",1
4,1,3104.75,4,"1","blood-transfusion-service-center","V3",1
4,1,-356.5,4,"1","blood-transfusion-service-center","V3",1
4,1,-645.47,4,"1","blood-transfusion-service-center","V3",1
4,1,-1800.63,4,"1","blood-transfusion-service-center","V3",1
4,1,-151,4,"1","blood-transfusion-service-center","V3",1
4,1,-3291.87,4,"2","blood-transfusion-service-center","V3",1
4,1,-1186.12,4,"2","blood-transfusion-service-center","V3",1
4,1,-1544.15,4,"1","blood-transfusion-service-center","V3",1
4,1,-1147.71,4,"2","blood-transfusion-service-center","V3",1
4,1,1149.48,4,"2","blood-transfusion-service-center","V3",1
4,1,-1442.53,4,"1","blood-transfusion-service-center","V3",1
4,3,1547.58,24,"1","blood-transfusion-service-center","V3",1
4,1,1164.2,4,"1","blood-transfusion-service-center","V3",1
4,1,-676.06,4,"1","blood-transfusion-service-center","V3",1
4,1,1177.05,4,"1","blood-transfusion-service-center","V3",1
4,1,-207.28,4,"2","blood-transfusion-service-center","V3",1
4,1,-393.02,4,"1","blood-transfusion-service-center","V3",1
10,8,3324.03,39,"1","blood-transfusion-service-center","V3",1
14,7,1985.78,26,"1","blood-transfusion-service-center","V3",1
8,10,3296.78,63,"1","blood-transfusion-service-center","V3",1
11,3,-480.99,15,"1","blood-transfusion-service-center","V3",1
4,2,390.65,14,"1","blood-transfusion-service-center","V3",1
2,4,327.23,43,"1","blood-transfusion-service-center","V3",1
8,9,2357.07,58,"1","blood-transfusion-service-center","V3",1
8,8,1085.45,52,"2","blood-transfusion-service-center","V3",1
11,22,5988.86,98,"1","blood-transfusion-service-center","V3",1
4,3,-752.75,25,"2","blood-transfusion-service-center","V3",1
11,17,4315.18,79,"2","blood-transfusion-service-center","V3",1
9,2,-2880.5,11,"1","blood-transfusion-service-center","V3",1
4,5,110.53,46,"1","blood-transfusion-service-center","V3",1
11,12,2830.88,58,"1","blood-transfusion-service-center","V3",1
7,12,3154.38,86,"1","blood-transfusion-service-center","V3",1
11,2,-494.56,11,"1","blood-transfusion-service-center","V3",1
11,2,-283.68,11,"1","blood-transfusion-service-center","V3",1
11,2,352.23,11,"1","blood-transfusion-service-center","V3",1
2,6,-176.88,75,"1","blood-transfusion-service-center","V3",1
11,8,3612.56,41,"2","blood-transfusion-service-center","V3",1
11,3,2611.73,16,"2","blood-transfusion-service-center","V3",1
12,13,6282.17,59,"1","blood-transfusion-service-center","V3",1
2,3,1546.5,35,"1","blood-transfusion-service-center","V3",1
16,8,2044.42,28,"1","blood-transfusion-service-center","V3",1
11,7,535.52,37,"1","blood-transfusion-service-center","V3",1
4,3,-1859.61,28,"1","blood-transfusion-service-center","V3",1
12,12,3640.72,58,"1","blood-transfusion-service-center","V3",1
4,4,-398.41,41,"1","blood-transfusion-service-center","V3",1
11,14,2981.91,73,"2","blood-transfusion-service-center","V3",1
2,2,-507.74,23,"1","blood-transfusion-service-center","V3",1
2,3,1301.75,38,"2","blood-transfusion-service-center","V3",1
4,5,210.99,58,"1","blood-transfusion-service-center","V3",1
4,4,675.04,43,"2","blood-transfusion-service-center","V3",1
3,2,-1354.18,23,"1","blood-transfusion-service-center","V3",1
11,8,2922.46,46,"1","blood-transfusion-service-center","V3",1
4,7,478.03,82,"1","blood-transfusion-service-center","V3",1
13,4,515.38,21,"1","blood-transfusion-service-center","V3",1
16,11,2128.11,40,"1","blood-transfusion-service-center","V3",1
16,7,2946.83,28,"1","blood-transfusion-service-center","V3",1
7,2,2471.07,16,"1","blood-transfusion-service-center","V3",1
4,5,439.8,58,"1","blood-transfusion-service-center","V3",1
4,5,2220.82,58,"1","blood-transfusion-service-center","V3",1
4,4,952.37,46,"1","blood-transfusion-service-center","V3",1
14,13,6718.64,57,"1","blood-transfusion-service-center","V3",1
4,3,-1687.27,34,"1","blood-transfusion-service-center","V3",1
14,18,8260.47,78,"1","blood-transfusion-service-center","V3",1
11,8,1326.98,48,"1","blood-transfusion-service-center","V3",1
14,16,4018.71,70,"1","blood-transfusion-service-center","V3",1
14,4,574.67,22,"2","blood-transfusion-service-center","V3",1
