"Wifes_age","Wifes_education","Husbands_education","Number_of_children_ever_born","Wifes_religion","Wifes_now_working","Husbands_occupation","Standard_of_living_index","Media_exposure","class","dataset_name","altered_attribute","noise_level"
24.3,"2","3",3,"1","1","2","3","0","P","cmc","Wifes_age",0.1
44.37,"1","3",10,"1","1","3","4","0","P","cmc","Wifes_age",0.1
43.74,"2","3",7,"1","1","3","4","0","P","cmc","Wifes_age",0.1
41.2,"3","2",9,"1","1","3","3","0","P","cmc","Wifes_age",0.1
37.29,"3","3",8,"1","1","3","2","0","P","cmc","Wifes_age",0.1
20.27,"4","4",0,"1","1","3","3","0","P","cmc","Wifes_age",0.1
37.56,"2","3",6,"1","1","3","2","0","P","cmc","Wifes_age",0.1
21.13,"3","3",1,"1","0","3","2","0","P","cmc","Wifes_age",0.1
27.25,"2","3",3,"1","1","3","4","0","P","cmc","Wifes_age",0.1
45.14,"1","1",8,"1","1","2","2","1","P","cmc","Wifes_age",0.1
36.46,"1","3",2,"1","0","3","3","1","P","cmc","Wifes_age",0.1
43,"1","4",4,"1","1","1","3","0","P","cmc","Wifes_age",0.1
42.77,"4","4",1,"1","0","1","4","0","P","cmc","Wifes_age",0.1
40.45,"2","4",1,"1","0","3","3","0","P","cmc","Wifes_age",0.1
36.94,"3","4",2,"1","1","2","3","0","P","cmc","Wifes_age",0.1
27.08,"2","4",0,"1","1","4","1","0","P","cmc","Wifes_age",0.1
48.4,"1","1",7,"1","1","2","4","0","P","cmc","Wifes_age",0.1
38.14,"2","2",6,"1","1","2","4","0","P","cmc","Wifes_age",0.1
36.98,"2","2",8,"1","1","2","3","0","P","cmc","Wifes_age",0.1
38.91,"2","1",5,"1","1","2","1","1","P","cmc","Wifes_age",0.1
24.9,"3","4",1,"1","0","4","1","0","P","cmc","Wifes_age",0.1
23.96,"3","4",0,"1","0","3","1","0","P","cmc","Wifes_age",0.1
45.32,"4","4",1,"0","1","1","4","0","P","cmc","Wifes_age",0.1
38.52,"4","4",1,"1","1","1","4","0","P","cmc","Wifes_age",0.1
49.86,"4","4",5,"1","1","1","4","0","P","cmc","Wifes_age",0.1
40.43,"2","4",8,"1","1","3","3","0","P","cmc","Wifes_age",0.1
39.05,"4","4",1,"1","0","1","4","0","P","cmc","Wifes_age",0.1
28.01,"4","4",0,"1","0","1","4","0","P","cmc","Wifes_age",0.1
25.29,"4","4",0,"1","0","2","2","0","P","cmc","Wifes_age",0.1
42.77,"1","2",8,"1","1","2","4","0","P","cmc","Wifes_age",0.1
30.56,"3","4",2,"1","1","1","4","0","P","cmc","Wifes_age",0.1
30.63,"4","4",2,"1","1","3","2","0","P","cmc","Wifes_age",0.1
25.37,"2","4",0,"1","0","1","2","0","P","cmc","Wifes_age",0.1
31.55,"2","2",2,"1","1","3","1","0","P","cmc","Wifes_age",0.1
23.66,"2","3",1,"1","1","3","3","0","P","cmc","Wifes_age",0.1
41.66,"1","3",9,"1","1","3","2","1","P","cmc","Wifes_age",0.1
42.63,"1","2",8,"1","0","3","1","0","P","cmc","Wifes_age",0.1
23.89,"3","3",4,"1","1","3","2","0","P","cmc","Wifes_age",0.1
42.04,"2","2",3,"1","1","3","4","0","P","cmc","Wifes_age",0.1
27.69,"2","2",1,"1","1","2","4","0","P","cmc","Wifes_age",0.1
27.5,"1","1",3,"1","1","3","1","0","P","cmc","Wifes_age",0.1
45.89,"2","3",0,"1","0","1","3","0","P","cmc","Wifes_age",0.1
49.34,"2","4",2,"1","1","1","3","0","P","cmc","Wifes_age",0.1
39.58,"4","4",2,"0","1","1","4","0","P","cmc","Wifes_age",0.1
27.7,"2","2",1,"1","1","3","2","0","P","cmc","Wifes_age",0.1
26.31,"1","4",1,"1","1","2","1","0","P","cmc","Wifes_age",0.1
31.26,"4","4",2,"1","1","2","3","0","P","cmc","Wifes_age",0.1
45.08,"4","4",0,"1","1","2","4","0","P","cmc","Wifes_age",0.1
28.19,"4","4",1,"1","1","1","4","0","P","cmc","Wifes_age",0.1
26.75,"4","4",0,"1","0","1","4","0","P","cmc","Wifes_age",0.1
30.97,"4","4",0,"1","0","1","4","0","P","cmc","Wifes_age",0.1
48.77,"4","4",7,"0","1","2","4","0","P","cmc","Wifes_age",0.1
39.08,"3","4",8,"1","1","3","3","0","P","cmc","Wifes_age",0.1
33.2,"4","4",1,"0","0","2","3","0","P","cmc","Wifes_age",0.1
35.92,"2","4",5,"1","1","2","3","0","P","cmc","Wifes_age",0.1
20.33,"2","2",2,"1","1","2","2","1","P","cmc","Wifes_age",0.1
43.74,"4","4",5,"1","0","1","4","0","P","cmc","Wifes_age",0.1
38,"3","4",7,"1","1","2","1","0","P","cmc","Wifes_age",0.1
19.54,"2","3",0,"1","1","3","4","0","P","cmc","Wifes_age",0.1
49.33,"4","4",6,"1","1","1","2","0","P","cmc","Wifes_age",0.1
41.19,"3","3",10,"1","1","3","3","0","P","cmc","Wifes_age",0.1
20.38,"2","3",1,"1","1","2","3","0","P","cmc","Wifes_age",0.1
46.39,"1","2",2,"1","0","1","3","0","P","cmc","Wifes_age",0.1
21.89,"2","3",1,"1","1","2","1","0","P","cmc","Wifes_age",0.1
26.78,"2","4",1,"1","0","1","3","0","P","cmc","Wifes_age",0.1
23.74,"2","4",1,"1","1","3","1","0","P","cmc","Wifes_age",0.1
43.62,"4","2",8,"1","1","3","3","0","P","cmc","Wifes_age",0.1
29.61,"2","3",3,"1","1","3","1","0","P","cmc","Wifes_age",0.1
22.62,"3","4",2,"1","1","3","4","0","P","cmc","Wifes_age",0.1
26.29,"4","4",1,"1","0","3","3","0","P","cmc","Wifes_age",0.1
46.57,"2","3",4,"1","1","2","3","0","P","cmc","Wifes_age",0.1
47.79,"2","3",8,"1","1","1","4","0","P","cmc","Wifes_age",0.1
28.27,"2","3",1,"1","1","1","1","0","P","cmc","Wifes_age",0.1
29.04,"2","3",1,"1","1","1","2","0","P","cmc","Wifes_age",0.1
20.81,"3","4",0,"1","1","2","3","0","P","cmc","Wifes_age",0.1
19.53,"3","4",1,"1","1","2","3","0","P","cmc","Wifes_age",0.1
28.78,"4","4",0,"1","0","2","4","0","P","cmc","Wifes_age",0.1
44.08,"3","4",3,"1","1","1","4","0","P","cmc","Wifes_age",0.1
32.64,"2","3",2,"1","1","3","2","0","P","cmc","Wifes_age",0.1
38.19,"4","4",1,"1","0","1","4","0","P","cmc","Wifes_age",0.1
23.35,"4","4",0,"0","1","1","4","0","P","cmc","Wifes_age",0.1
47.1,"4","4",6,"0","0","1","4","0","P","cmc","Wifes_age",0.1
23.68,"2","4",1,"1","0","4","4","0","P","cmc","Wifes_age",0.1
27.5,"4","4",0,"0","0","1","4","0","P","cmc","Wifes_age",0.1
30.43,"4","4",2,"1","1","1","4","0","P","cmc","Wifes_age",0.1
32.95,"4","4",2,"1","1","1","4","0","P","cmc","Wifes_age",0.1
25.16,"4","4",1,"1","1","1","3","0","P","cmc","Wifes_age",0.1
35.49,"4","4",3,"0","1","1","4","0","P","cmc","Wifes_age",0.1
26.63,"2","4",4,"1","1","1","4","0","P","cmc","Wifes_age",0.1
23.36,"2","2",3,"1","0","2","1","0","P","cmc","Wifes_age",0.1
23.97,"2","3",0,"1","1","2","1","0","P","cmc","Wifes_age",0.1
46.34,"2","4",6,"1","1","1","4","0","P","cmc","Wifes_age",0.1
25.15,"2","2",3,"1","1","2","1","0","P","cmc","Wifes_age",0.1
38.62,"2","2",1,"1","0","3","2","0","P","cmc","Wifes_age",0.1
46.9,"1","2",3,"1","1","1","3","0","P","cmc","Wifes_age",0.1
39.85,"1","3",10,"1","1","2","3","1","P","cmc","Wifes_age",0.1
41.56,"2","3",1,"1","0","2","3","0","P","cmc","Wifes_age",0.1
29.49,"4","4",5,"1","1","2","1","0","P","cmc","Wifes_age",0.1
17.37,"2","2",3,"1","1","3","1","0","P","cmc","Wifes_age",0.1
27.37,"2","3",5,"1","1","2","1","0","P","cmc","Wifes_age",0.1
26.77,"1","2",4,"1","1","3","1","1","P","cmc","Wifes_age",0.1
19.43,"2","3",0,"1","0","2","2","0","P","cmc","Wifes_age",0.1
26.34,"2","4",3,"1","0","3","2","0","P","cmc","Wifes_age",0.1
25.59,"4","3",4,"1","1","2","3","0","P","cmc","Wifes_age",0.1
24.01,"2","4",2,"1","1","3","3","0","P","cmc","Wifes_age",0.1
39.81,"3","3",3,"1","1","3","2","0","P","cmc","Wifes_age",0.1
23.77,"4","4",0,"1","1","1","1","0","P","cmc","Wifes_age",0.1
