"Wifes_age","Wifes_education","Husbands_education","Number_of_children_ever_born","Wifes_religion","Wifes_now_working","Husbands_occupation","Standard_of_living_index","Media_exposure","class","dataset_name","altered_attribute","noise_level"
45.38,"2","3",3,"1","1","2","3","0","P","cmc","Wifes_age",1
50.4,"1","3",10,"1","1","3","4","0","P","cmc","Wifes_age",1
41.48,"2","3",7,"1","1","3","4","0","P","cmc","Wifes_age",1
31.39,"3","2",9,"1","1","3","3","0","P","cmc","Wifes_age",1
34.29,"3","3",8,"1","1","3","2","0","P","cmc","Wifes_age",1
13.41,"4","4",0,"1","1","3","3","0","P","cmc","Wifes_age",1
57.34,"2","3",6,"1","1","3","2","0","P","cmc","Wifes_age",1
25.07,"3","3",1,"1","0","3","2","0","P","cmc","Wifes_age",1
28.91,"2","3",3,"1","1","3","4","0","P","cmc","Wifes_age",1
32.9,"1","1",8,"1","1","2","2","1","P","cmc","Wifes_age",1
48.18,"1","3",2,"1","0","3","3","1","P","cmc","Wifes_age",1
31.79,"1","4",4,"1","1","1","3","0","P","cmc","Wifes_age",1
52.39,"4","4",1,"1","0","1","4","0","P","cmc","Wifes_age",1
49.98,"2","4",1,"1","0","3","3","0","P","cmc","Wifes_age",1
37.83,"3","4",2,"1","1","2","3","0","P","cmc","Wifes_age",1
23.56,"2","4",0,"1","1","4","1","0","P","cmc","Wifes_age",1
53.93,"1","1",7,"1","1","2","4","0","P","cmc","Wifes_age",1
56.03,"2","2",6,"1","1","2","4","0","P","cmc","Wifes_age",1
33.33,"2","2",8,"1","1","2","3","0","P","cmc","Wifes_age",1
41.43,"2","1",5,"1","1","2","1","1","P","cmc","Wifes_age",1
30.18,"3","4",1,"1","0","4","1","0","P","cmc","Wifes_age",1
13,"3","4",0,"1","0","3","1","0","P","cmc","Wifes_age",1
50.59,"4","4",1,"0","1","1","4","0","P","cmc","Wifes_age",1
42.77,"4","4",1,"1","1","1","4","0","P","cmc","Wifes_age",1
51.85,"4","4",5,"1","1","1","4","0","P","cmc","Wifes_age",1
31.08,"2","4",8,"1","1","3","3","0","P","cmc","Wifes_age",1
37.74,"4","4",1,"1","0","1","4","0","P","cmc","Wifes_age",1
24.96,"4","4",0,"1","0","1","4","0","P","cmc","Wifes_age",1
15.45,"4","4",0,"1","0","2","2","0","P","cmc","Wifes_age",1
38.39,"1","2",8,"1","1","2","4","0","P","cmc","Wifes_age",1
35.98,"3","4",2,"1","1","1","4","0","P","cmc","Wifes_age",1
21.82,"4","4",2,"1","1","3","2","0","P","cmc","Wifes_age",1
23.03,"2","4",0,"1","0","1","2","0","P","cmc","Wifes_age",1
37.14,"2","2",2,"1","1","3","1","0","P","cmc","Wifes_age",1
26.8,"2","3",1,"1","1","3","3","0","P","cmc","Wifes_age",1
36.45,"1","3",9,"1","1","3","2","1","P","cmc","Wifes_age",1
39.2,"1","2",8,"1","0","3","1","0","P","cmc","Wifes_age",1
26.14,"3","3",4,"1","1","3","2","0","P","cmc","Wifes_age",1
37.56,"2","2",3,"1","1","3","4","0","P","cmc","Wifes_age",1
34.61,"2","2",1,"1","1","2","4","0","P","cmc","Wifes_age",1
33.13,"1","1",3,"1","1","3","1","0","P","cmc","Wifes_age",1
45.25,"2","3",0,"1","0","1","3","0","P","cmc","Wifes_age",1
54.63,"2","4",2,"1","1","1","3","0","P","cmc","Wifes_age",1
35.64,"4","4",2,"0","1","1","4","0","P","cmc","Wifes_age",1
23.04,"2","2",1,"1","1","3","2","0","P","cmc","Wifes_age",1
17.26,"1","4",1,"1","1","2","1","0","P","cmc","Wifes_age",1
33.68,"4","4",2,"1","1","2","3","0","P","cmc","Wifes_age",1
46.39,"4","4",0,"1","1","2","4","0","P","cmc","Wifes_age",1
25.47,"4","4",1,"1","1","1","4","0","P","cmc","Wifes_age",1
29.77,"4","4",0,"1","0","1","4","0","P","cmc","Wifes_age",1
22.11,"4","4",0,"1","0","1","4","0","P","cmc","Wifes_age",1
46.9,"4","4",7,"0","1","2","4","0","P","cmc","Wifes_age",1
42.19,"3","4",8,"1","1","3","3","0","P","cmc","Wifes_age",1
24.74,"4","4",1,"0","0","2","3","0","P","cmc","Wifes_age",1
48.93,"2","4",5,"1","1","2","3","0","P","cmc","Wifes_age",1
14.69,"2","2",2,"1","1","2","2","1","P","cmc","Wifes_age",1
46.75,"4","4",5,"1","0","1","4","0","P","cmc","Wifes_age",1
33.95,"3","4",7,"1","1","2","1","0","P","cmc","Wifes_age",1
11.63,"2","3",0,"1","1","3","4","0","P","cmc","Wifes_age",1
49.94,"4","4",6,"1","1","1","2","0","P","cmc","Wifes_age",1
42.36,"3","3",10,"1","1","3","3","0","P","cmc","Wifes_age",1
10.54,"2","3",1,"1","1","2","3","0","P","cmc","Wifes_age",1
56.88,"1","2",2,"1","0","1","3","0","P","cmc","Wifes_age",1
23.83,"2","3",1,"1","1","2","1","0","P","cmc","Wifes_age",1
27.74,"2","4",1,"1","0","1","3","0","P","cmc","Wifes_age",1
13.13,"2","4",1,"1","1","3","1","0","P","cmc","Wifes_age",1
41.76,"4","2",8,"1","1","3","3","0","P","cmc","Wifes_age",1
40.33,"2","3",3,"1","1","3","1","0","P","cmc","Wifes_age",1
20.48,"3","4",2,"1","1","3","4","0","P","cmc","Wifes_age",1
32.41,"4","4",1,"1","0","3","3","0","P","cmc","Wifes_age",1
47.1,"2","3",4,"1","1","2","3","0","P","cmc","Wifes_age",1
55.27,"2","3",8,"1","1","1","4","0","P","cmc","Wifes_age",1
37.81,"2","3",1,"1","1","1","1","0","P","cmc","Wifes_age",1
22.46,"2","3",1,"1","1","1","2","0","P","cmc","Wifes_age",1
27.58,"3","4",0,"1","1","2","3","0","P","cmc","Wifes_age",1
32.19,"3","4",1,"1","1","2","3","0","P","cmc","Wifes_age",1
34.07,"4","4",0,"1","0","2","4","0","P","cmc","Wifes_age",1
51.41,"3","4",3,"1","1","1","4","0","P","cmc","Wifes_age",1
11.25,"2","3",2,"1","1","3","2","0","P","cmc","Wifes_age",1
38.25,"4","4",1,"1","0","1","4","0","P","cmc","Wifes_age",1
11.38,"4","4",0,"0","1","1","4","0","P","cmc","Wifes_age",1
39.27,"4","4",6,"0","0","1","4","0","P","cmc","Wifes_age",1
25.34,"2","4",1,"1","0","4","4","0","P","cmc","Wifes_age",1
22.34,"4","4",0,"0","0","1","4","0","P","cmc","Wifes_age",1
32.35,"4","4",2,"1","1","1","4","0","P","cmc","Wifes_age",1
44.31,"4","4",2,"1","1","1","4","0","P","cmc","Wifes_age",1
29.61,"4","4",1,"1","1","1","3","0","P","cmc","Wifes_age",1
36.36,"4","4",3,"0","1","1","4","0","P","cmc","Wifes_age",1
31.8,"2","4",4,"1","1","1","4","0","P","cmc","Wifes_age",1
20.83,"2","2",3,"1","0","2","1","0","P","cmc","Wifes_age",1
28.17,"2","3",0,"1","1","2","1","0","P","cmc","Wifes_age",1
39.1,"2","4",6,"1","1","1","4","0","P","cmc","Wifes_age",1
23.61,"2","2",3,"1","1","2","1","0","P","cmc","Wifes_age",1
28.08,"2","2",1,"1","0","3","2","0","P","cmc","Wifes_age",1
54.71,"1","2",3,"1","1","1","3","0","P","cmc","Wifes_age",1
33.06,"1","3",10,"1","1","2","3","1","P","cmc","Wifes_age",1
