"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class","dataset_name","altered_attribute","noise_level"
"<0",6,"critical/other existing credit","radio/tv",1108.62,"no known savings",">=7",4,"male single","none",4,"real estate",67,"none","own",2,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.1
"0<=X<200",48,"existing paid","radio/tv",5920.87,"<100","1<=X<4",2,"female div/dep/mar","none",2,"real estate",22,"none","own",1,"skilled",1,"none","yes","bad","credit-g","credit_amount",0.1
"no checking",12,"critical/other existing credit","education",1964.86,"<100","4<=X<7",2,"male single","none",3,"real estate",49,"none","own",1,"unskilled resident",2,"none","yes","good","credit-g","credit_amount",0.1
"<0",42,"existing paid","furniture/equipment",7688.85,"<100","4<=X<7",2,"male single","guarantor",4,"life insurance",45,"none","for free",1,"skilled",2,"none","yes","good","credit-g","credit_amount",0.1
"<0",24,"delayed previously","new car",4646.78,"<100","1<=X<4",3,"male single","none",4,"no known property",53,"none","for free",2,"skilled",2,"none","yes","bad","credit-g","credit_amount",0.1
"no checking",36,"existing paid","education",8959.32,"no known savings","1<=X<4",2,"male single","none",4,"no known property",35,"none","for free",1,"unskilled resident",2,"yes","yes","good","credit-g","credit_amount",0.1
"no checking",24,"existing paid","furniture/equipment",2477.24,"500<=X<1000",">=7",3,"male single","none",4,"life insurance",53,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"0<=X<200",36,"existing paid","used car",6554.48,"<100","1<=X<4",2,"male single","none",2,"car",35,"none","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good","credit-g","credit_amount",0.1
"no checking",12,"existing paid","radio/tv",3177.25,">=1000","4<=X<7",2,"male div/sep","none",4,"real estate",61,"none","own",1,"unskilled resident",1,"none","yes","good","credit-g","credit_amount",0.1
"0<=X<200",30,"critical/other existing credit","new car",6141.56,"<100","unemployed",4,"male mar/wid","none",2,"car",28,"none","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad","credit-g","credit_amount",0.1
"0<=X<200",12,"existing paid","new car",1187.65,"<100","<1",3,"female div/dep/mar","none",1,"car",25,"none","rent",1,"skilled",1,"none","yes","bad","credit-g","credit_amount",0.1
"<0",48,"existing paid","business",4783.24,"<100","<1",3,"female div/dep/mar","none",4,"life insurance",24,"none","rent",1,"skilled",1,"none","yes","bad","credit-g","credit_amount",0.1
"0<=X<200",12,"existing paid","radio/tv",1831.98,"<100","1<=X<4",1,"female div/dep/mar","none",1,"car",22,"none","own",1,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.1
"<0",24,"critical/other existing credit","new car",1505.98,"<100",">=7",4,"male single","none",4,"car",60,"none","own",2,"unskilled resident",1,"none","yes","bad","credit-g","credit_amount",0.1
"<0",15,"existing paid","new car",1160.1,"<100","1<=X<4",2,"female div/dep/mar","none",4,"car",28,"none","rent",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"<0",24,"existing paid","radio/tv",1069.25,"100<=X<500","1<=X<4",4,"female div/dep/mar","none",2,"car",32,"none","own",1,"unskilled resident",1,"none","yes","bad","credit-g","credit_amount",0.1
"no checking",24,"critical/other existing credit","radio/tv",2379.5,"no known savings",">=7",4,"male single","none",4,"life insurance",53,"none","own",2,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"<0",30,"no credits/all paid","business",8056,"no known savings","<1",2,"male single","none",3,"car",25,"bank","own",3,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"0<=X<200",24,"existing paid","used car",12355.85,"<100",">=7",4,"female div/dep/mar","none",2,"no known property",44,"none","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad","credit-g","credit_amount",0.1
"no checking",24,"existing paid","radio/tv",3590.77,"500<=X<1000",">=7",3,"male single","none",2,"car",31,"none","own",1,"skilled",2,"yes","yes","good","credit-g","credit_amount",0.1
"no checking",9,"critical/other existing credit","new car",1406.51,"<100","1<=X<4",4,"male single","none",4,"car",48,"none","own",3,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.1
"<0",6,"existing paid","radio/tv",3042.66,"500<=X<1000","1<=X<4",2,"male single","none",3,"real estate",44,"none","rent",1,"skilled",2,"none","yes","good","credit-g","credit_amount",0.1
"<0",10,"critical/other existing credit","new car",2626.11,"<100","<1",1,"male single","none",3,"real estate",48,"none","rent",2,"unskilled resident",2,"none","no","good","credit-g","credit_amount",0.1
"0<=X<200",12,"critical/other existing credit","used car",1549.7,"100<=X<500","<1",3,"male single","none",4,"life insurance",44,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"no checking",10,"critical/other existing credit","furniture/equipment",1964.39,"no known savings","1<=X<4",2,"male mar/wid","none",1,"car",26,"none","own",2,"skilled",1,"none","no","good","credit-g","credit_amount",0.1
"<0",6,"existing paid","furniture/equipment",1069.23,"<100","1<=X<4",1,"male single","none",2,"real estate",36,"bank","own",1,"unskilled resident",1,"yes","yes","good","credit-g","credit_amount",0.1
"no checking",6,"no credits/all paid","radio/tv",18,"<100",">=7",4,"male mar/wid","none",4,"car",39,"none","own",1,"unskilled resident",1,"none","yes","good","credit-g","credit_amount",0.1
">=200",12,"all paid","radio/tv",178.75,">=1000","1<=X<4",3,"female div/dep/mar","none",3,"real estate",42,"none","rent",2,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"0<=X<200",7,"existing paid","radio/tv",2099,"<100","1<=X<4",3,"male single","guarantor",2,"real estate",34,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"<0",60,"delayed previously","business",6308.17,"<100",">=7",3,"male single","none",4,"no known property",63,"none","own",2,"skilled",1,"yes","yes","bad","credit-g","credit_amount",0.1
"0<=X<200",18,"existing paid","business",1453.67,">=1000","<1",3,"male mar/wid","none",3,"real estate",36,"bank","own",1,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.1
"<0",24,"existing paid","furniture/equipment",4166.79,"<100","1<=X<4",2,"male single","none",2,"car",27,"stores","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"0<=X<200",18,"existing paid","new car",5601.9,"100<=X<500","1<=X<4",2,"male single","none",2,"car",30,"none","own",2,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.1
"no checking",12,"critical/other existing credit","business",1527.12,"no known savings",">=7",4,"male single","none",4,"no known property",57,"none","rent",1,"unskilled resident",1,"none","yes","good","credit-g","credit_amount",0.1
">=200",12,"existing paid","furniture/equipment",1152.07,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",33,"bank","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good","credit-g","credit_amount",0.1
"0<=X<200",45,"critical/other existing credit","radio/tv",4891.23,"<100","<1",4,"male single","none",2,"life insurance",25,"none","own",2,"unskilled resident",1,"none","yes","bad","credit-g","credit_amount",0.1
"no checking",48,"critical/other existing credit","education",5861.16,"<100","1<=X<4",1,"male single","none",3,"no known property",31,"bank","for free",1,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.1
">=200",18,"existing paid","radio/tv",2207.25,"<100","1<=X<4",4,"male single","co applicant",2,"real estate",37,"stores","own",1,"skilled",1,"none","yes","bad","credit-g","credit_amount",0.1
">=200",10,"existing paid","domestic appliance",1044.4,"<100","1<=X<4",2,"male single","none",2,"car",37,"none","own",1,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.1
"0<=X<200",9,"existing paid","radio/tv",371.43,"<100","1<=X<4",4,"male single","none",3,"real estate",24,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"no checking",30,"existing paid","radio/tv",1895.55,"500<=X<1000",">=7",4,"male single","none",2,"car",30,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","good","credit-g","credit_amount",0.1
"0<=X<200",12,"existing paid","radio/tv",982.82,"500<=X<1000","1<=X<4",3,"male div/sep","none",1,"car",26,"none","own",1,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.1
"0<=X<200",18,"delayed previously","repairs",6352.01,"<100","1<=X<4",2,"male single","none",4,"real estate",44,"none","own",1,"unskilled resident",2,"yes","yes","good","credit-g","credit_amount",0.1
"<0",30,"critical/other existing credit","used car",6152.56,"100<=X<500","4<=X<7",1,"male mar/wid","none",4,"car",24,"none","rent",2,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"<0",48,"critical/other existing credit","used car",6160.45,"<100",">=7",4,"female div/dep/mar","none",4,"no known property",58,"stores","for free",2,"unskilled resident",1,"none","yes","bad","credit-g","credit_amount",0.1
"no checking",11,"critical/other existing credit","new car",1460.05,"<100","<1",4,"female div/dep/mar","none",4,"car",35,"none","own",2,"high qualif/self emp/mgmt",1,"none","yes","good","credit-g","credit_amount",0.1
"no checking",36,"existing paid","radio/tv",2005.11,"500<=X<1000",">=7",4,"male single","none",4,"car",39,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"<0",6,"existing paid","used car",1517.93,"500<=X<1000","unemployed",1,"female div/dep/mar","none",2,"life insurance",23,"none","rent",1,"unemp/unskilled non res",1,"yes","yes","good","credit-g","credit_amount",0.1
"no checking",11,"critical/other existing credit","new car",7135.26,"<100","1<=X<4",1,"male single","none",4,"life insurance",39,"none","own",2,"unskilled resident",1,"none","yes","good","credit-g","credit_amount",0.1
"no checking",12,"existing paid","radio/tv",1875.26,"100<=X<500","1<=X<4",4,"female div/dep/mar","co applicant",2,"real estate",28,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"0<=X<200",24,"delayed previously","furniture/equipment",2516.65,"no known savings","<1",4,"male single","none",2,"life insurance",29,"bank","own",1,"unskilled resident",1,"none","yes","good","credit-g","credit_amount",0.1
"0<=X<200",27,"delayed previously","used car",5400.11,"<100",">=7",1,"male single","none",2,"car",30,"none","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good","credit-g","credit_amount",0.1
"no checking",12,"existing paid","radio/tv",1056.41,"<100","1<=X<4",3,"male single","none",2,"car",25,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"no checking",18,"existing paid","used car",3527.56,"no known savings","1<=X<4",2,"male single","none",1,"life insurance",31,"none","own",1,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.1
"0<=X<200",36,"delayed previously","new car",2451.61,"<100",">=7",4,"male single","none",4,"no known property",57,"bank","for free",2,"skilled",1,"yes","yes","bad","credit-g","credit_amount",0.1
"no checking",6,"all paid","new car",1161.77,"no known savings","1<=X<4",1,"male single","guarantor",2,"real estate",26,"stores","own",1,"unskilled resident",2,"none","yes","good","credit-g","credit_amount",0.1
"0<=X<200",12,"existing paid","radio/tv",6450.19,"no known savings","unemployed",2,"male single","none",1,"no known property",52,"none","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad","credit-g","credit_amount",0.1
"no checking",36,"critical/other existing credit","radio/tv",9885.99,"<100","1<=X<4",2,"female div/dep/mar","none",2,"car",31,"stores","own",2,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
">=200",18,"existing paid","new car",2369.42,"<100",">=7",3,"female div/dep/mar","none",2,"car",23,"none","own",1,"high qualif/self emp/mgmt",1,"none","yes","good","credit-g","credit_amount",0.1
"<0",36,"critical/other existing credit","furniture/equipment",6511.65,"<100","<1",4,"female div/dep/mar","co applicant",4,"no known property",23,"none","rent",2,"unskilled resident",1,"yes","yes","bad","credit-g","credit_amount",0.1
"0<=X<200",9,"existing paid","business",1638.83,"<100","1<=X<4",2,"male mar/wid","none",1,"real estate",27,"bank","own",1,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.1
"0<=X<200",15,"critical/other existing credit","radio/tv",1151.47,"no known savings",">=7",4,"male single","guarantor",4,"real estate",50,"none","own",2,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.1
"0<=X<200",36,"no credits/all paid","business",2220.04,"<100",">=7",4,"male single","none",4,"no known property",61,"none","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad","credit-g","credit_amount",0.1
"0<=X<200",48,"no credits/all paid","business",14219.11,"<100","1<=X<4",2,"male single","none",2,"car",25,"none","own",1,"skilled",1,"yes","yes","bad","credit-g","credit_amount",0.1
"no checking",24,"existing paid","radio/tv",3355.51,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",26,"none","own",1,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.1
"no checking",27,"existing paid","repairs",4975.47,"no known savings",">=7",4,"male single","none",4,"life insurance",48,"none","own",4,"skilled",2,"yes","yes","good","credit-g","credit_amount",0.1
"no checking",12,"existing paid","radio/tv",2660.61,"<100","<1",2,"female div/dep/mar","none",2,"car",29,"bank","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"0<=X<200",12,"existing paid","new car",1342.43,">=1000","1<=X<4",4,"male mar/wid","none",1,"real estate",22,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"no checking",36,"existing paid","education",2238.06,"<100","1<=X<4",4,"male single","none",4,"no known property",37,"stores","for free",1,"skilled",1,"yes","yes","bad","credit-g","credit_amount",0.1
"no checking",36,"existing paid","radio/tv",2187.07,"no known savings","1<=X<4",4,"female div/dep/mar","none",4,"car",25,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"no checking",36,"existing paid","used car",8162.52,"<100","1<=X<4",1,"female div/dep/mar","none",2,"life insurance",30,"bank","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"no checking",7,"critical/other existing credit","radio/tv",522.24,"no known savings",">=7",4,"male single","none",2,"life insurance",46,"none","rent",2,"unskilled resident",1,"yes","yes","good","credit-g","credit_amount",0.1
"<0",8,"critical/other existing credit","other",1149.16,"<100",">=7",3,"male single","none",4,"no known property",51,"bank","for free",2,"high qualif/self emp/mgmt",2,"yes","yes","good","credit-g","credit_amount",0.1
"0<=X<200",42,"critical/other existing credit","business",6078.42,"<100","4<=X<7",2,"female div/dep/mar","none",1,"real estate",41,"bank","own",2,"unskilled resident",1,"none","yes","good","credit-g","credit_amount",0.1
"<0",36,"existing paid","education",1672.48,"no known savings",">=7",4,"male single","none",4,"no known property",40,"none","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad","credit-g","credit_amount",0.1
"<0",12,"critical/other existing credit","used car",1240.98,"<100",">=7",4,"male single","none",4,"no known property",66,"none","for free",2,"high qualif/self emp/mgmt",1,"none","yes","good","credit-g","credit_amount",0.1
"<0",42,"existing paid","radio/tv",4234.05,"<100","<1",4,"male single","none",3,"car",34,"none","own",1,"skilled",1,"none","yes","bad","credit-g","credit_amount",0.1
"0<=X<200",11,"delayed previously","radio/tv",4936.82,"<100","4<=X<7",2,"male single","none",4,"life insurance",51,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"no checking",54,"no credits/all paid","used car",9292.17,"no known savings","1<=X<4",2,"male single","none",2,"life insurance",39,"none","own",1,"unskilled resident",2,"none","yes","good","credit-g","credit_amount",0.1
"0<=X<200",30,"existing paid","furniture/equipment",4292.73,"<100","<1",2,"male mar/wid","none",1,"life insurance",22,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"no checking",24,"existing paid","radio/tv",6068.82,"no known savings","<1",1,"female div/dep/mar","none",1,"car",44,"none","own",2,"skilled",1,"yes","yes","bad","credit-g","credit_amount",0.1
"no checking",15,"existing paid","radio/tv",1317.91,"500<=X<1000",">=7",4,"male single","none",3,"life insurance",47,"stores","own",1,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.1
"no checking",18,"existing paid","business",1367.98,"100<=X<500","1<=X<4",3,"female div/dep/mar","none",4,"life insurance",24,"none","rent",1,"unskilled resident",1,"none","yes","good","credit-g","credit_amount",0.1
"<0",24,"existing paid","other",1585.03,"<100",">=7",4,"female div/dep/mar","guarantor",4,"real estate",58,"none","own",1,"unskilled resident",1,"yes","yes","good","credit-g","credit_amount",0.1
"<0",10,"existing paid","radio/tv",2370.32,"<100",">=7",3,"male single","none",4,"real estate",52,"none","own",1,"unskilled resident",1,"none","yes","good","credit-g","credit_amount",0.1
"no checking",12,"critical/other existing credit","business",1440.26,"<100","1<=X<4",4,"female div/dep/mar","guarantor",2,"real estate",29,"none","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good","credit-g","credit_amount",0.1
"0<=X<200",18,"critical/other existing credit","furniture/equipment",1237.12,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",27,"none","own",2,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"0<=X<200",36,"existing paid","education",12090.82,"100<=X<500","1<=X<4",1,"male single","none",4,"no known property",47,"none","for free",1,"skilled",2,"yes","yes","bad","credit-g","credit_amount",0.1
"<0",18,"existing paid","new car",1729.81,"100<=X<500","4<=X<7",4,"male single","none",3,"car",30,"none","own",1,"high qualif/self emp/mgmt",2,"yes","yes","good","credit-g","credit_amount",0.1
"<0",12,"no credits/all paid","repairs",946.55,"<100","4<=X<7",4,"male single","none",3,"real estate",28,"none","own",2,"skilled",1,"none","yes","bad","credit-g","credit_amount",0.1
"no checking",12,"critical/other existing credit","radio/tv",748.51,"<100",">=7",4,"male single","none",4,"real estate",56,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"<0",12,"critical/other existing credit","used car",1616.99,"<100",">=7",4,"male single","none",3,"real estate",54,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
"no checking",12,"critical/other existing credit","radio/tv",384.7,"no known savings",">=7",4,"female div/dep/mar","none",3,"life insurance",33,"bank","own",1,"unskilled resident",2,"none","yes","bad","credit-g","credit_amount",0.1
">=200",24,"critical/other existing credit","furniture/equipment",3742.48,"no known savings",">=7",4,"male single","co applicant",4,"no known property",20,"none","rent",2,"skilled",1,"none","yes","good","credit-g","credit_amount",0.1
