"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class","dataset_name","altered_attribute","noise_level"
"<0",-5.91,"critical/other existing credit","radio/tv",1169,"no known savings",">=7",4,"male single","none",4,"real estate",67,"none","own",2,"skilled",1,"yes","yes","good","credit-g","duration",0.7
"0<=X<200",57.15,"existing paid","radio/tv",5951,"<100","1<=X<4",2,"female div/dep/mar","none",2,"real estate",22,"none","own",1,"skilled",1,"none","yes","bad","credit-g","duration",0.7
"no checking",21.88,"critical/other existing credit","education",2096,"<100","4<=X<7",2,"male single","none",3,"real estate",49,"none","own",1,"unskilled resident",2,"none","yes","good","credit-g","duration",0.7
"<0",44.49,"existing paid","furniture/equipment",7882,"<100","4<=X<7",2,"male single","guarantor",4,"life insurance",45,"none","for free",1,"skilled",2,"none","yes","good","credit-g","duration",0.7
"<0",19.32,"delayed previously","new car",4870,"<100","1<=X<4",3,"male single","none",4,"no known property",53,"none","for free",2,"skilled",2,"none","yes","bad","credit-g","duration",0.7
"no checking",32.59,"existing paid","education",9055,"no known savings","1<=X<4",2,"male single","none",4,"no known property",35,"none","for free",1,"unskilled resident",2,"yes","yes","good","credit-g","duration",0.7
"no checking",13.3,"existing paid","furniture/equipment",2835,"500<=X<1000",">=7",3,"male single","none",4,"life insurance",53,"none","own",1,"skilled",1,"none","yes","good","credit-g","duration",0.7
"0<=X<200",35.92,"existing paid","used car",6948,"<100","1<=X<4",2,"male single","none",2,"car",35,"none","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good","credit-g","duration",0.7
"no checking",14.88,"existing paid","radio/tv",3059,">=1000","4<=X<7",2,"male div/sep","none",4,"real estate",61,"none","own",1,"unskilled resident",1,"none","yes","good","credit-g","duration",0.7
"0<=X<200",33.33,"critical/other existing credit","new car",5234,"<100","unemployed",4,"male mar/wid","none",2,"car",28,"none","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad","credit-g","duration",0.7
"0<=X<200",5.56,"existing paid","new car",1295,"<100","<1",3,"female div/dep/mar","none",1,"car",25,"none","rent",1,"skilled",1,"none","yes","bad","credit-g","duration",0.7
"<0",60.58,"existing paid","business",4308,"<100","<1",3,"female div/dep/mar","none",4,"life insurance",24,"none","rent",1,"skilled",1,"none","yes","bad","credit-g","duration",0.7
"0<=X<200",21.75,"existing paid","radio/tv",1567,"<100","1<=X<4",1,"female div/dep/mar","none",1,"car",22,"none","own",1,"skilled",1,"yes","yes","good","credit-g","duration",0.7
"<0",16.77,"critical/other existing credit","new car",1199,"<100",">=7",4,"male single","none",4,"car",60,"none","own",2,"unskilled resident",1,"none","yes","bad","credit-g","duration",0.7
"<0",19.82,"existing paid","new car",1403,"<100","1<=X<4",2,"female div/dep/mar","none",4,"car",28,"none","rent",1,"skilled",1,"none","yes","good","credit-g","duration",0.7
"<0",25.08,"existing paid","radio/tv",1282,"100<=X<500","1<=X<4",4,"female div/dep/mar","none",2,"car",32,"none","own",1,"unskilled resident",1,"none","yes","bad","credit-g","duration",0.7
"no checking",31.15,"critical/other existing credit","radio/tv",2424,"no known savings",">=7",4,"male single","none",4,"life insurance",53,"none","own",2,"skilled",1,"none","yes","good","credit-g","duration",0.7
"<0",23.44,"no credits/all paid","business",8072,"no known savings","<1",2,"male single","none",3,"car",25,"bank","own",3,"skilled",1,"none","yes","good","credit-g","duration",0.7
"0<=X<200",31.27,"existing paid","used car",12579,"<100",">=7",4,"female div/dep/mar","none",2,"no known property",44,"none","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad","credit-g","duration",0.7
"no checking",31.52,"existing paid","radio/tv",3430,"500<=X<1000",">=7",3,"male single","none",2,"car",31,"none","own",1,"skilled",2,"yes","yes","good","credit-g","duration",0.7
"no checking",-7.05,"critical/other existing credit","new car",2134,"<100","1<=X<4",4,"male single","none",4,"car",48,"none","own",3,"skilled",1,"yes","yes","good","credit-g","duration",0.7
"<0",1.97,"existing paid","radio/tv",2647,"500<=X<1000","1<=X<4",2,"male single","none",3,"real estate",44,"none","rent",1,"skilled",2,"none","yes","good","credit-g","duration",0.7
"<0",13.12,"critical/other existing credit","new car",2241,"<100","<1",1,"male single","none",3,"real estate",48,"none","rent",2,"unskilled resident",2,"none","no","good","credit-g","duration",0.7
"0<=X<200",8.66,"critical/other existing credit","used car",1804,"100<=X<500","<1",3,"male single","none",4,"life insurance",44,"none","own",1,"skilled",1,"none","yes","good","credit-g","duration",0.7
"no checking",-10.7,"critical/other existing credit","furniture/equipment",2069,"no known savings","1<=X<4",2,"male mar/wid","none",1,"car",26,"none","own",2,"skilled",1,"none","no","good","credit-g","duration",0.7
"<0",0.3,"existing paid","furniture/equipment",1374,"<100","1<=X<4",1,"male single","none",2,"real estate",36,"bank","own",1,"unskilled resident",1,"yes","yes","good","credit-g","duration",0.7
"no checking",3.86,"no credits/all paid","radio/tv",426,"<100",">=7",4,"male mar/wid","none",4,"car",39,"none","own",1,"unskilled resident",1,"none","yes","good","credit-g","duration",0.7
">=200",-9.5,"all paid","radio/tv",409,">=1000","1<=X<4",3,"female div/dep/mar","none",3,"real estate",42,"none","rent",2,"skilled",1,"none","yes","good","credit-g","duration",0.7
"0<=X<200",4.35,"existing paid","radio/tv",2415,"<100","1<=X<4",3,"male single","guarantor",2,"real estate",34,"none","own",1,"skilled",1,"none","yes","good","credit-g","duration",0.7
"<0",52.13,"delayed previously","business",6836,"<100",">=7",3,"male single","none",4,"no known property",63,"none","own",2,"skilled",1,"yes","yes","bad","credit-g","duration",0.7
"0<=X<200",13.06,"existing paid","business",1913,">=1000","<1",3,"male mar/wid","none",3,"real estate",36,"bank","own",1,"skilled",1,"yes","yes","good","credit-g","duration",0.7
"<0",25.28,"existing paid","furniture/equipment",4020,"<100","1<=X<4",2,"male single","none",2,"car",27,"stores","own",1,"skilled",1,"none","yes","good","credit-g","duration",0.7
"0<=X<200",7.16,"existing paid","new car",5866,"100<=X<500","1<=X<4",2,"male single","none",2,"car",30,"none","own",2,"skilled",1,"yes","yes","good","credit-g","duration",0.7
"no checking",7.7,"critical/other existing credit","business",1264,"no known savings",">=7",4,"male single","none",4,"no known property",57,"none","rent",1,"unskilled resident",1,"none","yes","good","credit-g","duration",0.7
">=200",-7.74,"existing paid","furniture/equipment",1474,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",33,"bank","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good","credit-g","duration",0.7
"0<=X<200",46.49,"critical/other existing credit","radio/tv",4746,"<100","<1",4,"male single","none",2,"life insurance",25,"none","own",2,"unskilled resident",1,"none","yes","bad","credit-g","duration",0.7
"no checking",30.98,"critical/other existing credit","education",6110,"<100","1<=X<4",1,"male single","none",3,"no known property",31,"bank","for free",1,"skilled",1,"yes","yes","good","credit-g","duration",0.7
">=200",18.45,"existing paid","radio/tv",2100,"<100","1<=X<4",4,"male single","co applicant",2,"real estate",37,"stores","own",1,"skilled",1,"none","yes","bad","credit-g","duration",0.7
">=200",27.06,"existing paid","domestic appliance",1225,"<100","1<=X<4",2,"male single","none",2,"car",37,"none","own",1,"skilled",1,"yes","yes","good","credit-g","duration",0.7
"0<=X<200",1.23,"existing paid","radio/tv",458,"<100","1<=X<4",4,"male single","none",3,"real estate",24,"none","own",1,"skilled",1,"none","yes","good","credit-g","duration",0.7
"no checking",34.8,"existing paid","radio/tv",2333,"500<=X<1000",">=7",4,"male single","none",2,"car",30,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","good","credit-g","duration",0.7
