"Abbrev","Rep","Locality","Map_Ref","Latitude","Altitude","Rainfall","Frosts","Year","Sp","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","class","dataset_name","altered_attribute","noise_level"
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"co",1520,18.45,9.96,40,4.19,3,3.5,4,3.5,"P","eucalyptus","Vig",0.8
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"fr",1487,13.15,9.65,90,3.21,4,3.5,3.5,3,"N","eucalyptus","Vig",0.8
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ma",1362,10.32,6.5,50,2.4,2.5,3,3.5,3,"N","eucalyptus","Vig",0.8
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"nd",1596,14.8,9.48,70,3.73,3,3.3,4,3.5,"P","eucalyptus","Vig",0.8
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ni",2088,14.5,10.78,90,5.36,2.7,3.3,3,3,"P","eucalyptus","Vig",0.8
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ob",1522,17.01,12.28,70,4.93,4,5,4,4.5,"N","eucalyptus","Vig",0.8
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ov",1521,13.93,9.77,80,4.85,2,3,3,3,"P","eucalyptus","Vig",0.8
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"pu",1523,19.05,11.26,100,5.31,4.5,3.5,4,2,"N","eucalyptus","Vig",0.8
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"rd",1524,7.62,6.59,80,3.63,2.5,3.3,3.5,3.5,"N","eucalyptus","Vig",0.8
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"si",1525,14.75,9.13,50,4.23,4,3.3,3,3,"P","eucalyptus","Vig",0.8
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"co",1520,8.15,6.72,70,0.76,3,3,3,3,"N","eucalyptus","Vig",0.8
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"fr",1487,15.07,7.17,10,3.58,4,3.3,3,2,"P","eucalyptus","Vig",0.8
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ma",1362,8.99,6.05,60,2,3,3,4,4,"N","eucalyptus","Vig",0.8
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"nd",1596,13.13,6.08,80,4.76,4,4,3.5,3.5,"N","eucalyptus","Vig",0.8
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ni",2088,10.78,8.93,100,2.41,2,3,3,3,"P","eucalyptus","Vig",0.8
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ob",1522,13.08,9.79,90,3.78,4.5,5,4,4,"N","eucalyptus","Vig",0.8
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ov",1521,10.22,8.32,100,2.54,1.8,3,3,3,"N","eucalyptus","Vig",0.8
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"pu",1523,18.71,10.9,100,2.29,4,3.3,4,3,"N","eucalyptus","Vig",0.8
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"rd",1524,8.23,6.5,70,2.43,2,3.3,4,3.5,"N","eucalyptus","Vig",0.8
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"si",1525,17.52,9.22,60,5.31,3,3,3,2,"P","eucalyptus","Vig",0.8
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"co",1520,10.75,5.91,50,3.66,4,3.3,3.5,3,"N","eucalyptus","Vig",0.8
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"fr",1487,21.52,8.77,20,5.52,3.5,3,3,1,"N","eucalyptus","Vig",0.8
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ma",1362,15.22,6.5,30,2.63,4,3,3,3,"N","eucalyptus","Vig",0.8
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"nd",1596,9.73,8.67,70,3.24,4,3.5,3.5,3.5,"P","eucalyptus","Vig",0.8
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ni",2088,17.15,8.22,60,3.96,2.7,3.5,3,2,"P","eucalyptus","Vig",0.8
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ob",1522,16.13,9.95,50,3.98,4.5,3.3,3.5,3,"P","eucalyptus","Vig",0.8
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ov",1521,8.78,5.79,50,2.4,2,3.2,3.3,3,"N","eucalyptus","Vig",0.8
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"pu",1523,17.18,9.99,90,3.52,4.5,3.5,4,3.3,"P","eucalyptus","Vig",0.8
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"rd",1524,12.39,5.55,80,3.34,2.5,2,2,2,"N","eucalyptus","Vig",0.8
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"si",1525,14.75,7.79,30,3.91,4,4,2.5,2,"P","eucalyptus","Vig",0.8
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"co",1520,10.1,8.2,60,2.76,4,3.5,3.5,3.2,"N","eucalyptus","Vig",0.8
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"mn",1362,4.7,5.5,20,1.25,1.5,2,3,3,"N","eucalyptus","Vig",0.8
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"nd",1596,17,12.6,50,4.51,4,3.2,4,3.5,"P","eucalyptus","Vig",0.8
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"ni",2088,10.3,9.4,80,3.14,2.5,3,3,3,"P","eucalyptus","Vig",0.8
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"ob",1522,21.6,12,40,3.13,3.7,3.5,3.5,3,"P","eucalyptus","Vig",0.8
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"ov",1521,11.3,10,40,2.78,2,3.2,4,3,"N","eucalyptus","Vig",0.8
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"pu",1523,12.7,9.3,80,1.92,4,3.2,3.9,3.4,"P","eucalyptus","Vig",0.8
