"sepallength","sepalwidth","petallength","petalwidth","class","dataset_name","altered_attribute","noise_level"
5.1,3.5,1.29,0.2,"Iris_setosa","iris","petallength",0.1
4.9,3,1.43,0.2,"Iris_setosa","iris","petallength",0.1
4.7,3.2,1.15,0.2,"Iris_setosa","iris","petallength",0.1
4.6,3.1,1.78,0.2,"Iris_setosa","iris","petallength",0.1
5,3.6,1.46,0.2,"Iris_setosa","iris","petallength",0.1
5.4,3.9,1.56,0.4,"Iris_setosa","iris","petallength",0.1
4.6,3.4,1.49,0.3,"Iris_setosa","iris","petallength",0.1
5,3.4,1.63,0.2,"Iris_setosa","iris","petallength",0.1
4.4,2.9,1.5,0.2,"Iris_setosa","iris","petallength",0.1
4.9,3.1,1.45,0.1,"Iris_setosa","iris","petallength",0.1
5.4,3.7,1.77,0.2,"Iris_setosa","iris","petallength",0.1
4.8,3.4,1.67,0.2,"Iris_setosa","iris","petallength",0.1
4.8,3,1.29,0.1,"Iris_setosa","iris","petallength",0.1
4.3,3,0.71,0.1,"Iris_setosa","iris","petallength",0.1
5.8,4,1.4,0.2,"Iris_setosa","iris","petallength",0.1
5.7,4.4,1.49,0.4,"Iris_setosa","iris","petallength",0.1
5.4,3.9,1.3,0.4,"Iris_setosa","iris","petallength",0.1
5.1,3.5,1.57,0.3,"Iris_setosa","iris","petallength",0.1
5.7,3.8,1.84,0.3,"Iris_setosa","iris","petallength",0.1
5.1,3.8,1.6,0.3,"Iris_setosa","iris","petallength",0.1
5.4,3.4,1.86,0.2,"Iris_setosa","iris","petallength",0.1
5.1,3.7,1.64,0.4,"Iris_setosa","iris","petallength",0.1
4.6,3.6,1.01,0.2,"Iris_setosa","iris","petallength",0.1
5.1,3.3,1.35,0.5,"Iris_setosa","iris","petallength",0.1
4.8,3.4,2.01,0.2,"Iris_setosa","iris","petallength",0.1
5,3,1.59,0.2,"Iris_setosa","iris","petallength",0.1
5,3.4,1.57,0.4,"Iris_setosa","iris","petallength",0.1
5.2,3.5,1.24,0.2,"Iris_setosa","iris","petallength",0.1
5.2,3.4,1.32,0.2,"Iris_setosa","iris","petallength",0.1
4.7,3.2,1.67,0.2,"Iris_setosa","iris","petallength",0.1
4.8,3.1,1.84,0.2,"Iris_setosa","iris","petallength",0.1
5.4,3.4,1.48,0.4,"Iris_setosa","iris","petallength",0.1
5.2,4.1,1.57,0.1,"Iris_setosa","iris","petallength",0.1
5.5,4.2,1.39,0.2,"Iris_setosa","iris","petallength",0.1
4.9,3.1,1.26,0.1,"Iris_setosa","iris","petallength",0.1
5,3.2,1.13,0.2,"Iris_setosa","iris","petallength",0.1
5.5,3.5,1.23,0.2,"Iris_setosa","iris","petallength",0.1
4.9,3.1,1.49,0.1,"Iris_setosa","iris","petallength",0.1
4.4,3,1.49,0.2,"Iris_setosa","iris","petallength",0.1
5.1,3.4,1.63,0.2,"Iris_setosa","iris","petallength",0.1
5,3.5,1.27,0.3,"Iris_setosa","iris","petallength",0.1
4.5,2.3,1.26,0.3,"Iris_setosa","iris","petallength",0.1
4.4,3.2,1.42,0.2,"Iris_setosa","iris","petallength",0.1
5,3.5,1.7,0.6,"Iris_setosa","iris","petallength",0.1
5.1,3.8,1.78,0.4,"Iris_setosa","iris","petallength",0.1
4.8,3,1.28,0.3,"Iris_setosa","iris","petallength",0.1
5.1,3.8,1.66,0.2,"Iris_setosa","iris","petallength",0.1
4.6,3.2,1.54,0.2,"Iris_setosa","iris","petallength",0.1
5.3,3.7,1.48,0.2,"Iris_setosa","iris","petallength",0.1
5,3.3,1.56,0.2,"Iris_setosa","iris","petallength",0.1
7,3.2,4.77,1.4,"Iris_versicolor","iris","petallength",0.1
6.4,3.2,4.39,1.5,"Iris_versicolor","iris","petallength",0.1
6.9,3.1,4.96,1.5,"Iris_versicolor","iris","petallength",0.1
5.5,2.3,3.8,1.3,"Iris_versicolor","iris","petallength",0.1
6.5,2.8,4.85,1.5,"Iris_versicolor","iris","petallength",0.1
5.7,2.8,4.85,1.3,"Iris_versicolor","iris","petallength",0.1
6.3,3.3,4.64,1.6,"Iris_versicolor","iris","petallength",0.1
4.9,2.4,3.12,1,"Iris_versicolor","iris","petallength",0.1
6.6,2.9,4.7,1.3,"Iris_versicolor","iris","petallength",0.1
5.2,2.7,3.88,1.4,"Iris_versicolor","iris","petallength",0.1
5,2,3.92,1,"Iris_versicolor","iris","petallength",0.1
5.9,3,4.19,1.5,"Iris_versicolor","iris","petallength",0.1
6,2.2,4.12,1,"Iris_versicolor","iris","petallength",0.1
6.1,2.9,4.7,1.4,"Iris_versicolor","iris","petallength",0.1
5.6,2.9,3.47,1.3,"Iris_versicolor","iris","petallength",0.1
6.7,3.1,4.43,1.4,"Iris_versicolor","iris","petallength",0.1
5.6,3,4.18,1.5,"Iris_versicolor","iris","petallength",0.1
5.8,2.7,4.36,1,"Iris_versicolor","iris","petallength",0.1
6.2,2.2,4.53,1.5,"Iris_versicolor","iris","petallength",0.1
5.6,2.5,4.28,1.1,"Iris_versicolor","iris","petallength",0.1
5.9,3.2,4.88,1.8,"Iris_versicolor","iris","petallength",0.1
6.1,2.8,3.87,1.3,"Iris_versicolor","iris","petallength",0.1
6.3,2.5,5.01,1.5,"Iris_versicolor","iris","petallength",0.1
6.1,2.8,4.54,1.2,"Iris_versicolor","iris","petallength",0.1
6.4,2.9,4.08,1.3,"Iris_versicolor","iris","petallength",0.1
6.6,3,4.45,1.4,"Iris_versicolor","iris","petallength",0.1
6.8,2.8,4.72,1.4,"Iris_versicolor","iris","petallength",0.1
6.7,3,5,1.7,"Iris_versicolor","iris","petallength",0.1
6,2.9,4.51,1.5,"Iris_versicolor","iris","petallength",0.1
5.7,2.6,3.4,1,"Iris_versicolor","iris","petallength",0.1
5.5,2.4,3.7,1.1,"Iris_versicolor","iris","petallength",0.1
5.5,2.4,3.68,1,"Iris_versicolor","iris","petallength",0.1
5.8,2.7,4.11,1.2,"Iris_versicolor","iris","petallength",0.1
6,2.7,4.83,1.6,"Iris_versicolor","iris","petallength",0.1
5.4,3,4.6,1.5,"Iris_versicolor","iris","petallength",0.1
6,3.4,4.56,1.6,"Iris_versicolor","iris","petallength",0.1
6.7,3.1,4.89,1.5,"Iris_versicolor","iris","petallength",0.1
6.3,2.3,4.35,1.3,"Iris_versicolor","iris","petallength",0.1
5.6,3,4.17,1.3,"Iris_versicolor","iris","petallength",0.1
5.5,2.5,4.05,1.3,"Iris_versicolor","iris","petallength",0.1
5.5,2.6,4.3,1.2,"Iris_versicolor","iris","petallength",0.1
6.1,3,4.81,1.4,"Iris_versicolor","iris","petallength",0.1
5.8,2.6,4.2,1.2,"Iris_versicolor","iris","petallength",0.1
5,2.3,3.42,1,"Iris_versicolor","iris","petallength",0.1
5.6,2.7,4.48,1.3,"Iris_versicolor","iris","petallength",0.1
5.7,3,4.3,1.2,"Iris_versicolor","iris","petallength",0.1
5.7,2.9,3.97,1.3,"Iris_versicolor","iris","petallength",0.1
6.2,2.9,4.2,1.3,"Iris_versicolor","iris","petallength",0.1
5.1,2.5,2.78,1.1,"Iris_versicolor","iris","petallength",0.1
5.7,2.8,4.02,1.3,"Iris_versicolor","iris","petallength",0.1
6.3,3.3,5.89,2.5,"Iris_virginica","iris","petallength",0.1
5.8,2.7,5.11,1.9,"Iris_virginica","iris","petallength",0.1
7.1,3,5.74,2.1,"Iris_virginica","iris","petallength",0.1
6.3,2.9,5.63,1.8,"Iris_virginica","iris","petallength",0.1
6.5,3,5.68,2.2,"Iris_virginica","iris","petallength",0.1
7.6,3,6.91,2.1,"Iris_virginica","iris","petallength",0.1
4.9,2.5,4.63,1.7,"Iris_virginica","iris","petallength",0.1
7.3,2.9,6.46,1.8,"Iris_virginica","iris","petallength",0.1
6.7,2.5,5.87,1.8,"Iris_virginica","iris","petallength",0.1
7.2,3.6,6.4,2.5,"Iris_virginica","iris","petallength",0.1
6.5,3.2,4.99,2,"Iris_virginica","iris","petallength",0.1
6.4,2.7,5.22,1.9,"Iris_virginica","iris","petallength",0.1
6.8,3,5.75,2.1,"Iris_virginica","iris","petallength",0.1
5.7,2.5,4.89,2,"Iris_virginica","iris","petallength",0.1
5.8,2.8,5.06,2.4,"Iris_virginica","iris","petallength",0.1
6.4,3.2,5.23,2.3,"Iris_virginica","iris","petallength",0.1
6.5,3,5.44,1.8,"Iris_virginica","iris","petallength",0.1
7.7,3.8,6.65,2.2,"Iris_virginica","iris","petallength",0.1
7.7,2.6,6.99,2.3,"Iris_virginica","iris","petallength",0.1
6,2.2,4.97,1.5,"Iris_virginica","iris","petallength",0.1
6.9,3.2,5.61,2.3,"Iris_virginica","iris","petallength",0.1
5.6,2.8,5.14,2,"Iris_virginica","iris","petallength",0.1
7.7,2.8,6.66,2,"Iris_virginica","iris","petallength",0.1
6.3,2.7,4.87,1.8,"Iris_virginica","iris","petallength",0.1
6.7,3.3,5.68,2.1,"Iris_virginica","iris","petallength",0.1
7.2,3.2,6.13,1.8,"Iris_virginica","iris","petallength",0.1
6.2,2.8,4.79,1.8,"Iris_virginica","iris","petallength",0.1
6.1,3,4.89,1.8,"Iris_virginica","iris","petallength",0.1
6.4,2.8,5.48,2.1,"Iris_virginica","iris","petallength",0.1
7.2,3,5.74,1.6,"Iris_virginica","iris","petallength",0.1
7.4,2.8,6.11,1.9,"Iris_virginica","iris","petallength",0.1
7.9,3.8,6.3,2,"Iris_virginica","iris","petallength",0.1
6.4,2.8,5.69,2.2,"Iris_virginica","iris","petallength",0.1
6.3,2.8,4.83,1.5,"Iris_virginica","iris","petallength",0.1
6.1,2.6,5.65,1.4,"Iris_virginica","iris","petallength",0.1
7.7,3,5.83,2.3,"Iris_virginica","iris","petallength",0.1
6.3,3.4,5.55,2.4,"Iris_virginica","iris","petallength",0.1
6.4,3.1,5.41,1.8,"Iris_virginica","iris","petallength",0.1
6,3,4.68,1.8,"Iris_virginica","iris","petallength",0.1
6.9,3.1,5.39,2.1,"Iris_virginica","iris","petallength",0.1
6.7,3.1,5.26,2.4,"Iris_virginica","iris","petallength",0.1
6.9,3.1,5.31,2.3,"Iris_virginica","iris","petallength",0.1
5.8,2.7,4.81,1.9,"Iris_virginica","iris","petallength",0.1
6.8,3.2,5.82,2.3,"Iris_virginica","iris","petallength",0.1
6.7,3.3,5.5,2.5,"Iris_virginica","iris","petallength",0.1
6.7,3,5.07,2.3,"Iris_virginica","iris","petallength",0.1
6.3,2.5,5.37,1.9,"Iris_virginica","iris","petallength",0.1
6.5,3,5.2,2,"Iris_virginica","iris","petallength",0.1
6.2,3.4,5.17,2.3,"Iris_virginica","iris","petallength",0.1
5.9,3,4.81,1.8,"Iris_virginica","iris","petallength",0.1
