"sepallength","sepalwidth","petallength","petalwidth","class","dataset_name","altered_attribute","noise_level"
5.1,3.5,1.4,0.6,"Iris_setosa","iris","petalwidth",0.8
4.9,3,1.4,0.06,"Iris_setosa","iris","petalwidth",0.8
4.7,3.2,1.3,0.66,"Iris_setosa","iris","petalwidth",0.8
4.6,3.1,1.5,0.53,"Iris_setosa","iris","petalwidth",0.8
5,3.6,1.4,-0.31,"Iris_setosa","iris","petalwidth",0.8
5.4,3.9,1.7,0.48,"Iris_setosa","iris","petalwidth",0.8
4.6,3.4,1.4,0.13,"Iris_setosa","iris","petalwidth",0.8
5,3.4,1.5,0.48,"Iris_setosa","iris","petalwidth",0.8
4.4,2.9,1.4,-0.48,"Iris_setosa","iris","petalwidth",0.8
4.9,3.1,1.5,0.03,"Iris_setosa","iris","petalwidth",0.8
5.4,3.7,1.5,0.23,"Iris_setosa","iris","petalwidth",0.8
4.8,3.4,1.6,0.39,"Iris_setosa","iris","petalwidth",0.8
4.8,3,1.4,0.21,"Iris_setosa","iris","petalwidth",0.8
4.3,3,1.1,-0.55,"Iris_setosa","iris","petalwidth",0.8
5.8,4,1.2,-0.39,"Iris_setosa","iris","petalwidth",0.8
5.7,4.4,1.5,0.06,"Iris_setosa","iris","petalwidth",0.8
5.4,3.9,1.3,-0.38,"Iris_setosa","iris","petalwidth",0.8
5.1,3.5,1.4,1.51,"Iris_setosa","iris","petalwidth",0.8
5.7,3.8,1.7,0.34,"Iris_setosa","iris","petalwidth",0.8
5.1,3.8,1.5,0.05,"Iris_setosa","iris","petalwidth",0.8
5.4,3.4,1.7,0.08,"Iris_setosa","iris","petalwidth",0.8
5.1,3.7,1.5,0.16,"Iris_setosa","iris","petalwidth",0.8
4.6,3.6,1,0.14,"Iris_setosa","iris","petalwidth",0.8
5.1,3.3,1.7,0.38,"Iris_setosa","iris","petalwidth",0.8
4.8,3.4,1.9,-0.19,"Iris_setosa","iris","petalwidth",0.8
5,3,1.6,-0.03,"Iris_setosa","iris","petalwidth",0.8
5,3.4,1.6,-0.05,"Iris_setosa","iris","petalwidth",0.8
5.2,3.5,1.5,-0.3,"Iris_setosa","iris","petalwidth",0.8
5.2,3.4,1.4,0.56,"Iris_setosa","iris","petalwidth",0.8
4.7,3.2,1.6,-0.12,"Iris_setosa","iris","petalwidth",0.8
4.8,3.1,1.6,1.1,"Iris_setosa","iris","petalwidth",0.8
5.4,3.4,1.5,0.48,"Iris_setosa","iris","petalwidth",0.8
5.2,4.1,1.5,0.64,"Iris_setosa","iris","petalwidth",0.8
5.5,4.2,1.4,-0.09,"Iris_setosa","iris","petalwidth",0.8
