"loc","v_g","ev_g","iv_g","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","locCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","class","dataset_name","altered_attribute","noise_level"
1.1,1.4,1.4,1.4,1.3,-252.45,1.3,1.3,1.3,1.3,1.3,1.3,2,2,2,2,1.2,1.2,1.2,1.2,1.4,"false","kc1","v",0.9
1,1,1,1,1,216.21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"true","kc1","v",0.9
83,11,1,11,171,614.36,0.04,23.04,40.27,21378.61,0.31,1187.7,65,10,6,0,18,25,107,64,21,"true","kc1","v",0.9
46,8,6,8,141,905.01,0.07,14.86,51.81,11436.73,0.26,635.37,37,2,5,0,16,28,89,52,15,"true","kc1","v",0.9
25,3,1,3,58,-507.62,0.11,9.35,27.25,2381.95,0.08,132.33,21,0,2,0,11,10,41,17,5,"true","kc1","v",0.9
43,3,1,3,115,1195.75,0.09,11.27,50.53,6423.73,0.19,356.87,35,2,4,0,11,20,74,41,5,"true","kc1","v",0.9
48,6,1,6,149,1090.2,0.06,15.43,48.72,11596.34,0.25,644.24,41,2,2,0,12,21,95,54,11,"true","kc1","v",0.9
69,12,1,12,231,766.73,0.04,27.27,44.45,33061.94,0.4,1836.77,62,3,2,0,16,22,156,75,23,"true","kc1","v",0.9
47,6,1,6,149,959.04,0.06,16.2,45.99,12069,0.25,670.5,41,2,1,0,12,20,95,54,11,"true","kc1","v",0.9
48,7,1,7,155,806.67,0.06,17.82,44.97,14278.39,0.27,793.24,42,2,1,0,14,22,99,56,13,"true","kc1","v",0.9
58,9,1,9,193,734,0.05,20.7,49.62,21261.63,0.34,1181.2,50,2,2,0,15,25,124,69,17,"true","kc1","v",0.9
65,6,1,5,155,1224.46,0.05,19.73,40.62,15808.22,0.27,878.23,54,4,5,0,14,22,93,62,11,"true","kc1","v",0.9
116,11,4,8,289,1971.5,0.04,26.6,63.91,45222.23,0.57,2512.35,88,14,12,0,19,40,177,112,21,"true","kc1","v",0.9
24,4,1,4,74,499.88,0.09,11.37,30.6,3953.7,0.12,219.65,20,0,0,0,11,15,43,31,7,"true","kc1","v",0.9
77,19,12,19,231,1749.68,0.03,29.25,42.59,36434.54,0.42,2024.14,61,7,7,0,18,24,153,78,37,"true","kc1","v",0.9
9,1,1,1,13,76.6,0.29,3.5,13.32,163.12,0.02,9.06,5,0,0,0,7,5,8,5,1,"true","kc1","v",0.9
16,2,1,2,43,24.6,0.18,5.43,35.32,1040.96,0.06,57.83,13,0,1,0,8,14,24,19,3,"true","kc1","v",0.9
93,7,3,6,257,1495.56,0.03,29.86,50.21,44757.43,0.5,2486.52,71,4,15,0,22,35,162,95,12,"true","kc1","v",0.9
23,1,1,1,67,330.2,0.21,4.74,64.87,1454.65,0.1,80.81,18,0,1,0,7,17,44,23,1,"true","kc1","v",0.9
30,1,1,1,21,128.89,0.3,3.33,25.75,286.12,0.03,15.9,18,0,1,0,5,12,5,16,1,"true","kc1","v",0.9
30,1,1,1,54,243.3,0.03,39,2.77,4212,0.04,234,28,0,0,0,3,1,28,26,1,"true","kc1","v",0.9
35,3,1,3,108,154.39,0.08,13,40.76,6889.27,0.18,382.74,30,0,3,0,12,18,69,39,5,"true","kc1","v",0.9
25,4,1,4,57,667.61,0.07,13.5,17.26,3145.3,0.08,174.74,20,0,3,0,9,8,33,24,7,"true","kc1","v",0.9
20,7,7,3,54,1143.72,0.1,9.58,25.13,2307.76,0.08,128.21,14,0,1,0,10,12,31,23,13,"true","kc1","v",0.9
119,14,1,14,289,739.33,0.03,30.72,52.25,49320.73,0.54,2740.04,85,26,6,0,18,29,190,99,27,"true","kc1","v",0.9
35,4,1,4,78,1088.69,0.07,14.31,25.32,5182.54,0.12,287.92,31,0,2,0,12,13,47,31,7,"true","kc1","v",0.9
33,4,1,4,73,-91.62,0.07,14.5,23.08,4853.18,0.11,269.62,30,0,1,0,12,12,44,29,7,"true","kc1","v",0.9
17,2,1,2,25,-103.01,0.16,6.4,14.45,592.07,0.03,32.89,12,0,3,0,8,5,17,8,3,"true","kc1","v",0.9
44,3,1,3,127,244.03,0.06,16,37.74,9661.93,0.2,536.77,38,2,2,0,12,15,87,40,5,"true","kc1","v",0.9
84,15,9,15,230,1003.91,0.04,25.26,53.35,34029.33,0.45,1890.52,72,0,10,0,21,37,141,89,29,"true","kc1","v",0.9
56,3,1,3,150,914.37,0.07,14.09,54.62,10838.4,0.26,602.13,43,3,4,0,12,23,96,54,5,"true","kc1","v",0.9
58,3,1,3,191,990.64,0.05,21,48.4,21346.25,0.34,1185.9,46,2,3,0,15,25,121,70,5,"true","kc1","v",0.9
78,7,1,6,213,189.54,0.06,17.71,67.19,21062.86,0.4,1170.16,66,4,6,0,14,34,127,86,13,"true","kc1","v",0.9
75,8,3,8,250,1411.65,0.03,29.1,46.62,39470.86,0.45,2192.83,63,5,5,0,17,26,161,89,15,"true","kc1","v",0.9
12,1,1,1,22,-209.79,0.3,3.33,22.83,253.69,0.03,14.09,6,1,3,0,5,6,14,8,1,"true","kc1","v",0.9
11,1,1,1,22,1063.43,0.3,3.33,22.83,253.69,0.03,14.09,6,1,2,0,5,6,14,8,1,"true","kc1","v",0.9
69,10,1,10,199,743.73,0.04,25,42.36,26476.59,0.35,1470.92,54,7,6,0,16,24,124,75,19,"true","kc1","v",0.9
39,5,3,5,86,171.93,0.09,11.67,36.86,5016.67,0.14,278.7,33,1,1,0,14,18,56,30,8,"true","kc1","v",0.9
53,5,1,5,113,815.49,0.1,9.65,60.05,5594.49,0.19,310.8,47,0,0,0,12,23,76,37,8,"true","kc1","v",0.9
52,5,1,5,107,331.06,0.1,9.82,55.44,5344.61,0.18,296.92,46,0,1,0,12,22,71,36,8,"true","kc1","v",0.9
30,2,1,2,74,635.14,0.08,12.5,26.4,4124.97,0.11,229.17,24,2,2,0,10,12,44,30,3,"true","kc1","v",0.9
27,3,1,3,77,406.21,0.14,7.1,55.59,2805.82,0.13,155.88,22,0,3,0,11,24,46,31,5,"true","kc1","v",0.9
47,7,1,6,105,542.47,0.08,12.05,43.58,6323.86,0.18,351.33,43,0,2,0,10,22,52,53,13,"true","kc1","v",0.9
49,7,1,6,110,100.63,0.08,12.17,45.58,6755.1,0.18,375.28,44,0,3,0,10,23,54,56,13,"true","kc1","v",0.9
7,1,1,1,14,-250.17,0.33,3,16.73,150.57,0.02,8.36,4,0,0,0,6,6,8,6,1,"true","kc1","v",0.9
66,12,5,12,177,1335.22,0.05,20.45,45.08,18860.59,0.31,1047.81,55,4,5,0,15,22,117,60,23,"true","kc1","v",0.9
14,1,1,1,29,242.84,0.18,5.63,21.07,666.77,0.04,37.04,7,2,2,0,9,8,19,10,1,"true","kc1","v",0.9
29,3,1,3,64,99.93,0.11,9.17,32.82,2757.59,0.1,153.2,25,0,1,0,11,15,39,25,5,"true","kc1","v",0.9
6,1,1,1,14,-296.19,0.4,2.5,19.37,121.08,0.02,6.73,4,0,0,0,5,6,8,6,1,"true","kc1","v",0.9
12,1,1,1,36,70.66,0.19,5.25,26.79,738.4,0.05,41.02,9,0,0,0,7,8,24,12,1,"true","kc1","v",0.9
38,7,1,7,119,383.6,0.06,16,36.49,9342.72,0.19,519.03,30,0,6,0,12,18,71,48,13,"true","kc1","v",0.9
132,16,11,13,322,1749.21,0.03,29.65,69.24,60862.61,0.68,3381.26,101,7,22,0,26,57,192,130,31,"true","kc1","v",0.9
26,4,1,4,81,214.62,0.08,11.79,35.53,4935.43,0.14,274.19,24,0,0,0,15,21,48,33,7,"true","kc1","v",0.9
56,5,1,4,178,1721.04,0.08,13.19,74.95,13042.34,0.33,724.57,48,1,5,0,13,34,109,69,9,"true","kc1","v",0.9
21,1,1,1,76,1146.95,0.16,6.2,58.93,2265.23,0.12,125.85,14,0,0,0,8,20,45,31,1,"true","kc1","v",0.9
43,6,5,5,95,188.94,0.05,18.9,26.93,9619.48,0.17,534.42,30,0,10,0,21,20,59,36,11,"true","kc1","v",0.9
12,4,1,2,44,-794.24,0.1,9.82,20.27,1954.18,0.07,108.57,10,0,0,0,12,11,26,18,7,"true","kc1","v",0.9
11,1,1,1,26,-318.31,0.17,6,16.5,593.95,0.03,33,8,0,1,0,8,6,17,9,1,"true","kc1","v",0.9
26,2,1,2,68,156.95,0.14,7.15,44.72,2284.41,0.11,126.91,21,0,3,0,9,17,41,27,3,"true","kc1","v",0.9
80,11,1,11,274,1143.31,0.03,28.71,57.05,47016.12,0.55,2612.01,66,2,10,0,22,41,167,107,21,"true","kc1","v",0.9
63,8,1,8,185,952.78,0.04,24.33,43.95,26025.75,0.36,1445.88,52,2,7,0,22,33,112,73,15,"true","kc1","v",0.9
10,2,1,2,23,-19.34,0.08,12.83,6.82,1123.8,0.03,62.43,8,0,0,0,11,3,16,7,3,"true","kc1","v",0.9
9,2,1,1,31,-426.1,0.18,5.6,23.08,723.9,0.04,40.22,6,0,0,0,8,10,17,14,3,"true","kc1","v",0.9
35,5,1,4,89,36.21,0.05,20.4,22.01,9158.6,0.15,508.81,29,1,3,0,18,15,55,34,9,"true","kc1","v",0.9
9,1,1,1,25,414.5,0.4,2.5,37,231.28,0.03,12.85,7,0,0,0,5,8,17,8,1,"true","kc1","v",0.9
16,2,1,2,35,-435.29,0.07,13.75,9.94,1880.19,0.05,104.46,11,0,1,2,11,4,25,10,3,"true","kc1","v",0.9
5,1,1,1,10,-250.77,0.27,3.75,7.49,105.28,0.01,5.85,3,0,0,0,5,2,7,3,1,"true","kc1","v",0.9
16,1,1,1,28,-597.65,0.22,4.57,23.93,500.08,0.04,27.78,11,1,1,0,8,7,20,8,3,"true","kc1","v",0.9
4,1,1,1,7,532.04,0.33,3,6.55,58.95,0.01,3.28,2,0,0,0,6,1,6,1,1,"true","kc1","v",0.9
12,2,1,2,24,84.77,0.29,3.43,25.9,304.49,0.03,16.92,8,2,0,0,6,7,16,8,3,"true","kc1","v",0.9
8,2,1,1,20,-64.52,0.19,5.25,14.1,388.55,0.02,21.59,5,0,0,0,7,6,11,9,3,"true","kc1","v",0.9
4,1,1,1,5,-1092.76,0.5,2,5.8,23.22,0,1.29,2,0,0,0,4,1,4,1,1,"true","kc1","v",0.9
14,2,1,2,29,-903.89,0.15,6.87,17.59,831.38,0.04,46.19,11,1,0,0,10,8,18,11,3,"true","kc1","v",0.9
56,3,1,2,101,69.94,0.13,7.5,71.67,4031.36,0.18,223.96,33,5,14,0,10,30,56,45,5,"true","kc1","v",0.9
30,2,1,2,55,-124.68,0.11,9.17,27.14,2280.63,0.08,126.7,21,0,4,0,11,12,35,20,3,"true","kc1","v",0.9
52,8,1,8,247,1721.65,0.04,23.08,62.43,33247.47,0.48,1847.08,45,0,2,3,18,39,147,100,15,"true","kc1","v",0.9
41,6,3,6,109,751.55,0.05,18.45,31,10553.84,0.19,586.32,35,0,2,0,18,20,68,41,11,"true","kc1","v",0.9
4,1,1,1,1,-166.69,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,"true","kc1","v",0.9
15,1,1,1,26,-75.11,0.29,3.5,29.02,355.53,0.03,19.75,8,2,3,0,7,8,18,8,1,"true","kc1","v",0.9
9,1,1,1,31,285.32,0.29,3.43,31.28,367.69,0.04,20.43,7,0,0,0,4,7,19,12,1,"true","kc1","v",0.9
5,1,1,1,8,182.31,0.33,3,8,72,0.01,4,3,0,0,0,6,2,6,2,1,"true","kc1","v",0.9
25,1,1,1,65,749.23,0.15,6.5,47.55,2008.94,0.1,111.61,13,1,2,0,9,18,39,26,1,"true","kc1","v",0.9
45,1,1,1,0,-491.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"true","kc1","v",0.9
4,1,1,1,4,178.64,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,"true","kc1","v",0.9
23,3,1,2,70,-126.48,0.07,14.18,22.33,4490.66,0.11,249.48,18,1,1,0,12,11,44,26,5,"true","kc1","v",0.9
14,1,1,1,33,-368.37,0.24,4.2,32.11,566.52,0.04,31.47,10,0,0,0,7,10,21,12,1,"true","kc1","v",0.9
18,2,1,1,39,872.77,0.1,9.64,16.18,1504.29,0.05,83.57,14,0,2,0,9,7,24,15,3,"true","kc1","v",0.9
40,4,1,3,110,146.59,0.07,15.17,35.93,8265.25,0.18,459.18,31,1,2,0,13,18,68,42,7,"true","kc1","v",0.9
24,3,1,2,80,13.9,0.07,13.85,26.83,5143.96,0.12,285.78,18,1,1,0,12,13,50,30,5,"true","kc1","v",0.9
52,6,1,5,133,246.46,0.06,16.25,41.29,10902.2,0.22,605.68,43,3,2,0,13,20,83,50,11,"true","kc1","v",0.9
11,1,1,1,14,231.8,0.25,4,12.95,207.22,0.02,11.51,6,0,1,0,8,5,9,5,1,"true","kc1","v",0.9
23,6,6,2,70,-244.45,0.05,19.79,17.52,6863.63,0.12,381.31,17,0,4,0,19,12,45,25,11,"true","kc1","v",0.9
4,1,1,1,4,278.7,0.67,1.5,5.33,12,0,0.67,2,0,0,0,3,1,3,1,1,"true","kc1","v",0.9
38,8,8,5,191,1029.96,0.04,28.27,39.75,31758.83,0.37,1764.38,26,1,8,0,27,32,124,67,15,"true","kc1","v",0.9
113,15,11,14,527,3617.37,0.03,33.28,104.99,116258.98,1.16,6458.83,88,5,18,0,25,74,330,197,29,"true","kc1","v",0.9
8,1,1,1,26,-685.12,0.26,3.85,27.6,409.16,0.04,22.73,4,0,2,0,7,10,15,11,1,"true","kc1","v",0.9
38,6,3,6,167,1408.79,0.05,20.8,43.01,18609.99,0.3,1033.89,26,0,10,0,16,25,102,65,11,"true","kc1","v",0.9
47,13,10,10,231,477.42,0.03,36.93,35.3,48144.92,0.43,2674.72,40,0,5,0,22,28,137,94,25,"true","kc1","v",0.9
8,1,1,1,17,478.05,0.2,5,12.19,304.72,0.02,16.93,4,0,2,0,8,4,12,5,1,"true","kc1","v",0.9
4,1,1,1,5,-62.82,0.67,1.5,7.74,17.41,0,0.97,2,0,0,0,3,2,3,2,1,"true","kc1","v",0.9
15,3,1,1,43,339.5,0.1,9.69,21.1,1981.69,0.07,110.09,10,0,3,0,14,13,25,18,5,"true","kc1","v",0.9
38,5,1,5,61,4.29,0.07,15,20.51,4615.62,0.1,256.42,19,0,17,0,18,15,36,25,7,"true","kc1","v",0.9
48,12,1,11,177,926.9,0.04,26.92,36.31,26321.9,0.33,1462.33,38,2,6,0,20,26,107,70,21,"true","kc1","v",0.9
70,15,14,3,293,2224.59,0.02,41.3,40.24,68641.45,0.55,3813.41,52,0,11,0,21,30,175,118,29,"true","kc1","v",0.9
23,5,3,3,116,1146.89,0.04,22.8,27.78,14439.1,0.21,802.17,16,0,5,0,24,20,78,38,9,"true","kc1","v",0.9
27,8,6,5,128,708.58,0.05,20.16,34.45,14002.37,0.23,777.91,22,0,3,0,18,25,72,56,15,"true","kc1","v",0.9
10,1,1,1,26,-220.22,0.23,4.28,24.31,444.89,0.03,24.72,5,0,3,0,7,9,15,11,1,"true","kc1","v",0.9
13,1,1,1,46,660.63,0.13,7.46,28.62,1594.5,0.07,88.58,9,2,0,0,11,14,27,19,1,"true","kc1","v",0.9
23,8,8,8,109,110.15,0.07,14.71,37.05,8017.24,0.18,445.4,19,0,1,0,13,19,66,43,15,"true","kc1","v",0.9
11,4,4,4,38,152.03,0.1,9.78,16.8,1605.84,0.05,89.21,8,0,1,0,11,9,22,16,7,"true","kc1","v",0.9
9,2,1,2,42,413.46,0.13,7.73,23.87,1425.51,0.06,79.19,6,0,1,0,10,11,25,17,3,"true","kc1","v",0.9
11,3,3,2,43,160.05,0.14,6.97,29.01,1408.1,0.07,78.23,7,0,2,0,11,15,24,19,5,"true","kc1","v",0.9
49,8,1,7,185,665.36,0.06,17.81,61.1,19385.15,0.36,1076.95,35,3,9,0,19,40,110,75,15,"true","kc1","v",0.9
53,11,6,9,354,1707.43,0.02,44.31,48.29,94805.86,0.71,5266.99,43,0,8,0,27,39,226,128,21,"true","kc1","v",0.9
21,5,4,2,81,1.94,0.05,21,19.94,8794.04,0.14,488.56,13,0,6,0,21,15,51,30,9,"true","kc1","v",0.9
16,4,1,4,86,388.1,0.11,8.9,48.29,3829.05,0.14,212.72,11,0,3,0,11,21,52,34,7,"true","kc1","v",0.9
22,5,3,4,123,803.26,0.04,25,27.18,16984.95,0.23,943.61,15,0,5,0,25,21,81,42,9,"true","kc1","v",0.9
24,5,3,4,129,727.23,0.04,24.87,29.12,18012.97,0.24,1000.72,19,0,3,0,26,23,85,44,9,"true","kc1","v",0.9
27,6,1,5,131,778.21,0.05,18.67,37.35,13013.89,0.23,722.99,22,0,3,0,16,24,75,56,11,"true","kc1","v",0.9
27,5,1,4,93,264.66,0.05,21.33,19.15,8714.36,0.14,484.13,20,0,5,0,12,9,61,32,9,"true","kc1","v",0.9
39,9,9,5,208,906.76,0.03,35.34,34.9,43599.82,0.41,2422.21,29,0,8,0,29,32,130,78,17,"true","kc1","v",0.9
16,3,1,3,58,-115.85,0.14,7,39.4,1930.48,0.09,107.25,12,0,2,0,9,18,30,28,5,"true","kc1","v",0.9
19,4,1,4,86,750.08,0.08,12.28,34.7,5231.08,0.14,290.62,13,0,4,0,13,18,52,34,7,"true","kc1","v",0.9
