"class","attr1","attr2","attr3","attr4","attr5","attr6","dataset_name","altered_attribute","noise_level"
0,1,1,1,1,2.03,2,"monks-problems-2","attr5",0.2
0,1,1,1,1,4.39,1,"monks-problems-2","attr5",0.2
0,1,1,1,2,1.12,1,"monks-problems-2","attr5",0.2
0,1,1,1,2,1.25,2,"monks-problems-2","attr5",0.2
0,1,1,1,2,1.83,1,"monks-problems-2","attr5",0.2
0,1,1,1,2,2.9,1,"monks-problems-2","attr5",0.2
0,1,1,1,2,4.28,1,"monks-problems-2","attr5",0.2
0,1,1,1,3,2.17,1,"monks-problems-2","attr5",0.2
0,1,1,1,3,3.83,1,"monks-problems-2","attr5",0.2
0,1,1,2,1,0.86,1,"monks-problems-2","attr5",0.2
0,1,1,2,1,1.16,2,"monks-problems-2","attr5",0.2
0,1,1,2,2,3,1,"monks-problems-2","attr5",0.2
0,1,1,2,2,4.29,1,"monks-problems-2","attr5",0.2
1,1,1,2,2,3.97,2,"monks-problems-2","attr5",0.2
0,1,1,2,3,0.82,2,"monks-problems-2","attr5",0.2
1,1,1,2,3,2.07,2,"monks-problems-2","attr5",0.2
0,1,2,1,1,1.15,2,"monks-problems-2","attr5",0.2
0,1,2,1,2,0.72,2,"monks-problems-2","attr5",0.2
1,1,2,1,2,1.98,2,"monks-problems-2","attr5",0.2
0,1,2,1,2,2.65,1,"monks-problems-2","attr5",0.2
1,1,2,1,2,2.59,2,"monks-problems-2","attr5",0.2
0,1,2,1,2,3.88,1,"monks-problems-2","attr5",0.2
0,1,2,1,3,1.12,1,"monks-problems-2","attr5",0.2
0,1,2,1,3,1.18,2,"monks-problems-2","attr5",0.2
1,1,2,1,3,2.29,2,"monks-problems-2","attr5",0.2
0,1,2,1,3,2.78,1,"monks-problems-2","attr5",0.2
1,1,2,1,3,2.99,2,"monks-problems-2","attr5",0.2
0,1,2,1,3,3.73,1,"monks-problems-2","attr5",0.2
1,1,2,1,3,4.19,2,"monks-problems-2","attr5",0.2
0,1,2,2,1,1.86,1,"monks-problems-2","attr5",0.2
0,1,2,2,1,3.81,1,"monks-problems-2","attr5",0.2
1,1,2,2,2,3,1,"monks-problems-2","attr5",0.2
1,1,2,2,2,3.81,1,"monks-problems-2","attr5",0.2
0,1,2,2,3,0.94,1,"monks-problems-2","attr5",0.2
1,1,2,2,3,0.93,2,"monks-problems-2","attr5",0.2
1,1,2,2,3,2.97,1,"monks-problems-2","attr5",0.2
0,1,2,2,3,3.16,2,"monks-problems-2","attr5",0.2
1,1,2,2,3,4.04,1,"monks-problems-2","attr5",0.2
0,1,2,2,3,3.89,2,"monks-problems-2","attr5",0.2
0,1,3,1,1,0.85,2,"monks-problems-2","attr5",0.2
0,1,3,1,1,1.7,2,"monks-problems-2","attr5",0.2
0,1,3,1,1,3.01,1,"monks-problems-2","attr5",0.2
0,1,3,1,1,3.15,2,"monks-problems-2","attr5",0.2
0,1,3,1,2,2,1,"monks-problems-2","attr5",0.2
1,1,3,1,2,2.31,2,"monks-problems-2","attr5",0.2
1,1,3,1,2,3.24,2,"monks-problems-2","attr5",0.2
0,1,3,1,2,4.07,1,"monks-problems-2","attr5",0.2
1,1,3,1,3,1.98,2,"monks-problems-2","attr5",0.2
0,1,3,1,3,3.17,1,"monks-problems-2","attr5",0.2
1,1,3,1,3,4.37,2,"monks-problems-2","attr5",0.2
0,1,3,2,1,2.82,1,"monks-problems-2","attr5",0.2
1,1,3,2,1,2.9,2,"monks-problems-2","attr5",0.2
0,1,3,2,1,3.72,1,"monks-problems-2","attr5",0.2
1,1,3,2,2,1.18,2,"monks-problems-2","attr5",0.2
0,1,3,2,2,3.06,2,"monks-problems-2","attr5",0.2
0,1,3,2,2,4.11,2,"monks-problems-2","attr5",0.2
1,1,3,2,3,1.91,1,"monks-problems-2","attr5",0.2
0,2,1,1,1,1.17,1,"monks-problems-2","attr5",0.2
0,2,1,1,1,1.78,2,"monks-problems-2","attr5",0.2
0,2,1,1,1,3.32,1,"monks-problems-2","attr5",0.2
1,2,1,1,2,1.9,2,"monks-problems-2","attr5",0.2
0,2,1,1,3,0.81,2,"monks-problems-2","attr5",0.2
1,2,1,1,3,1.75,2,"monks-problems-2","attr5",0.2
1,2,1,1,3,3.01,2,"monks-problems-2","attr5",0.2
0,2,1,1,3,3.78,1,"monks-problems-2","attr5",0.2
0,2,1,2,1,0.86,1,"monks-problems-2","attr5",0.2
1,2,1,2,1,1.75,2,"monks-problems-2","attr5",0.2
0,2,1,2,1,4.09,1,"monks-problems-2","attr5",0.2
1,2,1,2,2,2.11,1,"monks-problems-2","attr5",0.2
