"V1","V2","V3","V4","V5","class","dataset_name","altered_attribute","noise_level"
0.48,-0.189665,-1.668229,-1.249093,-0.685406,"1","phoneme","V1",0.6
-1.7,-0.141079,2.535399,-1.544766,-0.136583,"1","phoneme","V1",0.6
-1.15,-0.176658,1.016982,-1.107165,-0.486269,"1","phoneme","V1",0.6
-1.03,-0.160173,0.880969,-1.090817,-0.491231,"1","phoneme","V1",0.6
-0.67,0.453241,0.829977,0.300258,-0.136583,"1","phoneme","V1",0.6
0.09,0.968564,-0.295023,-0.145701,-0.467262,"1","phoneme","V1",0.6
-0.31,2.067209,-1.349052,-0.208018,0.873025,"1","phoneme","V1",0.6
1.34,-0.032825,-1.129496,-0.336295,0.346117,"1","phoneme","V1",0.6
-0.49,0.198863,1.516576,-1.263376,0.579047,"1","phoneme","V1",0.6
-1.88,-1.132677,-0.453805,-1.279776,-0.136583,"1","phoneme","V1",0.6
2.03,-0.746456,-0.346848,0.820393,-0.648817,"1","phoneme","V1",0.6
-0.63,0.381647,0.68639,0.2168,-0.931391,"1","phoneme","V1",0.6
-0.8,-0.330898,2.124422,1.119478,-0.854611,"1","phoneme","V1",0.6
0.29,-0.661448,1.066051,-0.500597,-0.136583,"1","phoneme","V1",0.6
-1.46,-0.474365,1.910317,-1.299249,-1.084729,"1","phoneme","V1",0.6
0.01,1.790906,-1.391134,-0.067745,-0.407433,"1","phoneme","V1",0.6
0.44,1.195635,-1.419858,-0.738447,0.092904,"1","phoneme","V1",0.6
-0.9,1.370594,0.603423,0.359712,-0.136583,"1","phoneme","V1",0.6
-1.28,-0.81502,0.254559,1.957674,-1.188037,"1","phoneme","V1",0.6
-0.32,-0.306381,1.590185,-1.317941,-0.651253,"1","phoneme","V1",0.6
-0.71,-0.840439,-0.279395,-1.482918,3.532691,"1","phoneme","V1",0.6
-0.98,-0.240896,-0.492776,0.101285,0.811225,"1","phoneme","V1",0.6
-0.07,2.04754,-1.290786,-0.715742,-0.359568,"1","phoneme","V1",0.6
-0.73,1.177845,0.543127,0.399896,-0.562622,"1","phoneme","V1",0.6
-0.13,2.295114,-1.348029,-0.780895,-0.390759,"1","phoneme","V1",0.6
0.39,-0.809534,-0.942723,-0.319041,-0.471204,"1","phoneme","V1",0.6
-0.78,0.926288,0.131884,-0.812528,-0.351959,"1","phoneme","V1",0.6
-0.76,1.131056,-1.415155,-0.736861,-0.136583,"1","phoneme","V1",0.6
0.2,0.263994,-0.128683,-0.736229,-0.342654,"1","phoneme","V1",0.6
-0.15,-0.959579,0.431492,0.951976,1.276193,"1","phoneme","V1",0.6
1.53,-0.229146,-0.984715,-0.355572,-0.244412,"1","phoneme","V1",0.6
0.03,0.642969,0.567375,-0.964956,-0.405699,"1","phoneme","V1",0.6
2.65,-0.341721,-0.127961,0.781952,-0.676645,"1","phoneme","V1",0.6
-0.16,1.685332,-1.275041,-0.718646,-0.318021,"1","phoneme","V1",0.6
-0.49,-1.085919,-0.27689,1.354647,-0.136583,"1","phoneme","V1",0.6
-0.76,-0.161794,1.770123,0.978692,-0.849602,"1","phoneme","V1",0.6
-0.7,-0.087933,1.680219,-1.264797,-0.136583,"1","phoneme","V1",0.6
0.48,2.21264,-1.458302,0.184049,0.478583,"1","phoneme","V1",0.6
1.46,1.151666,0.014843,0.835057,0.577631,"1","phoneme","V1",0.6
-0.3,-0.268697,1.478993,-0.992002,0.802722,"1","phoneme","V1",0.6
-1.37,0.825484,-0.102803,0.066449,-0.136583,"1","phoneme","V1",0.6
-0.09,0.515105,-1.303995,-0.705511,-0.318775,"1","phoneme","V1",0.6
2.81,-0.658572,-0.966708,-0.577747,-0.216652,"1","phoneme","V1",0.6
1.45,-0.732245,-0.931819,-0.402061,-0.039794,"1","phoneme","V1",0.6
1.12,-0.450744,-0.420071,-0.619596,-0.240873,"1","phoneme","V1",0.6
-2.23,0.308997,0.409568,-1.089428,0.450351,"1","phoneme","V1",0.6
-0.45,-0.530813,0.572011,1.711407,-0.136583,"1","phoneme","V1",0.6
-0.61,-1.03171,-0.229079,0.666409,-0.136583,"1","phoneme","V1",0.6
-0.72,0.571893,-1.226291,-0.730626,-0.316249,"1","phoneme","V1",0.6
-0.8,-0.928357,-1.758617,2.11345,-1.869512,"1","phoneme","V1",0.6
0.35,0.524564,-1.141219,-0.848173,2.957034,"1","phoneme","V1",0.6
0.19,-2.287426,-1.262505,-2.132887,-1.588234,"1","phoneme","V1",0.6
2.28,-0.577562,-0.615277,-0.313358,0.035385,"1","phoneme","V1",0.6
0.39,-1.186373,-0.912691,-0.373039,-0.258447,"1","phoneme","V1",0.6
-1.3,0.393609,1.674092,-1.371444,-0.136583,"1","phoneme","V1",0.6
2.69,-0.662559,-0.957571,-0.602766,-0.040356,"1","phoneme","V1",0.6
0.97,-0.031674,-1.04719,-0.371426,-0.246768,"1","phoneme","V1",0.6
-0.99,-0.997939,0.0673,0.341951,0.69448,"1","phoneme","V1",0.6
0.19,1.385493,-1.34429,-0.123499,-0.639118,"1","phoneme","V1",0.6
-0.56,-0.60531,0.111341,1.080659,-1.140589,"1","phoneme","V1",0.6
0.35,-0.784294,-0.472961,-0.204031,-0.441488,"1","phoneme","V1",0.6
0.82,-0.797708,0.72555,1.772723,-1.028348,"1","phoneme","V1",0.6
1.5,0.161545,-1.077403,-0.334029,-0.276489,"1","phoneme","V1",0.6
-1.35,-0.288742,1.680057,0.882349,-0.759776,"1","phoneme","V1",0.6
3.15,-1.798109,-0.630902,-0.59897,-0.01305,"1","phoneme","V1",0.6
-0.51,2.215472,-1.545313,-0.828575,-0.136583,"1","phoneme","V1",0.6
0.28,2.254964,-1.627087,0.048233,0.187144,"1","phoneme","V1",0.6
-0.19,0.793911,-1.248117,-0.765277,-0.309813,"1","phoneme","V1",0.6
0.28,1.174461,-0.099101,-1.081045,1.229704,"1","phoneme","V1",0.6
-0.31,0.757932,-1.270042,-0.03992,1.930247,"1","phoneme","V1",0.6
2.37,-0.025011,-0.42304,0.590883,-0.500828,"1","phoneme","V1",0.6
-0.1,-0.387638,1.522454,0.8997,-0.936368,"1","phoneme","V1",0.6
-1.25,-1.105849,-0.246699,-0.745461,-0.892059,"1","phoneme","V1",0.6
-1.17,1.094232,0.258892,-1.140521,-0.136583,"1","phoneme","V1",0.6
-0.36,-0.336133,1.524443,0.783847,-0.750311,"1","phoneme","V1",0.6
1.67,-0.877556,-0.708172,-0.3815,-0.220347,"1","phoneme","V1",0.6
-0.71,-0.374295,1.591611,0.984743,-0.854046,"1","phoneme","V1",0.6
-0.03,-0.257475,2.157294,-1.545763,0.994191,"1","phoneme","V1",0.6
-1.19,0.599647,-0.229826,-0.796724,-0.336464,"1","phoneme","V1",0.6
