"GLCM_Pan","Mean_G","Mean_R","Mean_NIR","SD_Plan","class","dataset_name","altered_attribute","noise_level"
120.362774,197.33,119.395349,416.581395,20.676318,"2","wilt","Mean_G",0.3
124.739583,225.95,115.333333,354.333333,16.707151,"2","wilt","Mean_G",0.3
134.691964,189.05,116.857143,477.857143,22.496712,"2","wilt","Mean_G",0.3
127.946309,171.05,92.368421,278.473684,14.977453,"2","wilt","Mean_G",0.3
135.431548,206.54,112.690476,532.952381,17.604193,"2","wilt","Mean_G",0.3
118.347962,246.89,138.85,608.9,29.072797,"2","wilt","Mean_G",0.3
135.436282,202.64,95.142857,309.190476,13.055264,"2","wilt","Mean_G",0.3
121.169643,230.79,146.214286,595.571429,22.808542,"2","wilt","Mean_G",0.3
131.127161,187.97,144.588235,563.843137,11.948563,"2","wilt","Mean_G",0.3
134.498092,213.81,116.909091,594.848485,27.937685,"2","wilt","Mean_G",0.3
131.164773,216.22,114.727273,483.045455,22.903544,"2","wilt","Mean_G",0.3
136.09596,208.2,111.4,444.6,16.553622,"2","wilt","Mean_G",0.3
122.631902,259.44,142.195122,473.707317,24.521889,"2","wilt","Mean_G",0.3
113.65618,202.69,129.785714,480.857143,29.237766,"2","wilt","Mean_G",0.3
133.894198,175.44,115.513514,419.513514,17.489139,"2","wilt","Mean_G",0.3
131.111498,237.07,125.444444,537.888889,19.434819,"2","wilt","Mean_G",0.3
127.835697,168.5,116.509434,372.132076,23.929111,"2","wilt","Mean_G",0.3
121.61126,210.91,121.06383,338.12766,15.019107,"2","wilt","Mean_G",0.3
106.242105,245.05,140,381.166667,18.903263,"2","wilt","Mean_G",0.3
147.771127,205.83,123.722222,479.166667,23.337037,"2","wilt","Mean_G",0.3
135.823938,209.02,115.09589,332.424658,12.805692,"2","wilt","Mean_G",0.3
134.958974,255.14,141.469388,435.959184,17.606107,"2","wilt","Mean_G",0.3
128.531408,203.83,93.312,296.616,16.932495,"2","wilt","Mean_G",0.3
143.528736,153.47,78.454545,400,10.832306,"2","wilt","Mean_G",0.3
141.109375,155.8,68,242.5,6.753471,"2","wilt","Mean_G",0.3
140.02603,197.67,89.241379,561.310345,23.83759,"2","wilt","Mean_G",0.3
132.58773,220.21,133.058823,579.215686,19.832652,"2","wilt","Mean_G",0.3
121.757895,188.02,92.666667,217.777778,14.055446,"2","wilt","Mean_G",0.3
135.677165,164.78,105.208333,453.333333,16.185073,"2","wilt","Mean_G",0.3
119.457404,179.91,93.145161,227.774194,12.293254,"2","wilt","Mean_G",0.3
124.591944,187.05,89.083333,208.083333,20.352602,"2","wilt","Mean_G",0.3
126.527972,197.17,85.111111,359.777778,11.080513,"2","wilt","Mean_G",0.3
135.024485,140.24,104.55102,270.653061,14.329932,"2","wilt","Mean_G",0.3
142.56579,180.41,89.763889,240.263889,11.29866,"2","wilt","Mean_G",0.3
124.611009,178.09,93.434783,242.608696,9.803702,"2","wilt","Mean_G",0.3
130.84965,196.75,83.402778,342.277778,21.171678,"2","wilt","Mean_G",0.3
133.854167,176.76,78.740741,254.37037,14.175076,"2","wilt","Mean_G",0.3
119.714558,257.14,153.515152,591.015152,25.385987,"2","wilt","Mean_G",0.3
123.278545,212.71,129.68,600.22,29.894943,"2","wilt","Mean_G",0.3
117.639292,199.25,131.205128,504.076923,22.19423,"2","wilt","Mean_G",0.3
138.512724,199.66,118.537313,445.925373,20.084939,"2","wilt","Mean_G",0.3
118.578324,205.5,117.067568,429.135135,33.420971,"2","wilt","Mean_G",0.3
134.064037,164.79,95.590909,236.681818,18.00373,"2","wilt","Mean_G",0.3
117.650655,242.02,155.458333,541.541667,18.511821,"2","wilt","Mean_G",0.3
135.284257,213.73,149.837209,587,22.066888,"2","wilt","Mean_G",0.3
123.302428,224.38,120.666667,436.087719,18.284456,"2","wilt","Mean_G",0.3
128.096093,235.14,118.4,403.333333,21.405892,"2","wilt","Mean_G",0.3
119.635551,216.57,118.821429,312.517857,21.871778,"2","wilt","Mean_G",0.3
119.506522,230.4,131.586207,592.241379,27.410822,"2","wilt","Mean_G",0.3
132.279558,223.07,126.210526,503.631579,26.666932,"2","wilt","Mean_G",0.3
123.752283,209.06,134.672727,510.036364,21.587217,"2","wilt","Mean_G",0.3
123.997297,204.46,156.242857,493.414286,24.439196,"2","wilt","Mean_G",0.3
130.010502,172.66,103.166667,319.777778,21.732253,"2","wilt","Mean_G",0.3
122.797834,159.83,132.485714,322.285714,15.835378,"2","wilt","Mean_G",0.3
132.404776,187.37,125.407407,373.805556,23.220295,"2","wilt","Mean_G",0.3
127.80718,192.97,120.722826,415.804348,27.258971,"2","wilt","Mean_G",0.3
122.15942,203.81,128.825,323.975,28.948097,"2","wilt","Mean_G",0.3
126.432185,230.78,128.599119,403.061674,23.368589,"2","wilt","Mean_G",0.3
128.368754,224.76,140.650794,411.301587,24.842135,"2","wilt","Mean_G",0.3
126.739726,213.3,129.904348,390.817391,20.635785,"2","wilt","Mean_G",0.3
128.581136,198.16,119.322581,436.556452,24.033568,"2","wilt","Mean_G",0.3
136.359435,218.03,118.422018,462.568807,21.609575,"2","wilt","Mean_G",0.3
128.97306,209.55,118.759259,427.49537,21.303533,"2","wilt","Mean_G",0.3
131.599825,222.19,117.236111,566.009259,36.442122,"2","wilt","Mean_G",0.3
122.665428,237.05,136.586614,498.633858,26.649676,"2","wilt","Mean_G",0.3
132.455492,164.65,113.80597,323.059702,18.657719,"2","wilt","Mean_G",0.3
129.20801,162.04,110.650943,327.716981,19.005395,"2","wilt","Mean_G",0.3
124.590466,214.15,120.642276,398.853659,18.675637,"2","wilt","Mean_G",0.3
129.360137,180.9,123.945578,464.72449,26.64041,"2","wilt","Mean_G",0.3
141.57423,200.44,127.333333,364.177778,15.219286,"2","wilt","Mean_G",0.3
127.218812,208,110.102362,383.393701,19.666454,"2","wilt","Mean_G",0.3
118.122585,209.02,134.235294,443.111765,18.376031,"2","wilt","Mean_G",0.3
138.614314,213.73,126.111111,421,18.304925,"2","wilt","Mean_G",0.3
134.301502,213.58,125.671429,436.190476,21.034099,"2","wilt","Mean_G",0.3
142.867713,223.26,104.392857,674.964286,32.399531,"1","wilt","Mean_G",0.3
143.497283,235.22,95.73913,612.347826,29.530094,"1","wilt","Mean_G",0.3
135.725,228.92,107.583333,741.270833,20.841071,"1","wilt","Mean_G",0.3
112.824561,235.27,108.04,705.84,22.670651,"1","wilt","Mean_G",0.3
111.207547,240.26,105.575,729.775,23.673812,"1","wilt","Mean_G",0.3
124.955163,223.68,100.565217,686.434783,27.8711,"1","wilt","Mean_G",0.3
115.849866,251.34,107.106383,757.212766,19.601577,"1","wilt","Mean_G",0.3
124.970238,241.03,97.428571,595.857143,40.781037,"1","wilt","Mean_G",0.3
130.711775,141.64,69.40107,187.684492,8.875741,"1","wilt","Mean_G",0.3
113.465116,232.07,107.555556,735.518519,34.575418,"1","wilt","Mean_G",0.3
130.118358,221.35,104.192308,689.346154,16.023282,"1","wilt","Mean_G",0.3
120.413907,235.96,104.894737,617.31579,29.403865,"1","wilt","Mean_G",0.3
127.223214,209.41,100.571429,588.857143,17.274495,"1","wilt","Mean_G",0.3
128.945313,187.86,93,437,27.335874,"1","wilt","Mean_G",0.3
133.359375,137.44,84,247,14.101751,"1","wilt","Mean_G",0.3
127.395833,170.88,99.166667,486.166667,26.023494,"1","wilt","Mean_G",0.3
137.922594,218.24,99.366667,641.866667,40.490932,"1","wilt","Mean_G",0.3
105.1,196.64,97,564.2,21.303521,"1","wilt","Mean_G",0.3
132.386555,224.33,95.8,531.866667,53.596849,"1","wilt","Mean_G",0.3
107.576923,199.47,90.769231,514.153846,45.348225,"1","wilt","Mean_G",0.3
127.765766,163.02,82.357143,310.142857,15.443941,"1","wilt","Mean_G",0.3
124.018476,154.49,69.072727,217.836364,13.337253,"1","wilt","Mean_G",0.3
132.299304,220.84,90,495.407407,36.943771,"1","wilt","Mean_G",0.3
153.541667,202.43,87,452,1.699673,"1","wilt","Mean_G",0.3
125.73937,154.92,69.416244,206.411168,7.412496,"1","wilt","Mean_G",0.3
140.857143,181.24,79.916667,293,6.015605,"1","wilt","Mean_G",0.3
132.592007,148.52,68.682927,177.897561,8.123652,"1","wilt","Mean_G",0.3
138.240418,193.6,87.055556,445.388889,27.26414,"1","wilt","Mean_G",0.3
136.250617,177.92,87.176471,441.764706,20.390781,"1","wilt","Mean_G",0.3
130.011364,201.71,95.272727,520.636364,12.186566,"1","wilt","Mean_G",0.3
120.872081,218.66,101.709677,746.806452,16.682722,"1","wilt","Mean_G",0.3
144.339744,162.13,77.65,302.1,10.067274,"1","wilt","Mean_G",0.3
106.34375,268.77,111.8,726.4,28.667229,"1","wilt","Mean_G",0.3
141.350694,232.75,107.111111,668.666667,30.063924,"1","wilt","Mean_G",0.3
128.177165,195.01,94.4375,456.875,23.224427,"1","wilt","Mean_G",0.3
127.479315,175.92,93.590909,525.431818,18.794822,"1","wilt","Mean_G",0.3
130.766562,236.98,97.4,648.4,24.676862,"1","wilt","Mean_G",0.3
123.854494,223.9,100.568182,645.272727,34.318355,"1","wilt","Mean_G",0.3
122.673611,182.38,80.666667,390.777778,20.083775,"1","wilt","Mean_G",0.3
119.14881,207.5,93.52381,488.619048,29.794534,"1","wilt","Mean_G",0.3
111.150735,164.69,88.352941,493.823529,33.466194,"1","wilt","Mean_G",0.3
109.638889,180.12,97.666667,463.555556,20.259429,"1","wilt","Mean_G",0.3
127.918558,251.11,98.085106,679.574468,19.805391,"1","wilt","Mean_G",0.3
