"GLCM_Pan","Mean_G","Mean_R","Mean_NIR","SD_Plan","class","dataset_name","altered_attribute","noise_level"
120.362774,205.5,73.09,416.581395,20.676318,"2","wilt","Mean_R",0.5
124.739583,202.8,117.1,354.333333,16.707151,"2","wilt","Mean_R",0.5
134.691964,199.285714,150.54,477.857143,22.496712,"2","wilt","Mean_R",0.5
127.946309,178.368421,80.31,278.473684,14.977453,"2","wilt","Mean_R",0.5
135.431548,197,145.1,532.952381,17.604193,"2","wilt","Mean_R",0.5
118.347962,226.15,121.8,608.9,29.072797,"2","wilt","Mean_R",0.5
135.436282,184.5,71.44,309.190476,13.055264,"2","wilt","Mean_R",0.5
121.169643,226,112.28,595.571429,22.808542,"2","wilt","Mean_R",0.5
131.127161,232.784314,118.28,563.843137,11.948563,"2","wilt","Mean_R",0.5
134.498092,210.212121,130.06,594.848485,27.937685,"2","wilt","Mean_R",0.5
131.164773,206.681818,116.59,483.045455,22.903544,"2","wilt","Mean_R",0.5
136.09596,201.4,139.73,444.6,16.553622,"2","wilt","Mean_R",0.5
122.631902,230.560976,118.62,473.707317,24.521889,"2","wilt","Mean_R",0.5
113.65618,213.107143,115.8,480.857143,29.237766,"2","wilt","Mean_R",0.5
133.894198,191.621622,109.54,419.513514,17.489139,"2","wilt","Mean_R",0.5
131.111498,213.666667,175.82,537.888889,19.434819,"2","wilt","Mean_R",0.5
127.835697,201.358491,64.41,372.132076,23.929111,"2","wilt","Mean_R",0.5
121.61126,199.744681,113.02,338.12766,15.019107,"2","wilt","Mean_R",0.5
106.242105,221.75,133.1,381.166667,18.903263,"2","wilt","Mean_R",0.5
147.771127,220.111111,148.52,479.166667,23.337037,"2","wilt","Mean_R",0.5
135.823938,192.232877,109.01,332.424658,12.805692,"2","wilt","Mean_R",0.5
134.958974,226.673469,126.01,435.959184,17.606107,"2","wilt","Mean_R",0.5
128.531408,188.984,103.41,296.616,16.932495,"2","wilt","Mean_R",0.5
143.528736,170.363636,56.62,400,10.832306,"2","wilt","Mean_R",0.5
141.109375,164.625,99.16,242.5,6.753471,"2","wilt","Mean_R",0.5
140.02603,189.896552,69.58,561.310345,23.83759,"2","wilt","Mean_R",0.5
132.58773,222.392157,139.74,579.215686,19.832652,"2","wilt","Mean_R",0.5
121.757895,174,141.57,217.777778,14.055446,"2","wilt","Mean_R",0.5
135.677165,199.75,95.38,453.333333,16.185073,"2","wilt","Mean_R",0.5
119.457404,180.741936,137.87,227.774194,12.293254,"2","wilt","Mean_R",0.5
124.591944,179.416667,58.95,208.083333,20.352602,"2","wilt","Mean_R",0.5
126.527972,178.777778,75.32,359.777778,11.080513,"2","wilt","Mean_R",0.5
135.024485,190.877551,112.3,270.653061,14.329932,"2","wilt","Mean_R",0.5
142.56579,183.416667,113.13,240.263889,11.29866,"2","wilt","Mean_R",0.5
124.611009,180.826087,120.12,242.608696,9.803702,"2","wilt","Mean_R",0.5
130.84965,175.333333,87.41,342.277778,21.171678,"2","wilt","Mean_R",0.5
133.854167,166.407407,123.95,254.37037,14.175076,"2","wilt","Mean_R",0.5
119.714558,231.833333,139.49,591.015152,25.385987,"2","wilt","Mean_R",0.5
123.278545,218.26,162.9,600.22,29.894943,"2","wilt","Mean_R",0.5
117.639292,215.564103,113.47,504.076923,22.19423,"2","wilt","Mean_R",0.5
138.512724,202.044776,115.56,445.925373,20.084939,"2","wilt","Mean_R",0.5
118.578324,198.567568,136.89,429.135135,33.420971,"2","wilt","Mean_R",0.5
134.064037,183.463636,84.44,236.681818,18.00373,"2","wilt","Mean_R",0.5
117.650655,236.486111,206.64,541.541667,18.511821,"2","wilt","Mean_R",0.5
135.284257,234.651163,127.89,587,22.066888,"2","wilt","Mean_R",0.5
123.302428,207.754386,136.97,436.087719,18.284456,"2","wilt","Mean_R",0.5
128.096093,199.2,119.46,403.333333,21.405892,"2","wilt","Mean_R",0.5
119.635551,200.651786,85.69,312.517857,21.871778,"2","wilt","Mean_R",0.5
119.506522,224.241379,137.28,592.241379,27.410822,"2","wilt","Mean_R",0.5
132.279558,213.508772,168.82,503.631579,26.666932,"2","wilt","Mean_R",0.5
123.752283,222.018182,125.78,510.036364,21.587217,"2","wilt","Mean_R",0.5
123.997297,221.671429,200.36,493.414286,24.439196,"2","wilt","Mean_R",0.5
130.010502,184.87037,153.41,319.777778,21.732253,"2","wilt","Mean_R",0.5
122.797834,202.342857,174.66,322.285714,15.835378,"2","wilt","Mean_R",0.5
132.404776,201.305556,130.48,373.805556,23.220295,"2","wilt","Mean_R",0.5
127.80718,202.711957,123.01,415.804348,27.258971,"2","wilt","Mean_R",0.5
122.15942,195.15,87.23,323.975,28.948097,"2","wilt","Mean_R",0.5
126.432185,206.422908,115.69,403.061674,23.368589,"2","wilt","Mean_R",0.5
128.368754,211.354497,129.14,411.301587,24.842135,"2","wilt","Mean_R",0.5
126.739726,203.391304,104.07,390.817391,20.635785,"2","wilt","Mean_R",0.5
128.581136,200.870968,128.59,436.556452,24.033568,"2","wilt","Mean_R",0.5
136.359435,210.30581,171.49,462.568807,21.609575,"2","wilt","Mean_R",0.5
128.97306,202.625,99.43,427.49537,21.303533,"2","wilt","Mean_R",0.5
131.599825,209.560185,108.81,566.009259,36.442122,"2","wilt","Mean_R",0.5
122.665428,218.267717,136.81,498.633858,26.649676,"2","wilt","Mean_R",0.5
132.455492,198.865672,188.93,323.059702,18.657719,"2","wilt","Mean_R",0.5
129.20801,188.688679,138.44,327.716981,19.005395,"2","wilt","Mean_R",0.5
124.590466,197.325203,122.52,398.853659,18.675637,"2","wilt","Mean_R",0.5
129.360137,207.261905,154.94,464.72449,26.64041,"2","wilt","Mean_R",0.5
141.57423,199.244444,91.06,364.177778,15.219286,"2","wilt","Mean_R",0.5
127.218812,190.314961,69.82,383.393701,19.666454,"2","wilt","Mean_R",0.5
118.122585,217.894118,160.56,443.111765,18.376031,"2","wilt","Mean_R",0.5
138.614314,213.603175,132.19,421,18.304925,"2","wilt","Mean_R",0.5
134.301502,210.6,88.98,436.190476,21.034099,"2","wilt","Mean_R",0.5
142.867713,228.678571,38.15,674.964286,32.399531,"1","wilt","Mean_R",0.5
143.497283,211.608696,106.5,612.347826,29.530094,"1","wilt","Mean_R",0.5
135.725,238.916667,91.73,741.270833,20.841071,"1","wilt","Mean_R",0.5
112.824561,236.92,124.4,705.84,22.670651,"1","wilt","Mean_R",0.5
111.207547,233.1,94.5,729.775,23.673812,"1","wilt","Mean_R",0.5
124.955163,226.695652,107.1,686.434783,27.8711,"1","wilt","Mean_R",0.5
115.849866,235.893617,54.53,757.212766,19.601577,"1","wilt","Mean_R",0.5
124.970238,218.095238,131.87,595.857143,40.781037,"1","wilt","Mean_R",0.5
130.711775,169.526738,91.44,187.684492,8.875741,"1","wilt","Mean_R",0.5
113.465116,244.259259,98.54,735.518519,34.575418,"1","wilt","Mean_R",0.5
130.118358,230.230769,48.99,689.346154,16.023282,"1","wilt","Mean_R",0.5
120.413907,216.31579,130.08,617.31579,29.403865,"1","wilt","Mean_R",0.5
127.223214,219.428571,175.52,588.857143,17.274495,"1","wilt","Mean_R",0.5
128.945313,196,82.6,437,27.335874,"1","wilt","Mean_R",0.5
133.359375,166,67.44,247,14.101751,"1","wilt","Mean_R",0.5
127.395833,200.333333,108.59,486.166667,26.023494,"1","wilt","Mean_R",0.5
137.922594,231.333333,99.47,641.866667,40.490932,"1","wilt","Mean_R",0.5
105.1,206.8,47.8,564.2,21.303521,"1","wilt","Mean_R",0.5
132.386555,203.733333,139.56,531.866667,53.596849,"1","wilt","Mean_R",0.5
107.576923,213.307692,90.6,514.153846,45.348225,"1","wilt","Mean_R",0.5
127.765766,187,73.33,310.142857,15.443941,"1","wilt","Mean_R",0.5
124.018476,170.927273,85.37,217.836364,13.337253,"1","wilt","Mean_R",0.5
132.299304,203.407407,98.67,495.407407,36.943771,"1","wilt","Mean_R",0.5
153.541667,204,27.64,452,1.699673,"1","wilt","Mean_R",0.5
125.73937,169.203046,54.42,206.411168,7.412496,"1","wilt","Mean_R",0.5
140.857143,175.75,106.66,293,6.015605,"1","wilt","Mean_R",0.5
132.592007,164.682927,70.8,177.897561,8.123652,"1","wilt","Mean_R",0.5
138.240418,198.25,82.4,445.388889,27.26414,"1","wilt","Mean_R",0.5
136.250617,191.686275,57.89,441.764706,20.390781,"1","wilt","Mean_R",0.5
130.011364,199.181818,78.7,520.636364,12.186566,"1","wilt","Mean_R",0.5
120.872081,226.387097,83.91,746.806452,16.682722,"1","wilt","Mean_R",0.5
144.339744,174.4,87.62,302.1,10.067274,"1","wilt","Mean_R",0.5
106.34375,231.8,121.79,726.4,28.667229,"1","wilt","Mean_R",0.5
141.350694,224.444444,84.98,668.666667,30.063924,"1","wilt","Mean_R",0.5
128.177165,206.5,148.72,456.875,23.224427,"1","wilt","Mean_R",0.5
127.479315,206.818182,164.98,525.431818,18.794822,"1","wilt","Mean_R",0.5
130.766562,217,102.17,648.4,24.676862,"1","wilt","Mean_R",0.5
123.854494,213.272727,56.76,645.272727,34.318355,"1","wilt","Mean_R",0.5
122.673611,183.333333,113.95,390.777778,20.083775,"1","wilt","Mean_R",0.5
119.14881,200,95.31,488.619048,29.794534,"1","wilt","Mean_R",0.5
111.150735,193.058824,76.22,493.823529,33.466194,"1","wilt","Mean_R",0.5
109.638889,206.555556,155.03,463.555556,20.259429,"1","wilt","Mean_R",0.5
127.918558,218.87234,146,679.574468,19.805391,"1","wilt","Mean_R",0.5
135.184015,177,108.08,406.441177,16.311867,"1","wilt","Mean_R",0.5
138.233824,214.418605,55.78,730.813954,26.142742,"1","wilt","Mean_R",0.5
136.759563,195.695652,95.36,511.26087,15.833252,"1","wilt","Mean_R",0.5
93.6875,220.857143,91.18,677,8.729495,"1","wilt","Mean_R",0.5
106.355814,218.62963,78.88,719.592593,19.924205,"1","wilt","Mean_R",0.5
139.234043,211,139.03,588.666667,18.667328,"1","wilt","Mean_R",0.5
183.28125,204,102.66,475.5,1,"1","wilt","Mean_R",0.5
113.980836,188.722222,65.37,456,16.625783,"1","wilt","Mean_R",0.5
98.419643,210.285714,108.42,628,17.779833,"1","wilt","Mean_R",0.5
149.3125,206.666667,102.67,607.666667,27.373446,"1","wilt","Mean_R",0.5
125.569124,222.707317,96.06,775.134146,21.64281,"1","wilt","Mean_R",0.5
111.444686,206.586207,120.82,631.793103,25.200881,"1","wilt","Mean_R",0.5
109.208333,220,183.39,757.416667,19.728716,"1","wilt","Mean_R",0.5
139.497748,201.214286,81.98,568.214286,22.322857,"1","wilt","Mean_R",0.5
130.857939,201.777778,125.21,471.844444,16.218508,"1","wilt","Mean_R",0.5
141.576389,213,95.47,721.777778,40.472213,"1","wilt","Mean_R",0.5
106.289474,197.5,129.94,541.5,27.578549,"1","wilt","Mean_R",0.5
133.612211,178.5,102.51,347.289474,18.836536,"1","wilt","Mean_R",0.5
140.392046,204,73.34,583,21.859431,"1","wilt","Mean_R",0.5
134.625,216.928571,109.98,714.714286,12.613566,"1","wilt","Mean_R",0.5
142.681818,210.277778,90.74,628.333333,25.658488,"1","wilt","Mean_R",0.5
139.659091,211.545455,64.68,679.818182,13.614528,"1","wilt","Mean_R",0.5
140.75,213.684211,93.01,756.368421,10.72755,"1","wilt","Mean_R",0.5
138.65,203.2,71.93,641.2,39.852729,"1","wilt","Mean_R",0.5
143.241071,186.714286,48.16,467.571429,27.102225,"1","wilt","Mean_R",0.5
130.591709,192.78,89.8,540.5,24.079444,"1","wilt","Mean_R",0.5
117.601744,220.954546,114.36,673.181818,10.249773,"1","wilt","Mean_R",0.5
112.661088,212.4,64.98,773.6,24.338903,"1","wilt","Mean_R",0.5
122.062687,213.285714,140.1,557,22.679068,"1","wilt","Mean_R",0.5
124.751852,229.647059,117.25,806.176471,6.494608,"1","wilt","Mean_R",0.5
122.188153,200.333333,126.7,631,22.214999,"1","wilt","Mean_R",0.5
136.543046,200.578947,64.72,450.736842,16.121423,"1","wilt","Mean_R",0.5
123.29235,205.695652,62.89,481.086957,17.804016,"1","wilt","Mean_R",0.5
100.36076,230.2,52.51,821.6,17.059015,"1","wilt","Mean_R",0.5
113.276316,195,127.04,467.416667,27.275854,"1","wilt","Mean_R",0.5
127.676136,221.454546,80.09,768.454546,28.989881,"1","wilt","Mean_R",0.5
92.7625,206.4,75.89,717.2,26.229754,"1","wilt","Mean_R",0.5
119.058511,227.728814,54.33,744.372881,19.159831,"1","wilt","Mean_R",0.5
94.875,223.25,114.25,753.5,13.160072,"1","wilt","Mean_R",0.5
111.3,199.7,78.8,612.6,23.336881,"1","wilt","Mean_R",0.5
159.867188,196.375,67.71,469,17.333133,"1","wilt","Mean_R",0.5
162.1,221,105.08,612,11.757551,"1","wilt","Mean_R",0.5
143,210.842105,82.63,717.894737,37.098805,"1","wilt","Mean_R",0.5
132.873786,198.923077,125.9,549.538462,26.323882,"1","wilt","Mean_R",0.5
148.653153,192.928571,99.91,528.857143,17.552981,"1","wilt","Mean_R",0.5
