"dataset_name","technique","noise_level","threshold","critical_percentage","kappa_at_critical"
"mfeat-pixel","C5.0",10,0.05,0,0
"monks-problems-2","C5.0",10,0.05,0,0
"steel-plates-fault","C5.0",10,0.05,0,0
"vehicle","C5.0",10,0.05,0,0
"wall-robot-navigation","C5.0",10,0.05,0,0
"mfeat-pixel","ctree",10,0.05,0,0
"monks-problems-2","ctree",10,0.05,0,0
"steel-plates-fault","ctree",10,0.05,0,0
"vehicle","ctree",10,0.05,0,0
"wall-robot-navigation","ctree",10,0.05,0,0
"mfeat-pixel","fda",10,0.05,0,0
"monks-problems-2","fda",10,0.05,0,0
"steel-plates-fault","fda",10,0.05,0,0
"vehicle","fda",10,0.05,0,0
"wall-robot-navigation","fda",10,0.05,0,0
"mfeat-pixel","gbm",10,0.05,0,0
"monks-problems-2","gbm",10,0.05,0,0
"steel-plates-fault","gbm",10,0.05,0,0
"vehicle","gbm",10,0.05,0,0
"wall-robot-navigation","gbm",10,0.05,0,0
"mfeat-pixel","gcvEarth",10,0.05,0,0
"monks-problems-2","gcvEarth",10,0.05,0,0
"steel-plates-fault","gcvEarth",10,0.05,0,0
"vehicle","gcvEarth",10,0.05,0,0
"wall-robot-navigation","gcvEarth",10,0.05,0,0
"mfeat-pixel","JRip",10,0.05,0,0
"monks-problems-2","JRip",10,0.05,0,0
"steel-plates-fault","JRip",10,0.05,0,0
"vehicle","JRip",10,0.05,0,0
"wall-robot-navigation","JRip",10,0.05,0,0
"mfeat-pixel","lvq",10,0.05,0,0
"monks-problems-2","lvq",10,0.05,0,0
"steel-plates-fault","lvq",10,0.05,0,0
"vehicle","lvq",10,0.05,0,0
"wall-robot-navigation","lvq",10,0.05,0,0
"mfeat-pixel","mlpML",10,0.05,0,0
"monks-problems-2","mlpML",10,0.05,0,0
"steel-plates-fault","mlpML",10,0.05,0,0
"vehicle","mlpML",10,0.05,0,0
"wall-robot-navigation","mlpML",10,0.05,0,0
"mfeat-pixel","multinom",10,0.05,0,0
"monks-problems-2","multinom",10,0.05,0,0
"steel-plates-fault","multinom",10,0.05,0,0
"vehicle","multinom",10,0.05,0,0
"wall-robot-navigation","multinom",10,0.05,0,0
"mfeat-pixel","naive_bayes",10,0.05,0,0
"monks-problems-2","naive_bayes",10,0.05,0,0
"steel-plates-fault","naive_bayes",10,0.05,0,0
"vehicle","naive_bayes",10,0.05,0,0
"wall-robot-navigation","naive_bayes",10,0.05,0,0
"mfeat-pixel","PART",10,0.05,0,0
"monks-problems-2","PART",10,0.05,0,0
"steel-plates-fault","PART",10,0.05,0,0
"vehicle","PART",10,0.05,0,0
"wall-robot-navigation","PART",10,0.05,0,0
"mfeat-pixel","rbfDDA",10,0.05,0,0
"monks-problems-2","rbfDDA",10,0.05,0,0
"steel-plates-fault","rbfDDA",10,0.05,0,0
"vehicle","rbfDDA",10,0.05,0,0
"wall-robot-navigation","rbfDDA",10,0.05,0,0
"mfeat-pixel","rda",10,0.05,0,0
"monks-problems-2","rda",10,0.05,0,0
"steel-plates-fault","rda",10,0.05,0,0
"vehicle","rda",10,0.05,0,0
"wall-robot-navigation","rda",10,0.05,0,0
"mfeat-pixel","rf",10,0.05,0,0
"monks-problems-2","rf",10,0.05,0,0
"steel-plates-fault","rf",10,0.05,0,0
"vehicle","rf",10,0.05,0,0
"wall-robot-navigation","rf",10,0.05,0,0
"mfeat-pixel","rpart",10,0.05,0,0
"monks-problems-2","rpart",10,0.05,0,0
"steel-plates-fault","rpart",10,0.05,0,0
"vehicle","rpart",10,0.05,0,0
"wall-robot-navigation","rpart",10,0.05,0,0
"mfeat-pixel","simpls",10,0.05,0,0
"monks-problems-2","simpls",10,0.05,0,0
"steel-plates-fault","simpls",10,0.05,0,0
"vehicle","simpls",10,0.05,0,0
"wall-robot-navigation","simpls",10,0.05,0,0
"mfeat-pixel","svmLinear",10,0.05,0,0
"monks-problems-2","svmLinear",10,0.05,0,0
"steel-plates-fault","svmLinear",10,0.05,0,0
"vehicle","svmLinear",10,0.05,0,0
"wall-robot-navigation","svmLinear",10,0.05,0,0
"mfeat-pixel","svmRadial",10,0.05,0,0
"monks-problems-2","svmRadial",10,0.05,0,0
"steel-plates-fault","svmRadial",10,0.05,0,0
"vehicle","svmRadial",10,0.05,0,0
"wall-robot-navigation","svmRadial",10,0.05,0,0
"mfeat-pixel","rfRules",10,0.05,0,0
"monks-problems-2","rfRules",10,0.05,0,0
"steel-plates-fault","rfRules",10,0.05,0,0
"vehicle","rfRules",10,0.05,0,0
"wall-robot-navigation","rfRules",10,0.05,0,0
"mfeat-pixel","knn",10,0.05,0,0
"monks-problems-2","knn",10,0.05,0,0
"steel-plates-fault","knn",10,0.05,0,0
"vehicle","knn",10,0.05,0,0
"wall-robot-navigation","knn",10,0.05,0,0
"mfeat-pixel","bayesglm",10,0.05,0,0
"monks-problems-2","bayesglm",10,0.05,0,0
"steel-plates-fault","bayesglm",10,0.05,0,0
"vehicle","bayesglm",10,0.05,0,0
"wall-robot-navigation","bayesglm",10,0.05,0,0
"mfeat-pixel","C5.0",20,0.05,0,0
"monks-problems-2","C5.0",20,0.05,0,0
"steel-plates-fault","C5.0",20,0.05,0,0
"vehicle","C5.0",20,0.05,0,0
"wall-robot-navigation","C5.0",20,0.05,0,0
"mfeat-pixel","ctree",20,0.05,0,0
"monks-problems-2","ctree",20,0.05,0,0
"steel-plates-fault","ctree",20,0.05,0,0
"vehicle","ctree",20,0.05,0,0
"wall-robot-navigation","ctree",20,0.05,0,0
"mfeat-pixel","fda",20,0.05,0,0
"monks-problems-2","fda",20,0.05,0,0
"steel-plates-fault","fda",20,0.05,0,0
"vehicle","fda",20,0.05,0,0
"wall-robot-navigation","fda",20,0.05,0,0
"mfeat-pixel","gbm",20,0.05,0,0
"monks-problems-2","gbm",20,0.05,0,0
"steel-plates-fault","gbm",20,0.05,0,0
"vehicle","gbm",20,0.05,0,0
"wall-robot-navigation","gbm",20,0.05,0,0
"mfeat-pixel","gcvEarth",20,0.05,0,0
"monks-problems-2","gcvEarth",20,0.05,0,0
"steel-plates-fault","gcvEarth",20,0.05,0,0
"vehicle","gcvEarth",20,0.05,0,0
"wall-robot-navigation","gcvEarth",20,0.05,0,0
"mfeat-pixel","JRip",20,0.05,0,0
