Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Training model on clean data
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.1636            -nan     0.1000    0.0404
     2        0.1325            -nan     0.1000    0.0281
     3        0.1073            -nan     0.1000    0.0270
     4        0.0869            -nan     0.1000    0.0207
     5        0.0704            -nan     0.1000    0.0183
     6        0.0570            -nan     0.1000    0.0129
     7        0.0462            -nan     0.1000    0.0104
     8        0.0374            -nan     0.1000    0.0088
     9        0.0303            -nan     0.1000    0.0071
    10        0.0246            -nan     0.1000    0.0051
    20        0.0030            -nan     0.1000    0.0007
    40        0.0000            -nan     0.1000    0.0000
    60        0.0000            -nan     0.1000    0.0000
    80        0.0000            -nan     0.1000    0.0000
   100        0.0000            -nan     0.1000    0.0000
   120        0.0000            -nan     0.1000    0.0000
   140        0.0000            -nan     0.1000    0.0000
   150        0.0000            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.1636            -nan     0.1000    0.0347
     2        0.1325            -nan     0.1000    0.0310
     3        0.1073            -nan     0.1000    0.0233
     4        0.0869            -nan     0.1000    0.0200
     5        0.0704            -nan     0.1000    0.0174
     6        0.0570            -nan     0.1000    0.0126
     7        0.0462            -nan     0.1000    0.0102
     8        0.0374            -nan     0.1000    0.0084
     9        0.0303            -nan     0.1000    0.0074
    10        0.0246            -nan     0.1000    0.0061
    20        0.0030            -nan     0.1000    0.0007
    40        0.0000            -nan     0.1000    0.0000
    60        0.0000            -nan     0.1000    0.0000
    80        0.0000            -nan     0.1000    0.0000
   100        0.0000            -nan     0.1000    0.0000
   120        0.0000            -nan     0.1000    0.0000
   140        0.0000            -nan     0.1000    0.0000
   150        0.0000            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.1636            -nan     0.1000    0.0446
     2        0.1325            -nan     0.1000    0.0316
     3        0.1073            -nan     0.1000    0.0256
     4        0.0869            -nan     0.1000    0.0222
     5        0.0704            -nan     0.1000    0.0159
     6        0.0570            -nan     0.1000    0.0136
     7        0.0462            -nan     0.1000    0.0104
     8        0.0374            -nan     0.1000    0.0091
