Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: climate-model-simulation-crashes 
Training model on clean data
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4725            -nan     0.1000    0.0051
     2        0.4543            -nan     0.1000    0.0052
     3        0.4372            -nan     0.1000    0.0031
     4        0.4321            -nan     0.1000   -0.0006
     5        0.4188            -nan     0.1000    0.0037
     6        0.4088            -nan     0.1000    0.0008
     7        0.3946            -nan     0.1000    0.0062
     8        0.3828            -nan     0.1000    0.0061
     9        0.3772            -nan     0.1000    0.0009
    10        0.3666            -nan     0.1000    0.0015
    20        0.3052            -nan     0.1000   -0.0002
    40        0.2359            -nan     0.1000   -0.0006
    60        0.1775            -nan     0.1000   -0.0005
    80        0.1420            -nan     0.1000   -0.0010
   100        0.1175            -nan     0.1000   -0.0002
   120        0.0989            -nan     0.1000   -0.0004
   140        0.0806            -nan     0.1000   -0.0003
   150        0.0746            -nan     0.1000   -0.0002

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4401            -nan     0.1000    0.0228
     2        0.4223            -nan     0.1000    0.0031
     3        0.3905            -nan     0.1000    0.0140
     4        0.3678            -nan     0.1000    0.0065
     5        0.3501            -nan     0.1000    0.0019
     6        0.3394            -nan     0.1000   -0.0010
     7        0.3287            -nan     0.1000    0.0007
     8        0.3114            -nan     0.1000    0.0054
     9        0.2963            -nan     0.1000    0.0055
    10        0.2795            -nan     0.1000    0.0057
    20        0.2050            -nan     0.1000   -0.0006
    40        0.1258            -nan     0.1000   -0.0011
    60        0.0804            -nan     0.1000   -0.0003
    80        0.0540            -nan     0.1000    0.0002
   100        0.0378            -nan     0.1000   -0.0003
   120        0.0282            -nan     0.1000   -0.0003
   140        0.0212            -nan     0.1000   -0.0001
   150        0.0173            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4219            -nan     0.1000    0.0246
     2        0.3569            -nan     0.1000    0.0293
     3        0.3360            -nan     0.1000    0.0050
     4        0.3174            -nan     0.1000    0.0063
     5        0.3006            -nan     0.1000    0.0062
     6        0.2848            -nan     0.1000    0.0011
     7        0.2668            -nan     0.1000    0.0050
     8        0.2496            -nan     0.1000    0.0056
     9        0.2444            -nan     0.1000   -0.0002
    10        0.2355            -nan     0.1000   -0.0015
    20        0.1595            -nan     0.1000    0.0006
    40        0.0789            -nan     0.1000   -0.0006
    60        0.0459            -nan     0.1000    0.0000
    80        0.0306            -nan     0.1000    0.0001
   100        0.0193            -nan     0.1000    0.0001
   120        0.0119            -nan     0.1000   -0.0000
   140        0.0080            -nan     0.1000    0.0000
   150        0.0063            -nan     0.1000   -0.0000

