Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: cmc 
Training model on clean data
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3511            -nan     0.1000    0.0084
     2        1.3379            -nan     0.1000    0.0066
     3        1.3258            -nan     0.1000    0.0045
     4        1.3169            -nan     0.1000    0.0037
     5        1.3074            -nan     0.1000    0.0040
     6        1.2985            -nan     0.1000    0.0039
     7        1.2905            -nan     0.1000    0.0030
     8        1.2829            -nan     0.1000    0.0032
     9        1.2761            -nan     0.1000    0.0027
    10        1.2697            -nan     0.1000    0.0026
    20        1.2262            -nan     0.1000    0.0017
    40        1.1753            -nan     0.1000    0.0003
    60        1.1446            -nan     0.1000    0.0000
    80        1.1249            -nan     0.1000   -0.0003
   100        1.1130            -nan     0.1000   -0.0002
   120        1.1034            -nan     0.1000   -0.0005
   140        1.0955            -nan     0.1000   -0.0012
   150        1.0910            -nan     0.1000   -0.0002

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3412            -nan     0.1000    0.0129
     2        1.3226            -nan     0.1000    0.0083
     3        1.3054            -nan     0.1000    0.0070
     4        1.2889            -nan     0.1000    0.0084
     5        1.2747            -nan     0.1000    0.0067
     6        1.2633            -nan     0.1000    0.0056
     7        1.2542            -nan     0.1000    0.0036
     8        1.2460            -nan     0.1000    0.0032
     9        1.2359            -nan     0.1000    0.0038
    10        1.2246            -nan     0.1000    0.0050
    20        1.1589            -nan     0.1000    0.0028
    40        1.0939            -nan     0.1000    0.0009
    60        1.0615            -nan     0.1000   -0.0007
    80        1.0336            -nan     0.1000   -0.0008
   100        1.0135            -nan     0.1000   -0.0006
   120        0.9953            -nan     0.1000   -0.0008
   140        0.9813            -nan     0.1000   -0.0006
   150        0.9756            -nan     0.1000   -0.0008

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3365            -nan     0.1000    0.0132
     2        1.3112            -nan     0.1000    0.0128
     3        1.2906            -nan     0.1000    0.0093
     4        1.2712            -nan     0.1000    0.0067
     5        1.2547            -nan     0.1000    0.0065
     6        1.2402            -nan     0.1000    0.0053
     7        1.2243            -nan     0.1000    0.0069
     8        1.2096            -nan     0.1000    0.0064
     9        1.1993            -nan     0.1000    0.0042
    10        1.1884            -nan     0.1000    0.0029
