Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: kc1 
Training model on clean data
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.8251            -nan     0.1000    0.0133
     2        0.8023            -nan     0.1000    0.0108
     3        0.7862            -nan     0.1000    0.0078
     4        0.7717            -nan     0.1000    0.0069
     5        0.7566            -nan     0.1000    0.0071
     6        0.7447            -nan     0.1000    0.0052
     7        0.7395            -nan     0.1000    0.0019
     8        0.7330            -nan     0.1000    0.0021
     9        0.7283            -nan     0.1000    0.0014
    10        0.7189            -nan     0.1000    0.0043
    20        0.6858            -nan     0.1000    0.0002
    40        0.6598            -nan     0.1000   -0.0000
    60        0.6468            -nan     0.1000   -0.0001
    80        0.6393            -nan     0.1000    0.0001
   100        0.6312            -nan     0.1000   -0.0003
   120        0.6238            -nan     0.1000   -0.0001
   140        0.6159            -nan     0.1000   -0.0001
   150        0.6121            -nan     0.1000   -0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.8156            -nan     0.1000    0.0174
     2        0.7897            -nan     0.1000    0.0125
     3        0.7689            -nan     0.1000    0.0100
     4        0.7518            -nan     0.1000    0.0085
     5        0.7380            -nan     0.1000    0.0054
     6        0.7270            -nan     0.1000    0.0031
     7        0.7190            -nan     0.1000    0.0025
     8        0.7104            -nan     0.1000    0.0025
     9        0.7021            -nan     0.1000    0.0038
    10        0.6969            -nan     0.1000    0.0015
    20        0.6562            -nan     0.1000   -0.0002
    40        0.6136            -nan     0.1000   -0.0002
    60        0.5919            -nan     0.1000   -0.0000
    80        0.5666            -nan     0.1000   -0.0002
   100        0.5408            -nan     0.1000   -0.0003
   120        0.5238            -nan     0.1000   -0.0002
   140        0.5125            -nan     0.1000   -0.0001
   150        0.5073            -nan     0.1000   -0.0002

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.8113            -nan     0.1000    0.0189
     2        0.7897            -nan     0.1000    0.0094
     3        0.7688            -nan     0.1000    0.0077
     4        0.7490            -nan     0.1000    0.0075
     5        0.7351            -nan     0.1000    0.0044
     6        0.7206            -nan     0.1000    0.0044
     7        0.7054            -nan     0.1000    0.0063
     8        0.6920            -nan     0.1000    0.0045
     9        0.6818            -nan     0.1000    0.0029
    10        0.6737            -nan     0.1000    0.0026
    20        0.6259            -nan     0.1000    0.0008
    40        0.5767            -nan     0.1000   -0.0002
    60        0.5412            -nan     0.1000   -0.0003
    80        0.5063            -nan     0.1000   -0.0002
   100        0.4834            -nan     0.1000   -0.0004
   120        0.4609            -nan     0.1000    0.0003
   140        0.4391            -nan     0.1000    0.0000
   150        0.4300            -nan     0.1000   -0.0001

