Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: mfeat-zernike 
Training model on clean data
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4905            -nan     0.1000    0.0781
     2        0.4224            -nan     0.1000    0.0389
     3        0.3734            -nan     0.1000    0.0257
     4        0.3389            -nan     0.1000    0.0171
     5        0.3099            -nan     0.1000    0.0132
     6        0.2855            -nan     0.1000    0.0125
     7        0.2650            -nan     0.1000    0.0091
     8        0.2488            -nan     0.1000    0.0079
     9        0.2337            -nan     0.1000    0.0066
    10        0.2211            -nan     0.1000    0.0062
    20        0.1521            -nan     0.1000    0.0016
    40        0.0896            -nan     0.1000    0.0003
    60        0.0606            -nan     0.1000   -0.0000
    80        0.0482            -nan     0.1000    0.0000
   100        0.0411            -nan     0.1000    0.0001
   120        0.0350            -nan     0.1000   -0.0001
   140        0.0308            -nan     0.1000   -0.0000
   150        0.0293            -nan     0.1000   -0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4891            -nan     0.1000    0.0817
     2        0.4184            -nan     0.1000    0.0371
     3        0.3661            -nan     0.1000    0.0267
     4        0.3290            -nan     0.1000    0.0199
     5        0.2953            -nan     0.1000    0.0157
     6        0.2671            -nan     0.1000    0.0143
     7        0.2448            -nan     0.1000    0.0105
     8        0.2267            -nan     0.1000    0.0086
     9        0.2086            -nan     0.1000    0.0085
    10        0.1948            -nan     0.1000    0.0070
    20        0.1093            -nan     0.1000    0.0020
    40        0.0557            -nan     0.1000    0.0005
    60        0.0331            -nan     0.1000   -0.0000
    80        0.0218            -nan     0.1000    0.0001
   100        0.0142            -nan     0.1000   -0.0001
   120        0.0102            -nan     0.1000    0.0000
   140        0.0076            -nan     0.1000    0.0000
   150        0.0067            -nan     0.1000   -0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4801            -nan     0.1000    0.0764
     2        0.4075            -nan     0.1000    0.0366
     3        0.3579            -nan     0.1000    0.0230
     4        0.3186            -nan     0.1000    0.0202
     5        0.2855            -nan     0.1000    0.0157
     6        0.2585            -nan     0.1000    0.0118
     7        0.2351            -nan     0.1000    0.0110
     8        0.2148            -nan     0.1000    0.0081
     9        0.1974            -nan     0.1000    0.0077
    10        0.1826            -nan     0.1000    0.0071
    20        0.0977            -nan     0.1000    0.0026
    40        0.0417            -nan     0.1000    0.0006
    60        0.0239            -nan     0.1000   -0.0001
    80        0.0132            -nan     0.1000   -0.0001
   100        0.0075            -nan     0.1000    0.0000
   120        0.0049            -nan     0.1000    0.0000
   140        0.0031            -nan     0.1000    0.0000
   150        0.0025            -nan     0.1000   -0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4935            -nan     0.1000    0.0669
     2        0.4290            -nan     0.1000    0.0317
     3        0.3787            -nan     0.1000    0.0253
     4        0.3442            -nan     0.1000    0.0167
     5        0.3146            -nan     0.1000    0.0127
     6        0.2884            -nan     0.1000    0.0122
     7        0.2695            -nan     0.1000    0.0095
     8        0.2522            -nan     0.1000    0.0088
     9        0.2378            -nan     0.1000    0.0066
    10        0.2272            -nan     0.1000    0.0055
    20        0.1405            -nan     0.1000    0.0023
    40        0.0823            -nan     0.1000    0.0009
    60        0.0536            -nan     0.1000   -0.0000
    80        0.0418            -nan     0.1000    0.0002
   100        0.0357            -nan     0.1000   -0.0000
   120        0.0287            -nan     0.1000    0.0001
   140        0.0243            -nan     0.1000   -0.0001
   150        0.0220            -nan     0.1000   -0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4913            -nan     0.1000    0.0796
     2        0.4212            -nan     0.1000    0.0323
     3        0.3710            -nan     0.1000    0.0223
     4        0.3310            -nan     0.1000    0.0186
     5        0.2997            -nan     0.1000    0.0154
     6        0.2721            -nan     0.1000    0.0133
     7        0.2489            -nan     0.1000    0.0100
     8        0.2336            -nan     0.1000    0.0067
     9        0.2160            -nan     0.1000    0.0083
    10        0.1994            -nan     0.1000    0.0084
    20        0.1078            -nan     0.1000    0.0020
    40        0.0445            -nan     0.1000    0.0005
    60        0.0248            -nan     0.1000    0.0001
    80        0.0151            -nan     0.1000    0.0000
   100        0.0102            -nan     0.1000   -0.0000
   120        0.0079            -nan     0.1000    0.0000
   140        0.0058            -nan     0.1000   -0.0000
   150        0.0050            -nan     0.1000   -0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        0.4888            -nan     0.1000    0.0747
     2        0.4120            -nan     0.1000    0.0357
     3        0.3600            -nan     0.1000    0.0258
     4        0.3182            -nan     0.1000    0.0191
     5        0.2862            -nan     0.1000    0.0156
     6        0.2602            -nan     0.1000    0.0122
     7        0.2370            -nan     0.1000    0.0097
     8        0.2173            -nan     0.1000    0.0095
     9        0.1990            -nan     0.1000    0.0085
    10        0.1841            -nan     0.1000    0.0071
    20        0.0920            -nan     0.1000    0.0022
    40        0.0273            -nan     0.1000    0.0007
    60        0.0128            -nan     0.1000    0.0000
    80        0.0073            -nan     0.1000    0.0000
   100        0.0044            -nan     0.1000   -0.0000
