Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: phoneme 
Training model on clean data
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3411            -nan     0.1000    0.0217
     2        1.3037            -nan     0.1000    0.0174
     3        1.2707            -nan     0.1000    0.0166
     4        1.2422            -nan     0.1000    0.0138
     5        1.2188            -nan     0.1000    0.0112
     6        1.1961            -nan     0.1000    0.0110
     7        1.1753            -nan     0.1000    0.0090
     8        1.1588            -nan     0.1000    0.0081
     9        1.1447            -nan     0.1000    0.0065
    10        1.1310            -nan     0.1000    0.0067
    20        1.0349            -nan     0.1000    0.0038
    40        0.9479            -nan     0.1000    0.0009
    60        0.9030            -nan     0.1000    0.0003
    80        0.8731            -nan     0.1000    0.0004
   100        0.8481            -nan     0.1000    0.0008
   120        0.8323            -nan     0.1000    0.0001
   140        0.8160            -nan     0.1000   -0.0001
   150        0.8095            -nan     0.1000    0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3350            -nan     0.1000    0.0259
     2        1.2768            -nan     0.1000    0.0284
     3        1.2278            -nan     0.1000    0.0241
     4        1.1899            -nan     0.1000    0.0195
     5        1.1554            -nan     0.1000    0.0166
     6        1.1262            -nan     0.1000    0.0123
     7        1.1042            -nan     0.1000    0.0110
     8        1.0794            -nan     0.1000    0.0110
     9        1.0606            -nan     0.1000    0.0077
    10        1.0419            -nan     0.1000    0.0080
    20        0.9243            -nan     0.1000    0.0038
    40        0.8247            -nan     0.1000    0.0008
    60        0.7665            -nan     0.1000    0.0004
    80        0.7284            -nan     0.1000   -0.0001
   100        0.6970            -nan     0.1000   -0.0001
   120        0.6661            -nan     0.1000    0.0001
   140        0.6413            -nan     0.1000    0.0003
   150        0.6307            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3238            -nan     0.1000    0.0298
     2        1.2723            -nan     0.1000    0.0246
     3        1.2178            -nan     0.1000    0.0270
     4        1.1743            -nan     0.1000    0.0220
     5        1.1331            -nan     0.1000    0.0188
     6        1.1021            -nan     0.1000    0.0143
     7        1.0707            -nan     0.1000    0.0147
     8        1.0479            -nan     0.1000    0.0104
     9        1.0238            -nan     0.1000    0.0114
    10        1.0059            -nan     0.1000    0.0079
    20        0.8723            -nan     0.1000    0.0050
    40        0.7524            -nan     0.1000    0.0018
    60        0.6892            -nan     0.1000    0.0009
    80        0.6393            -nan     0.1000    0.0007
   100        0.6032            -nan     0.1000   -0.0001
   120        0.5713            -nan     0.1000    0.0003
   140        0.5460            -nan     0.1000    0.0003
   150        0.5349            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3381            -nan     0.1000    0.0225
     2        1.2983            -nan     0.1000    0.0188
     3        1.2671            -nan     0.1000    0.0153
     4        1.2371            -nan     0.1000    0.0135
     5        1.2150            -nan     0.1000    0.0109
     6        1.1939            -nan     0.1000    0.0109
     7        1.1762            -nan     0.1000    0.0085
     8        1.1604            -nan     0.1000    0.0078
     9        1.1462            -nan     0.1000    0.0069
    10        1.1323            -nan     0.1000    0.0066
    20        1.0397            -nan     0.1000    0.0019
    40        0.9570            -nan     0.1000    0.0007
    60        0.9163            -nan     0.1000    0.0009
    80        0.8892            -nan     0.1000    0.0004
   100        0.8660            -nan     0.1000    0.0000
   120        0.8491            -nan     0.1000    0.0007
   140        0.8353            -nan     0.1000   -0.0001
   150        0.8284            -nan     0.1000   -0.0002

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3230            -nan     0.1000    0.0299
     2        1.2755            -nan     0.1000    0.0241
     3        1.2316            -nan     0.1000    0.0204
     4        1.1973            -nan     0.1000    0.0166
     5        1.1676            -nan     0.1000    0.0136
     6        1.1420            -nan     0.1000    0.0128
     7        1.1190            -nan     0.1000    0.0102
     8        1.0996            -nan     0.1000    0.0084
     9        1.0816            -nan     0.1000    0.0081
    10        1.0653            -nan     0.1000    0.0078
    20        0.9480            -nan     0.1000    0.0047
    40        0.8479            -nan     0.1000    0.0011
    60        0.7915            -nan     0.1000    0.0009
    80        0.7524            -nan     0.1000   -0.0001
   100        0.7188            -nan     0.1000    0.0006
   120        0.6940            -nan     0.1000    0.0000
   140        0.6702            -nan     0.1000    0.0005
   150        0.6590            -nan     0.1000    0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3175            -nan     0.1000    0.0324
     2        1.2641            -nan     0.1000    0.0265
     3        1.2173            -nan     0.1000    0.0231
     4        1.1727            -nan     0.1000    0.0204
     5        1.1381            -nan     0.1000    0.0161
     6        1.1073            -nan     0.1000    0.0144
     7        1.0805            -nan     0.1000    0.0123
     8        1.0564            -nan     0.1000    0.0115
     9        1.0348            -nan     0.1000    0.0103
    10        1.0180            -nan     0.1000    0.0075
    20        0.8828            -nan     0.1000    0.0030
    40        0.7705            -nan     0.1000    0.0015
    60        0.7124            -nan     0.1000    0.0004
    80        0.6673            -nan     0.1000   -0.0002
   100        0.6336            -nan     0.1000   -0.0006
   120        0.6040            -nan     0.1000    0.0005
   140        0.5787            -nan     0.1000   -0.0002
   150        0.5682            -nan     0.1000   -0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3413            -nan     0.1000    0.0208
     2        1.3084            -nan     0.1000    0.0171
     3        1.2789            -nan     0.1000    0.0139
     4        1.2514            -nan     0.1000    0.0125
     5        1.2292            -nan     0.1000    0.0103
     6        1.2087            -nan     0.1000    0.0094
     7        1.1894            -nan     0.1000    0.0081
     8        1.1740            -nan     0.1000    0.0072
     9        1.1594            -nan     0.1000    0.0066
    10        1.1450            -nan     0.1000    0.0054
    20        1.0494            -nan     0.1000    0.0024
    40        0.9631            -nan     0.1000    0.0011
    60        0.9222            -nan     0.1000    0.0010
    80        0.8869            -nan     0.1000    0.0003
   100        0.8643            -nan     0.1000    0.0001
   120        0.8431            -nan     0.1000   -0.0000
   140        0.8267            -nan     0.1000   -0.0000
   150        0.8197            -nan     0.1000    0.0008

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3252            -nan     0.1000    0.0295
     2        1.2730            -nan     0.1000    0.0250
     3        1.2287            -nan     0.1000    0.0201
     4        1.1989            -nan     0.1000    0.0139
     5        1.1674            -nan     0.1000    0.0166
     6        1.1402            -nan     0.1000    0.0131
     7        1.1202            -nan     0.1000    0.0100
     8        1.0994            -nan     0.1000    0.0095
     9        1.0771            -nan     0.1000    0.0104
    10        1.0618            -nan     0.1000    0.0074
    20        0.9456            -nan     0.1000    0.0036
    40        0.8400            -nan     0.1000    0.0007
    60        0.7896            -nan     0.1000   -0.0000
    80        0.7534            -nan     0.1000    0.0001
   100        0.7202            -nan     0.1000   -0.0003
   120        0.6928            -nan     0.1000    0.0002
   140        0.6677            -nan     0.1000   -0.0004
   150        0.6574            -nan     0.1000   -0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3204            -nan     0.1000    0.0315
     2        1.2645            -nan     0.1000    0.0269
     3        1.2219            -nan     0.1000    0.0211
     4        1.1782            -nan     0.1000    0.0204
     5        1.1427            -nan     0.1000    0.0180
     6        1.1115            -nan     0.1000    0.0142
     7        1.0828            -nan     0.1000    0.0134
     8        1.0543            -nan     0.1000    0.0140
