Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: qsar-biodeg 
Training model on clean data
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.2301            -nan     0.1000    0.0237
     2        1.1926            -nan     0.1000    0.0155
     3        1.1546            -nan     0.1000    0.0169
     4        1.1278            -nan     0.1000    0.0127
     5        1.1030            -nan     0.1000    0.0103
     6        1.0864            -nan     0.1000    0.0068
     7        1.0633            -nan     0.1000    0.0104
     8        1.0436            -nan     0.1000    0.0085
     9        1.0253            -nan     0.1000    0.0069
    10        1.0083            -nan     0.1000    0.0075
    20        0.8903            -nan     0.1000    0.0025
    40        0.7503            -nan     0.1000    0.0013
    60        0.6555            -nan     0.1000    0.0008
    80        0.6021            -nan     0.1000   -0.0007
   100        0.5544            -nan     0.1000    0.0004
   120        0.5168            -nan     0.1000   -0.0004
   140        0.4911            -nan     0.1000   -0.0001
   150        0.4790            -nan     0.1000    0.0008

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.2169            -nan     0.1000    0.0304
     2        1.1551            -nan     0.1000    0.0262
     3        1.1149            -nan     0.1000    0.0189
     4        1.0729            -nan     0.1000    0.0193
     5        1.0403            -nan     0.1000    0.0130
     6        1.0102            -nan     0.1000    0.0148
     7        0.9855            -nan     0.1000    0.0090
     8        0.9575            -nan     0.1000    0.0128
     9        0.9368            -nan     0.1000    0.0101
    10        0.9157            -nan     0.1000    0.0089
    20        0.7403            -nan     0.1000    0.0058
    40        0.5702            -nan     0.1000    0.0021
    60        0.4942            -nan     0.1000   -0.0001
    80        0.4349            -nan     0.1000    0.0004
   100        0.3891            -nan     0.1000    0.0003
   120        0.3497            -nan     0.1000    0.0002
   140        0.3208            -nan     0.1000   -0.0004
   150        0.3033            -nan     0.1000   -0.0002

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.2100            -nan     0.1000    0.0318
     2        1.1539            -nan     0.1000    0.0206
     3        1.0946            -nan     0.1000    0.0277
     4        1.0460            -nan     0.1000    0.0228
     5        1.0015            -nan     0.1000    0.0203
     6        0.9582            -nan     0.1000    0.0189
     7        0.9244            -nan     0.1000    0.0145
     8        0.8936            -nan     0.1000    0.0115
     9        0.8618            -nan     0.1000    0.0131
    10        0.8288            -nan     0.1000    0.0151
    20        0.6411            -nan     0.1000    0.0065
    40        0.4748            -nan     0.1000   -0.0000
    60        0.3897            -nan     0.1000    0.0001
