Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: wdbc 
Training model on clean data
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.1577            -nan     0.1000    0.0688
     2        1.0500            -nan     0.1000    0.0520
     3        0.9534            -nan     0.1000    0.0457
     4        0.8746            -nan     0.1000    0.0389
     5        0.8054            -nan     0.1000    0.0319
     6        0.7439            -nan     0.1000    0.0314
     7        0.6940            -nan     0.1000    0.0246
     8        0.6502            -nan     0.1000    0.0225
     9        0.6121            -nan     0.1000    0.0179
    10        0.5782            -nan     0.1000    0.0152
    20        0.3647            -nan     0.1000    0.0057
    40        0.2230            -nan     0.1000    0.0002
    60        0.1588            -nan     0.1000    0.0001
    80        0.1194            -nan     0.1000   -0.0000
   100        0.0936            -nan     0.1000   -0.0003
   120        0.0726            -nan     0.1000    0.0002
   140        0.0579            -nan     0.1000   -0.0002
   150        0.0533            -nan     0.1000   -0.0003

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.1593            -nan     0.1000    0.0721
     2        1.0357            -nan     0.1000    0.0596
     3        0.9400            -nan     0.1000    0.0431
     4        0.8519            -nan     0.1000    0.0429
     5        0.7776            -nan     0.1000    0.0356
     6        0.7177            -nan     0.1000    0.0294
     7        0.6622            -nan     0.1000    0.0260
     8        0.6111            -nan     0.1000    0.0212
     9        0.5665            -nan     0.1000    0.0216
    10        0.5269            -nan     0.1000    0.0190
    20        0.3036            -nan     0.1000    0.0053
    40        0.1519            -nan     0.1000    0.0003
    60        0.0918            -nan     0.1000    0.0002
    80        0.0557            -nan     0.1000    0.0002
   100        0.0382            -nan     0.1000    0.0000
   120        0.0273            -nan     0.1000    0.0000
   140        0.0209            -nan     0.1000   -0.0000
   150        0.0180            -nan     0.1000    0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.1508            -nan     0.1000    0.0708
     2        1.0266            -nan     0.1000    0.0552
     3        0.9248            -nan     0.1000    0.0508
     4        0.8378            -nan     0.1000    0.0410
     5        0.7666            -nan     0.1000    0.0347
     6        0.6981            -nan     0.1000    0.0307
     7        0.6447            -nan     0.1000    0.0238
     8        0.5936            -nan     0.1000    0.0245
     9        0.5483            -nan     0.1000    0.0197
    10        0.5026            -nan     0.1000    0.0196
    20        0.2744            -nan     0.1000    0.0049
    40        0.1118            -nan     0.1000    0.0001
    60        0.0568            -nan     0.1000    0.0006
    80        0.0334            -nan     0.1000   -0.0001
   100        0.0201            -nan     0.1000    0.0001
   120        0.0135            -nan     0.1000    0.0000
   140        0.0092            -nan     0.1000   -0.0001
   150        0.0076            -nan     0.1000   -0.0000

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.1506            -nan     0.1000    0.0687
     2        1.0405            -nan     0.1000    0.0516
     3        0.9447            -nan     0.1000    0.0434
     4        0.8687            -nan     0.1000    0.0381
     5        0.8047            -nan     0.1000    0.0276
     6        0.7451            -nan     0.1000    0.0296
     7        0.6928            -nan     0.1000    0.0262
