Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Processing model: gbm for dataset: cmc 
Loaded 295 indices for fold 1 from: results/instances/original/vectors/cmc_gbm_all_folds.csv 

=== Training model with 10 % noise in training data ===
Critical percentage for training noise: 100 %
Loading training noise data from: results/noise_injection/by_dataset/cmc_Number_of_children_ever_born_noise0.1.csv 
Altering 1178 out of 1178 training instances
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3650            -nan     0.1000    0.0077
     2        1.3495            -nan     0.1000    0.0069
     3        1.3388            -nan     0.1000    0.0050
     4        1.3276            -nan     0.1000    0.0041
     5        1.3159            -nan     0.1000    0.0053
     6        1.3063            -nan     0.1000    0.0040
     7        1.2973            -nan     0.1000    0.0038
     8        1.2877            -nan     0.1000    0.0046
     9        1.2807            -nan     0.1000    0.0029
    10        1.2730            -nan     0.1000    0.0027
    20        1.2135            -nan     0.1000    0.0022
    40        1.1550            -nan     0.1000    0.0004
    60        1.1229            -nan     0.1000   -0.0001
    80        1.1047            -nan     0.1000    0.0002
   100        1.0918            -nan     0.1000   -0.0006
   120        1.0799            -nan     0.1000   -0.0004
   140        1.0705            -nan     0.1000   -0.0002
   150        1.0664            -nan     0.1000   -0.0003

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3546            -nan     0.1000    0.0135
     2        1.3347            -nan     0.1000    0.0094
     3        1.3124            -nan     0.1000    0.0103
     4        1.2938            -nan     0.1000    0.0081
     5        1.2784            -nan     0.1000    0.0059
     6        1.2638            -nan     0.1000    0.0061
     7        1.2524            -nan     0.1000    0.0045
     8        1.2411            -nan     0.1000    0.0052
     9        1.2318            -nan     0.1000    0.0040
    10        1.2194            -nan     0.1000    0.0039
    20        1.1539            -nan     0.1000    0.0007
    40        1.0920            -nan     0.1000    0.0003
    60        1.0548            -nan     0.1000    0.0005
    80        1.0332            -nan     0.1000    0.0002
   100        1.0096            -nan     0.1000   -0.0010
   120        0.9852            -nan     0.1000   -0.0010
   140        0.9671            -nan     0.1000   -0.0010
   150        0.9581            -nan     0.1000   -0.0003

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.3471            -nan     0.1000    0.0175
     2        1.3198            -nan     0.1000    0.0114
     3        1.2903            -nan     0.1000    0.0120
     4        1.2704            -nan     0.1000    0.0082
     5        1.2523            -nan     0.1000    0.0090
     6        1.2382            -nan     0.1000    0.0053
     7        1.2202            -nan     0.1000    0.0084
     8        1.2107            -nan     0.1000    0.0033
     9        1.1987            -nan     0.1000    0.0056
    10        1.1861            -nan     0.1000    0.0052
    20        1.1171            -nan     0.1000    0.0022
    40        1.0460            -nan     0.1000    0.0005
    60        0.9974            -nan     0.1000    0.0002
    80        0.9588            -nan     0.1000   -0.0003
   100        0.9236            -nan     0.1000   -0.0004
   120        0.8941            -nan     0.1000   -0.0014
